combination,rate
"(1,)",1.0
"(2,)",1.0
"(3,)",1.0
"(4,)",1.0
"(5,)",1.0
"(1, 3)",1.0
"(1, 4)",1.0
"(1, 5)",1.0
"(2, 3)",1.0
"(2, 4)",1.0
"(2, 5)",1.0
"(3, 4)",0.9732142857142857
"(4, 5)",0.9732142857142857
"(1, 3, 4)",0.9732142857142857
"(2, 3, 4)",0.9732142857142857
"(4, 7)",0.9553571428571429
"(1, 4, 8)",0.9553571428571429
"(2, 4, 5)",0.9553571428571429
"(2, 4, 7)",0.9553571428571429
"(4, 5, 6)",0.9553571428571429
"(4, 7, 8)",0.9553571428571429
"(1, 4, 7, 8)",0.9553571428571429
"(2, 4, 7, 8)",0.9553571428571429
"(3, 5)",0.9464285714285714
"(4, 6)",0.9464285714285714
"(4, 8)",0.9464285714285714
"(1, 4, 5)",0.9464285714285714
"(1, 4, 7)",0.9464285714285714
"(2, 4, 8)",0.9464285714285714
"(3, 4, 5)",0.9464285714285714
"(3, 5, 8)",0.9464285714285714
"(4, 6, 8)",0.9464285714285714
"(3, 4, 5, 8)",0.9464285714285714
"(3, 6)",0.9375
"(3, 7)",0.9375
"(2, 3, 5)",0.9375
"(2, 3, 7)",0.9375
"(2, 4, 6)",0.9375
"(3, 4, 6)",0.9375
"(3, 4, 7)",0.9375
"(3, 5, 6)",0.9375
"(3, 5, 7)",0.9375
"(3, 6, 7)",0.9375
"(3, 6, 8)",0.9375
"(3, 7, 8)",0.9375
"(4, 5, 8)",0.9375
"(2, 3, 4, 7)",0.9375
"(2, 3, 5, 7)",0.9375
"(2, 3, 5, 8)",0.9375
"(2, 3, 6, 7)",0.9375
"(2, 3, 7, 8)",0.9375
"(2, 4, 5, 8)",0.9375
"(3, 4, 5, 6)",0.9375
"(3, 4, 5, 7)",0.9375
"(3, 4, 6, 8)",0.9375
"(3, 4, 7, 8)",0.9375
"(3, 5, 6, 7)",0.9375
"(3, 5, 6, 8)",0.9375
"(3, 5, 7, 8)",0.9375
"(3, 6, 7, 8)",0.9375
"(4, 5, 7, 8)",0.9375
"(2, 3, 4, 7, 8)",0.9375
"(2, 3, 5, 6, 7)",0.9375
"(2, 3, 5, 6, 8)",0.9375
"(2, 3, 5, 7, 8)",0.9375
"(3, 4, 5, 6, 7)",0.9375
"(3, 4, 5, 6, 8)",0.9375
"(3, 4, 5, 7, 8)",0.9375
"(3, 4, 6, 7, 8)",0.9375
