combination,rate
"(0,)",1.0
"(1,)",1.0
"(2,)",1.0
"(1, 2)",1.0
"(0, 1)",0.9791666666666666
"(0, 2)",0.9791666666666666
"(0, 1, 2)",0.9791666666666666
"(6,)",0.9427083333333334
"(8,)",0.9427083333333334
"(0, 8)",0.9427083333333334
"(1, 6)",0.9427083333333334
"(1, 8)",0.9427083333333334
"(2, 6)",0.9427083333333334
"(2, 8)",0.9427083333333334
"(4, 8)",0.9427083333333334
"(5, 6)",0.9427083333333334
"(5, 7)",0.9427083333333334
"(5, 8)",0.9427083333333334
"(6, 8)",0.9427083333333334
"(7, 8)",0.9427083333333334
"(0, 1, 5)",0.9427083333333334
"(0, 1, 6)",0.9427083333333334
"(0, 1, 8)",0.9427083333333334
"(0, 2, 5)",0.9427083333333334
"(0, 2, 6)",0.9427083333333334
"(0, 2, 8)",0.9427083333333334
"(0, 3, 8)",0.9427083333333334
"(0, 4, 6)",0.9427083333333334
"(0, 4, 8)",0.9427083333333334
"(0, 5, 8)",0.9427083333333334
"(0, 6, 8)",0.9427083333333334
"(1, 2, 6)",0.9427083333333334
"(1, 2, 8)",0.9427083333333334
"(1, 4, 8)",0.9427083333333334
"(1, 5, 6)",0.9427083333333334
"(1, 5, 7)",0.9427083333333334
"(1, 5, 8)",0.9427083333333334
"(1, 6, 7)",0.9427083333333334
"(1, 6, 8)",0.9427083333333334
"(1, 7, 8)",0.9427083333333334
"(2, 4, 8)",0.9427083333333334
"(2, 5, 6)",0.9427083333333334
"(2, 5, 7)",0.9427083333333334
"(2, 5, 8)",0.9427083333333334
"(2, 6, 7)",0.9427083333333334
"(2, 6, 8)",0.9427083333333334
"(2, 7, 8)",0.9427083333333334
"(3, 7, 8)",0.9427083333333334
"(4, 5, 8)",0.9427083333333334
"(4, 6, 8)",0.9427083333333334
"(4, 7, 8)",0.9427083333333334
"(5, 6, 8)",0.9427083333333334
"(5, 7, 8)",0.9427083333333334
"(6, 7, 8)",0.9427083333333334
"(0, 1, 2, 5)",0.9427083333333334
"(0, 1, 2, 6)",0.9427083333333334
"(0, 1, 2, 8)",0.9427083333333334
"(0, 1, 3, 8)",0.9427083333333334
"(0, 1, 4, 6)",0.9427083333333334
"(0, 1, 4, 7)",0.9427083333333334
"(0, 1, 4, 8)",0.9427083333333334
"(0, 1, 5, 6)",0.9427083333333334
"(0, 1, 5, 8)",0.9427083333333334
"(0, 1, 6, 8)",0.9427083333333334
"(0, 2, 3, 8)",0.9427083333333334
