combination,rate
"(0, 3, 4, 5)",0.7125
"(0, 3, 4, 7)",0.7125
"(0, 4, 6, 7)",0.7125
"(0, 1, 3, 4, 5)",0.7125
"(0, 1, 3, 4, 7)",0.7125
"(0, 1, 4, 6, 7)",0.7125
"(0, 2, 3, 4, 5)",0.7125
"(0, 2, 3, 4, 7)",0.7125
"(0, 2, 4, 6, 7)",0.7125
"(0, 3, 4, 6, 7)",0.7125
"(0, 1, 2, 3, 4, 5)",0.7125
"(0, 1, 2, 3, 4, 7)",0.7125
"(0, 1, 2, 4, 6, 7)",0.7125
"(0, 1, 3, 4, 6, 7)",0.7125
"(0, 2, 3, 4, 6, 7)",0.7125
"(0, 3, 4, 6, 7, 8)",0.7125
"(0, 1, 2, 3, 4, 6, 7)",0.7125
"(0, 1, 3, 4, 6, 7, 8)",0.7125
"(0, 2, 3, 4, 6, 7, 8)",0.7125
"(0, 1, 2, 3, 4, 6, 7, 8)",0.7125
"(0, 3, 4)",0.7
"(0, 3, 7)",0.7
"(0, 4, 6)",0.7
"(0, 1, 3, 4)",0.7
"(0, 1, 3, 7)",0.7
"(0, 1, 4, 6)",0.7
"(0, 2, 3, 4)",0.7
"(0, 2, 3, 7)",0.7
"(0, 2, 4, 6)",0.7
"(0, 3, 4, 6)",0.7
"(0, 3, 4, 8)",0.7
"(0, 3, 6, 8)",0.7
"(0, 4, 6, 8)",0.7
"(0, 1, 2, 3, 4)",0.7
"(0, 1, 2, 3, 7)",0.7
"(0, 1, 2, 4, 6)",0.7
"(0, 1, 3, 4, 6)",0.7
"(0, 1, 3, 4, 8)",0.7
"(0, 1, 3, 6, 8)",0.7
"(0, 1, 4, 6, 8)",0.7
"(0, 2, 3, 4, 6)",0.7
"(0, 2, 3, 4, 8)",0.7
"(0, 2, 3, 6, 8)",0.7
"(0, 2, 4, 6, 8)",0.7
"(0, 3, 4, 5, 8)",0.7
"(0, 3, 4, 6, 8)",0.7
"(0, 3, 4, 7, 8)",0.7
"(0, 1, 2, 3, 4, 6)",0.7
"(0, 1, 2, 3, 4, 8)",0.7
"(0, 1, 2, 3, 6, 8)",0.7
"(0, 1, 2, 4, 6, 8)",0.7
"(0, 1, 3, 4, 5, 8)",0.7
"(0, 1, 3, 4, 6, 8)",0.7
"(0, 1, 3, 4, 7, 8)",0.7
"(0, 2, 3, 4, 5, 8)",0.7
"(0, 2, 3, 4, 6, 8)",0.7
"(0, 2, 3, 4, 7, 8)",0.7
"(0, 3, 4, 5, 7, 8)",0.7
"(0, 1, 2, 3, 4, 5, 8)",0.7
"(0, 1, 2, 3, 4, 6, 8)",0.7
"(0, 1, 2, 3, 4, 7, 8)",0.7
"(0, 1, 3, 4, 5, 7, 8)",0.7
"(0, 2, 3, 4, 5, 7, 8)",0.7
"(0, 1, 2, 3, 4, 5, 7, 8)",0.7
