combination,rate
"(1,)",1.0
"(2,)",1.0
"(3,)",1.0
"(4,)",1.0
"(5,)",1.0
"(1, 2)",1.0
"(1, 3)",1.0
"(1, 4)",1.0
"(1, 5)",1.0
"(2, 3)",1.0
"(2, 4)",1.0
"(2, 5)",1.0
"(3, 4)",1.0
"(3, 5)",1.0
"(4, 5)",1.0
"(1, 2, 3)",1.0
"(1, 2, 4)",1.0
"(1, 2, 5)",1.0
"(1, 3, 4)",1.0
"(1, 3, 5)",1.0
"(1, 4, 5)",1.0
"(2, 3, 4)",1.0
"(2, 3, 5)",1.0
"(2, 4, 5)",1.0
"(3, 4, 5)",1.0
"(1, 2, 3, 4)",1.0
"(1, 2, 3, 5)",1.0
"(1, 2, 4, 5)",1.0
"(1, 3, 4, 5)",1.0
"(2, 3, 4, 5)",1.0
"(1, 2, 3, 4, 5)",1.0
"(0,)",0.9375
"(0, 1)",0.9375
"(0, 2)",0.9375
"(0, 3)",0.9375
"(0, 4)",0.9375
"(0, 5)",0.9375
"(0, 1, 2)",0.9375
"(0, 1, 3)",0.9375
"(0, 1, 4)",0.9375
"(0, 1, 5)",0.9375
"(0, 2, 3)",0.9375
"(0, 2, 4)",0.9375
"(0, 2, 5)",0.9375
"(0, 1, 2, 3)",0.9375
"(0, 1, 2, 4)",0.9375
"(0, 1, 2, 5)",0.9375
"(0, 3, 4)",0.921875
"(0, 3, 5)",0.921875
"(0, 4, 5)",0.921875
"(0, 1, 3, 4)",0.921875
"(0, 1, 3, 5)",0.921875
"(0, 1, 4, 5)",0.921875
"(0, 2, 3, 4)",0.921875
"(0, 2, 3, 5)",0.921875
"(0, 2, 4, 5)",0.921875
"(0, 3, 4, 5)",0.921875
"(0, 1, 2, 3, 4)",0.921875
"(0, 1, 2, 3, 5)",0.921875
"(0, 1, 2, 4, 5)",0.921875
"(0, 1, 3, 4, 5)",0.921875
"(0, 2, 3, 4, 5)",0.921875
"(0, 1, 2, 3, 4, 5)",0.921875
