combination,rate
"(0, 3, 7)",0.8870967741935484
"(0, 3)",0.8830645161290323
"(0, 5)",0.8830645161290323
"(0, 6)",0.8830645161290323
"(0, 7)",0.8830645161290323
"(0, 8)",0.8830645161290323
"(0, 1, 8)",0.8830645161290323
"(0, 2, 8)",0.8830645161290323
"(0, 3, 5)",0.8830645161290323
"(0, 3, 6)",0.8830645161290323
"(0, 4, 5)",0.8830645161290323
"(0, 4, 6)",0.8830645161290323
"(0, 1, 2, 3)",0.8830645161290323
"(0, 1, 2, 4)",0.8830645161290323
"(0, 1, 2, 5)",0.8830645161290323
"(0, 1, 2, 6)",0.8830645161290323
"(0, 1, 2, 7)",0.8830645161290323
"(0, 1, 2, 8)",0.8830645161290323
"(0, 1, 2, 3, 4)",0.8830645161290323
"(0, 1, 2, 3, 5)",0.8830645161290323
"(0, 1, 2, 3, 6)",0.8830645161290323
"(0, 1, 2, 3, 7)",0.8830645161290323
"(0, 1, 2, 4, 5)",0.8830645161290323
"(0, 1, 2, 4, 6)",0.8830645161290323
"(0, 1, 2, 5, 6)",0.8830645161290323
"(0, 1, 2, 3, 5, 6)",0.8830645161290323
"(0, 4)",0.8790322580645161
"(0, 2, 7)",0.8790322580645161
"(0, 3, 4)",0.8790322580645161
"(0, 3, 8)",0.8790322580645161
"(0, 4, 8)",0.8790322580645161
"(0, 5, 6)",0.8790322580645161
"(0, 1, 3, 4)",0.8790322580645161
"(0, 1, 3, 7)",0.8790322580645161
"(0, 2, 3, 4)",0.8790322580645161
"(0, 2, 7, 8)",0.8790322580645161
"(0, 3, 5, 6)",0.8790322580645161
"(0, 4, 5, 6)",0.8790322580645161
"(0, 1, 2, 4, 7)",0.8790322580645161
"(0, 1, 2, 4, 8)",0.8790322580645161
"(0, 1, 2, 5, 7)",0.8790322580645161
"(0, 1, 2, 5, 8)",0.8790322580645161
"(0, 1, 2, 6, 7)",0.8790322580645161
"(0, 1, 2, 6, 8)",0.8790322580645161
"(0, 1, 3, 5, 6)",0.8790322580645161
"(0, 2, 3, 5, 6)",0.8790322580645161
"(0, 3, 5, 7, 8)",0.8790322580645161
"(0, 1, 2, 3, 4, 6)",0.8790322580645161
"(0, 1, 2, 4, 5, 6)",0.8790322580645161
"(0, 1, 2, 4, 5, 7)",0.8790322580645161
"(0, 1, 2, 4, 6, 7)",0.8790322580645161
"(0, 1, 2, 4, 6, 8)",0.8790322580645161
"(0, 1, 2, 5, 6, 7)",0.8790322580645161
"(0, 1, 2, 5, 6, 8)",0.8790322580645161
"(0, 1, 2, 6, 7, 8)",0.8790322580645161
"(0, 1, 2, 3, 5, 6, 7)",0.8790322580645161
"(0, 1, 2, 3, 5, 6, 8)",0.8790322580645161
"(0, 1, 2, 3, 5, 7, 8)",0.8790322580645161
"(0, 1, 2, 3, 6, 7, 8)",0.8790322580645161
"(0, 1, 2, 4, 5, 6, 7)",0.8790322580645161
"(0, 1, 2, 4, 6, 7, 8)",0.8790322580645161
"(0, 1, 2, 5, 6, 7, 8)",0.8790322580645161
"(0, 1, 2, 3, 5, 6, 7, 8)",0.8790322580645161
"(0,)",0.875
"(0, 1, 3)",0.875
"(0, 1, 4)",0.875
"(0, 1, 5)",0.875
"(0, 1, 6)",0.875
"(0, 1, 7)",0.875
"(0, 2, 3)",0.875
"(0, 2, 4)",0.875
"(0, 2, 5)",0.875
"(0, 2, 6)",0.875
"(0, 4, 7)",0.875
"(0, 5, 7)",0.875
"(0, 6, 7)",0.875
"(0, 7, 8)",0.875
"(0, 1, 3, 5)",0.875
"(0, 1, 3, 6)",0.875
"(0, 1, 3, 8)",0.875
"(0, 1, 4, 5)",0.875
"(0, 1, 4, 6)",0.875
"(0, 1, 4, 7)",0.875
"(0, 1, 4, 8)",0.875
"(0, 1, 5, 6)",0.875
"(0, 1, 6, 7)",0.875
"(0, 1, 7, 8)",0.875
"(0, 2, 3, 5)",0.875
"(0, 2, 3, 6)",0.875
"(0, 2, 3, 7)",0.875
"(0, 2, 3, 8)",0.875
"(0, 2, 4, 5)",0.875
"(0, 2, 4, 6)",0.875
"(0, 2, 4, 7)",0.875
"(0, 2, 4, 8)",0.875
"(0, 2, 5, 6)",0.875
"(0, 2, 6, 7)",0.875
"(0, 3, 4, 6)",0.875
"(0, 3, 4, 8)",0.875
"(0, 3, 7, 8)",0.875
"(0, 4, 5, 7)",0.875
"(0, 4, 6, 7)",0.875
"(0, 4, 6, 8)",0.875
"(0, 5, 6, 7)",0.875
"(0, 5, 6, 8)",0.875
"(0, 5, 7, 8)",0.875
"(0, 6, 7, 8)",0.875
"(0, 1, 2, 3, 8)",0.875
"(0, 1, 2, 7, 8)",0.875
"(0, 1, 3, 4, 6)",0.875
"(0, 1, 3, 7, 8)",0.875
"(0, 1, 4, 5, 6)",0.875
"(0, 1, 4, 6, 8)",0.875
"(0, 2, 3, 4, 6)",0.875
"(0, 2, 3, 7, 8)",0.875
"(0, 2, 4, 5, 6)",0.875
"(0, 2, 4, 6, 7)",0.875
"(0, 2, 4, 6, 8)",0.875
"(0, 2, 5, 7, 8)",0.875
"(0, 3, 4, 7, 8)",0.875
"(0, 3, 5, 6, 7)",0.875
"(0, 3, 5, 6, 8)",0.875
"(0, 3, 6, 7, 8)",0.875
"(0, 4, 5, 6, 7)",0.875
"(0, 4, 6, 7, 8)",0.875
"(0, 5, 6, 7, 8)",0.875
"(0, 1, 2, 3, 4, 5)",0.875
"(0, 1, 2, 3, 4, 7)",0.875
"(0, 1, 2, 3, 5, 7)",0.875
"(0, 1, 2, 3, 5, 8)",0.875
"(0, 1, 2, 3, 6, 7)",0.875
"(0, 1, 2, 3, 6, 8)",0.875
"(0, 1, 2, 3, 7, 8)",0.875
"(0, 1, 2, 4, 5, 8)",0.875
"(0, 1, 2, 4, 7, 8)",0.875
"(0, 1, 2, 5, 7, 8)",0.875
"(0, 2, 3, 4, 7, 8)",0.875
"(0, 2, 3, 5, 7, 8)",0.875
"(0, 3, 4, 5, 7, 8)",0.875
"(0, 3, 4, 6, 7, 8)",0.875
"(0, 3, 5, 6, 7, 8)",0.875
"(0, 1, 2, 3, 4, 5, 7)",0.875
"(0, 1, 2, 3, 4, 5, 8)",0.875
"(0, 1, 2, 3, 4, 6, 7)",0.875
"(0, 1, 2, 3, 4, 6, 8)",0.875
"(0, 1, 2, 3, 4, 7, 8)",0.875
"(0, 1, 2, 4, 5, 6, 8)",0.875
"(0, 1, 2, 4, 5, 7, 8)",0.875
"(0, 2, 3, 4, 5, 7, 8)",0.875
"(0, 1, 2, 3, 4, 5, 6, 7)",0.875
"(0, 1, 2, 3, 4, 5, 6, 8)",0.875
"(0, 1, 2, 3, 4, 5, 7, 8)",0.875
"(0, 1, 2, 3, 4, 6, 7, 8)",0.875
"(0, 1, 2, 4, 5, 6, 7, 8)",0.875
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.875
"(0, 1)",0.8709677419354839
"(0, 2)",0.8709677419354839
"(0, 1, 2)",0.8709677419354839
"(0, 5, 8)",0.8709677419354839
"(0, 6, 8)",0.8709677419354839
"(0, 1, 5, 7)",0.8709677419354839
"(0, 1, 5, 8)",0.8709677419354839
"(0, 1, 6, 8)",0.8709677419354839
"(0, 2, 5, 7)",0.8709677419354839
"(0, 2, 5, 8)",0.8709677419354839
"(0, 2, 6, 8)",0.8709677419354839
"(0, 3, 4, 5)",0.8709677419354839
"(0, 3, 4, 7)",0.8709677419354839
"(0, 3, 5, 7)",0.8709677419354839
"(0, 3, 5, 8)",0.8709677419354839
"(0, 3, 6, 7)",0.8709677419354839
"(0, 3, 6, 8)",0.8709677419354839
"(0, 4, 5, 8)",0.8709677419354839
"(0, 4, 7, 8)",0.8709677419354839
"(0, 1, 3, 4, 5)",0.8709677419354839
"(0, 1, 3, 4, 7)",0.8709677419354839
"(0, 1, 3, 4, 8)",0.8709677419354839
"(0, 1, 3, 5, 7)",0.8709677419354839
"(0, 1, 3, 5, 8)",0.8709677419354839
"(0, 1, 3, 6, 7)",0.8709677419354839
"(0, 1, 3, 6, 8)",0.8709677419354839
"(0, 1, 4, 5, 7)",0.8709677419354839
"(0, 1, 4, 5, 8)",0.8709677419354839
"(0, 1, 4, 6, 7)",0.8709677419354839
"(0, 1, 4, 7, 8)",0.8709677419354839
"(0, 1, 5, 6, 7)",0.8709677419354839
"(0, 1, 5, 6, 8)",0.8709677419354839
"(0, 1, 5, 7, 8)",0.8709677419354839
"(0, 1, 6, 7, 8)",0.8709677419354839
"(0, 2, 3, 4, 5)",0.8709677419354839
"(0, 2, 3, 4, 7)",0.8709677419354839
"(0, 2, 3, 4, 8)",0.8709677419354839
"(0, 2, 3, 5, 8)",0.8709677419354839
"(0, 2, 3, 6, 7)",0.8709677419354839
"(0, 2, 3, 6, 8)",0.8709677419354839
"(0, 2, 4, 5, 7)",0.8709677419354839
"(0, 2, 4, 5, 8)",0.8709677419354839
"(0, 2, 4, 7, 8)",0.8709677419354839
"(0, 2, 5, 6, 7)",0.8709677419354839
"(0, 2, 5, 6, 8)",0.8709677419354839
"(0, 2, 6, 7, 8)",0.8709677419354839
"(0, 3, 4, 5, 6)",0.8709677419354839
"(0, 3, 4, 5, 7)",0.8709677419354839
"(0, 3, 4, 5, 8)",0.8709677419354839
"(0, 3, 4, 6, 7)",0.8709677419354839
"(0, 3, 4, 6, 8)",0.8709677419354839
"(0, 4, 5, 6, 8)",0.8709677419354839
"(0, 4, 5, 7, 8)",0.8709677419354839
"(0, 1, 2, 3, 4, 8)",0.8709677419354839
"(0, 1, 3, 4, 5, 6)",0.8709677419354839
"(0, 1, 3, 4, 5, 7)",0.8709677419354839
"(0, 1, 3, 4, 6, 7)",0.8709677419354839
"(0, 1, 3, 4, 6, 8)",0.8709677419354839
"(0, 1, 3, 4, 7, 8)",0.8709677419354839
"(0, 1, 3, 5, 6, 7)",0.8709677419354839
"(0, 1, 3, 5, 6, 8)",0.8709677419354839
"(0, 1, 3, 5, 7, 8)",0.8709677419354839
"(0, 1, 3, 6, 7, 8)",0.8709677419354839
"(0, 1, 4, 5, 6, 8)",0.8709677419354839
"(0, 1, 4, 5, 7, 8)",0.8709677419354839
"(0, 1, 4, 6, 7, 8)",0.8709677419354839
"(0, 1, 5, 6, 7, 8)",0.8709677419354839
"(0, 2, 3, 4, 5, 6)",0.8709677419354839
"(0, 2, 3, 4, 5, 7)",0.8709677419354839
"(0, 2, 3, 4, 6, 7)",0.8709677419354839
"(0, 2, 3, 4, 6, 8)",0.8709677419354839
"(0, 2, 3, 5, 6, 7)",0.8709677419354839
"(0, 2, 3, 5, 6, 8)",0.8709677419354839
"(0, 2, 3, 6, 7, 8)",0.8709677419354839
