combination,rate
"(0, 1)",0.7916666666666666
"(0, 2)",0.7916666666666666
"(0, 1, 3)",0.7916666666666666
"(0, 1, 4)",0.7916666666666666
"(0, 1, 5)",0.7916666666666666
"(0, 2, 3)",0.7916666666666666
"(0, 2, 4)",0.7916666666666666
"(0, 2, 5)",0.7916666666666666
"(0, 1, 3, 4)",0.7916666666666666
"(0, 1, 3, 5)",0.7916666666666666
"(0, 1, 4, 5)",0.7916666666666666
"(0, 2, 3, 4)",0.7916666666666666
"(0, 2, 3, 5)",0.7916666666666666
"(0, 2, 4, 5)",0.7916666666666666
"(0, 1, 3, 4, 5)",0.7916666666666666
"(0, 2, 3, 4, 5)",0.7916666666666666
"(0,)",0.75
"(0, 3)",0.75
"(0, 4)",0.75
"(0, 5)",0.75
"(0, 1, 2)",0.75
"(0, 3, 4)",0.75
"(0, 3, 5)",0.75
"(0, 4, 5)",0.75
"(0, 1, 2, 3)",0.75
"(0, 1, 2, 4)",0.75
"(0, 1, 2, 5)",0.75
"(0, 3, 4, 5)",0.75
"(0, 1, 2, 3, 4)",0.75
"(0, 1, 2, 3, 5)",0.75
"(0, 1, 2, 4, 5)",0.75
"(0, 1, 2, 3, 4, 5)",0.75
