combination,rate
"(1,)",1.0
"(2,)",1.0
"(3,)",1.0
"(4,)",1.0
"(5,)",1.0
"(6,)",1.0
"(7,)",1.0
"(8,)",1.0
"(1, 2)",1.0
"(1, 3)",1.0
"(1, 4)",1.0
"(1, 5)",1.0
"(1, 6)",1.0
"(1, 7)",1.0
"(1, 8)",1.0
"(2, 3)",1.0
"(2, 4)",1.0
"(2, 5)",1.0
"(2, 6)",1.0
"(2, 7)",1.0
"(2, 8)",1.0
"(1, 2, 3)",1.0
"(1, 2, 4)",1.0
"(1, 2, 5)",1.0
"(1, 2, 6)",1.0
"(1, 2, 7)",1.0
"(1, 2, 8)",1.0
"(7, 8)",0.9583333333333334
"(1, 7, 8)",0.9583333333333334
"(2, 7, 8)",0.9583333333333334
"(1, 2, 7, 8)",0.9583333333333334
"(3, 4)",0.8125
"(1, 3, 4)",0.8125
"(2, 3, 4)",0.8125
"(1, 2, 3, 4)",0.8125
"(4, 5)",0.8020833333333334
"(5, 6)",0.8020833333333334
"(1, 4, 5)",0.8020833333333334
"(1, 5, 6)",0.8020833333333334
"(2, 4, 5)",0.8020833333333334
"(2, 5, 6)",0.8020833333333334
"(1, 2, 4, 5)",0.8020833333333334
"(1, 2, 5, 6)",0.8020833333333334
"(6, 8)",0.7916666666666666
"(1, 6, 8)",0.7916666666666666
"(2, 6, 8)",0.7916666666666666
"(1, 2, 6, 8)",0.7916666666666666
"(3, 4, 5)",0.7708333333333334
"(1, 3, 4, 5)",0.7708333333333334
"(2, 3, 4, 5)",0.7708333333333334
"(1, 2, 3, 4, 5)",0.7708333333333334
"(3, 5)",0.75
"(3, 8)",0.75
"(4, 6)",0.75
"(1, 3, 5)",0.75
"(1, 3, 8)",0.75
"(1, 4, 6)",0.75
"(2, 3, 5)",0.75
"(2, 3, 8)",0.75
"(2, 4, 6)",0.75
"(1, 2, 3, 5)",0.75
"(1, 2, 3, 8)",0.75
"(1, 2, 4, 6)",0.75
"(3, 6)",0.7395833333333334
"(5, 8)",0.7395833333333334
"(1, 3, 6)",0.7395833333333334
"(1, 5, 8)",0.7395833333333334
"(2, 3, 6)",0.7395833333333334
"(2, 5, 8)",0.7395833333333334
"(3, 4, 6)",0.7395833333333334
"(4, 5, 6)",0.7395833333333334
"(5, 6, 8)",0.7395833333333334
"(0, 5, 6, 7)",0.7395833333333334
"(1, 2, 3, 6)",0.7395833333333334
