combination,rate
"(3,)",1.0
"(4,)",1.0
"(5,)",1.0
"(4, 5)",1.0
"(3, 4)",0.9814814814814815
"(3, 5)",0.9814814814814815
"(0,)",0.9074074074074074
"(3, 4, 5)",0.9074074074074074
"(0, 1)",0.8888888888888888
"(0, 2)",0.8888888888888888
"(0, 3)",0.8888888888888888
"(0, 4)",0.8888888888888888
"(0, 5)",0.8888888888888888
"(0, 1, 2)",0.8888888888888888
"(0, 1, 3)",0.8888888888888888
"(0, 1, 4)",0.8888888888888888
"(0, 1, 5)",0.8888888888888888
"(0, 2, 3)",0.8888888888888888
"(0, 2, 4)",0.8888888888888888
"(0, 2, 5)",0.8888888888888888
"(0, 3, 4)",0.8888888888888888
"(0, 3, 5)",0.8888888888888888
"(0, 4, 5)",0.8888888888888888
"(0, 1, 2, 3)",0.8888888888888888
"(0, 1, 2, 4)",0.8888888888888888
"(0, 1, 2, 5)",0.8888888888888888
"(0, 1, 3, 4)",0.8888888888888888
"(0, 1, 3, 5)",0.8888888888888888
"(0, 1, 4, 5)",0.8888888888888888
"(0, 2, 3, 4)",0.8888888888888888
"(0, 2, 3, 5)",0.8888888888888888
"(0, 2, 4, 5)",0.8888888888888888
"(0, 3, 4, 5)",0.8888888888888888
"(0, 1, 2, 3, 4)",0.8888888888888888
"(0, 1, 2, 3, 5)",0.8888888888888888
"(0, 1, 2, 4, 5)",0.8888888888888888
"(0, 1, 3, 4, 5)",0.8888888888888888
"(0, 2, 3, 4, 5)",0.8888888888888888
"(0, 1, 2, 3, 4, 5)",0.8888888888888888
"(2, 3, 4)",0.7777777777777778
"(2,)",0.7592592592592593
"(2, 3, 5)",0.7592592592592593
