合约,日期,方向,预测,收盘价1,合约乘数,价值,数量
RI,20180102,0,[ 0.],2731.0,20,54620.0,54
JM,20180102,0,[ 0.],1338.0,60,80280.0,38
J,20180102,0,[ 0.],2014.5,100,201450.0,15
I,20180102,0,[ 0.],543.5,100,54350.0,56
FB,20180102,0,[ 0.],109.8,500,54900.0,56
BB,20180102,0,[ 0.],131.3,500,65650.0,46
ZC,20180102,0,[ 0.],612.8,100,61279.99999999999,49
SF,20180102,0,[ 0.],6466.0,5,32330.0,92
RS,20180102,0,[ 0.],5101.0,10,51010.0,58
PM,20180102,0,[ 0.],2410.0,10,24100.0,124
MA,20180102,0,[ 0.],2923.0,10,29230.0,105
LR,20180102,0,[ 0.],3088.0,20,61760.0,48
JR,20180102,0,[ 0.],3338.0,20,66760.0,44
FG,20180102,0,[ 0.],1462.0,20,29240.0,101
Y,20180102,0,[ 0.],5780.0,10,57800.0,52
T,20180102,0,[ 0.],92.64,10000,926400.0,3
IF,20180102,0,[ 0.],4104.0,300,1231200.0,2
PB,20180102,0,[ 0.],18880.0,5,94400.0,31
ZN,20180102,0,[ 0.],25710.0,5,128550.0,23
AG,20180102,1,[ 1.],3891.0,15,58365.0,51
SN,20180102,1,[ 1.],144510.0,1,144510.0,20
C,20180102,1,[ 1.],1829.0,10,18290.0,165
CF,20180102,1,[ 1.],15040.0,5,75200.0,40
SR,20180102,1,[ 1.],5897.0,10,58970.0,50
IC,20180102,1,[ 1.],6345.0,200,1269000.0,2
OI,20180102,1,[ 1.],6538.0,10,65380.0,46
M,20180102,1,[ 1.],2765.0,10,27650.0,108
RU,20180102,1,[ 1.],14080.0,10,140800.0,21
RB,20180102,1,[ 1.],3794.0,10,37940.0,80
AL,20180102,1,[ 1.],15110.0,5,75550.0,39
NI,20180102,1,[ 1.],98080.0,1,98080.0,31
TA,20180102,1,[ 1.],5576.0,5,27880.0,108
CU,20180102,1,[ 1.],54960.0,5,274800.0,10
BU,20180102,1,[ 1.],2618.0,10,26180.0,115
AU,20180102,1,[ 1.],278.95,1000,278950.0,10
B,20180102,1,[ 1.],3273.0,10,32730.0,91
SM,20180102,1,[ 1.],7256.0,5,36280.0,82
