合约,日期,方向,预测,收盘价1,合约乘数,价值,数量
JM,20180504,0,[ 0.],1217.5,60,73050.0,38
J,20180504,0,[ 0.],1993.0,100,199300.0,15
I,20180504,0,[ 0.],471.5,100,47150.0,56
BB,20180504,0,[ 0.],152.85,500,76425.0,46
ZC,20180504,0,[ 0.],602.4,100,60240.0,49
AG,20180504,1,[ 1.],3746.0,15,56190.0,51
SN,20180504,1,[ 1.],147800.0,1,147800.0,20
C,20180504,1,[ 1.],1744.0,10,17440.0,165
CF,20180504,1,[ 1.],15575.0,5,77875.0,40
SR,20180504,1,[ 1.],5410.0,10,54100.0,50
JM,20180507,0,[ 0.],1249.5,60,74970.0,38
J,20180507,0,[ 0.],2025.5,100,202550.0,15
I,20180507,0,[ 0.],470.0,100,47000.0,56
BB,20180507,0,[ 0.],148.0,500,74000.0,46
ZC,20180507,0,[ 0.],613.2,100,61320.00000000001,49
AG,20180507,1,[ 1.],3754.0,15,56310.0,51
SN,20180507,1,[ 1.],147440.0,1,147440.0,20
C,20180507,1,[ 1.],1742.0,10,17420.0,165
CF,20180507,1,[ 1.],15730.0,5,78650.0,40
SR,20180507,1,[ 1.],5424.0,10,54240.0,50
JM,20180508,0,[ 0.],1248.0,60,74880.0,38
J,20180508,0,[ 0.],2022.0,100,202200.0,15
I,20180508,0,[ 0.],476.0,100,47600.0,56
BB,20180508,0,[ 0.],137.65,500,68825.0,46
ZC,20180508,0,[ 0.],607.2,100,60720.00000000001,49
AG,20180508,1,[ 1.],3757.0,15,56355.0,51
SN,20180508,1,[ 1.],146190.0,1,146190.0,20
C,20180508,1,[ 1.],1744.0,10,17440.0,165
CF,20180508,1,[ 1.],15720.0,5,78600.0,40
SR,20180508,1,[ 1.],5417.0,10,54170.0,50
JM,20180509,0,[ 0.],1228.5,60,73710.0,38
J,20180509,0,[ 0.],1985.5,100,198550.0,15
I,20180509,0,[ 0.],470.0,100,47000.0,56
BB,20180509,0,[ 0.],137.65,500,68825.0,46
ZC,20180509,0,[ 0.],600.2,100,60020.00000000001,49
AG,20180509,1,[ 1.],3749.0,15,56235.0,51
SN,20180509,1,[ 1.],145400.0,1,145400.0,20
C,20180509,1,[ 1.],1747.0,10,17470.0,165
CF,20180509,1,[ 1.],15650.0,5,78250.0,40
SR,20180509,1,[ 1.],5415.0,10,54150.0,50
JM,20180510,0,[ 0.],1241.0,60,74460.0,38
J,20180510,0,[ 0.],1999.0,100,199900.0,15
I,20180510,0,[ 0.],470.0,100,47000.0,56
BB,20180510,0,[ 0.],137.65,500,68825.0,46
ZC,20180510,0,[ 0.],611.8,100,61179.99999999999,49
AG,20180510,1,[ 1.],3764.0,15,56460.0,51
SN,20180510,1,[ 1.],146480.0,1,146480.0,20
C,20180510,1,[ 1.],1752.0,10,17520.0,165
CF,20180510,1,[ 1.],15705.0,5,78525.0,40
SR,20180510,1,[ 1.],5412.0,10,54120.0,50
JM,20180511,0,[ 0.],1260.5,60,75630.0,38
J,20180511,0,[ 0.],2066.5,100,206650.0,15
I,20180511,0,[ 0.],482.5,100,48250.0,56
BB,20180511,0,[ 0.],137.65,500,68825.0,46
ZC,20180511,0,[ 0.],620.2,100,62020.00000000001,49
AG,20180511,1,[ 1.],3782.0,15,56730.0,51
SN,20180511,1,[ 1.],145590.0,1,145590.0,20
C,20180511,1,[ 1.],1754.0,10,17540.0,165
