训练日,交易日,盯市日,品种,多空标志,开仓价格,盯市价格,收益率
20180102,20180103,20180104,RI,-1,2816.0,2816.0,-0.0
20180102,20180103,20180104,JM,-1,1339.5,1352.0,-0.00933184023889511
20180102,20180103,20180104,J,-1,2021.0,2015.0,0.0029688273132112814
20180102,20180103,20180104,I,-1,544.0,536.5,0.013786764705882353
20180102,20180103,20180104,FB,-1,108.8,108.8,-0.0
20180102,20180103,20180104,AG,1,3900.0,3911.0,0.0028205128205128207
20180102,20180103,20180104,SN,1,145910.0,145280.0,-0.004317730107600576
20180102,20180103,20180104,C,1,1837.0,1852.0,0.008165487207403375
20180102,20180103,20180104,CF,1,15060.0,14970.0,-0.00597609561752988
20180102,20180103,20180104,SR,1,5893.0,5898.0,0.0008484642796538266
20180103,20180104,20180105,RI,-1,2816.0,2816.0,-0.0
20180103,20180104,20180105,JM,-1,1352.0,1367.0,-0.011094674556213017
20180103,20180104,20180105,J,-1,2015.0,2089.0,-0.03672456575682382
20180103,20180104,20180105,I,-1,536.5,543.0,-0.012115563839701771
20180103,20180104,20180105,FB,-1,108.8,108.8,-0.0
20180103,20180104,20180105,AG,1,3911.0,3890.0,-0.005369470723600102
20180103,20180104,20180105,SN,1,145280.0,144930.0,-0.0024091409691629957
20180103,20180104,20180105,C,1,1852.0,1850.0,-0.0010799136069114472
20180103,20180104,20180105,CF,1,14970.0,15010.0,0.0026720106880427524
20180103,20180104,20180105,SR,1,5898.0,5843.0,-0.00932519498134961
20180104,20180105,20180108,RI,-1,2816.0,2816.0,-0.0
20180104,20180105,20180108,JM,-1,1367.0,1355.0,0.008778346744696415
20180104,20180105,20180108,J,-1,2089.0,2053.0,0.01723312589755864
20180104,20180105,20180108,I,-1,543.0,538.0,0.009208103130755065
20180104,20180105,20180108,FB,-1,108.8,108.8,-0.0
20180104,20180105,20180108,AG,1,3890.0,3895.0,0.0012853470437017994
20180104,20180105,20180108,SN,1,144930.0,145060.0,0.0008969847512592286
20180104,20180105,20180108,C,1,1850.0,1855.0,0.002702702702702703
20180104,20180105,20180108,CF,1,15010.0,15170.0,0.010659560293137908
20180104,20180105,20180108,SR,1,5843.0,5864.0,0.0035940441553996235
20180105,20180108,20180109,RI,-1,2816.0,2816.0,-0.0
20180105,20180108,20180109,JM,-1,1355.0,1378.5,-0.01734317343173432
20180105,20180108,20180109,J,-1,2053.0,2090.0,-0.01802240623477837
20180105,20180108,20180109,I,-1,538.0,555.0,-0.031598513011152414
20180105,20180108,20180109,FB,-1,108.8,108.8,-0.0
20180105,20180108,20180109,AG,1,3895.0,3896.0,0.00025673940949935817
20180105,20180108,20180109,SN,1,145060.0,144990.0,-0.00048255894112780916
20180105,20180108,20180109,C,1,1855.0,1824.0,-0.016711590296495958
20180105,20180108,20180109,CF,1,15170.0,15180.0,0.0006591957811470006
