合约,日期,方向,预测,收盘价1,合约乘数,价值,数量
T,20180102,0,[ 0.],92.64,10000,926400.0,3
RI,20180102,0,[ 0.],2731.0,20,54620.0,54
TF,20180102,0,[ 0.],96.26,10000,962600.0,3
PP,20180102,0,[ 0.],9493.0,5,47465.0,64
M,20180102,0,[ 0.],2765.0,10,27650.0,108
SR,20180102,0,[ 0.],5897.0,10,58970.0,50
CU,20180102,0,[ 0.],54960.0,5,274800.0,10
SM,20180102,1,[ 1.],7256.0,5,36280.0,82
WH,20180102,1,[ 1.],2598.0,20,51960.0,58
IF,20180102,1,[ 1.],4104.0,300,1231200.0,2
A,20180102,1,[ 1.],3639.0,10,36390.0,82
V,20180102,1,[ 1.],6780.0,5,33900.0,90
Y,20180102,1,[ 1.],5780.0,10,57800.0,52
L,20180102,1,[ 1.],9955.0,5,49775.0,61
ZC,20180102,1,[ 1.],612.8,100,61279.99999999999,49
FB,20180102,1,[ 1.],109.8,500,54900.0,56
I,20180102,1,[ 1.],543.5,100,54350.0,56
MA,20180102,1,[ 1.],2923.0,10,29230.0,105
J,20180102,1,[ 1.],2014.5,100,201450.0,15
JM,20180102,1,[ 1.],1338.0,60,80280.0,38
JM,20180102,1,[ 1.],1338.0,60,80280.0,38
