category,combination,rate,trend
SM,"(0,)",0.947368421,1
WH,"(3,)",0.941176471,1
IF,"(0,)",0.930232558,1
A,"(0, 1, 4, 5)",0.924528302,1
V,"(0,)",0.909090909,1
Y,"(0,)",0.9,1
RM,"(0, 3)",0.894736842,1
L,"(0, 1, 4)",0.890909091,1
ZC,"(0,)",0.888888889,1
FB,"(0, 3)",0.884615385,1
I,"(0,)",0.875,1
MA,"(0, 3)",0.861111111,1
J,"(0,)",0.837837838,1
FG,"(0, 1)",0.814814815,1
SF,"(0,)",0.8125,1
JM,"(0, 1)",0.791666667,1
RS,"(0, 1, 2)",0.785714286,1
FG,"(0, 1)",0.814814815,1
SF,"(0,)",0.8125,1
JM,"(0, 1)",0.791666667,1
RS,"(0, 1, 2)",0.785714286,1
