category,combination,rate,trend
RI,"(1,)",1.0,0
JM,"(3,)",1.0,0
J,"(3,)",1.0,0
I,"(1,)",1.0,0
FB,"(1,)",1.0,0
BB,"(1,)",1.0,0
ZC,"(3,)",1.0,0
SF,"(1,)",1.0,0
RS,"(1,)",1.0,0
PM,"(1,)",1.0,0
MA,"(3,)",1.0,0
LR,"(0,)",1.0,0
JR,"(0,)",1.0,0
FG,"(4,)",1.0,0
Y,"(3,)",1.0,0
T,"(3,)",1.0,0
IF,"(1,)",1.0,0
PB,"(1,)",1.0,0
ZN,"(1,)",1.0,0
HC,"(1,)",1.0,0
AG,"(1,)",1.0,1
SN,"(1,)",1.0,1
C,"(1,)",1.0,1
CF,"(3,)",1.0,1
SR,"(5,)",1.0,1
IC,"(3,)",1.0,1
OI,"(3,)",1.0,1
M,"(4,)",1.0,1
RU,"(1,)",1.0,1
RB,"(1,)",1.0,1
AL,"(1,)",1.0,1
NI,"(1,)",1.0,1
TA,"(3,)",1.0,1
CU,"(1,)",1.0,1
BU,"(1,)",1.0,1
AU,"(1,)",1.0,1
B,"(1,)",1.0,1
TF,"(0, 7)",0.968553459119,1
SM,"(0,)",0.947368421053,1
WH,"(3,)",0.941176470588,1
