前收盘,前结算价,合约,均价,市场最近交易日,开盘价,成交笔数,成交量,成交额,持仓量,持仓量变化,振幅(收盘价),收盘价,日期,最低价,最近交易日期,最高价,涨跌(收盘价),涨跌(结算价),涨跌幅(收盘价),涨跌幅(结算价),结算价
3626.0,3623.0,A.DCE,3635.380846,2018/1/2,3583.0,0,92242.0,3353348000.0,233118.0,5744.0,2.344180916,3639.0,20180102,3583.0,2018/1/2,3668.0,16.0,12.0,0.441622964,0.331217223,3635.0
3639.0,3635.0,A.DCE,3652.225652,2018/1/3,3639.0,0,134428.0,4909613900.0,233774.0,656.0,1.209123386,3659.0,20180103,3631.0,2018/1/3,3675.0,24.0,17.0,0.660247593,0.467675378,3652.0
3659.0,3652.0,A.DCE,3656.589518,2018/1/4,3666.0,0,89870.0,3286177000.0,237044.0,3270.0,0.765236403,3669.0,20180104,3642.0,2018/1/4,3670.0,17.0,4.0,0.465498357,0.109529025,3656.0
3669.0,3656.0,A.DCE,3676.728556,2018/1/5,3670.0,0,167556.0,6160579300.0,235366.0,-1678.0,1.144726083,3672.0,20180105,3658.0,2018/1/5,3700.0,16.0,20.0,0.437636761,0.547045952,3676.0
3672.0,3676.0,A.DCE,3673.180886,2018/1/8,3677.0,0,94634.0,3476078000.0,233268.0,-2098.0,1.034858388,3688.0,20180108,3652.0,2018/1/8,3690.0,12.0,-3.0,0.326441785,-0.081610446,3673.0
3688.0,3673.0,A.DCE,3689.243761,2018/1/9,3693.0,0,129430.0,4774988200.0,235374.0,2106.0,0.949023861,3676.0,20180109,3672.0,2018/1/9,3707.0,3.0,16.0,0.081677103,0.435611217,3689.0
3676.0,3689.0,A.DCE,3683.042737,2018/1/10,3679.0,0,112550.0,4145264600.0,237484.0,2110.0,1.387377584,3696.0,20180110,3662.0,2018/1/10,3713.0,7.0,-6.0,0.189753321,-0.162645703,3683.0
3696.0,3683.0,A.DCE,3670.483857,2018/1/11,3695.0,0,94284.0,3460679000.0,236778.0,-706.0,1.136363636,3662.0,20180111,3656.0,2018/1/11,3698.0,-21.0,-13.0,-0.570187347,-0.35297312,3670.0
3662.0,3670.0,A.DCE,3650.591888,2018/1/12,3662.0,0,107892.0,3938696600.0,238806.0,2028.0,0.983069361,3644.0,20180112,3638.0,2018/1/12,3674.0,-26.0,-20.0,-0.708446866,-0.544959128,3650.0
3644.0,3650.0,A.DCE,3670.480592,2018/1/15,3648.0,0,123348.0,4527464400.0,235680.0,-3126.0,1.34467618,3673.0,20180115,3638.0,2018/1/15,3687.0,23.0,20.0,0.630136986,0.547945205,3670.0
