前收盘,前结算价,合约,均价,市场最近交易日,开盘价,成交笔数,成交量,成交额,持仓量,持仓量变化,振幅(收盘价),收盘价,日期,最低价,最近交易日期,最高价,涨跌(收盘价),涨跌(结算价),涨跌幅(收盘价),涨跌幅(结算价),结算价
3883.0,0.0,AG,602744.0,0,3885.0,17,3902.0,3900.0,5922.0,0.0,0.0,3891.0,20180102,3910.0,0,3899.0,15.0,0.0,137022.0,0.0,0.0
3902.0,0.0,AG,583810.0,0,3900.0,-3,3897.0,3911.0,-18934.0,0.0,0.0,3897.0,20180103,3928.0,0,3908.0,11.0,0.0,323606.0,0.0,0.0
3897.0,0.0,AG,595966.0,0,3911.0,-26,3885.0,3890.0,12156.0,0.0,0.0,3871.0,20180104,3915.0,0,3902.0,-21.0,0.0,379448.0,0.0,0.0
3885.0,0.0,AG,584178.0,0,3890.0,0,3890.0,3895.0,-11788.0,0.0,0.0,3875.0,20180105,3910.0,0,3889.0,5.0,0.0,330302.0,0.0,0.0
3890.0,0.0,AG,595602.0,0,3895.0,-4,3891.0,3896.0,11424.0,0.0,0.0,3881.0,20180108,3912.0,0,3888.0,1.0,0.0,348074.0,0.0,0.0
3891.0,0.0,AG,606676.0,0,3896.0,0,3896.0,3893.0,11074.0,0.0,0.0,3884.0,20180109,3901.0,0,3892.0,-3.0,0.0,234532.0,0.0,0.0
3896.0,0.0,AG,632452.0,0,3893.0,-20,3873.0,3879.0,25776.0,0.0,0.0,3868.0,20180110,3892.0,0,3891.0,-14.0,0.0,276074.0,0.0,0.0
3873.0,0.0,AG,636290.0,0,3879.0,6,3885.0,3887.0,3838.0,0.0,0.0,3876.0,20180111,3898.0,0,3895.0,8.0,0.0,250670.0,0.0,0.0
3885.0,0.0,AG,642510.0,0,3887.0,3,3890.0,3878.0,6220.0,0.0,0.0,3836.0,20180112,3893.0,0,3882.0,-9.0,0.0,415558.0,0.0,0.0
3890.0,0.0,AG,670164.0,0,3878.0,48,3926.0,3904.0,27654.0,0.0,0.0,3875.0,20180115,3939.0,0,3892.0,26.0,0.0,471104.0,0.0,0.0
3926.0,0.0,AG,660858.0,0,3904.0,3,3907.0,3918.0,-9306.0,0.0,0.0,3903.0,20180116,3928.0,0,3925.0,14.0,0.0,236234.0,0.0,0.0
3907.0,0.0,AG,638304.0,0,3918.0,-42,3876.0,3881.0,-22554.0,0.0,0.0,3869.0,20180117,3898.0,0,3889.0,-37.0,0.0,402960.0,0.0,0.0
3876.0,0.0,AG,650276.0,0,3881.0,-29,3852.0,3863.0,11972.0,0.0,0.0,3846.0,20180118,3884.0,0,3884.0,-18.0,0.0,327046.0,0.0,0.0
3852.0,0.0,AG,662324.0,0,3863.0,-29,3834.0,3844.0,12048.0,0.0,0.0,3831.0,20180119,3860.0,0,3850.0,-19.0,0.0,317398.0,0.0,0.0
3834.0,0.0,AG,668780.0,0,3844.0,-6,3838.0,3841.0,6456.0,0.0,0.0,3835.0,20180122,3848.0,0,3841.0,-3.0,0.0,207686.0,0.0,0.0
3838.0,0.0,AG,676724.0,0,3841.0,6,3847.0,3843.0,7944.0,0.0,0.0,3835.0,20180123,3853.0,0,3841.0,2.0,0.0,240510.0,0.0,0.0
3847.0,0.0,AG,696240.0,0,3843.0,-7,3836.0,3825.0,19516.0,0.0,0.0,3806.0,20180124,3844.0,0,3840.0,-18.0,0.0,437610.0,0.0,0.0
3836.0,0.0,AG,686058.0,0,3825.0,91,3916.0,3892.0,-10182.0,0.0,0.0,3861.0,20180125,3926.0,0,3863.0,67.0,0.0,621608.0,0.0,0.0
3916.0,0.0,AG,692052.0,0,3892.0,-3,3889.0,3894.0,5994.0,0.0,0.0,3870.0,20180126,3915.0,0,3899.0,2.0,0.0,419062.0,0.0,0.0
3889.0,0.0,AG,701688.0,0,3894.0,-19,3875.0,3881.0,9636.0,0.0,0.0,3873.0,20180129,3891.0,0,3878.0,-13.0,0.0,290138.0,0.0,0.0
3875.0,0.0,AG,718046.0,0,3881.0,-58,3823.0,3843.0,16358.0,0.0,0.0,3820.0,20180130,3866.0,0,3859.0,-38.0,0.0,373710.0,0.0,0.0
3823.0,0.0,AG,721492.0,0,3843.0,-11,3832.0,3834.0,3446.0,0.0,0.0,3821.0,20180131,3851.0,0,3843.0,-9.0,0.0,279930.0,0.0,0.0
3832.0,0.0,AG,721920.0,0,3834.0,-4,3830.0,3835.0,428.0,0.0,0.0,3827.0,20180201,3845.0,0,3837.0,1.0,0.0,235382.0,0.0,0.0
3830.0,0.0,AG,736950.0,0,3835.0,-11,3824.0,3823.0,15030.0,0.0,0.0,3813.0,20180202,3836.0,0,3830.0,-12.0,0.0,284856.0,0.0,0.0
3824.0,0.0,AG,777424.0,0,3823.0,-94,3729.0,3758.0,40474.0,0.0,0.0,3724.0,20180205,3825.0,0,3818.0,-65.0,0.0,735642.0,0.0,0.0
3729.0,0.0,AG,765472.0,0,3758.0,9,3767.0,3757.0,-11952.0,0.0,0.0,3725.0,20180206,3797.0,0,3739.0,-1.0,0.0,519518.0,0.0,0.0
3767.0,0.0,AG,799180.0,0,3757.0,-26,3731.0,3730.0,33708.0,0.0,0.0,3708.0,20180207,3744.0,0,3736.0,-27.0,0.0,425140.0,0.0,0.0
3731.0,0.0,AG,812318.0,0,3730.0,-56,3674.0,3675.0,13138.0,0.0,0.0,3651.0,20180208,3710.0,0,3702.0,-55.0,0.0,632088.0,0.0,0.0
3674.0,0.0,AG,796926.0,0,3675.0,12,3687.0,3694.0,-15392.0,0.0,0.0,3673.0,20180209,3717.0,0,3674.0,19.0,0.0,407840.0,0.0,0.0
3687.0,0.0,AG,798288.0,0,3694.0,-4,3690.0,3676.0,1362.0,0.0,0.0,3656.0,20180212,3697.0,0,3676.0,-18.0,0.0,476280.0,0.0,0.0
3690.0,0.0,AG,770352.0,0,3676.0,36,3712.0,3703.0,-27936.0,0.0,0.0,3681.0,20180213,3720.0,0,3687.0,27.0,0.0,299838.0,0.0,0.0
3712.0,0.0,AG,760906.0,0,3703.0,15,3718.0,3707.0,-9446.0,0.0,0.0,3686.0,20180214,3721.0,0,3711.0,4.0,0.0,303870.0,0.0,0.0
3718.0,0.0,AG,763644.0,0,3707.0,-32,3675.0,3677.0,2738.0,0.0,0.0,3663.0,20180222,3691.0,0,3690.0,-30.0,0.0,144846.0,0.0,0.0
3675.0,0.0,AG,793630.0,0,3677.0,19,3696.0,3697.0,29986.0,0.0,0.0,3680.0,20180223,3709.0,0,3683.0,20.0,0.0,311096.0,0.0,0.0
3696.0,0.0,AG,819066.0,0,3697.0,29,3726.0,3713.0,25436.0,0.0,0.0,3691.0,20180226,3738.0,0,3701.0,16.0,0.0,448470.0,0.0,0.0
3726.0,0.0,AG,848188.0,0,3713.0,6,3719.0,3721.0,29122.0,0.0,0.0,3709.0,20180227,3733.0,0,3721.0,8.0,0.0,362268.0,0.0,0.0
3719.0,0.0,AG,862616.0,0,3721.0,-37,3684.0,3689.0,14428.0,0.0,0.0,3670.0,20180228,3719.0,0,3718.0,-32.0,0.0,507648.0,0.0,0.0
3684.0,0.0,AG,875388.0,0,3689.0,-14,3675.0,3681.0,12772.0,0.0,0.0,3669.0,20180301,3697.0,0,3687.0,-8.0,0.0,320618.0,0.0,0.0
3675.0,0.0,AG,826342.0,0,3681.0,2,3683.0,3672.0,-49046.0,0.0,0.0,3650.0,20180302,3695.0,0,3660.0,-9.0,0.0,487640.0,0.0,0.0
3683.0,0.0,AG,817202.0,0,3672.0,25,3697.0,3695.0,-9140.0,0.0,0.0,3681.0,20180305,3709.0,0,3685.0,23.0,0.0,386100.0,0.0,0.0
3697.0,0.0,AG,837638.0,0,3695.0,-7,3688.0,3686.0,20436.0,0.0,0.0,3676.0,20180306,3697.0,0,3693.0,-9.0,0.0,292604.0,0.0,0.0
3688.0,0.0,AG,785042.0,0,3686.0,25,3711.0,3716.0,-52596.0,0.0,0.0,3699.0,20180307,3736.0,0,3707.0,30.0,0.0,522414.0,0.0,0.0
3711.0,0.0,AG,805520.0,0,3716.0,-12,3704.0,3697.0,20478.0,0.0,0.0,3683.0,20180308,3712.0,0,3709.0,-19.0,0.0,430620.0,0.0,0.0
3704.0,0.0,AG,789494.0,0,3697.0,-10,3687.0,3689.0,-16026.0,0.0,0.0,3673.0,20180309,3706.0,0,3694.0,-8.0,0.0,354944.0,0.0,0.0
3687.0,0.0,AG,773788.0,0,3689.0,-2,3687.0,3692.0,-15706.0,0.0,0.0,3663.0,20180312,3718.0,0,3682.0,3.0,0.0,550260.0,0.0,0.0
3687.0,0.0,AG,774862.0,0,3692.0,-11,3681.0,3683.0,1074.0,0.0,0.0,3678.0,20180313,3693.0,0,3682.0,-9.0,0.0,230396.0,0.0,0.0
3681.0,0.0,AG,765074.0,0,3683.0,10,3693.0,3692.0,-9788.0,0.0,0.0,3678.0,20180314,3706.0,0,3695.0,9.0,0.0,332324.0,0.0,0.0
3693.0,0.0,AG,772780.0,0,3692.0,-7,3685.0,3686.0,7706.0,0.0,0.0,3682.0,20180315,3693.0,0,3690.0,-6.0,0.0,222614.0,0.0,0.0
3685.0,0.0,AG,815020.0,0,3686.0,-18,3668.0,3669.0,42240.0,0.0,0.0,3657.0,20180316,3681.0,0,3676.0,-17.0,0.0,390238.0,0.0,0.0
3668.0,0.0,AG,846934.0,0,3669.0,-36,3633.0,3644.0,31914.0,0.0,0.0,3622.0,20180319,3674.0,0,3667.0,-25.0,0.0,536604.0,0.0,0.0
3633.0,0.0,AG,824786.0,0,3644.0,1,3645.0,3643.0,-22148.0,0.0,0.0,3633.0,20180320,3652.0,0,3633.0,-1.0,0.0,251720.0,0.0,0.0
3645.0,0.0,AG,837576.0,0,3643.0,-5,3638.0,3629.0,12790.0,0.0,0.0,3612.0,20180321,3640.0,0,3640.0,-14.0,0.0,320820.0,0.0,0.0
3638.0,0.0,AG,788142.0,0,3629.0,53,3682.0,3674.0,-49434.0,0.0,0.0,3638.0,20180322,3700.0,0,3640.0,45.0,0.0,602932.0,0.0,0.0
3682.0,0.0,AG,778276.0,0,3674.0,18,3692.0,3683.0,-9866.0,0.0,0.0,3666.0,20180323,3699.0,0,3680.0,9.0,0.0,474788.0,0.0,0.0
3692.0,0.0,AG,768850.0,0,3683.0,1,3684.0,3694.0,-9426.0,0.0,0.0,3681.0,20180326,3709.0,0,3697.0,11.0,0.0,329878.0,0.0,0.0
3684.0,0.0,AG,758606.0,0,3694.0,2,3696.0,3694.0,-10244.0,0.0,0.0,3682.0,20180327,3703.0,0,3688.0,0.0,0.0,303124.0,0.0,0.0
3696.0,0.0,AG,778716.0,0,3694.0,-38,3656.0,3668.0,20110.0,0.0,0.0,3648.0,20180328,3683.0,0,3678.0,-26.0,0.0,331622.0,0.0,0.0
3656.0,0.0,AG,805344.0,0,3668.0,-66,3602.0,3621.0,26628.0,0.0,0.0,3599.0,20180329,3650.0,0,3646.0,-47.0,0.0,509674.0,0.0,0.0
3602.0,0.0,AG,786994.0,0,3621.0,-3,3618.0,3613.0,-18350.0,0.0,0.0,3596.0,20180330,3625.0,0,3600.0,-8.0,0.0,243604.0,0.0,0.0
3618.0,0.0,AG,770888.0,0,3613.0,18,3631.0,3630.0,-16106.0,0.0,0.0,3614.0,20180402,3638.0,0,3618.0,17.0,0.0,192436.0,0.0,0.0
