前收盘,前结算价,合约,均价,市场最近交易日,开盘价,成交笔数,成交量,成交额,持仓量,持仓量变化,振幅(收盘价),收盘价,日期,最低价,最近交易日期,最高价,涨跌(收盘价),涨跌(结算价),涨跌幅(收盘价),涨跌幅(结算价),结算价
15225.0,0.0,AL,320394.0,0,15235.0,-60,15175.0,15260.0,9820.0,0.0,0.0,15110.0,20180102,15470.0,0,15340.0,25.0,0.0,162174.0,0.0,0.0
15175.0,0.0,AL,322438.0,0,15260.0,-95,15165.0,15180.0,2044.0,0.0,0.0,15135.0,20180103,15255.0,0,15190.0,-80.0,0.0,128422.0,0.0,0.0
15165.0,0.0,AL,328124.0,0,15180.0,-40,15140.0,15125.0,5686.0,0.0,0.0,15015.0,20180104,15245.0,0,15175.0,-55.0,0.0,178014.0,0.0,0.0
15140.0,0.0,AL,335404.0,0,15125.0,85,15210.0,15165.0,7280.0,0.0,0.0,15095.0,20180105,15230.0,0,15170.0,40.0,0.0,132854.0,0.0,0.0
15210.0,0.0,AL,326382.0,0,15165.0,-125,15040.0,15080.0,-9022.0,0.0,0.0,14925.0,20180108,15220.0,0,15150.0,-85.0,0.0,201984.0,0.0,0.0
15040.0,0.0,AL,334426.0,0,15080.0,-5,15075.0,15045.0,8044.0,0.0,0.0,15000.0,20180109,15130.0,0,15020.0,-35.0,0.0,154802.0,0.0,0.0
15075.0,0.0,AL,340496.0,0,15045.0,15,15060.0,15030.0,6070.0,0.0,0.0,14970.0,20180110,15100.0,0,15040.0,-15.0,0.0,174670.0,0.0,0.0
15060.0,0.0,AL,360746.0,0,15030.0,180,15210.0,15165.0,20250.0,0.0,0.0,15085.0,20180111,15260.0,0,15100.0,135.0,0.0,236926.0,0.0,0.0
15210.0,0.0,AL,346842.0,0,15165.0,-75,15090.0,15110.0,-13904.0,0.0,0.0,15020.0,20180112,15235.0,0,15215.0,-55.0,0.0,220870.0,0.0,0.0
15090.0,0.0,AL,352818.0,0,15110.0,20,15130.0,15190.0,5976.0,0.0,0.0,15110.0,20180115,15265.0,0,15125.0,80.0,0.0,240762.0,0.0,0.0
15130.0,0.0,AL,345144.0,0,15190.0,-445,14745.0,14895.0,-7674.0,0.0,0.0,14725.0,20180116,15145.0,0,15140.0,-295.0,0.0,382636.0,0.0,0.0
14745.0,0.0,AL,339448.0,0,14895.0,-265,14630.0,14635.0,-5696.0,0.0,0.0,14560.0,20180117,14735.0,0,14695.0,-260.0,0.0,252142.0,0.0,0.0
14630.0,0.0,AL,341062.0,0,14635.0,-15,14620.0,14620.0,1614.0,0.0,0.0,14505.0,20180118,14700.0,0,14635.0,-15.0,0.0,228818.0,0.0,0.0
14620.0,0.0,AL,339218.0,0,14620.0,145,14765.0,14730.0,-1844.0,0.0,0.0,14625.0,20180119,14835.0,0,14685.0,110.0,0.0,268758.0,0.0,0.0
14765.0,0.0,AL,334574.0,0,14730.0,-70,14660.0,14675.0,-4644.0,0.0,0.0,14610.0,20180122,14785.0,0,14760.0,-55.0,0.0,221918.0,0.0,0.0
14660.0,0.0,AL,333070.0,0,14675.0,-25,14650.0,14665.0,-1504.0,0.0,0.0,14595.0,20180123,14750.0,0,14705.0,-10.0,0.0,217202.0,0.0,0.0
14650.0,0.0,AL,322908.0,0,14665.0,-25,14640.0,14635.0,-10162.0,0.0,0.0,14530.0,20180124,14725.0,0,14560.0,-30.0,0.0,176038.0,0.0,0.0
14640.0,0.0,AL,314356.0,0,14635.0,155,14790.0,14735.0,-8552.0,0.0,0.0,14585.0,20180125,14855.0,0,14660.0,100.0,0.0,280592.0,0.0,0.0
14790.0,0.0,AL,316304.0,0,14735.0,-110,14625.0,14700.0,1948.0,0.0,0.0,14610.0,20180126,14820.0,0,14760.0,-35.0,0.0,246972.0,0.0,0.0
14625.0,0.0,AL,303330.0,0,14700.0,-30,14670.0,14690.0,-12974.0,0.0,0.0,14610.0,20180129,14770.0,0,14655.0,-10.0,0.0,218110.0,0.0,0.0
14670.0,0.0,AL,299862.0,0,14690.0,-220,14470.0,14555.0,-3468.0,0.0,0.0,14415.0,20180130,14730.0,0,14685.0,-135.0,0.0,295754.0,0.0,0.0
14470.0,0.0,AL,270498.0,0,14555.0,-115,14440.0,14490.0,-29364.0,0.0,0.0,14410.0,20180131,14600.0,0,14500.0,-65.0,0.0,272330.0,0.0,0.0
14440.0,0.0,AL,267360.0,0,14490.0,-155,14335.0,14370.0,-3138.0,0.0,0.0,14290.0,20180201,14500.0,0,14445.0,-120.0,0.0,225536.0,0.0,0.0
14335.0,0.0,AL,260134.0,0,14370.0,20,14390.0,14395.0,-7226.0,0.0,0.0,14310.0,20180202,14460.0,0,14340.0,25.0,0.0,182842.0,0.0,0.0
14475.0,0.0,AL,260244.0,0,14490.0,-85,14405.0,14445.0,6518.0,0.0,0.0,14355.0,20180205,14555.0,0,14465.0,-45.0,0.0,125632.0,0.0,0.0
14405.0,0.0,AL,280866.0,0,14445.0,-220,14225.0,14345.0,20622.0,0.0,0.0,14215.0,20180206,14485.0,0,14405.0,-100.0,0.0,155800.0,0.0,0.0
14225.0,0.0,AL,286186.0,0,14345.0,-55,14290.0,14255.0,5320.0,0.0,0.0,14180.0,20180207,14365.0,0,14230.0,-90.0,0.0,166420.0,0.0,0.0
14290.0,0.0,AL,292620.0,0,14255.0,35,14290.0,14335.0,6434.0,0.0,0.0,14260.0,20180208,14465.0,0,14295.0,80.0,0.0,213760.0,0.0,0.0
14290.0,0.0,AL,298118.0,0,14335.0,-65,14270.0,14290.0,5498.0,0.0,0.0,14240.0,20180209,14370.0,0,14335.0,-45.0,0.0,117460.0,0.0,0.0
14270.0,0.0,AL,299842.0,0,14290.0,115,14405.0,14285.0,1724.0,0.0,0.0,14105.0,20180212,14565.0,0,14215.0,-5.0,0.0,272912.0,0.0,0.0
14405.0,0.0,AL,291270.0,0,14285.0,95,14380.0,14385.0,-8572.0,0.0,0.0,14315.0,20180213,14495.0,0,14365.0,100.0,0.0,155522.0,0.0,0.0
14380.0,0.0,AL,286808.0,0,14385.0,-280,14105.0,14270.0,-4462.0,0.0,0.0,14075.0,20180214,14440.0,0,14370.0,-115.0,0.0,227750.0,0.0,0.0
14105.0,0.0,AL,298964.0,0,14270.0,-145,14125.0,14150.0,12156.0,0.0,0.0,14030.0,20180222,14280.0,0,14275.0,-120.0,0.0,131508.0,0.0,0.0
14125.0,0.0,AL,292158.0,0,14150.0,215,14365.0,14280.0,-6806.0,0.0,0.0,14130.0,20180223,14390.0,0,14140.0,130.0,0.0,253138.0,0.0,0.0
14365.0,0.0,AL,277328.0,0,14280.0,15,14295.0,14290.0,-14830.0,0.0,0.0,14195.0,20180226,14375.0,0,14305.0,10.0,0.0,311842.0,0.0,0.0
14295.0,0.0,AL,280028.0,0,14290.0,-5,14285.0,14245.0,2700.0,0.0,0.0,14160.0,20180227,14320.0,0,14315.0,-45.0,0.0,268224.0,0.0,0.0
14370.0,0.0,AL,289812.0,0,14325.0,90,14415.0,14365.0,17220.0,0.0,0.0,14280.0,20180228,14440.0,0,14370.0,40.0,0.0,151564.0,0.0,0.0
14415.0,0.0,AL,302728.0,0,14365.0,95,14460.0,14440.0,12916.0,0.0,0.0,14365.0,20180301,14500.0,0,14365.0,75.0,0.0,147718.0,0.0,0.0
14460.0,0.0,AL,313556.0,0,14440.0,-15,14425.0,14470.0,10828.0,0.0,0.0,14355.0,20180302,14560.0,0,14450.0,30.0,0.0,203456.0,0.0,0.0
14425.0,0.0,AL,322718.0,0,14470.0,-175,14295.0,14350.0,9162.0,0.0,0.0,14270.0,20180305,14465.0,0,14450.0,-120.0,0.0,198008.0,0.0,0.0
14295.0,0.0,AL,330344.0,0,14350.0,90,14440.0,14385.0,7626.0,0.0,0.0,14290.0,20180306,14515.0,0,14300.0,35.0,0.0,289496.0,0.0,0.0
14440.0,0.0,AL,344758.0,0,14385.0,-125,14260.0,14350.0,14414.0,0.0,0.0,14220.0,20180307,14470.0,0,14430.0,-35.0,0.0,273082.0,0.0,0.0
14260.0,0.0,AL,350552.0,0,14350.0,-120,14230.0,14220.0,5794.0,0.0,0.0,14130.0,20180308,14305.0,0,14250.0,-130.0,0.0,272192.0,0.0,0.0
14230.0,0.0,AL,352570.0,0,14220.0,-145,14075.0,14205.0,2018.0,0.0,0.0,14020.0,20180309,14300.0,0,14245.0,-15.0,0.0,300048.0,0.0,0.0
14075.0,0.0,AL,373102.0,0,14205.0,-140,14065.0,14125.0,20532.0,0.0,0.0,14035.0,20180312,14275.0,0,14115.0,-80.0,0.0,319510.0,0.0,0.0
14065.0,0.0,AL,405582.0,0,14125.0,-265,13860.0,13940.0,32480.0,0.0,0.0,13820.0,20180313,14110.0,0,14075.0,-185.0,0.0,406170.0,0.0,0.0
13860.0,0.0,AL,377468.0,0,13940.0,20,13960.0,13925.0,-28114.0,0.0,0.0,13860.0,20180314,13985.0,0,13910.0,-15.0,0.0,259884.0,0.0,0.0
13960.0,0.0,AL,361556.0,0,13925.0,70,13995.0,13975.0,-15912.0,0.0,0.0,13870.0,20180315,14040.0,0,13985.0,50.0,0.0,231630.0,0.0,0.0
13995.0,0.0,AL,351672.0,0,13975.0,20,13995.0,13960.0,-9884.0,0.0,0.0,13915.0,20180316,14050.0,0,13970.0,-15.0,0.0,202046.0,0.0,0.0
13995.0,0.0,AL,349560.0,0,13960.0,0,13960.0,14000.0,-2112.0,0.0,0.0,13910.0,20180319,14130.0,0,14000.0,40.0,0.0,223990.0,0.0,0.0
13960.0,0.0,AL,347634.0,0,14000.0,-10,13990.0,13995.0,-1926.0,0.0,0.0,13930.0,20180320,14050.0,0,13995.0,-5.0,0.0,207628.0,0.0,0.0
13990.0,0.0,AL,352532.0,0,13995.0,-60,13935.0,13920.0,4898.0,0.0,0.0,13855.0,20180321,14030.0,0,14030.0,-75.0,0.0,244258.0,0.0,0.0
13935.0,0.0,AL,339604.0,0,13920.0,50,13970.0,13930.0,-12928.0,0.0,0.0,13850.0,20180322,14010.0,0,13935.0,10.0,0.0,225712.0,0.0,0.0
13970.0,0.0,AL,329000.0,0,13930.0,-165,13765.0,13790.0,-10604.0,0.0,0.0,13640.0,20180323,13965.0,0,13940.0,-140.0,0.0,386966.0,0.0,0.0
13765.0,0.0,AL,321348.0,0,13790.0,-75,13715.0,13725.0,-7652.0,0.0,0.0,13660.0,20180326,13790.0,0,13785.0,-65.0,0.0,209934.0,0.0,0.0
13715.0,0.0,AL,305916.0,0,13725.0,100,13825.0,13800.0,-15432.0,0.0,0.0,13665.0,20180327,13890.0,0,13720.0,75.0,0.0,239416.0,0.0,0.0
13825.0,0.0,AL,305304.0,0,13800.0,-60,13740.0,13790.0,-612.0,0.0,0.0,13730.0,20180328,13865.0,0,13800.0,-10.0,0.0,173258.0,0.0,0.0
13740.0,0.0,AL,322712.0,0,13790.0,30,13820.0,13795.0,17408.0,0.0,0.0,13675.0,20180329,13925.0,0,13730.0,5.0,0.0,388314.0,0.0,0.0
13820.0,0.0,AL,315660.0,0,13795.0,-25,13770.0,13730.0,-7052.0,0.0,0.0,13630.0,20180330,13830.0,0,13785.0,-65.0,0.0,289794.0,0.0,0.0
13770.0,0.0,AL,292588.0,0,13730.0,260,13990.0,13860.0,-23072.0,0.0,0.0,13705.0,20180402,13995.0,0,13765.0,130.0,0.0,311646.0,0.0,0.0
