前收盘,前结算价,合约,均价,市场最近交易日,开盘价,成交笔数,成交量,成交额,持仓量,持仓量变化,振幅(收盘价),收盘价,日期,最低价,最近交易日期,最高价,涨跌(收盘价),涨跌(结算价),涨跌幅(收盘价),涨跌幅(结算价),结算价
8088.0,8095.0,AP.CZC,8097.716425,2018/1/2,8088.0,0,16426.0,1330130900.0,12360.0,-1394.0,0.247279921,8101.0,20180102,8086.0,2018/1/2,8106.0,6.0,3.0,0.074119827,0.037059914,8098.0
8101.0,8098.0,AP.CZC,8100.051106,2018/1/3,8103.0,0,20154.0,1632484300.0,11852.0,-508.0,0.419701271,8094.0,20180103,8088.0,2018/1/3,8122.0,-4.0,2.0,-0.049394912,0.024697456,8100.0
8094.0,8100.0,AP.CZC,8093.865602,2018/1/4,8098.0,0,16652.0,1347790500.0,11252.0,-600.0,0.469483568,8092.0,20180104,8076.0,2018/1/4,8114.0,-8.0,-6.0,-0.098765432,-0.074074074,8094.0
8092.0,8094.0,AP.CZC,8096.648144,2018/1/5,8098.0,0,9538.0,772258300.0,10090.0,-1162.0,0.358378646,8099.0,20180105,8082.0,2018/1/5,8111.0,5.0,3.0,0.061774154,0.037064492,8097.0
8099.0,8097.0,AP.CZC,8087.414887,2018/1/8,8103.0,0,6932.0,560619600.0,9794.0,-296.0,0.283985677,8084.0,20180108,8080.0,2018/1/8,8103.0,-13.0,-10.0,-0.160553291,-0.123502532,8087.0
8084.0,8087.0,AP.CZC,7987.903779,2018/1/9,8086.0,0,71128.0,5681636200.0,15934.0,6140.0,1.942107867,7966.0,20180109,7933.0,2018/1/9,8090.0,-121.0,-99.0,-1.496228515,-1.224186967,7988.0
7966.0,7988.0,AP.CZC,7957.626524,2018/1/10,7956.0,0,30192.0,2402566600.0,16004.0,70.0,0.590007532,7938.0,20180110,7933.0,2018/1/10,7980.0,-50.0,-30.0,-0.625938908,-0.375563345,7958.0
7938.0,7958.0,AP.CZC,7897.613321,2018/1/11,7931.0,0,43240.0,3414928000.0,20238.0,4234.0,1.247165533,7865.0,20180111,7854.0,2018/1/11,7953.0,-93.0,-60.0,-1.168635336,-0.753958281,7898.0
7865.0,7898.0,AP.CZC,7817.359209,2018/1/12,7821.0,0,38852.0,3037200400.0,24070.0,3832.0,0.90273363,7787.0,20180112,7784.0,2018/1/12,7855.0,-111.0,-81.0,-1.405419093,-1.025576095,7817.0
7787.0,7817.0,AP.CZC,7776.474545,2018/1/15,7763.0,0,26164.0,2034636800.0,25024.0,954.0,0.475150893,7777.0,20180115,7758.0,2018/1/15,7795.0,-40.0,-41.0,-0.511705258,-0.524497889,7776.0
7777.0,7776.0,AP.CZC,7770.545491,2018/1/16,7764.0,0,44712.0,3474366300.0,28730.0,3706.0,1.337276585,7723.0,20180116,7711.0,2018/1/16,7815.0,-53.0,-5.0,-0.681584362,-0.064300412,7771.0
7723.0,7771.0,AP.CZC,7689.37327,2018/1/17,7736.0,0,88156.0,6778643900.0,31314.0,2584.0,1.113556908,7670.0,20180117,7658.0,2018/1/17,7744.0,-101.0,-82.0,-1.299704028,-1.05520525,7689.0
7670.0,7689.0,AP.CZC,7686.961278,2018/1/18,7668.0,0,48086.0,3696352200.0,32514.0,1200.0,0.547588005,7671.0,20180118,7666.0,2018/1/18,7708.0,-18.0,-2.0,-0.234100663,-0.026011185,7687.0
7671.0,7687.0,AP.CZC,7672.602775,2018/1/19,7670.0,0,57942.0,4445659500.0,31622.0,-892.0,0.782166601,7657.0,20180119,7641.0,2018/1/19,7701.0,-30.0,-14.0,-0.390269286,-0.182125667,7673.0
7657.0,7673.0,AP.CZC,7685.906632,2018/1/22,7682.0,0,41406.0,3182426500.0,30488.0,-1134.0,0.535457751,7697.0,20180122,7667.0,2018/1/22,7708.0,24.0,13.0,0.312785091,0.169425257,7686.0
