前收盘,前结算价,合约,均价,市场最近交易日,开盘价,成交笔数,成交量,成交额,持仓量,持仓量变化,振幅(收盘价),收盘价,日期,最低价,最近交易日期,最高价,涨跌(收盘价),涨跌(结算价),涨跌幅(收盘价),涨跌幅(结算价),结算价
277.8,0.0,AU,255972.0,0,277.9,1.5,279.4,279.2,8372.0,0.0,0.0,278.95,20180102,279.9,0,279.55,1.3,0.0,54760.0,0.0,0.0
279.4,0.0,AU,269758.0,0,279.2,1.15,280.35,280.4,13786.0,0.0,0.0,279.45,20180103,281.45,0,279.8,1.2,0.0,120498.0,0.0,0.0
280.35,0.0,AU,268078.0,0,280.4,-1.4,279.0,279.3,-1680.0,0.0,0.0,278.35,20180104,280.5,0,280.25,-1.1,0.0,115606.0,0.0,0.0
279.0,0.0,AU,271418.0,0,279.3,0.55,279.85,279.7,3340.0,0.0,0.0,278.4,20180105,280.5,0,279.3,0.4,0.0,131968.0,0.0,0.0
279.85,0.0,AU,265332.0,0,279.7,0.5,280.2,279.95,-6086.0,0.0,0.0,279.05,20180108,280.8,0,279.55,0.25,0.0,122670.0,0.0,0.0
280.2,0.0,AU,269750.0,0,279.95,0.6,280.55,280.5,4418.0,0.0,0.0,280.0,20180109,281.0,0,280.35,0.55,0.0,97146.0,0.0,0.0
280.55,0.0,AU,275136.0,0,280.5,-0.55,279.95,280.15,5386.0,0.0,0.0,279.75,20180110,280.85,0,280.6,-0.35,0.0,100630.0,0.0,0.0
279.95,0.0,AU,277640.0,0,280.15,0.7,280.85,281.1,2504.0,0.0,0.0,280.5,20180111,281.85,0,281.7,0.95,0.0,107986.0,0.0,0.0
280.85,0.0,AU,281512.0,0,281.1,0.45,281.55,281.15,3872.0,0.0,0.0,280.55,20180112,281.8,0,280.95,0.05,0.0,107150.0,0.0,0.0
281.55,0.0,AU,281200.0,0,281.15,0.9,282.05,281.75,-312.0,0.0,0.0,280.05,20180115,282.6,0,281.7,0.6,0.0,154100.0,0.0,0.0
282.05,0.0,AU,278914.0,0,281.75,-0.1,281.65,281.9,-2286.0,0.0,0.0,281.5,20180116,282.35,0,282.25,0.15,0.0,73686.0,0.0,0.0
281.65,0.0,AU,277878.0,0,281.9,-1.1,280.8,281.1,-1036.0,0.0,0.0,280.55,20180117,281.9,0,281.05,-0.8,0.0,120036.0,0.0,0.0
280.8,0.0,AU,275960.0,0,281.1,-1.85,279.25,279.65,-1918.0,0.0,0.0,278.65,20180118,281.0,0,280.95,-1.45,0.0,120704.0,0.0,0.0
279.25,0.0,AU,275066.0,0,279.65,-1.3,278.35,278.65,-894.0,0.0,0.0,277.9,20180119,279.4,0,278.8,-1.0,0.0,123998.0,0.0,0.0
278.35,0.0,AU,274708.0,0,278.65,-0.15,278.5,278.85,-358.0,0.0,0.0,278.45,20180122,279.15,0,278.9,0.2,0.0,91784.0,0.0,0.0
278.5,0.0,AU,282894.0,0,278.85,0.55,279.4,279.1,8186.0,0.0,0.0,278.6,20180123,279.6,0,278.9,0.25,0.0,106384.0,0.0,0.0
279.4,0.0,AU,289142.0,0,279.1,1.6,280.7,279.8,6248.0,0.0,0.0,279.15,20180124,280.7,0,279.65,0.7,0.0,129994.0,0.0,0.0
280.7,0.0,AU,289750.0,0,279.8,1.95,281.75,281.4,608.0,0.0,0.0,280.75,20180125,282.1,0,281.25,1.6,0.0,147606.0,0.0,0.0
281.75,0.0,AU,289436.0,0,281.4,-1.45,279.95,280.2,-314.0,0.0,0.0,279.15,20180126,281.25,0,280.65,-1.2,0.0,160632.0,0.0,0.0
279.95,0.0,AU,295796.0,0,280.2,-1.5,278.7,279.25,6360.0,0.0,0.0,278.55,20180129,280.0,0,279.4,-0.95,0.0,116526.0,0.0,0.0
