前收盘,前结算价,合约,均价,市场最近交易日,开盘价,成交笔数,成交量,成交额,持仓量,持仓量变化,振幅(收盘价),收盘价,日期,最低价,最近交易日期,最高价,涨跌(收盘价),涨跌(结算价),涨跌幅(收盘价),涨跌幅(结算价),结算价
3266.0,3273.0,B.DCE,3276.690031,2018/1/2,3286.0,0,10272.0,336581600.0,9074.0,612.0,0.398040416,3273.0,20180102,3273.0,2018/1/2,3286.0,0.0,3.0,0.0,0.091659028,3276.0
3273.0,3276.0,B.DCE,3284.806739,2018/1/3,3266.0,0,14126.0,464011800.0,16640.0,7566.0,1.008249313,3267.0,20180103,3250.0,2018/1/3,3283.0,-9.0,8.0,-0.274725275,0.244200244,3284.0
3267.0,3284.0,B.DCE,3274.576412,2018/1/4,3257.0,0,20468.0,670240300.0,20446.0,3806.0,0.704009795,3268.0,20180104,3257.0,2018/1/4,3280.0,-16.0,-10.0,-0.487210719,-0.304506699,3274.0
3268.0,3274.0,B.DCE,3280.112548,2018/1/5,3274.0,0,16082.0,527507700.0,19654.0,-792.0,2.325581395,3273.0,20180105,3252.0,2018/1/5,3328.0,-1.0,6.0,-0.030543677,0.183262065,3280.0
3273.0,3280.0,B.DCE,3275.257901,2018/1/8,3280.0,0,12214.0,400040000.0,19204.0,-450.0,0.824931256,3268.0,20180108,3257.0,2018/1/8,3284.0,-12.0,-5.0,-0.365853659,-0.152439024,3275.0
3268.0,3275.0,B.DCE,3269.143353,2018/1/9,3278.0,0,20160.0,659059300.0,16842.0,-2362.0,0.856793146,3256.0,20180109,3251.0,2018/1/9,3279.0,-19.0,-6.0,-0.580152672,-0.183206107,3269.0
3256.0,3269.0,B.DCE,3253.026981,2018/1/10,3249.0,0,16604.0,540132600.0,15016.0,-1826.0,2.856265356,3185.0,20180110,3171.0,2018/1/10,3264.0,-84.0,-16.0,-2.569593148,-0.489446314,3253.0
3185.0,3253.0,B.DCE,3210.032826,2018/1/11,3204.0,0,30464.0,977904400.0,17976.0,2960.0,1.130298273,3213.0,20180111,3190.0,2018/1/11,3226.0,-40.0,-43.0,-1.229634184,-1.321856748,3210.0
3213.0,3210.0,B.DCE,3197.215879,2018/1/12,3222.0,0,26626.0,851290700.0,17076.0,-900.0,1.369436664,3190.0,20180112,3180.0,2018/1/12,3224.0,-20.0,-13.0,-0.62305296,-0.404984424,3197.0
3190.0,3197.0,B.DCE,3176.389647,2018/1/15,3187.0,0,23452.0,744926900.0,16548.0,-528.0,2.852664577,3177.0,20180115,3105.0,2018/1/15,3196.0,-20.0,-21.0,-0.625586487,-0.656865812,3176.0
3177.0,3176.0,B.DCE,3156.135546,2018/1/16,3181.0,0,15006.0,473609700.0,18630.0,2082.0,1.164620711,3152.0,20180116,3148.0,2018/1/16,3185.0,-24.0,-20.0,-0.755667506,-0.629722922,3156.0
3152.0,3156.0,B.DCE,3160.558931,2018/1/17,3149.0,0,22382.0,707396300.0,20836.0,2206.0,0.666243655,3159.0,20180117,3147.0,2018/1/17,3168.0,3.0,4.0,0.095057034,0.126742712,3160.0
3159.0,3160.0,B.DCE,3160.448003,2018/1/18,3157.0,0,35156.0,1111087100.0,21996.0,1160.0,2.184235518,3172.0,20180118,3146.0,2018/1/18,3215.0,12.0,0.0,0.379746835,0.0,3160.0
3172.0,3160.0,B.DCE,3172.001294,2018/1/19,3168.0,0,27812.0,882197000.0,18942.0,-3054.0,1.639344262,3189.0,20180119,3156.0,2018/1/19,3208.0,29.0,12.0,0.917721519,0.379746835,3172.0
3189.0,3172.0,B.DCE,3200.459715,2018/1/22,3176.0,0,18642.0,596629700.0,20224.0,1282.0,1.567889621,3210.0,20180122,3176.0,2018/1/22,3226.0,38.0,28.0,1.197982346,0.882723834,3200.0
3210.0,3200.0,B.DCE,3230.008181,2018/1/23,3226.0,0,14668.0,473777600.0,19062.0,-1162.0,2.990654206,3275.0,20180123,3207.0,2018/1/23,3303.0,75.0,30.0,2.34375,0.9375,3230.0
3275.0,3230.0,B.DCE,3254.352033,2018/1/24,3267.0,0,9198.0,299335300.0,17688.0,-1374.0,1.404580153,3276.0,20180124,3243.0,2018/1/24,3289.0,46.0,24.0,1.424148607,0.743034056,3254.0
