前收盘,前结算价,合约,均价,市场最近交易日,开盘价,成交笔数,成交量,成交额,持仓量,持仓量变化,振幅(收盘价),收盘价,日期,最低价,最近交易日期,最高价,涨跌(收盘价),涨跌(结算价),涨跌幅(收盘价),涨跌幅(结算价),结算价
129.1,129.0,BB.DCE,130.4692308,2018/1/2,130.15,0,26.0,1696100.0,6.0,4.0,1.975213013,131.3,20180102,128.75,2018/1/2,131.3,2.3,1.45,1.782945736,1.124031008,130.45
131.3,130.45,BB.DCE,130.2,2018/1/3,130.75,0,4.0,260400.0,4.0,-2.0,0.799695354,129.7,20180103,129.7,2018/1/3,130.75,-0.75,-0.25,-0.574932924,-0.191644308,130.2
129.7,130.2,BB.DCE,129.2,2018/1/4,129.2,0,2.0,129200.0,4.0,0.0,0.0,129.2,20180104,129.2,2018/1/4,129.2,-1.0,-1.0,-0.768049155,-0.768049155,129.2
129.2,129.2,BB.DCE,131.2666667,2018/1/5,130.9,0,6.0,393800.0,8.0,4.0,0.735294118,131.85,20180105,130.9,2018/1/5,131.85,2.65,2.05,2.051083591,1.586687307,131.25
131.85,131.25,BB.DCE,131.0,2018/1/8,131.0,0,2.0,131000.0,6.0,-2.0,0.0,131.0,20180108,131.0,2018/1/8,131.0,-0.25,-0.25,-0.19047619,-0.19047619,131.0
131.0,131.0,BB.DCE,131.0,2018/1/9,131.0,0,0.0,0.0,6.0,0.0,0.0,131.0,20180109,131.0,2018/1/8,131.0,0.0,0.0,0.0,0.0,131.0
131.0,131.0,BB.DCE,131.0,2018/1/10,131.0,0,0.0,0.0,6.0,0.0,0.0,131.15,20180110,131.0,2018/1/8,131.0,0.15,0.15,0.114503817,0.114503817,131.15
131.15,131.15,BB.DCE,131.0,2018/1/11,131.0,0,0.0,0.0,6.0,0.0,0.0,131.15,20180111,131.0,2018/1/8,131.0,0.0,0.0,0.0,0.0,131.15
131.15,131.15,BB.DCE,131.5,2018/1/12,131.5,0,4.0,263000.0,4.0,-2.0,0.0,131.5,20180112,131.5,2018/1/12,131.5,0.35,0.35,0.266869996,0.266869996,131.5
131.5,109.7,BB.DCE,131.5,2018/1/15,131.5,0,0.0,0.0,12.0,8.0,0.0,115.15,20180115,131.5,2018/1/12,131.5,5.45,5.45,4.968094804,4.968094804,115.15
115.15,115.15,BB.DCE,124.4,2018/1/16,124.35,0,2.0,124400.0,10.0,-2.0,0.0,124.35,20180116,124.35,2018/1/16,124.35,9.2,9.2,7.98957881,7.98957881,124.35
124.35,124.35,BB.DCE,125.6,2018/1/17,125.0,0,14.0,879200.0,8.0,-2.0,8.685162847,123.45,20180117,118.25,2018/1/17,129.05,-0.9,1.25,-0.723763571,1.005227181,125.6
123.45,125.6,BB.DCE,127.8,2018/1/18,126.95,0,48.0,3067200.0,6.0,-2.0,8.950992305,126.65,20180118,120.2,2018/1/18,131.25,1.05,2.15,0.835987261,1.711783439,127.75
126.65,127.75,BB.DCE,127.85,2018/1/19,126.8,0,8.0,511400.0,6.0,0.0,2.526648243,130.0,20180119,126.8,2018/1/19,130.0,2.25,0.1,1.761252446,0.078277886,127.85
130.0,127.85,BB.DCE,129.3,2018/1/22,129.0,0,12.0,775800.0,6.0,0.0,0.423076923,129.4,20180122,129.0,2018/1/22,129.55,1.55,1.45,1.212358232,1.134141572,129.3
129.4,129.3,BB.DCE,129.1333333,2018/1/23,129.2,0,6.0,387400.0,0.0,-6.0,0.077279753,129.1,20180123,129.1,2018/1/23,129.2,-0.2,-0.2,-0.154679041,-0.154679041,129.1
129.1,129.1,BB.DCE,129.1333333,2018/1/24,129.2,0,0.0,0.0,0.0,0.0,0.077279753,129.1,20180124,129.1,2018/1/23,129.2,0.0,0.0,0.0,0.0,129.1
129.1,129.1,BB.DCE,129.1333333,2018/1/25,129.2,0,0.0,0.0,0.0,0.0,0.077279753,129.1,20180125,129.1,2018/1/23,129.2,0.0,0.0,0.0,0.0,129.1
129.1,129.1,BB.DCE,129.0125,2018/1/26,122.65,0,16.0,1032100.0,0.0,0.0,9.217660728,129.5,20180126,122.65,2018/1/26,134.55,0.4,-0.1,0.309837335,-0.077459334,129.0
129.5,129.0,BB.DCE,125.9769231,2018/1/29,122.6,0,26.0,1637700.0,10.0,10.0,6.486486486,130.95,20180129,122.55,2018/1/29,130.95,1.95,-3.05,1.511627907,-2.364341085,125.95
130.95,125.95,BB.DCE,129.0571429,2018/1/30,131.6,0,14.0,903400.0,8.0,-2.0,4.925544101,127.05,20180130,125.3,2018/1/30,131.75,1.1,3.1,0.873362445,2.461294164,129.05
127.05,129.05,BB.DCE,129.4,2018/1/31,129.5,0,10.0,647000.0,2.0,-6.0,0.354191263,129.05,20180131,129.05,2018/1/31,129.5,0.0,0.35,0.0,0.271212708,129.4
129.05,129.4,BB.DCE,129.4,2018/2/1,129.5,0,0.0,0.0,2.0,0.0,0.354191263,129.4,20180201,129.05,2018/1/31,129.5,0.0,0.0,0.0,0.0,129.4
129.4,129.4,BB.DCE,128.8,2018/2/2,128.8,0,2.0,128800.0,2.0,0.0,0.0,128.8,20180202,128.8,2018/2/2,128.8,-0.6,-0.6,-0.463678516,-0.463678516,128.8
128.8,128.8,BB.DCE,130.2,2018/2/5,130.2,0,2.0,130200.0,2.0,0.0,0.0,130.2,20180205,130.2,2018/2/5,130.2,1.4,1.4,1.086956522,1.086956522,130.2
130.2,130.2,BB.DCE,129.8,2018/2/6,129.8,0,2.0,129800.0,0.0,-2.0,0.0,129.8,20180206,129.8,2018/2/6,129.8,-0.4,-0.4,-0.307219662,-0.307219662,129.8
129.8,129.8,BB.DCE,129.8,2018/2/7,129.8,0,0.0,0.0,0.0,0.0,0.0,129.8,20180207,129.8,2018/2/6,129.8,0.0,0.0,0.0,0.0,129.8
129.8,129.8,BB.DCE,136.2,2018/2/8,136.25,0,2.0,136200.0,2.0,2.0,0.0,136.25,20180208,136.25,2018/2/8,136.25,6.45,6.45,4.969183359,4.969183359,136.25
136.25,136.25,BB.DCE,133.3333333,2018/2/9,129.45,0,54.0,3600000.0,12.0,10.0,9.908256881,133.85,20180209,129.45,2018/2/9,142.95,-2.4,-2.95,-1.76146789,-2.165137615,133.3
133.85,133.3,BB.DCE,133.3333333,2018/2/12,129.45,0,0.0,0.0,12.0,0.0,9.908256881,133.5,20180212,129.45,2018/2/9,142.95,0.2,0.2,0.150037509,0.150037509,133.5
133.5,133.5,BB.DCE,133.3333333,2018/2/13,129.45,0,0.0,0.0,12.0,0.0,9.908256881,133.7,20180213,129.45,2018/2/9,142.95,0.2,0.2,0.149812734,0.149812734,133.7
133.7,133.7,BB.DCE,133.9,2018/2/14,133.9,0,4.0,267800.0,8.0,-4.0,0.037397158,133.85,20180214,133.85,2018/2/14,133.9,0.15,0.15,0.112191473,0.112191473,133.85
133.85,133.85,BB.DCE,133.9,2018/2/22,133.9,0,0.0,0.0,8.0,0.0,0.037397158,133.85,20180222,133.85,2018/2/14,133.9,0.0,0.0,0.0,0.0,133.85
