前收盘,前结算价,合约,均价,市场最近交易日,开盘价,成交笔数,成交量,成交额,持仓量,持仓量变化,振幅(收盘价),收盘价,日期,最低价,最近交易日期,最高价,涨跌(收盘价),涨跌(结算价),涨跌幅(收盘价),涨跌幅(结算价),结算价
2622.0,0.0,BU,383896.0,0,2620.0,62,2682.0,2656.0,44790.0,0.0,0.0,2618.0,20180102,2686.0,0,2626.0,36.0,0.0,440670.0,0.0,0.0
2682.0,0.0,BU,389628.0,0,2656.0,6,2662.0,2670.0,5732.0,0.0,0.0,2660.0,20180103,2684.0,0,2678.0,14.0,0.0,233234.0,0.0,0.0
2662.0,0.0,BU,403526.0,0,2670.0,26,2696.0,2676.0,13898.0,0.0,0.0,2646.0,20180104,2702.0,0,2666.0,6.0,0.0,369982.0,0.0,0.0
2696.0,0.0,BU,423280.0,0,2676.0,22,2698.0,2686.0,19754.0,0.0,0.0,2660.0,20180105,2712.0,0,2694.0,10.0,0.0,457546.0,0.0,0.0
2698.0,0.0,BU,434616.0,0,2686.0,4,2690.0,2692.0,11336.0,0.0,0.0,2676.0,20180108,2712.0,0,2690.0,6.0,0.0,333732.0,0.0,0.0
2690.0,0.0,BU,442126.0,0,2692.0,20,2712.0,2712.0,7510.0,0.0,0.0,2688.0,20180109,2730.0,0,2690.0,20.0,0.0,324530.0,0.0,0.0
2712.0,0.0,BU,461060.0,0,2712.0,46,2758.0,2732.0,18934.0,0.0,0.0,2700.0,20180110,2762.0,0,2718.0,20.0,0.0,473946.0,0.0,0.0
2758.0,0.0,BU,453842.0,0,2732.0,18,2750.0,2750.0,-7218.0,0.0,0.0,2740.0,20180111,2768.0,0,2768.0,18.0,0.0,212658.0,0.0,0.0
2750.0,0.0,BU,459436.0,0,2750.0,2,2752.0,2752.0,5594.0,0.0,0.0,2738.0,20180112,2766.0,0,2758.0,2.0,0.0,269802.0,0.0,0.0
2752.0,0.0,BU,506050.0,0,2752.0,56,2808.0,2782.0,46614.0,0.0,0.0,2736.0,20180115,2814.0,0,2746.0,30.0,0.0,401540.0,0.0,0.0
2808.0,0.0,BU,458366.0,0,2782.0,-16,2766.0,2784.0,-47684.0,0.0,0.0,2762.0,20180116,2808.0,0,2806.0,2.0,0.0,314638.0,0.0,0.0
2766.0,0.0,BU,454638.0,0,2784.0,-18,2766.0,2764.0,-3728.0,0.0,0.0,2744.0,20180117,2790.0,0,2762.0,-20.0,0.0,344972.0,0.0,0.0
2766.0,0.0,BU,457720.0,0,2764.0,0,2764.0,2766.0,3082.0,0.0,0.0,2750.0,20180118,2786.0,0,2760.0,2.0,0.0,293892.0,0.0,0.0
2764.0,0.0,BU,443232.0,0,2766.0,-20,2746.0,2742.0,-14488.0,0.0,0.0,2724.0,20180119,2772.0,0,2766.0,-24.0,0.0,471130.0,0.0,0.0
2746.0,0.0,BU,451564.0,0,2742.0,42,2784.0,2766.0,8332.0,0.0,0.0,2734.0,20180122,2794.0,0,2752.0,24.0,0.0,352890.0,0.0,0.0
2784.0,0.0,BU,429836.0,0,2766.0,4,2770.0,2776.0,-21728.0,0.0,0.0,2752.0,20180123,2798.0,0,2782.0,10.0,0.0,418600.0,0.0,0.0
2770.0,0.0,BU,554584.0,0,2776.0,86,2862.0,2818.0,124748.0,0.0,0.0,2764.0,20180124,2866.0,0,2764.0,42.0,0.0,841058.0,0.0,0.0
2862.0,0.0,BU,582606.0,0,2818.0,98,2916.0,2900.0,28022.0,0.0,0.0,2852.0,20180125,2946.0,0,2864.0,82.0,0.0,676508.0,0.0,0.0
2916.0,0.0,BU,599582.0,0,2900.0,14,2914.0,2910.0,16976.0,0.0,0.0,2888.0,20180126,2934.0,0,2916.0,10.0,0.0,462044.0,0.0,0.0
2914.0,0.0,BU,612880.0,0,2910.0,18,2928.0,2936.0,13298.0,0.0,0.0,2908.0,20180129,2962.0,0,2912.0,26.0,0.0,402072.0,0.0,0.0
2928.0,0.0,BU,571470.0,0,2936.0,-42,2894.0,2896.0,-41410.0,0.0,0.0,2872.0,20180130,2926.0,0,2916.0,-40.0,0.0,512788.0,0.0,0.0
2894.0,0.0,BU,570572.0,0,2896.0,2,2898.0,2882.0,-898.0,0.0,0.0,2864.0,20180131,2902.0,0,2890.0,-14.0,0.0,410402.0,0.0,0.0
2898.0,0.0,BU,568992.0,0,2882.0,-6,2876.0,2884.0,-1580.0,0.0,0.0,2862.0,20180201,2914.0,0,2898.0,2.0,0.0,529036.0,0.0,0.0
2876.0,0.0,BU,566498.0,0,2884.0,6,2890.0,2900.0,-2494.0,0.0,0.0,2874.0,20180202,2934.0,0,2884.0,16.0,0.0,516142.0,0.0,0.0
2890.0,0.0,BU,514632.0,0,2900.0,-36,2864.0,2854.0,-51866.0,0.0,0.0,2830.0,20180205,2886.0,0,2878.0,-46.0,0.0,608716.0,0.0,0.0
2864.0,0.0,BU,492848.0,0,2854.0,-46,2808.0,2824.0,-21784.0,0.0,0.0,2796.0,20180206,2874.0,0,2862.0,-30.0,0.0,553850.0,0.0,0.0
2808.0,0.0,BU,484854.0,0,2824.0,-10,2814.0,2816.0,-7994.0,0.0,0.0,2804.0,20180207,2832.0,0,2806.0,-8.0,0.0,273800.0,0.0,0.0
2814.0,0.0,BU,470102.0,0,2816.0,-50,2766.0,2784.0,-14752.0,0.0,0.0,2762.0,20180208,2824.0,0,2800.0,-32.0,0.0,434422.0,0.0,0.0
2766.0,0.0,BU,450106.0,0,2784.0,-42,2742.0,2760.0,-19996.0,0.0,0.0,2740.0,20180209,2788.0,0,2766.0,-24.0,0.0,327778.0,0.0,0.0
2742.0,0.0,BU,448028.0,0,2760.0,-54,2706.0,2722.0,-2078.0,0.0,0.0,2700.0,20180212,2750.0,0,2740.0,-38.0,0.0,354776.0,0.0,0.0
2706.0,0.0,BU,429990.0,0,2722.0,-24,2698.0,2698.0,-18038.0,0.0,0.0,2678.0,20180213,2720.0,0,2708.0,-24.0,0.0,263494.0,0.0,0.0
2698.0,0.0,BU,407970.0,0,2698.0,-14,2684.0,2692.0,-22020.0,0.0,0.0,2652.0,20180214,2724.0,0,2696.0,-6.0,0.0,306800.0,0.0,0.0
2684.0,0.0,BU,413674.0,0,2692.0,38,2730.0,2726.0,5704.0,0.0,0.0,2700.0,20180222,2740.0,0,2702.0,34.0,0.0,214510.0,0.0,0.0
2730.0,0.0,BU,428400.0,0,2726.0,52,2778.0,2764.0,14726.0,0.0,0.0,2732.0,20180223,2786.0,0,2734.0,38.0,0.0,331180.0,0.0,0.0
2778.0,0.0,BU,417402.0,0,2764.0,30,2794.0,2790.0,-10998.0,0.0,0.0,2766.0,20180226,2810.0,0,2776.0,26.0,0.0,316642.0,0.0,0.0
