前收盘,前结算价,合约,均价,市场最近交易日,开盘价,成交笔数,成交量,成交额,持仓量,持仓量变化,振幅(收盘价),收盘价,日期,最低价,最近交易日期,最高价,涨跌(收盘价),涨跌(结算价),涨跌幅(收盘价),涨跌幅(结算价),结算价
1816.0,1813.0,C.DCE,1827.706228,2018/1/2,1818.0,0,372670.0,6811312800.0,999692.0,17066.0,1.046255507,1829.0,20180102,1815.0,2018/1/2,1834.0,16.0,14.0,0.882515168,0.772200772,1827.0
1829.0,1827.0,C.DCE,1848.173066,2018/1/3,1837.0,0,540304.0,9985753000.0,1060642.0,60950.0,1.038819027,1853.0,20180103,1837.0,2018/1/3,1856.0,26.0,21.0,1.423097975,1.149425287,1848.0
1853.0,1848.0,C.DCE,1844.66231,2018/1/4,1852.0,0,348308.0,6425106400.0,1053578.0,-7064.0,0.809498111,1848.0,20180104,1838.0,2018/1/4,1853.0,0.0,-4.0,0.0,-0.216450216,1844.0
1848.0,1844.0,C.DCE,1855.011943,2018/1/5,1850.0,0,380146.0,7051753700.0,1087562.0,33984.0,0.703463203,1853.0,20180105,1848.0,2018/1/5,1861.0,9.0,11.0,0.488069414,0.596529284,1855.0
1853.0,1855.0,C.DCE,1837.921159,2018/1/8,1855.0,0,625132.0,11489433300.0,1116082.0,28520.0,1.672962763,1825.0,20180108,1824.0,2018/1/8,1855.0,-30.0,-18.0,-1.617250674,-0.970350404,1837.0
1825.0,1837.0,C.DCE,1821.060403,2018/1/9,1824.0,0,517492.0,9423841900.0,1022364.0,-93718.0,0.657534247,1826.0,20180109,1816.0,2018/1/9,1828.0,-11.0,-16.0,-0.598802395,-0.870985302,1821.0
1826.0,1821.0,C.DCE,1827.417384,2018/1/10,1824.0,0,285598.0,5219067500.0,1058884.0,36520.0,0.492880613,1829.0,20180110,1823.0,2018/1/10,1832.0,8.0,6.0,0.439319055,0.329489292,1827.0
1829.0,1827.0,C.DCE,1822.891001,2018/1/11,1828.0,0,341892.0,6232318500.0,1042052.0,-16832.0,0.984144341,1821.0,20180111,1816.0,2018/1/11,1834.0,-6.0,-5.0,-0.328407225,-0.273672687,1822.0
1821.0,1822.0,C.DCE,1820.771954,2018/1/12,1823.0,0,304176.0,5538351300.0,1044666.0,2614.0,0.713893465,1827.0,20180112,1814.0,2018/1/12,1827.0,5.0,-2.0,0.27442371,-0.109769484,1820.0
1827.0,1820.0,C.DCE,1832.329596,2018/1/15,1830.0,0,563630.0,10327559300.0,1102196.0,57530.0,1.149425287,1825.0,20180115,1823.0,2018/1/15,1844.0,5.0,12.0,0.274725275,0.659340659,1832.0
1825.0,1832.0,C.DCE,1823.124211,2018/1/16,1825.0,0,315094.0,5744555000.0,1052988.0,-49208.0,0.383561644,1822.0,20180116,1820.0,2018/1/16,1827.0,-10.0,-9.0,-0.545851528,-0.491266376,1823.0
1822.0,1823.0,C.DCE,1818.788674,2018/1/17,1822.0,0,304666.0,5541230700.0,1069274.0,16286.0,0.439077936,1816.0,20180117,1815.0,2018/1/17,1823.0,-7.0,-5.0,-0.383982447,-0.274273176,1818.0
1816.0,1818.0,C.DCE,1810.202787,2018/1/18,1818.0,0,440266.0,7969707400.0,1028266.0,-41008.0,0.881057269,1809.0,20180118,1803.0,2018/1/18,1819.0,-9.0,-8.0,-0.495049505,-0.440044004,1810.0
1809.0,1810.0,C.DCE,1803.970181,2018/1/19,1812.0,0,380970.0,6872585200.0,1006560.0,-21706.0,0.718629077,1801.0,20180119,1799.0,2018/1/19,1812.0,-9.0,-7.0,-0.497237569,-0.386740331,1803.0
1801.0,1803.0,C.DCE,1799.798843,2018/1/22,1802.0,0,365088.0,6570849600.0,979070.0,-27490.0,0.610771793,1797.0,20180122,1795.0,2018/1/22,1806.0,-6.0,-4.0,-0.332778702,-0.221852468,1799.0
1797.0,1799.0,C.DCE,1793.780373,2018/1/23,1797.0,0,458632.0,8226850800.0,982014.0,2944.0,1.057317752,1783.0,20180123,1783.0,2018/1/23,1802.0,-16.0,-6.0,-0.889382991,-0.333518621,1793.0
1783.0,1793.0,C.DCE,1788.553641,2018/1/24,1785.0,0,296994.0,5311897000.0,931226.0,-50788.0,0.448681997,1788.0,20180124,1785.0,2018/1/24,1793.0,-5.0,-5.0,-0.278862242,-0.278862242,1788.0
1788.0,1788.0,C.DCE,1791.435777,2018/1/25,1792.0,0,282718.0,5064711400.0,928188.0,-3038.0,0.615212528,1787.0,20180125,1786.0,2018/1/25,1797.0,-1.0,3.0,-0.055928412,0.167785235,1791.0
1787.0,1791.0,C.DCE,1791.249843,2018/1/26,1786.0,0,255016.0,4567973700.0,884660.0,-43528.0,0.671516508,1796.0,20180126,1785.0,2018/1/26,1797.0,5.0,0.0,0.279173646,0.0,1791.0
1796.0,1791.0,C.DCE,1795.643993,2018/1/29,1797.0,0,230608.0,4140898700.0,876402.0,-8258.0,0.389755011,1795.0,20180129,1792.0,2018/1/29,1799.0,4.0,4.0,0.223338917,0.223338917,1795.0
1795.0,1795.0,C.DCE,1793.467086,2018/1/30,1793.0,0,191622.0,3436677500.0,859114.0,-17288.0,0.501392758,1792.0,20180130,1790.0,2018/1/30,1799.0,-3.0,-2.0,-0.167130919,-0.111420613,1793.0
1792.0,1793.0,C.DCE,1791.158891,2018/1/31,1791.0,0,295636.0,5295310500.0,846334.0,-12780.0,0.669642857,1788.0,20180131,1785.0,2018/1/31,1797.0,-5.0,-2.0,-0.278862242,-0.111544897,1791.0
1788.0,1791.0,C.DCE,1798.900247,2018/2/1,1790.0,0,492456.0,8858792200.0,856802.0,10468.0,1.118568233,1805.0,20180201,1787.0,2018/2/1,1807.0,14.0,7.0,0.781686209,0.390843104,1798.0
1805.0,1798.0,C.DCE,1804.795065,2018/2/2,1806.0,0,270476.0,4881537500.0,817970.0,-38832.0,0.498614958,1804.0,20180202,1800.0,2018/2/2,1809.0,6.0,6.0,0.333704116,0.333704116,1804.0
1804.0,1804.0,C.DCE,1817.463924,2018/2/5,1810.0,0,434632.0,7899279800.0,882426.0,64456.0,0.831485588,1816.0,20180205,1809.0,2018/2/5,1824.0,12.0,13.0,0.66518847,0.720620843,1817.0
1816.0,1817.0,C.DCE,1813.053584,2018/2/6,1816.0,0,300948.0,5456348500.0,814194.0,-68232.0,0.605726872,1815.0,20180206,1808.0,2018/2/6,1819.0,-2.0,-4.0,-0.110071547,-0.220143093,1813.0
1815.0,1813.0,C.DCE,1822.775531,2018/2/7,1820.0,0,355150.0,6473587300.0,816130.0,1936.0,0.661157025,1825.0,20180207,1816.0,2018/2/7,1828.0,12.0,9.0,0.661886376,0.496414782,1822.0
1825.0,1822.0,C.DCE,1824.76364,2018/2/8,1825.0,0,247250.0,4511728100.0,778036.0,-38094.0,0.547945205,1826.0,20180208,1820.0,2018/2/8,1830.0,4.0,2.0,0.219538968,0.109769484,1824.0
1826.0,1824.0,C.DCE,1823.822595,2018/2/9,1828.0,0,367656.0,6705393200.0,808390.0,30354.0,0.821467689,1824.0,20180209,1817.0,2018/2/9,1832.0,0.0,-1.0,0.0,-0.054824561,1823.0
1824.0,1823.0,C.DCE,1819.964176,2018/2/12,1823.0,0,299522.0,5451193100.0,767514.0,-40876.0,0.657894737,1818.0,20180212,1814.0,2018/2/12,1826.0,-5.0,-4.0,-0.274273176,-0.219418541,1819.0
1818.0,1819.0,C.DCE,1805.80224,2018/2/13,1820.0,0,408506.0,7376810500.0,712290.0,-55224.0,1.265126513,1800.0,20180213,1797.0,2018/2/13,1820.0,-19.0,-14.0,-1.044529962,-0.769653656,1805.0
1800.0,1805.0,C.DCE,1802.552983,2018/2/14,1798.0,0,200064.0,3606259600.0,717432.0,5142.0,0.944444444,1812.0,20180214,1796.0,2018/2/14,1813.0,7.0,-3.0,0.387811634,-0.166204986,1802.0
1812.0,1802.0,C.DCE,1816.409153,2018/2/22,1815.0,0,246162.0,4471309100.0,734594.0,17162.0,0.717439294,1819.0,20180222,1809.0,2018/2/22,1822.0,17.0,14.0,0.943396226,0.776914539,1816.0
1819.0,1816.0,C.DCE,1813.362213,2018/2/23,1817.0,0,293750.0,5326751500.0,761608.0,27014.0,0.769653656,1813.0,20180223,1808.0,2018/2/23,1822.0,-3.0,-3.0,-0.165198238,-0.165198238,1813.0
1813.0,1813.0,C.DCE,1826.73719,2018/2/26,1819.0,0,574940.0,10502642800.0,862952.0,101344.0,1.213458356,1829.0,20180226,1815.0,2018/2/26,1837.0,16.0,13.0,0.882515168,0.717043574,1826.0
1829.0,1826.0,C.DCE,1827.470066,2018/2/27,1830.0,0,249386.0,4557454500.0,835338.0,-27614.0,0.382722799,1828.0,20180227,1824.0,2018/2/27,1831.0,2.0,1.0,0.109529025,0.054764513,1827.0
1828.0,1827.0,C.DCE,1828.43457,2018/2/28,1823.0,0,274142.0,5012507100.0,867672.0,32334.0,0.547045952,1830.0,20180228,1823.0,2018/2/28,1833.0,3.0,1.0,0.164203612,0.054734537,1828.0
1830.0,1828.0,C.DCE,1832.461278,2018/3/1,1836.0,0,394478.0,7228656600.0,842944.0,-24728.0,0.655737705,1828.0,20180301,1827.0,2018/3/1,1839.0,0.0,4.0,0.0,0.218818381,1832.0
1828.0,1832.0,C.DCE,1840.86924,2018/3/2,1831.0,0,598408.0,11015908800.0,899984.0,57040.0,1.47702407,1840.0,20180302,1827.0,2018/3/2,1854.0,8.0,8.0,0.436681223,0.436681223,1840.0
1840.0,1840.0,C.DCE,1863.525419,2018/3/5,1845.0,0,677752.0,12630080800.0,894298.0,-5686.0,1.739130435,1869.0,20180305,1841.0,2018/3/5,1873.0,29.0,23.0,1.576086957,1.25,1863.0
1869.0,1863.0,C.DCE,1877.136718,2018/3/6,1870.0,0,414430.0,7779417700.0,923466.0,29168.0,0.74906367,1877.0,20180306,1870.0,2018/3/6,1884.0,14.0,14.0,0.751476114,0.751476114,1877.0
1877.0,1877.0,C.DCE,1863.839753,2018/3/7,1879.0,0,454610.0,8473201900.0,875688.0,-47778.0,1.438465637,1857.0,20180307,1852.0,2018/3/7,1879.0,-20.0,-14.0,-1.065530101,-0.745871071,1863.0
1857.0,1863.0,C.DCE,1842.266361,2018/3/8,1853.0,0,535206.0,9859920100.0,825512.0,-50176.0,1.184706516,1844.0,20180308,1832.0,2018/3/8,1854.0,-19.0,-21.0,-1.01986044,-1.127214171,1842.0
1844.0,1842.0,C.DCE,1838.854667,2018/3/9,1848.0,0,314642.0,5785809100.0,802082.0,-23430.0,1.084598698,1832.0,20180309,1831.0,2018/3/9,1851.0,-10.0,-4.0,-0.542888165,-0.217155266,1838.0
1832.0,1838.0,C.DCE,1823.897608,2018/3/12,1830.0,0,314906.0,5743563000.0,745186.0,-56896.0,0.76419214,1820.0,20180312,1818.0,2018/3/12,1832.0,-18.0,-15.0,-0.979325354,-0.816104461,1823.0
1820.0,1823.0,C.DCE,1819.055301,2018/3/13,1821.0,0,228602.0,4158396800.0,722140.0,-23046.0,0.659340659,1823.0,20180313,1813.0,2018/3/13,1825.0,0.0,-4.0,0.0,-0.219418541,1819.0
1823.0,1819.0,C.DCE,1820.575615,2018/3/14,1821.0,0,179408.0,3266258300.0,681948.0,-40192.0,0.383982447,1818.0,20180314,1818.0,2018/3/14,1825.0,-1.0,1.0,-0.054975261,0.054975261,1820.0
1818.0,1768.0,C.DCE,1765.58767,2018/3/15,1764.0,0,151990.0,2683516700.0,743084.0,61136.0,0.385038504,1764.0,20180315,1762.0,2018/3/15,1769.0,-4.0,-3.0,-0.226244344,-0.169683258,1765.0
1764.0,1765.0,C.DCE,1768.939808,2018/3/16,1766.0,0,104698.0,1852044600.0,760240.0,17156.0,0.453514739,1770.0,20180316,1765.0,2018/3/16,1773.0,5.0,3.0,0.283286119,0.169971671,1768.0
1770.0,1768.0,C.DCE,1767.723865,2018/3/19,1771.0,0,126192.0,2230726100.0,763764.0,3524.0,0.677966102,1765.0,20180319,1762.0,2018/3/19,1774.0,-3.0,-1.0,-0.169683258,-0.056561086,1767.0
1765.0,1767.0,C.DCE,1759.937189,2018/3/20,1766.0,0,201078.0,3538846500.0,777814.0,14050.0,0.736543909,1760.0,20180320,1755.0,2018/3/20,1768.0,-7.0,-8.0,-0.396151669,-0.452744765,1759.0
1760.0,1759.0,C.DCE,1758.550891,2018/3/21,1760.0,0,101276.0,1780990000.0,797018.0,19204.0,0.397727273,1755.0,20180321,1755.0,2018/3/21,1762.0,-4.0,-1.0,-0.227401933,-0.056850483,1758.0
1755.0,1758.0,C.DCE,1749.409223,2018/3/22,1755.0,0,258930.0,4529745300.0,832814.0,35796.0,0.740740741,1745.0,20180322,1743.0,2018/3/22,1756.0,-13.0,-9.0,-0.739476678,-0.511945392,1749.0
1745.0,1749.0,C.DCE,1745.516566,2018/3/23,1744.0,0,299226.0,5223039400.0,853168.0,20354.0,0.916905444,1751.0,20180323,1739.0,2018/3/23,1755.0,2.0,-4.0,0.114351058,-0.228702115,1745.0
1751.0,1745.0,C.DCE,1754.547943,2018/3/26,1756.0,0,356924.0,6262402700.0,904004.0,50836.0,1.085094232,1759.0,20180326,1744.0,2018/3/26,1763.0,14.0,9.0,0.802292264,0.515759312,1754.0
1759.0,1754.0,C.DCE,1750.685723,2018/3/27,1759.0,0,233170.0,4082073900.0,915660.0,11656.0,1.023308698,1745.0,20180327,1741.0,2018/3/27,1759.0,-9.0,-4.0,-0.513112885,-0.228050171,1750.0
1745.0,1750.0,C.DCE,1745.780398,2018/3/28,1745.0,0,229114.0,3999827300.0,892542.0,-23118.0,0.630372493,1746.0,20180328,1740.0,2018/3/28,1751.0,-4.0,-5.0,-0.228571429,-0.285714286,1745.0
1746.0,1745.0,C.DCE,1744.281861,2018/3/29,1745.0,0,161278.0,2813142900.0,900530.0,7988.0,0.458190149,1743.0,20180329,1741.0,2018/3/29,1749.0,-2.0,-1.0,-0.114613181,-0.05730659,1744.0
1743.0,1744.0,C.DCE,1745.88671,2018/3/30,1748.0,0,245582.0,4287583500.0,931384.0,30854.0,0.516351119,1744.0,20180330,1741.0,2018/3/30,1750.0,0.0,1.0,0.0,0.05733945,1745.0
1744.0,1745.0,C.DCE,1746.284258,2018/4/2,1746.0,0,448150.0,7825972900.0,967770.0,36386.0,1.20412844,1750.0,20180402,1735.0,2018/4/2,1756.0,5.0,1.0,0.286532951,0.05730659,1746.0
1750.0,1746.0,C.DCE,1749.583884,2018/4/3,1749.0,0,242072.0,4235252700.0,966050.0,-1720.0,0.628571429,1745.0,20180403,1744.0,2018/4/3,1755.0,-1.0,3.0,-0.057273769,0.171821306,1749.0
1745.0,1749.0,C.DCE,1755.438432,2018/4/4,1746.0,0,357980.0,6284118500.0,1022054.0,56004.0,0.802292264,1760.0,20180404,1746.0,2018/4/4,1760.0,11.0,6.0,0.628930818,0.343053173,1755.0
1760.0,1755.0,C.DCE,1766.169488,2018/4/9,1764.0,0,585470.0,10340392500.0,1018564.0,-3490.0,1.363636364,1758.0,20180409,1755.0,2018/4/9,1779.0,3.0,11.0,0.170940171,0.626780627,1766.0
1758.0,1766.0,C.DCE,1751.93367,2018/4/10,1759.0,0,345002.0,6044206200.0,970826.0,-47738.0,0.682593857,1749.0,20180410,1748.0,2018/4/10,1760.0,-17.0,-15.0,-0.962627407,-0.849377123,1751.0
1749.0,1751.0,C.DCE,1751.382268,2018/4/11,1750.0,0,203904.0,3571138500.0,970540.0,-286.0,0.457404231,1751.0,20180411,1747.0,2018/4/11,1755.0,0.0,0.0,0.0,0.0,1751.0
1751.0,1751.0,C.DCE,1746.107771,2018/4/12,1747.0,0,305424.0,5333032200.0,926704.0,-43836.0,0.571102227,1744.0,20180412,1742.0,2018/4/12,1752.0,-7.0,-5.0,-0.399771559,-0.285551114,1746.0
1744.0,1746.0,C.DCE,1745.818747,2018/4/13,1744.0,0,219384.0,3830047000.0,938118.0,11414.0,0.573394495,1748.0,20180413,1741.0,2018/4/13,1751.0,2.0,-1.0,0.114547537,-0.057273769,1745.0
1748.0,1745.0,C.DCE,1743.020312,2018/4/16,1746.0,0,162960.0,2840425900.0,932152.0,-5966.0,0.343249428,1741.0,20180416,1741.0,2018/4/16,1747.0,-4.0,-2.0,-0.229226361,-0.114613181,1743.0
1741.0,1743.0,C.DCE,1738.434376,2018/4/17,1741.0,0,266290.0,4629276900.0,912510.0,-19642.0,0.459506031,1740.0,20180417,1735.0,2018/4/17,1743.0,-3.0,-5.0,-0.17211704,-0.286861733,1738.0
1740.0,1738.0,C.DCE,1739.963303,2018/4/18,1740.0,0,180122.0,3134056700.0,923042.0,10532.0,0.459770115,1738.0,20180418,1737.0,2018/4/18,1745.0,0.0,1.0,0.0,0.057537399,1739.0
1738.0,1739.0,C.DCE,1735.995896,2018/4/19,1738.0,0,218818.0,3798671500.0,921834.0,-1208.0,0.460299194,1737.0,20180419,1733.0,2018/4/19,1741.0,-2.0,-4.0,-0.115008626,-0.230017251,1735.0
1737.0,1735.0,C.DCE,1745.61184487,2018/04/20,1739.0,0,323448.0,5646146600.0,910846.0,-10988.0,0.748416810593,1742.0,20180420,1738.0,2018/04/20,1751.0,7.0,10.0,0.403458213256,0.576368876081,1745.0
1742.0,1745.0,C.DCE,1745.75637449,2018/04/23,1744.0,0,258060.0,4505098900.0,901960.0,-8886.0,0.631458094145,1741.0,20180423,1740.0,2018/04/23,1751.0,-4.0,0.0,-0.229226361032,0.0,1745.0
1741.0,1745.0,C.DCE,1741.37279878,2018/04/24,1742.0,0,170360.0,2966602700.0,890336.0,-11624.0,0.459506031017,1738.0,20180424,1738.0,2018/04/24,1746.0,-7.0,-4.0,-0.401146131805,-0.229226361032,1741.0
