前收盘,前结算价,合约,均价,市场最近交易日,开盘价,成交笔数,成交量,成交额,持仓量,持仓量变化,振幅(收盘价),收盘价,日期,最低价,最近交易日期,最高价,涨跌(收盘价),涨跌(结算价),涨跌幅(收盘价),涨跌幅(结算价),结算价
14945.0,14995.0,CF.CZC,15008.18373,2018/1/2,14910.0,0,69604.0,5223148100.0,287494.0,-4400.0,0.903312145,15040.0,20180102,14910.0,2018/1/2,15045.0,45.0,15.0,0.300100033,0.100033344,15010.0
15040.0,15010.0,CF.CZC,14980.12062,2018/1/3,15060.0,0,95006.0,7116006700.0,295694.0,8200.0,0.964095745,14960.0,20180103,14930.0,2018/1/3,15075.0,-50.0,-30.0,-0.333111259,-0.199866755,14980.0
14960.0,14980.0,CF.CZC,14984.13594,2018/1/4,14970.0,0,88420.0,6624486500.0,299046.0,3352.0,0.668449198,15010.0,20180104,14935.0,2018/1/4,15035.0,30.0,5.0,0.200267023,0.033377837,14985.0
15010.0,14985.0,CF.CZC,15088.25242,2018/1/5,15010.0,0,186280.0,14053198300.0,304818.0,5772.0,1.132578281,15170.0,20180105,15010.0,2018/1/5,15180.0,185.0,105.0,1.234567901,0.700700701,15090.0
15170.0,15090.0,CF.CZC,15145.71059,2018/1/8,15170.0,0,149242.0,11301880700.0,303366.0,-1452.0,0.659195781,15175.0,20180108,15090.0,2018/1/8,15190.0,85.0,55.0,0.563286945,0.364479788,15145.0
15175.0,15145.0,CF.CZC,15212.75555,2018/1/9,15180.0,0,134594.0,10237728100.0,311840.0,8474.0,0.626029654,15245.0,20180109,15155.0,2018/1/9,15250.0,100.0,70.0,0.660283922,0.462198745,15215.0
15245.0,15215.0,CF.CZC,15227.40857,2018/1/10,15255.0,0,98494.0,7499041900.0,306918.0,-4922.0,0.623155133,15250.0,20180110,15185.0,2018/1/10,15280.0,35.0,10.0,0.230036149,0.065724614,15225.0
15250.0,15225.0,CF.CZC,15259.80036,2018/1/11,15245.0,0,92968.0,7093365600.0,316552.0,9634.0,0.557377049,15285.0,20180111,15200.0,2018/1/11,15285.0,60.0,35.0,0.39408867,0.229885057,15260.0
15285.0,15260.0,CF.CZC,15405.10564,2018/1/12,15295.0,0,338790.0,26095478700.0,383668.0,67116.0,1.57016683,15450.0,20180112,15270.0,2018/1/12,15510.0,190.0,145.0,1.24508519,0.950196592,15405.0
15450.0,15405.0,CF.CZC,15316.97155,2018/1/15,15410.0,0,228480.0,17498108300.0,364014.0,-19654.0,1.553398058,15280.0,20180115,15215.0,2018/1/15,15455.0,-125.0,-90.0,-0.811424862,-0.584225901,15315.0
15280.0,15315.0,CF.CZC,15245.84885,2018/1/16,15265.0,0,105248.0,8022975500.0,355252.0,-8762.0,0.654450262,15230.0,20180116,15200.0,2018/1/16,15300.0,-85.0,-70.0,-0.555011427,-0.457068234,15245.0
15230.0,15245.0,CF.CZC,15206.35244,2018/1/17,15220.0,0,111214.0,8455796400.0,346846.0,-8406.0,1.050558109,15150.0,20180117,15135.0,2018/1/17,15295.0,-95.0,-40.0,-0.623155133,-0.262381109,15205.0
15150.0,15205.0,CF.CZC,15454.77015,2018/1/18,15185.0,0,447734.0,34598130300.0,432306.0,85460.0,2.607260726,15515.0,20180118,15165.0,2018/1/18,15560.0,310.0,250.0,2.038803025,1.644195988,15455.0
15515.0,15455.0,CF.CZC,15374.13595,2018/1/19,15500.0,0,283582.0,21799141100.0,385166.0,-47140.0,1.675797615,15290.0,20180119,15260.0,2018/1/19,15520.0,-165.0,-80.0,-1.067615658,-0.517631834,15375.0
15290.0,15375.0,CF.CZC,15452.95295,2018/1/22,15315.0,0,261528.0,20206899400.0,422166.0,37000.0,1.60235448,15520.0,20180122,15300.0,2018/1/22,15545.0,145.0,80.0,0.943089431,0.520325203,15455.0
15520.0,15455.0,CF.CZC,15551.21267,2018/1/23,15505.0,0,453990.0,35300475200.0,486210.0,64044.0,1.224226804,15570.0,20180123,15440.0,2018/1/23,15630.0,115.0,95.0,0.744095762,0.614687803,15550.0
15570.0,15550.0,CF.CZC,15545.91893,2018/1/24,15545.0,0,196576.0,15279772800.0,475176.0,-11034.0,0.802825947,15495.0,20180124,15485.0,2018/1/24,15610.0,-55.0,-5.0,-0.353697749,-0.032154341,15545.0
15495.0,15545.0,CF.CZC,15515.49013,2018/1/25,15470.0,0,158630.0,12306111000.0,469580.0,-5596.0,0.838980316,15515.0,20180125,15455.0,2018/1/25,15585.0,-30.0,-30.0,-0.192988099,-0.192988099,15515.0
15515.0,15515.0,CF.CZC,15531.68686,2018/1/26,15505.0,0,235834.0,18314499200.0,464058.0,-5522.0,1.417982597,15520.0,20180126,15415.0,2018/1/26,15635.0,5.0,15.0,0.032226877,0.096680632,15530.0
15520.0,15530.0,CF.CZC,15459.8642,2018/1/29,15520.0,0,162002.0,12522644600.0,454426.0,-9632.0,1.192010309,15400.0,20180129,15380.0,2018/1/29,15565.0,-130.0,-70.0,-0.837089504,-0.450740502,15460.0
15400.0,15460.0,CF.CZC,15299.88267,2018/1/30,15380.0,0,244430.0,18698751600.0,418222.0,-36204.0,1.103896104,15255.0,20180130,15235.0,2018/1/30,15405.0,-205.0,-160.0,-1.326002587,-1.034928849,15300.0
15255.0,15300.0,CF.CZC,15210.25466,2018/1/31,15260.0,0,213458.0,16233752700.0,384096.0,-34126.0,0.983284169,15195.0,20180131,15150.0,2018/1/31,15300.0,-105.0,-90.0,-0.68627451,-0.588235294,15210.0
15195.0,15210.0,CF.CZC,15193.70977,2018/2/1,15185.0,0,116638.0,8860819600.0,370106.0,-13990.0,0.62520566,15165.0,20180201,15150.0,2018/2/1,15245.0,-45.0,-15.0,-0.295857988,-0.098619329,15195.0
15165.0,15195.0,CF.CZC,15215.28129,2018/2/2,15195.0,0,106508.0,8102745900.0,360652.0,-9454.0,0.42861853,15195.0,20180202,15180.0,2018/2/2,15245.0,0.0,20.0,0.0,0.131622244,15215.0
15195.0,15215.0,CF.CZC,15118.6624,2018/2/5,15215.0,0,154934.0,11711974200.0,341906.0,-18746.0,1.052977953,15080.0,20180205,15060.0,2018/2/5,15220.0,-135.0,-95.0,-0.887282287,-0.624383832,15120.0
15080.0,15120.0,CF.CZC,15073.73068,2018/2/6,15075.0,0,89930.0,6777903000.0,332718.0,-9188.0,0.530503979,15050.0,20180206,15035.0,2018/2/6,15115.0,-70.0,-45.0,-0.462962963,-0.297619048,15075.0
15050.0,15075.0,CF.CZC,15069.25257,2018/2/7,15050.0,0,90978.0,6854852300.0,333914.0,1196.0,0.664451827,15055.0,20180207,15025.0,2018/2/7,15125.0,-20.0,-5.0,-0.132669983,-0.033167496,15070.0
15055.0,15070.0,CF.CZC,15005.30422,2018/2/8,15070.0,0,126488.0,9489954600.0,331874.0,-2040.0,0.996346729,14945.0,20180208,14930.0,2018/2/8,15080.0,-125.0,-65.0,-0.829462508,-0.431320504,15005.0
14945.0,15005.0,CF.CZC,14950.50475,2018/2/9,14965.0,0,113640.0,8494876800.0,330334.0,-1540.0,0.903312145,14880.0,20180209,14880.0,2018/2/9,15015.0,-125.0,-55.0,-0.833055648,-0.366544485,14950.0
14880.0,14950.0,CF.CZC,14890.82287,2018/2/12,14900.0,0,85068.0,6333662600.0,320066.0,-10268.0,0.672043011,14885.0,20180212,14840.0,2018/2/12,14940.0,-65.0,-60.0,-0.434782609,-0.401337793,14890.0
14885.0,14890.0,CF.CZC,14897.12506,2018/2/13,14920.0,0,62436.0,4650584500.0,319686.0,-380.0,0.503862949,14865.0,20180213,14860.0,2018/2/13,14935.0,-25.0,5.0,-0.167897918,0.033579584,14895.0
14865.0,14895.0,CF.CZC,14915.73019,2018/2/14,14880.0,0,84074.0,6270125500.0,308890.0,-10796.0,1.009081736,14900.0,20180214,14845.0,2018/2/14,14995.0,5.0,20.0,0.033568312,0.134273246,14915.0
14900.0,14915.0,CF.CZC,15006.48264,2018/2/22,15030.0,0,57674.0,4327419400.0,306896.0,-1994.0,0.738255034,14980.0,20180222,14955.0,2018/2/22,15065.0,65.0,90.0,0.435802883,0.603419376,15005.0
14980.0,15005.0,CF.CZC,15044.26238,2018/2/23,15000.0,0,91212.0,6861086300.0,309902.0,3006.0,0.700934579,15080.0,20180223,14985.0,2018/2/23,15090.0,75.0,40.0,0.499833389,0.266577807,15045.0
15080.0,15045.0,CF.CZC,15184.05488,2018/2/26,15090.0,0,140310.0,10652373700.0,289092.0,-20810.0,1.293103448,15245.0,20180226,15065.0,2018/2/26,15260.0,200.0,140.0,1.329345297,0.930541708,15185.0
15245.0,15185.0,CF.CZC,15197.14593,2018/2/27,15245.0,0,91904.0,6983392500.0,280668.0,-8424.0,0.623155133,15190.0,20180227,15160.0,2018/2/27,15255.0,5.0,10.0,0.032927231,0.065854462,15195.0
15190.0,15195.0,CF.CZC,15192.72842,2018/2/28,15195.0,0,76110.0,5781592800.0,275840.0,-4828.0,0.55957867,15195.0,20180228,15145.0,2018/2/28,15230.0,0.0,0.0,0.0,0.0,15195.0
15195.0,15195.0,CF.CZC,15236.60156,2018/3/1,15200.0,0,116012.0,8838143100.0,272844.0,-2996.0,0.493583416,15245.0,20180301,15195.0,2018/3/1,15270.0,50.0,40.0,0.32905561,0.263244488,15235.0
15245.0,15235.0,CF.CZC,15168.3009,2018/3/2,15220.0,0,137908.0,10459150200.0,272160.0,-684.0,1.180714989,15175.0,20180302,15090.0,2018/3/2,15270.0,-60.0,-65.0,-0.393829997,-0.426649163,15170.0
15175.0,15170.0,CF.CZC,15305.26109,2018/3/5,15180.0,0,205794.0,15748654500.0,269376.0,-2784.0,1.416803954,15360.0,20180305,15175.0,2018/3/5,15390.0,190.0,135.0,1.252471984,0.889914305,15305.0
15360.0,15305.0,CF.CZC,15401.42695,2018/3/6,15345.0,0,195746.0,15073838600.0,286042.0,16666.0,1.009114583,15425.0,20180306,15305.0,2018/3/6,15460.0,120.0,95.0,0.784057498,0.620712186,15400.0
15425.0,15400.0,CF.CZC,15310.36548,2018/3/7,15480.0,0,175714.0,13451227800.0,273472.0,-12570.0,2.495948136,15220.0,20180307,15100.0,2018/3/7,15485.0,-180.0,-90.0,-1.168831169,-0.584415584,15310.0
15220.0,15310.0,CF.CZC,15167.42396,2018/3/8,15210.0,0,148468.0,11259385500.0,258934.0,-14538.0,1.379763469,15125.0,20180308,15050.0,2018/3/8,15260.0,-185.0,-145.0,-1.208360549,-0.947093403,15165.0
15125.0,15165.0,CF.CZC,15214.28174,2018/3/9,15165.0,0,131400.0,9995783100.0,253354.0,-5580.0,0.694214876,15230.0,20180309,15150.0,2018/3/9,15255.0,65.0,50.0,0.42861853,0.329706561,15215.0
15230.0,15215.0,CF.CZC,15153.09526,2018/3/12,15220.0,0,145616.0,11032665600.0,250494.0,-2860.0,0.984898227,15085.0,20180312,15085.0,2018/3/12,15235.0,-130.0,-60.0,-0.85441998,-0.394347683,15155.0
15085.0,15155.0,CF.CZC,15041.59882,2018/3/13,15070.0,0,143606.0,10800319200.0,233380.0,-17114.0,0.762346702,15060.0,20180313,14980.0,2018/3/13,15095.0,-95.0,-115.0,-0.626855823,-0.75882547,15040.0
15060.0,15040.0,CF.CZC,15039.27787,2018/3/14,15080.0,0,107488.0,8082709500.0,232166.0,-1214.0,0.863213811,15000.0,20180314,14990.0,2018/3/14,15120.0,-40.0,0.0,-0.265957447,0.0,15040.0
15000.0,15040.0,CF.CZC,14995.31722,2018/3/15,15000.0,0,146588.0,10990667800.0,222460.0,-9706.0,0.9,15005.0,20180315,14930.0,2018/3/15,15065.0,-35.0,-45.0,-0.232712766,-0.299202128,14995.0
15005.0,14995.0,CF.CZC,14979.78305,2018/3/16,14980.0,0,78358.0,5868929200.0,221744.0,-716.0,0.599800067,14945.0,20180316,14930.0,2018/3/16,15020.0,-50.0,-15.0,-0.333444481,-0.100033344,14980.0
14945.0,14980.0,CF.CZC,14943.57415,2018/3/19,14975.0,0,104920.0,7839399000.0,221312.0,-432.0,0.535296086,14920.0,20180319,14910.0,2018/3/19,14990.0,-60.0,-35.0,-0.400534045,-0.23364486,14945.0
14920.0,14945.0,CF.CZC,14942.53604,2018/3/20,14925.0,0,106820.0,7980808500.0,214886.0,-6426.0,0.469168901,14920.0,20180320,14905.0,2018/3/20,14975.0,-25.0,0.0,-0.167280027,0.0,14945.0
14920.0,14945.0,CF.CZC,14995.03364,2018/3/21,14910.0,0,109678.0,8223126500.0,210216.0,-4670.0,0.938337802,15010.0,20180321,14905.0,2018/3/21,15045.0,65.0,50.0,0.43492807,0.334560054,14995.0
15010.0,14995.0,CF.CZC,15026.04969,2018/3/22,15015.0,0,104898.0,7881012800.0,207064.0,-3152.0,0.666222518,15050.0,20180322,14975.0,2018/3/22,15075.0,55.0,30.0,0.36678893,0.200066689,15025.0
15050.0,15025.0,CF.CZC,14935.62656,2018/3/23,15035.0,0,196564.0,14679032500.0,190864.0,-16200.0,1.362126246,14955.0,20180323,14850.0,2018/3/23,15055.0,-70.0,-90.0,-0.465890183,-0.599001664,14935.0
14955.0,15455.0,CF.CZC,15442.45207,2018/3/26,15495.0,0,127174.0,9819392000.0,225062.0,34198.0,0.969575393,15495.0,20180326,15360.0,2018/3/26,15505.0,40.0,-15.0,0.258815917,-0.097055969,15440.0
15495.0,15440.0,CF.CZC,15504.88667,2018/3/27,15485.0,0,104566.0,8106419900.0,227134.0,2072.0,0.742174895,15480.0,20180327,15435.0,2018/3/27,15550.0,40.0,65.0,0.259067358,0.420984456,15505.0
15480.0,15505.0,CF.CZC,15361.96365,2018/3/28,15475.0,0,283686.0,21789870100.0,256510.0,29376.0,1.970284238,15290.0,20180328,15215.0,2018/3/28,15520.0,-215.0,-145.0,-1.386649468,-0.935182199,15360.0
15290.0,15360.0,CF.CZC,15278.68271,2018/3/29,15285.0,0,127914.0,9771787100.0,265140.0,8630.0,0.752125572,15245.0,20180329,15220.0,2018/3/29,15335.0,-115.0,-80.0,-0.748697917,-0.520833333,15280.0
15245.0,15280.0,CF.CZC,15289.51122,2018/3/30,15285.0,0,122754.0,9384243300.0,261232.0,-3908.0,0.91833388,15315.0,20180330,15220.0,2018/3/30,15360.0,35.0,10.0,0.229057592,0.065445026,15290.0
15315.0,15290.0,CF.CZC,15312.47564,2018/4/2,15290.0,0,148204.0,11346850700.0,269470.0,8238.0,0.881488737,15270.0,20180402,15255.0,2018/4/2,15390.0,-20.0,20.0,-0.130804447,0.130804447,15310.0
15270.0,15310.0,CF.CZC,15263.21003,2018/4/3,15275.0,0,153394.0,11706424200.0,283292.0,13822.0,0.753110675,15260.0,20180403,15200.0,2018/4/3,15315.0,-50.0,-45.0,-0.326583932,-0.293925539,15265.0
15260.0,15265.0,CF.CZC,15202.11713,2018/4/4,15260.0,0,187962.0,14287101700.0,298144.0,14852.0,0.884665793,15240.0,20180404,15135.0,2018/4/4,15270.0,-25.0,-65.0,-0.163773338,-0.425810678,15200.0
