前收盘,前结算价,合约,均价,市场最近交易日,开盘价,成交笔数,成交量,成交额,持仓量,持仓量变化,振幅(收盘价),收盘价,日期,最低价,最近交易日期,最高价,涨跌(收盘价),涨跌(结算价),涨跌幅(收盘价),涨跌幅(结算价),结算价
2123.0,2122.0,CS.DCE,2139.399904,2018/1/2,2122.0,0,192486.0,4118045300.0,345944.0,23084.0,1.507300989,2139.0,20180102,2119.0,2018/1/2,2151.0,17.0,17.0,0.801131008,0.801131008,2139.0
2139.0,2139.0,CS.DCE,2160.20236,2018/1/3,2140.0,0,220548.0,4764283100.0,371530.0,25586.0,1.355773726,2163.0,20180103,2140.0,2018/1/3,2169.0,24.0,21.0,1.122019635,0.981767181,2160.0
2163.0,2160.0,CS.DCE,2148.355404,2018/1/4,2160.0,0,158580.0,3406862000.0,362488.0,-9042.0,1.017105871,2147.0,20180104,2141.0,2018/1/4,2163.0,-13.0,-12.0,-0.601851852,-0.555555556,2148.0
2147.0,2148.0,CS.DCE,2152.549482,2018/1/5,2149.0,0,110242.0,2373013600.0,351350.0,-11138.0,0.65207266,2149.0,20180105,2146.0,2018/1/5,2160.0,1.0,4.0,0.046554935,0.186219739,2152.0
2149.0,2152.0,CS.DCE,2133.010942,2018/1/8,2147.0,0,237982.0,5076182100.0,359636.0,8286.0,1.675197766,2116.0,20180108,2116.0,2018/1/8,2152.0,-36.0,-19.0,-1.672862454,-0.882899628,2133.0
2116.0,2133.0,CS.DCE,2113.965823,2018/1/9,2118.0,0,160224.0,3387080600.0,348626.0,-11010.0,0.708884688,2121.0,20180109,2107.0,2018/1/9,2122.0,-12.0,-20.0,-0.562587904,-0.937646507,2113.0
2121.0,2113.0,CS.DCE,2121.755506,2018/1/10,2123.0,0,128584.0,2728238100.0,346790.0,-1836.0,0.612918435,2124.0,20180110,2115.0,2018/1/10,2128.0,11.0,8.0,0.520586843,0.378608613,2121.0
2124.0,2121.0,CS.DCE,2120.336734,2018/1/11,2130.0,0,173668.0,3682346400.0,353724.0,6934.0,1.129943503,2112.0,20180111,2110.0,2018/1/11,2134.0,-9.0,-1.0,-0.424328147,-0.047147572,2120.0
2112.0,2120.0,CS.DCE,2117.516012,2018/1/12,2108.0,0,151450.0,3206978000.0,336084.0,-17640.0,1.041666667,2126.0,20180112,2106.0,2018/1/12,2128.0,6.0,-3.0,0.283018868,-0.141509434,2117.0
2126.0,2117.0,CS.DCE,2142.980376,2018/1/15,2130.0,0,260494.0,5582335300.0,351908.0,15824.0,1.411100659,2137.0,20180115,2125.0,2018/1/15,2155.0,20.0,25.0,0.944733113,1.180916391,2142.0
2137.0,2142.0,CS.DCE,2132.979763,2018/1/16,2139.0,0,145770.0,3109244600.0,330976.0,-20932.0,0.982686008,2136.0,20180116,2120.0,2018/1/16,2141.0,-6.0,-10.0,-0.280112045,-0.466853408,2132.0
2136.0,2132.0,CS.DCE,2123.760468,2018/1/17,2138.0,0,206110.0,4377282700.0,322618.0,-8358.0,1.217228464,2115.0,20180117,2112.0,2018/1/17,2138.0,-17.0,-9.0,-0.797373358,-0.422138837,2123.0
2115.0,2123.0,CS.DCE,2109.665817,2018/1/18,2116.0,0,197646.0,4169670100.0,314788.0,-7830.0,1.040189125,2114.0,20180118,2097.0,2018/1/18,2119.0,-9.0,-14.0,-0.423928403,-0.659444183,2109.0
2114.0,2109.0,CS.DCE,2105.297338,2018/1/19,2114.0,0,125110.0,2633937500.0,313744.0,-1044.0,0.898770104,2099.0,20180119,2097.0,2018/1/19,2116.0,-10.0,-4.0,-0.474158369,-0.189663348,2105.0
2099.0,2105.0,CS.DCE,2094.555173,2018/1/22,2104.0,0,147428.0,3087960800.0,311906.0,-1838.0,0.762267747,2093.0,20180122,2088.0,2018/1/22,2104.0,-12.0,-11.0,-0.570071259,-0.522565321,2094.0
2093.0,2094.0,CS.DCE,2091.351806,2018/1/23,2090.0,0,121260.0,2535973200.0,314432.0,2526.0,0.955566173,2080.0,20180123,2080.0,2018/1/23,2100.0,-14.0,-3.0,-0.668576886,-0.143266476,2091.0
2080.0,2091.0,CS.DCE,2085.86572,2018/1/24,2084.0,0,102666.0,2141474900.0,309900.0,-4532.0,0.625,2084.0,20180124,2079.0,2018/1/24,2092.0,-7.0,-6.0,-0.334768054,-0.286944046,2085.0
2084.0,2085.0,CS.DCE,2087.863953,2018/1/25,2088.0,0,136144.0,2842501500.0,322016.0,12116.0,0.863723608,2083.0,20180125,2080.0,2018/1/25,2098.0,-2.0,2.0,-0.095923261,0.095923261,2087.0
2083.0,2087.0,CS.DCE,2083.235665,2018/1/26,2082.0,0,147472.0,3072189300.0,329056.0,7040.0,0.720115218,2086.0,20180126,2076.0,2018/1/26,2091.0,-1.0,-4.0,-0.047915668,-0.191662674,2083.0
2086.0,2083.0,CS.DCE,2088.489676,2018/1/29,2086.0,0,93470.0,1952111300.0,322332.0,-6724.0,0.431447747,2091.0,20180129,2084.0,2018/1/29,2093.0,8.0,5.0,0.38406145,0.240038406,2088.0
2091.0,2088.0,CS.DCE,2090.592292,2018/1/30,2089.0,0,96996.0,2027790900.0,316664.0,-5668.0,0.526064084,2087.0,20180130,2085.0,2018/1/30,2096.0,-1.0,2.0,-0.04789272,0.095785441,2090.0
2087.0,2090.0,CS.DCE,2090.697393,2018/1/31,2090.0,0,228336.0,4773814800.0,318768.0,2104.0,1.054144705,2082.0,20180131,2080.0,2018/1/31,2102.0,-8.0,0.0,-0.38277512,0.0,2090.0
2082.0,2090.0,CS.DCE,2108.745395,2018/2/1,2084.0,0,389262.0,8208544500.0,314834.0,-3934.0,2.257444765,2121.0,20180201,2083.0,2018/2/1,2130.0,31.0,18.0,1.483253589,0.861244019,2108.0
2121.0,2108.0,CS.DCE,2116.381168,2018/2/2,2118.0,0,144566.0,3059567600.0,284266.0,-30568.0,0.801508722,2116.0,20180202,2109.0,2018/2/2,2126.0,8.0,8.0,0.379506641,0.379506641,2116.0
2116.0,2116.0,CS.DCE,2122.951036,2018/2/5,2120.0,0,122906.0,2609234200.0,277664.0,-6602.0,0.708884688,2127.0,20180205,2118.0,2018/2/5,2133.0,11.0,6.0,0.519848771,0.283553875,2122.0
2127.0,2122.0,CS.DCE,2124.962867,2018/2/6,2128.0,0,140306.0,2981450400.0,275176.0,-2488.0,1.034320639,2129.0,20180206,2115.0,2018/2/6,2137.0,7.0,2.0,0.329877474,0.094250707,2124.0
2129.0,2124.0,CS.DCE,2143.760641,2018/2/7,2129.0,0,175494.0,3762171300.0,289058.0,13882.0,1.174260216,2147.0,20180207,2129.0,2018/2/7,2154.0,23.0,19.0,1.082862524,0.894538606,2143.0
2147.0,2143.0,CS.DCE,2142.391972,2018/2/8,2146.0,0,86598.0,1855268600.0,286018.0,-3040.0,0.65207266,2144.0,20180208,2137.0,2018/2/8,2151.0,1.0,-1.0,0.046663556,-0.046663556,2142.0
