前收盘,前结算价,合约,均价,市场最近交易日,开盘价,成交笔数,成交量,成交额,持仓量,持仓量变化,振幅(收盘价),收盘价,日期,最低价,最近交易日期,最高价,涨跌(收盘价),涨跌(结算价),涨跌幅(收盘价),涨跌幅(结算价),结算价
55580.0,0.0,CU,219848.0,0,55740.0,-350,55390.0,55270.0,-612.0,0.0,0.0,54960.0,20180102,55760.0,0,55540.0,-470.0,0.0,89466.0,0.0,0.0
55390.0,0.0,CU,218480.0,0,55270.0,-300,54970.0,55050.0,-1368.0,0.0,0.0,54810.0,20180103,55350.0,0,55250.0,-220.0,0.0,97976.0,0.0,0.0
54970.0,0.0,CU,226444.0,0,55050.0,270,55320.0,55020.0,7964.0,0.0,0.0,54680.0,20180104,55420.0,0,54870.0,-30.0,0.0,135860.0,0.0,0.0
55320.0,0.0,CU,225090.0,0,55020.0,-10,55010.0,55070.0,-1354.0,0.0,0.0,54800.0,20180105,55480.0,0,55460.0,50.0,0.0,118170.0,0.0,0.0
55010.0,0.0,CU,226206.0,0,55070.0,-380,54690.0,54600.0,1116.0,0.0,0.0,54420.0,20180108,54840.0,0,54710.0,-470.0,0.0,158260.0,0.0,0.0
54690.0,0.0,CU,235202.0,0,54600.0,410,55010.0,54800.0,8996.0,0.0,0.0,54530.0,20180109,55100.0,0,54600.0,200.0,0.0,176372.0,0.0,0.0
55010.0,0.0,CU,229634.0,0,54800.0,0,54800.0,54890.0,-5568.0,0.0,0.0,54680.0,20180110,55180.0,0,55000.0,90.0,0.0,161198.0,0.0,0.0
54800.0,0.0,CU,232216.0,0,54890.0,220,55110.0,55080.0,2582.0,0.0,0.0,54900.0,20180111,55310.0,0,55210.0,190.0,0.0,158968.0,0.0,0.0
55110.0,0.0,CU,228728.0,0,55080.0,-280,54800.0,54680.0,-3488.0,0.0,0.0,54260.0,20180112,55130.0,0,55050.0,-400.0,0.0,214000.0,0.0,0.0
54800.0,0.0,CU,235100.0,0,54680.0,310,54990.0,54670.0,6372.0,0.0,0.0,54350.0,20180115,55120.0,0,54440.0,-10.0,0.0,223716.0,0.0,0.0
54990.0,0.0,CU,221526.0,0,54670.0,-370,54300.0,54600.0,-13574.0,0.0,0.0,54180.0,20180116,55010.0,0,54970.0,-70.0,0.0,205918.0,0.0,0.0
54300.0,0.0,CU,214052.0,0,54600.0,-1020,53580.0,53800.0,-7474.0,0.0,0.0,53570.0,20180117,54050.0,0,53900.0,-800.0,0.0,231424.0,0.0,0.0
53580.0,0.0,CU,211606.0,0,53800.0,-130,53670.0,53680.0,-2446.0,0.0,0.0,53450.0,20180118,53950.0,0,53720.0,-120.0,0.0,204204.0,0.0,0.0
