前收盘,前结算价,合约,均价,市场最近交易日,开盘价,成交笔数,成交量,成交额,持仓量,持仓量变化,振幅(收盘价),收盘价,日期,最低价,最近交易日期,最高价,涨跌(收盘价),涨跌(结算价),涨跌幅(收盘价),涨跌幅(结算价),结算价
23235.0,23235.0,CY.CZC,23236.66667,2018/1/2,23235.0,0,0.0,0.0,60.0,0.0,0.0,23235.0,20180102,23235.0,2017/12/29,23235.0,-23235.0,0.0,0.0,0.0,23235.0
23235.0,23235.0,CY.CZC,23305.0,2018/1/3,23305.0,0,4.0,466100.0,60.0,0.0,0.0,23305.0,20180103,23305.0,2018/1/3,23305.0,70.0,70.0,0.301269636,0.301269636,23305.0
23305.0,23305.0,CY.CZC,23305.0,2018/1/4,23305.0,0,0.0,0.0,60.0,0.0,0.0,23305.0,20180104,23305.0,2018/1/3,23305.0,-23305.0,0.0,0.0,0.0,23305.0
23305.0,23305.0,CY.CZC,23305.0,2018/1/5,23305.0,0,0.0,0.0,60.0,0.0,0.0,23305.0,20180105,23305.0,2018/1/3,23305.0,-23305.0,0.0,0.0,0.0,23305.0
23305.0,23305.0,CY.CZC,23305.0,2018/1/8,23305.0,0,0.0,0.0,60.0,0.0,0.0,23305.0,20180108,23305.0,2018/1/3,23305.0,-23305.0,0.0,0.0,0.0,23305.0
23305.0,23305.0,CY.CZC,23433.33333,2018/1/9,23125.0,0,18.0,2109000.0,60.0,0.0,1.523278266,23450.0,20180109,23125.0,2018/1/9,23480.0,145.0,130.0,0.622184081,0.55782021,23435.0
23450.0,23435.0,CY.CZC,23220.0,2018/1/10,23220.0,0,4.0,464400.0,58.0,-2.0,0.0,23220.0,20180110,23220.0,2018/1/10,23220.0,-215.0,-215.0,-0.917431193,-0.917431193,23220.0
23220.0,23220.0,CY.CZC,23220.0,2018/1/11,23220.0,0,0.0,0.0,58.0,0.0,0.0,23220.0,20180111,23220.0,2018/1/10,23220.0,-23220.0,0.0,0.0,0.0,23220.0
23220.0,23220.0,CY.CZC,23183.33333,2018/1/12,23125.0,0,12.0,1391000.0,52.0,-6.0,1.722652885,23495.0,20180112,23095.0,2018/1/12,23495.0,275.0,-35.0,1.184323859,-0.150732127,23185.0
23495.0,23185.0,CY.CZC,23183.33333,2018/1/15,23125.0,0,0.0,0.0,52.0,0.0,1.722652885,23495.0,20180115,23095.0,2018/1/12,23495.0,-23185.0,0.0,0.0,0.0,23185.0
