前收盘,前结算价,合约,均价,市场最近交易日,开盘价,成交笔数,成交量,成交额,持仓量,持仓量变化,振幅(收盘价),收盘价,日期,最低价,最近交易日期,最高价,涨跌(收盘价),涨跌(结算价),涨跌幅(收盘价),涨跌幅(结算价),结算价
105.7,104.2,FB.DCE,109.05,2018/1/2,108.8,0,8.0,436200.0,0.0,-8,0.946073794,109.8,20180102,108.8,2018/1/2,109.8,5.6,4.85,5.37428023,4.654510557,109.05
109.8,101.75,FB.DCE,109.05,2018/1/3,108.8,0,0.0,0.0,6.0,6,0.946073794,96.7,20180103,108.8,2018/1/2,109.8,-5.05,-5.05,-4.963144963,-4.963144963,96.7
96.7,96.7,FB.DCE,109.05,2018/1/4,108.8,0,0.0,0.0,6.0,0,0.946073794,91.95,20180104,108.8,2018/1/2,109.8,-4.75,-4.75,-4.912099276,-4.912099276,91.95
91.95,91.95,FB.DCE,109.05,2018/1/5,108.8,0,0.0,0.0,6.0,0,0.946073794,91.95,20180105,108.8,2018/1/2,109.8,0.0,0.0,0.0,0.0,91.95
91.95,91.95,FB.DCE,109.05,2018/1/8,108.8,0,0.0,0.0,6.0,0,0.946073794,91.95,20180108,108.8,2018/1/2,109.8,0.0,0.0,0.0,0.0,91.95
91.95,91.95,FB.DCE,109.05,2018/1/9,108.8,0,0.0,0.0,6.0,0,0.946073794,90.95,20180109,108.8,2018/1/2,109.8,-1.0,-1.0,-1.08754758,-1.08754758,90.95
90.95,90.95,FB.DCE,109.05,2018/1/10,108.8,0,0.0,0.0,6.0,0,0.946073794,90.95,20180110,108.8,2018/1/2,109.8,0.0,0.0,0.0,0.0,90.95
90.95,90.95,FB.DCE,109.05,2018/1/11,108.8,0,0.0,0.0,6.0,0,0.946073794,90.95,20180111,108.8,2018/1/2,109.8,0.0,0.0,0.0,0.0,90.95
90.95,90.95,FB.DCE,109.05,2018/1/12,108.8,0,0.0,0.0,6.0,0,0.946073794,86.95,20180112,108.8,2018/1/2,109.8,-4.0,-4.0,-4.398020891,-4.398020891,86.95
86.95,86.95,FB.DCE,109.05,2018/1/15,108.8,0,0.0,0.0,6.0,0,0.946073794,84.35,20180115,108.8,2018/1/2,109.8,-2.6,-2.6,-2.990224267,-2.990224267,84.35
84.35,84.35,FB.DCE,109.05,2018/1/16,108.8,0,0.0,0.0,6.0,0,0.946073794,84.35,20180116,108.8,2018/1/2,109.8,0.0,0.0,0.0,0.0,84.35
84.35,84.35,FB.DCE,109.05,2018/1/17,108.8,0,0.0,0.0,6.0,0,0.946073794,84.35,20180117,108.8,2018/1/2,109.8,0.0,0.0,0.0,0.0,84.35
84.35,84.35,FB.DCE,109.05,2018/1/18,108.8,0,0.0,0.0,6.0,0,0.946073794,84.35,20180118,108.8,2018/1/2,109.8,0.0,0.0,0.0,0.0,84.35
84.35,84.35,FB.DCE,109.05,2018/1/19,108.8,0,0.0,0.0,6.0,0,0.946073794,84.35,20180119,108.8,2018/1/2,109.8,0.0,0.0,0.0,0.0,84.35
84.35,84.35,FB.DCE,109.05,2018/1/22,108.8,0,0.0,0.0,6.0,0,0.946073794,88.0,20180122,108.8,2018/1/2,109.8,3.65,3.65,4.327208062,4.327208062,88.0
88.0,88.0,FB.DCE,109.05,2018/1/23,108.8,0,0.0,0.0,6.0,0,0.946073794,88.0,20180123,108.8,2018/1/2,109.8,0.0,0.0,0.0,0.0,88.0
88.0,88.0,FB.DCE,109.05,2018/1/24,108.8,0,0.0,0.0,6.0,0,0.946073794,88.0,20180124,108.8,2018/1/2,109.8,0.0,0.0,0.0,0.0,88.0
