前收盘,前结算价,合约,均价,市场最近交易日,开盘价,成交笔数,成交量,成交额,持仓量,持仓量变化,振幅(收盘价),收盘价,日期,最低价,最近交易日期,最高价,涨跌(收盘价),涨跌(结算价),涨跌幅(收盘价),涨跌幅(结算价),结算价
1483.0,1475.0,FG.CZC,1465.378436,2018/1/2,1487.0,0,246422.0,7222029700.0,390406.0,-39624.0,2.157788267,1462.0,20180102,1455.0,2018/1/2,1487.0,-13.0,-10.0,-0.881355932,-0.677966102,1465.0
1462.0,1465.0,FG.CZC,1452.614342,2018/1/3,1464.0,0,289744.0,8417725800.0,397376.0,6970.0,1.778385773,1454.0,20180103,1441.0,2018/1/3,1467.0,-11.0,-12.0,-0.750853242,-0.819112628,1453.0
1454.0,1453.0,FG.CZC,1456.405384,2018/1/4,1455.0,0,262334.0,7641293000.0,389700.0,-7676.0,2.063273728,1471.0,20180104,1444.0,2018/1/4,1474.0,18.0,3.0,1.238816242,0.206469374,1456.0
1471.0,1456.0,FG.CZC,1462.411017,2018/1/5,1470.0,0,185036.0,5411973700.0,392936.0,3236.0,1.359619307,1460.0,20180105,1452.0,2018/1/5,1472.0,4.0,6.0,0.274725275,0.412087912,1462.0
1460.0,1462.0,FG.CZC,1480.56378,2018/1/8,1457.0,0,354722.0,10503770900.0,469372.0,76436.0,4.109589041,1512.0,20180108,1455.0,2018/1/8,1515.0,50.0,19.0,3.41997264,1.299589603,1481.0
1512.0,1481.0,FG.CZC,1506.95174,2018/1/9,1512.0,0,249152.0,7509200800.0,476964.0,7592.0,0.925925926,1507.0,20180109,1501.0,2018/1/9,1515.0,26.0,26.0,1.75557056,1.75557056,1507.0
1507.0,1507.0,FG.CZC,1508.225552,2018/1/10,1510.0,0,258114.0,7785882600.0,490318.0,13354.0,1.128069011,1508.0,20180110,1500.0,2018/1/10,1517.0,1.0,1.0,0.066357001,0.066357001,1508.0
1508.0,1508.0,FG.CZC,1496.243857,2018/1/11,1515.0,0,278778.0,8342397400.0,449210.0,-41108.0,2.188328912,1492.0,20180111,1482.0,2018/1/11,1515.0,-16.0,-12.0,-1.061007958,-0.795755968,1496.0
1492.0,1496.0,FG.CZC,1493.663213,2018/1/12,1493.0,0,171108.0,5111554500.0,457754.0,8544.0,0.871313673,1496.0,20180112,1487.0,2018/1/12,1500.0,0.0,-2.0,0.0,-0.13368984,1494.0
1496.0,1494.0,FG.CZC,1485.424747,2018/1/15,1494.0,0,195234.0,5800108300.0,438840.0,-18914.0,1.136363636,1482.0,20180115,1478.0,2018/1/15,1495.0,-12.0,-9.0,-0.803212851,-0.602409639,1485.0
1482.0,1485.0,FG.CZC,1474.4,2018/1/16,1481.0,0,196500.0,5794392000.0,428048.0,-10792.0,1.686909582,1467.0,20180116,1464.0,2018/1/16,1489.0,-18.0,-11.0,-1.212121212,-0.740740741,1474.0
1467.0,1474.0,FG.CZC,1473.469508,2018/1/17,1466.0,0,149122.0,4394534400.0,420994.0,-7054.0,1.022494888,1475.0,20180117,1465.0,2018/1/17,1480.0,1.0,-1.0,0.067842605,-0.067842605,1473.0
1475.0,1473.0,FG.CZC,1484.643431,2018/1/18,1474.0,0,261352.0,7760290600.0,455960.0,34966.0,2.033898305,1492.0,20180118,1467.0,2018/1/18,1497.0,19.0,12.0,1.289884589,0.814663951,1485.0
1492.0,1485.0,FG.CZC,1487.610842,2018/1/19,1492.0,0,175340.0,5216753700.0,413486.0,-42474.0,0.871313673,1486.0,20180119,1482.0,2018/1/19,1495.0,1.0,3.0,0.067340067,0.202020202,1488.0
1486.0,1488.0,FG.CZC,1465.154506,2018/1/22,1484.0,0,399662.0,11711331600.0,440258.0,26772.0,2.624495289,1457.0,20180122,1450.0,2018/1/22,1489.0,-31.0,-23.0,-2.083333333,-1.545698925,1465.0
1457.0,1465.0,FG.CZC,1463.399157,2018/1/23,1458.0,0,247276.0,7237269800.0,377736.0,-62522.0,1.647220316,1467.0,20180123,1451.0,2018/1/23,1475.0,2.0,-2.0,0.136518771,-0.136518771,1463.0
1467.0,1463.0,FG.CZC,1463.267831,2018/1/24,1465.0,0,173430.0,5075490800.0,385442.0,7706.0,1.431492843,1459.0,20180124,1453.0,2018/1/24,1474.0,-4.0,0.0,-0.2734108,0.0,1463.0
1459.0,1463.0,FG.CZC,1480.157158,2018/1/25,1460.0,0,347040.0,10273474800.0,424268.0,38826.0,2.87868403,1488.0,20180125,1451.0,2018/1/25,1493.0,25.0,17.0,1.708817498,1.161995899,1480.0
1488.0,1480.0,FG.CZC,1483.425559,2018/1/26,1488.0,0,167596.0,4972323800.0,387288.0,-36980.0,1.27688172,1485.0,20180126,1473.0,2018/1/26,1492.0,5.0,3.0,0.337837838,0.202702703,1483.0
1485.0,1483.0,FG.CZC,1494.53507,2018/1/29,1484.0,0,239466.0,7157806700.0,446028.0,58740.0,1.481481481,1497.0,20180129,1483.0,2018/1/29,1505.0,14.0,12.0,0.944032367,0.8091706,1495.0
1497.0,1495.0,FG.CZC,1491.439279,2018/1/30,1495.0,0,174438.0,5203273700.0,417316.0,-28712.0,1.20240481,1494.0,20180130,1483.0,2018/1/30,1501.0,-1.0,-4.0,-0.066889632,-0.267558528,1491.0
1494.0,1491.0,FG.CZC,1481.211539,2018/1/31,1492.0,0,279244.0,8272388700.0,406432.0,-10884.0,2.141900937,1478.0,20180131,1466.0,2018/1/31,1498.0,-13.0,-10.0,-0.871898055,-0.670690812,1481.0
1478.0,1481.0,FG.CZC,1471.042056,2018/2/1,1480.0,0,169108.0,4975299600.0,363126.0,-43306.0,1.217861976,1463.0,20180201,1462.0,2018/2/1,1480.0,-18.0,-10.0,-1.215395003,-0.675219446,1471.0
1463.0,1471.0,FG.CZC,1477.059725,2018/2/2,1462.0,0,199046.0,5880056600.0,373276.0,10150.0,2.118933698,1487.0,20180202,1461.0,2018/2/2,1492.0,16.0,6.0,1.087695445,0.407885792,1477.0
1487.0,1477.0,FG.CZC,1488.173999,2018/2/5,1484.0,0,172656.0,5138843400.0,377542.0,4266.0,1.008742434,1486.0,20180205,1480.0,2018/2/5,1495.0,9.0,11.0,0.609343263,0.744752877,1488.0
1486.0,1488.0,FG.CZC,1486.750165,2018/2/6,1485.0,0,187728.0,5582092700.0,379638.0,2096.0,1.34589502,1482.0,20180206,1478.0,2018/2/6,1498.0,-6.0,-1.0,-0.403225806,-0.067204301,1487.0
1482.0,1487.0,FG.CZC,1484.476495,2018/2/7,1485.0,0,188814.0,5605798900.0,381468.0,1830.0,1.282051282,1488.0,20180207,1474.0,2018/2/7,1493.0,1.0,-3.0,0.067249496,-0.201748487,1484.0
1488.0,1484.0,FG.CZC,1492.525448,2018/2/8,1485.0,0,632470.0,18879551400.0,465058.0,83590.0,3.561827957,1466.0,20180208,1465.0,2018/2/8,1518.0,-18.0,9.0,-1.212938005,0.606469003,1493.0
