前收盘,前结算价,合约,均价,市场最近交易日,开盘价,成交笔数,成交量,成交额,持仓量,持仓量变化,振幅(收盘价),收盘价,日期,最低价,最近交易日期,最高价,涨跌(收盘价),涨跌(结算价),涨跌幅(收盘价),涨跌幅(结算价),结算价
3846.0,0.0,HC,635234.0,0,3861.0,66,3927.0,3893.0,4268.0,0.0,0.0,3842.0,20180102,3940.0,0,3850.0,32.0,0.0,570750.0,0.0,0.0
3927.0,0.0,HC,632164.0,0,3893.0,-29,3864.0,3899.0,-3070.0,0.0,0.0,3861.0,20180103,3934.0,0,3931.0,6.0,0.0,500302.0,0.0,0.0
3864.0,0.0,HC,648052.0,0,3899.0,-22,3877.0,3868.0,15888.0,0.0,0.0,3845.0,20180104,3897.0,0,3857.0,-31.0,0.0,568448.0,0.0,0.0
3877.0,0.0,HC,711304.0,0,3868.0,-26,3842.0,3832.0,63252.0,0.0,0.0,3791.0,20180105,3878.0,0,3878.0,-36.0,0.0,869870.0,0.0,0.0
3842.0,0.0,HC,714236.0,0,3832.0,32,3864.0,3810.0,2932.0,0.0,0.0,3770.0,20180108,3865.0,0,3839.0,-22.0,0.0,769662.0,0.0,0.0
3864.0,0.0,HC,681804.0,0,3810.0,52,3862.0,3869.0,-32432.0,0.0,0.0,3852.0,20180109,3894.0,0,3860.0,59.0,0.0,595800.0,0.0,0.0
3862.0,0.0,HC,679090.0,0,3869.0,11,3880.0,3871.0,-2714.0,0.0,0.0,3830.0,20180110,3906.0,0,3860.0,2.0,0.0,696268.0,0.0,0.0
3880.0,0.0,HC,655534.0,0,3871.0,3,3874.0,3885.0,-23556.0,0.0,0.0,3857.0,20180111,3908.0,0,3888.0,14.0,0.0,516546.0,0.0,0.0
3874.0,0.0,HC,668280.0,0,3885.0,-54,3831.0,3844.0,12746.0,0.0,0.0,3814.0,20180112,3886.0,0,3877.0,-41.0,0.0,506008.0,0.0,0.0
3831.0,0.0,HC,660654.0,0,3844.0,-7,3837.0,3825.0,-7626.0,0.0,0.0,3791.0,20180115,3848.0,0,3820.0,-19.0,0.0,429202.0,0.0,0.0
