前收盘,前结算价,合约,均价,市场最近交易日,开盘价,成交笔数,成交量,成交额,持仓量,持仓量变化,振幅(收盘价),收盘价,日期,最低价,最近交易日期,最高价,涨跌(收盘价),涨跌(结算价),涨跌幅(收盘价),涨跌幅(结算价),结算价
531.5,530.0,I.DCE,540.2745707,2018/1/2,531.5,0,2036976.0,110052633400.0,1799508.0,49426.0,2.916274694,543.5,20180102,531.0,2018/1/2,546.5,13.5,10.0,2.547169811,1.886792453,540.0
543.5,540.0,I.DCE,541.3183876,2018/1/3,544.0,0,2252858.0,121951346000.0,1766830.0,-32678.0,2.207911684,536.0,20180103,535.0,2018/1/3,547.0,-4.0,1.0,-0.740740741,0.185185185,541.0
536.0,541.0,I.DCE,539.1502713,2018/1/4,536.5,0,2512456.0,135459133400.0,1863692.0,96862.0,2.332089552,543.5,20180104,533.5,2018/1/4,546.0,2.5,-2.0,0.462107209,-0.369685767,539.0
543.5,539.0,I.DCE,539.8425819,2018/1/5,543.0,0,3211498.0,173370337200.0,1870900.0,7208.0,4.231830727,538.5,20180105,528.0,2018/1/5,551.0,-0.5,0.5,-0.092764378,0.092764378,539.5
538.5,539.5,I.DCE,541.735236,2018/1/8,538.0,0,2877200.0,155868062100.0,1975436.0,104536.0,4.08542247,555.5,20180108,534.0,2018/1/8,556.0,16.0,2.0,2.96570899,0.370713624,541.5
555.5,541.5,I.DCE,558.0221761,2018/1/9,555.0,0,2155746.0,120295407400.0,1993920.0,18484.0,1.440144014,560.5,20180109,554.5,2018/1/9,562.5,19.0,16.5,3.50877193,3.047091413,558.0
560.5,558.0,I.DCE,558.1499474,2018/1/10,561.0,0,2205660.0,123108901300.0,2009208.0,15288.0,2.319357716,557.5,20180110,552.0,2018/1/10,565.0,-0.5,0.0,-0.089605735,0.0,558.0
557.5,558.0,I.DCE,555.7175061,2018/1/11,558.5,0,2108254.0,117159365500.0,1953544.0,-55664.0,2.062780269,556.0,20180111,549.0,2018/1/11,560.5,-2.0,-2.5,-0.358422939,-0.448028674,555.5
556.0,555.5,I.DCE,547.5747305,2018/1/12,556.0,0,2613724.0,143120921500.0,1909738.0,-43806.0,3.32733813,544.0,20180112,539.5,2018/1/12,558.0,-11.5,-8.0,-2.070207021,-1.440144014,547.5
544.0,547.5,I.DCE,538.0379675,2018/1/15,542.0,0,2278106.0,122570752200.0,1868470.0,-41268.0,2.389705882,536.5,20180115,531.0,2018/1/15,544.0,-11.0,-9.5,-2.00913242,-1.735159817,538.0
536.5,538.0,I.DCE,536.2315606,2018/1/16,538.0,0,2299402.0,123301192300.0,1859920.0,-8550.0,2.889095993,529.5,20180116,527.0,2018/1/16,542.5,-8.5,-2.0,-1.579925651,-0.371747212,536.0
529.5,536.0,I.DCE,529.9280534,2018/1/17,527.0,0,2142242.0,113523413300.0,1789468.0,-70452.0,1.699716714,531.5,20180117,525.5,2018/1/17,534.5,-4.5,-6.5,-0.839552239,-1.212686567,529.5
531.5,529.5,I.DCE,535.1745345,2018/1/18,531.0,0,1856046.0,99330855400.0,1770508.0,-18960.0,1.881467545,537.0,20180118,529.5,2018/1/18,539.5,7.5,5.5,1.416430595,1.03871577,535.0
537.0,535.0,I.DCE,537.0035438,2018/1/19,538.0,0,2322114.0,124698344700.0,1840030.0,69522.0,2.51396648,543.5,20180119,531.0,2018/1/19,544.5,8.5,2.0,1.588785047,0.373831776,537.0
543.5,537.0,I.DCE,543.0763735,2018/1/22,544.5,0,2007030.0,108997057400.0,1699042.0,-140988.0,1.747930083,540.5,20180122,538.0,2018/1/22,547.5,3.5,6.0,0.651769088,1.117318436,543.0
540.5,543.0,I.DCE,528.1423124,2018/1/23,540.5,0,2972356.0,156982697100.0,1914192.0,215150.0,4.440333025,521.5,20180123,517.0,2018/1/23,541.0,-21.5,-15.0,-3.959484346,-2.762430939,528.0
521.5,528.0,I.DCE,521.8472735,2018/1/24,518.5,0,1478578.0,77159189800.0,1768100.0,-146092.0,1.438159156,522.0,20180124,518.0,2018/1/24,525.5,-6.0,-6.5,-1.136363636,-1.231060606,521.5
522.0,521.5,I.DCE,527.3881237,2018/1/25,523.0,0,2313198.0,121995315300.0,1764106.0,-3994.0,3.352490421,529.5,20180125,518.5,2018/1/25,536.0,8.0,5.5,1.534036433,1.054650048,527.0
529.5,527.0,I.DCE,521.796754,2018/1/26,529.5,0,2300262.0,120026924500.0,1818128.0,54022.0,2.927289896,519.0,20180126,515.0,2018/1/26,530.5,-8.0,-5.5,-1.518026565,-1.043643264,521.5
519.0,521.5,I.DCE,516.4974436,2018/1/29,519.5,0,1829528.0,94494653500.0,1782832.0,-35296.0,2.119460501,514.5,20180129,511.0,2018/1/29,522.0,-7.0,-5.5,-1.342281879,-1.054650048,516.0
514.5,516.0,I.DCE,517.0056979,2018/1/30,514.0,0,1670784.0,86380484800.0,1748272.0,-34560.0,1.554907677,517.5,20180130,513.5,2018/1/30,521.5,1.5,1.0,0.290697674,0.19379845,517.0
517.5,517.0,I.DCE,511.9698474,2018/1/31,517.0,0,2106122.0,107827095900.0,1845756.0,97484.0,2.995169082,510.0,20180131,504.5,2018/1/31,520.0,-7.0,-5.5,-1.353965184,-1.063829787,511.5
510.0,511.5,I.DCE,508.1884259,2018/2/1,510.5,0,1659682.0,84343118300.0,1800120.0,-45636.0,1.666666667,506.5,20180201,503.5,2018/2/1,512.0,-5.0,-3.5,-0.977517107,-0.684261975,508.0
506.5,508.0,I.DCE,513.7438192,2018/2/2,508.0,0,1937546.0,99540228200.0,1724414.0,-75706.0,2.270483712,513.5,20180202,507.0,2018/2/2,518.5,5.5,5.5,1.082677165,1.082677165,513.5
513.5,513.5,I.DCE,519.6612005,2018/2/5,514.0,0,2311538.0,120121661200.0,1772444.0,48030.0,2.726387537,526.5,20180205,513.5,2018/2/5,527.5,13.0,6.0,2.53164557,1.168451801,519.5
526.5,519.5,I.DCE,522.3748264,2018/2/6,527.5,0,1954422.0,102094085300.0,1689636.0,-82808.0,2.469135802,521.0,20180206,516.0,2018/2/6,529.0,1.5,2.5,0.288739172,0.481231954,522.0
521.0,522.0,I.DCE,523.4590198,2018/2/7,521.5,0,1690794.0,88506137000.0,1602368.0,-87268.0,1.823416507,526.5,20180207,518.0,2018/2/7,527.5,4.5,1.0,0.862068966,0.191570881,523.0
526.5,523.0,I.DCE,524.3801182,2018/2/8,527.0,0,1540810.0,80797013000.0,1576414.0,-25954.0,1.424501425,524.0,20180208,521.0,2018/2/8,528.5,1.0,1.0,0.191204589,0.191204589,524.0
524.0,524.0,I.DCE,528.175461,2018/2/9,524.5,0,2646280.0,139770015900.0,1614890.0,38476.0,3.148854962,523.5,20180209,519.0,2018/2/9,535.5,-0.5,4.0,-0.095419847,0.763358779,528.0
523.5,528.0,I.DCE,522.1337588,2018/2/12,523.0,0,1374556.0,71770209100.0,1449844.0,-165046.0,1.52817574,523.0,20180212,518.0,2018/2/12,526.0,-5.0,-6.0,-0.946969697,-1.136363636,522.0
523.0,522.0,I.DCE,526.3276005,2018/2/13,523.0,0,1180578.0,62137078600.0,1430302.0,-19542.0,1.816443595,529.0,20180213,521.5,2018/2/13,531.0,7.0,4.0,1.340996169,0.766283525,526.0
529.0,526.0,I.DCE,535.5134849,2018/2/14,530.0,0,1211876.0,64897594000.0,1346036.0,-84266.0,2.268431002,539.5,20180214,529.0,2018/2/14,541.0,13.5,9.5,2.566539924,1.80608365,535.5
539.5,535.5,I.DCE,537.5195831,2018/2/22,539.5,0,1044934.0,56167248800.0,1401458.0,55422.0,2.316960148,538.5,20180222,532.5,2018/2/22,545.0,3.0,2.0,0.56022409,0.373482726,537.5
538.5,537.5,I.DCE,542.3508049,2018/2/23,536.0,0,1565246.0,84891242800.0,1568674.0,167216.0,2.414113278,548.5,20180223,536.0,2018/2/23,549.0,11.0,4.5,2.046511628,0.837209302,542.0
548.5,542.0,I.DCE,550.0744404,2018/2/26,548.0,0,1483200.0,81587041000.0,1539932.0,-28742.0,2.096627165,549.0,20180226,545.0,2018/2/26,556.5,7.0,8.0,1.291512915,1.47601476,550.0
549.0,550.0,I.DCE,546.373581,2018/2/27,549.0,0,1564520.0,85481239500.0,1562732.0,22800.0,2.18579235,546.5,20180227,540.0,2018/2/27,552.0,-3.5,-4.0,-0.636363636,-0.727272727,546.0
546.5,546.0,I.DCE,543.3742625,2018/2/28,546.0,0,1279690.0,69535061000.0,1515948.0,-46784.0,1.0978957,543.0,20180228,540.5,2018/2/28,546.5,-3.0,-3.0,-0.549450549,-0.549450549,543.0
543.0,543.0,I.DCE,544.3803183,2018/3/1,542.5,0,1554214.0,84608351200.0,1590906.0,74958.0,1.38121547,544.5,20180301,540.5,2018/3/1,548.0,1.5,1.0,0.276243094,0.184162063,544.0
544.5,544.0,I.DCE,539.6237013,2018/3/2,542.5,0,1753878.0,94643413800.0,1534386.0,-56520.0,2.112029385,539.0,20180302,534.5,2018/3/2,546.0,-5.0,-4.5,-0.919117647,-0.827205882,539.5
539.0,539.5,I.DCE,529.5970967,2018/3/5,538.0,0,2067414.0,109489645200.0,1644820.0,110434.0,3.803339518,520.0,20180305,519.0,2018/3/5,539.5,-19.5,-10.0,-3.614457831,-1.853568119,529.5
520.0,529.5,I.DCE,520.1410398,2018/3/6,520.0,0,1562240.0,81258513800.0,1557394.0,-87426.0,1.538461538,520.5,20180306,516.5,2018/3/6,524.5,-9.0,-9.5,-1.699716714,-1.79414542,520.0
520.5,520.0,I.DCE,520.2302702,2018/3/7,521.5,0,1708384.0,88875307000.0,1616932.0,59538.0,1.825168108,517.5,20180307,515.5,2018/3/7,525.0,-2.5,0.0,-0.480769231,0.0,520.0
517.5,520.0,I.DCE,510.0795611,2018/3/8,515.0,0,1930252.0,98458209300.0,1649372.0,32440.0,2.898550725,500.5,20180308,500.5,2018/3/8,515.5,-19.5,-10.0,-3.75,-1.923076923,510.0
500.5,510.0,I.DCE,492.1158752,2018/3/9,498.5,0,2810186.0,138293714300.0,1694660.0,45288.0,4.495504496,483.5,20180309,479.5,2018/3/9,502.0,-26.5,-18.0,-5.196078431,-3.529411765,492.0
483.5,492.0,I.DCE,481.8207995,2018/3/12,486.5,0,2326494.0,112095319900.0,1696200.0,1540.0,2.895553258,479.0,20180312,475.5,2018/3/12,489.5,-13.0,-10.5,-2.642276423,-2.134146341,481.5
479.0,481.5,I.DCE,480.0255564,2018/3/13,478.0,0,1684550.0,80862705100.0,1672092.0,-24108.0,1.565762004,479.0,20180313,476.5,2018/3/13,484.0,-2.5,-1.5,-0.5192108,-0.31152648,480.0
479.0,480.0,I.DCE,485.0284228,2018/3/14,480.0,0,2379184.0,115397186300.0,1656728.0,-15364.0,3.131524008,490.0,20180314,478.5,2018/3/14,493.5,10.0,5.0,2.083333333,1.041666667,485.0
490.0,485.0,I.DCE,489.8344885,2018/3/15,490.0,0,1857810.0,91001941100.0,1534520.0,-122208.0,1.632653061,490.0,20180315,486.5,2018/3/15,494.5,5.0,4.5,1.030927835,0.927835052,489.5
490.0,489.5,I.DCE,484.784399,2018/3/16,489.5,0,1939940.0,94045264700.0,1556740.0,22220.0,1.836734694,483.5,20180316,481.0,2018/3/16,490.0,-6.0,-5.0,-1.225740552,-1.02145046,484.5
483.5,484.5,I.DCE,470.8611122,2018/3/19,482.0,0,2744416.0,129223877000.0,1705438.0,148698.0,4.343329886,462.5,20180319,461.5,2018/3/19,482.5,-22.0,-14.0,-4.540763674,-2.889576883,470.5
462.5,470.5,I.DCE,459.3625322,2018/3/20,462.5,0,2165438.0,99472108300.0,1679262.0,-26176.0,2.594594595,459.0,20180320,453.5,2018/3/20,465.5,-11.5,-11.5,-2.444208289,-2.444208289,459.0
459.0,459.0,I.DCE,462.5568606,2018/3/21,461.0,0,2381350.0,110150978000.0,1657122.0,-22140.0,2.178649237,463.0,20180321,457.5,2018/3/21,467.5,4.0,3.5,0.871459695,0.762527233,462.5
463.0,462.5,I.DCE,467.7742119,2018/3/22,464.5,0,2638230.0,123409595900.0,1593024.0,-64098.0,2.375809935,466.5,20180322,462.5,2018/3/22,473.5,4.0,5.0,0.864864865,1.081081081,467.5
466.5,467.5,I.DCE,447.9514115,2018/3/23,465.5,0,3724726.0,166849626900.0,1393974.0,-199050.0,7.931404073,437.5,20180323,430.5,2018/3/23,467.5,-30.0,-20.0,-6.417112299,-4.278074866,447.5
437.5,447.5,I.DCE,438.8138467,2018/3/26,437.5,0,2081784.0,91351564500.0,1392984.0,-990.0,2.057142857,439.0,20180326,434.5,2018/3/26,443.5,-8.5,-9.0,-1.899441341,-2.011173184,438.5
439.0,438.5,I.DCE,443.5224543,2018/3/27,438.0,0,1889482.0,83802769400.0,1285004.0,-107980.0,2.505694761,444.0,20180327,437.5,2018/3/27,448.5,5.5,5.0,1.254275941,1.140250855,443.5
444.0,443.5,I.DCE,436.7190616,2018/3/28,443.5,0,2533648.0,110649237700.0,1406098.0,121094.0,4.054054054,438.5,20180328,427.5,2018/3/28,445.5,-5.0,-7.0,-1.127395716,-1.578354002,436.5
438.5,436.5,I.DCE,436.7834994,2018/3/29,439.0,0,1838078.0,80284214100.0,1315884.0,-90214.0,2.508551881,441.0,20180329,430.5,2018/3/29,441.5,4.5,0.0,1.030927835,0.0,436.5
441.0,436.5,I.DCE,438.3459229,2018/3/30,441.0,0,2152332.0,94346595700.0,1249410.0,-66474.0,2.947845805,443.5,20180330,431.0,2018/3/30,444.0,7.0,1.5,1.603665521,0.343642612,438.0
443.5,438.0,I.DCE,448.0405302,2018/4/2,443.0,0,2516146.0,112733538800.0,1142970.0,-106440.0,4.96054115,446.5,20180402,441.0,2018/4/2,463.0,8.5,10.0,1.940639269,2.283105023,448.0
446.5,448.0,I.DCE,447.053074,2018/4/3,447.0,0,1578380.0,70561963100.0,932058.0,-210912.0,4.143337066,441.0,20180403,436.0,2018/4/3,454.5,-7.0,-1.0,-1.5625,-0.223214286,447.0
441.0,457.5,I.DCE,447.191198,2018/4/4,455.5,0,2739746.0,122519029600.0,1639100.0,707042.0,4.875283447,438.5,20180404,435.0,2018/4/4,456.5,-19.0,-10.5,-4.153005464,-2.295081967,447.0
438.5,447.0,I.DCE,439.2897852,2018/4/9,438.0,0,2200544.0,96667650100.0,1775758.0,136658.0,2.964652223,444.0,20180409,433.0,2018/4/9,446.0,-3.0,-8.0,-0.67114094,-1.789709172,439.0
444.0,439.0,I.DCE,450.8459623,2018/4/10,444.0,0,3090932.0,139353421200.0,1873990.0,98232.0,2.815315315,451.0,20180410,444.0,2018/4/10,456.5,12.0,11.5,2.733485194,2.619589977,450.5
451.0,450.5,I.DCE,454.1011135,2018/4/11,452.5,0,3074554.0,139615839500.0,1824952.0,-49038.0,3.32594235,447.5,20180411,446.0,2018/4/11,461.0,-3.0,3.5,-0.665926748,0.776914539,454.0
447.5,454.0,I.DCE,448.3044268,2018/4/12,448.5,0,3560780.0,159631343700.0,1922048.0,97096.0,3.240223464,450.0,20180412,442.0,2018/4/12,456.5,-4.0,-6.0,-0.881057269,-1.321585903,448.0
450.0,448.0,I.DCE,450.4902714,2018/4/13,448.0,0,3159766.0,142344384300.0,1937760.0,15712.0,2.888888889,453.5,20180413,444.0,2018/4/13,457.0,5.5,2.0,1.227678571,0.446428571,450.0
453.5,450.0,I.DCE,446.2612049,2018/4/16,454.0,0,3725240.0,166243009100.0,2123182.0,185422.0,4.851157663,438.5,20180416,435.5,2018/4/16,457.5,-11.5,-4.0,-2.555555556,-0.888888889,446.0
438.5,446.0,I.DCE,440.183661,2018/4/17,439.0,0,3451174.0,151915040600.0,2093082.0,-30100.0,2.622576967,439.0,20180417,434.0,2018/4/17,445.5,-7.0,-6.0,-1.569506726,-1.34529148,440.0
439.0,440.0,I.DCE,446.2196589,2018/4/18,441.0,0,4024454.0,179579049100.0,2138780.0,45698.0,2.505694761,449.0,20180418,440.5,2018/4/18,451.5,9.0,6.0,2.045454545,1.363636364,446.0
449.0,440.0,I.DCE,446.2196589,2018/4/19,441.0,0,4024454.0,179579049100.0,2138780.0,45698.0,2.505694761,449.0,20180419,440.5,2018/4/18,451.5,9.0,6.0,2.045454545,1.363636364,446.0
475.0,465.5,I.DCE,467.405408525,2018/04/20,475.0,0,3863604.0,180586940600.0,2011142.0,-84588.0,3.57894736842,461.0,20180420,459.0,2018/04/20,476.0,-4.5,1.5,-0.966702470462,0.322234156821,467.0
461.0,467.0,I.DCE,471.909076758,2018/04/23,462.0,0,4285054.0,202215587700.0,1955236.0,-55906.0,4.98915401302,477.0,20180423,459.5,2018/04/23,482.5,10.0,4.5,2.14132762313,0.963597430407,471.5
477.0,471.5,I.DCE,475.292954336,2018/04/24,473.5,0,2779440.0,132104824900.0,1919840.0,-35396.0,2.0964360587,470.0,20180424,469.0,2018/04/24,479.0,-1.5,3.5,-0.318133616119,0.742311770944,475.0
470.0,475.0,I.DCE,470.66765411,2018/04/25,470.0,0,3191744.0,150225066100.0,1901960.0,-17880.0,2.44680851064,467.5,20180425,465.5,2018/04/25,477.0,-7.5,-4.5,-1.57894736842,-0.947368421053,470.5
467.5,470.5,I.DCE,466.521755335,2018/04/26,467.5,0,2312858.0,107899857400.0,1868450.0,-33510.0,2.0320855615,465.5,20180426,463.0,2018/04/26,472.5,-5.0,-4.0,-1.06269925611,-0.850159404888,466.5
465.5,466.5,I.DCE,463.732074619,2018/04/27,465.0,0,2991624.0,138731200400.0,1871218.0,2768.0,3.43716433942,460.5,20180427,455.0,2018/04/27,471.0,-6.0,-3.0,-1.28617363344,-0.64308681672,463.5
460.5,463.5,I.DCE,468.574463499,2018/05/02,463.5,0,2342678.0,109771908700.0,1822080.0,-49138.0,3.14875135722,474.0,20180502,461.5,2018/05/02,476.0,10.5,5.0,2.26537216828,1.07874865156,468.5
474.0,468.5,I.DCE,477.00968986,2018/05/03,475.0,0,2590440.0,123566498100.0,1835644.0,13564.0,2.21518987342,474.0,20180503,471.5,2018/05/03,482.0,5.5,8.5,1.17395944504,1.81430096051,477.0
474.0,477.0,I.DCE,469.467517254,2018/05/04,473.5,0,2858102.0,134178605000.0,1862978.0,27334.0,2.21518987342,471.5,20180504,463.5,2018/05/04,474.0,-5.5,-8.0,-1.15303983229,-1.67714884696,469.0
471.5,469.0,I.DCE,468.618986178,2018/05/07,470.0,0,3231888.0,151452407800.0,1976176.0,113198.0,3.28738069989,470.0,20180507,460.0,2018/05/07,475.5,1.0,-0.5,0.213219616205,-0.106609808102,468.5
470.0,468.5,I.DCE,473.459864725,2018/05/08,470.0,0,2758820.0,130619054400.0,1948658.0,-27518.0,2.02127659574,476.0,20180508,468.0,2018/05/08,477.5,7.5,4.5,1.60085378869,0.960512273212,473.0
476.0,473.0,I.DCE,472.008038251,2018/05/09,474.0,0,2655926.0,125361842100.0,1971694.0,23036.0,1.5756302521,470.0,20180509,468.0,2018/05/09,475.5,-3.0,-1.0,-0.634249471459,-0.211416490486,472.0
470.0,472.0,I.DCE,469.934724039,2018/05/10,468.0,0,2409616.0,113236223000.0,1959696.0,-11998.0,2.12765957447,470.0,20180510,465.0,2018/05/10,475.0,-2.0,-2.5,-0.423728813559,-0.529661016949,469.5
470.0,469.5,I.DCE,477.622615691,2018/05/11,471.5,0,3327274.0,158918131100.0,2104394.0,144698.0,3.82978723404,482.5,20180511,469.0,2018/05/11,487.0,13.0,8.0,2.76890308839,1.70394036209,477.5
482.5,477.5,I.DCE,484.35143454,2018/05/14,482.5,0,2675144.0,129570983400.0,2108668.0,4274.0,1.86528497409,488.0,20180514,481.0,2018/05/14,490.0,10.5,6.5,2.19895287958,1.3612565445,484.0
