前收盘,前结算价,合约,均价,市场最近交易日,开盘价,成交笔数,成交量,成交额,持仓量,持仓量变化,振幅(收盘价),收盘价,日期,最低价,最近交易日期,最高价,涨跌(收盘价),涨跌(结算价),涨跌幅(收盘价),涨跌幅(结算价),结算价
6280.8,6259.4,IC.CZC,6316.109437,2018/1/2,6293.0,0,8880.0,11217410360.0,18840.0,-42.0,1.407464017,6345.0,20180102,6266.6,2018/1/2,6355.0,85.6,84.6,1.367543215,1.351567243,6344.0
6345.0,6344.0,IC.CZC,6378.591929,2018/1/3,6350.0,0,8896.0,11348790760.0,18664.0,-176.0,1.182033097,6388.2,20180103,6336.4,2018/1/3,6411.4,44.2,48.6,0.696721311,0.766078184,6392.6
6388.2,6392.6,IC.CZC,6397.567697,2018/1/4,6375.0,0,7374.0,9435132840.0,18100.0,-564.0,0.6230237,6406.8,20180104,6375.0,2018/1/4,6414.8,14.2,11.8,0.22213184,0.18458843,6404.4
6406.8,6404.4,IC.CZC,6405.273566,2018/1/5,6407.2,0,7585.0,9716800000.0,17964.0,-136.0,0.711743772,6400.8,20180105,6383.6,2018/1/5,6429.2,-3.6,2.6,-0.056211355,0.04059709,6407.0
6400.8,6407.0,IC.CZC,6416.348446,2018/1/8,6400.8,0,7945.0,10195577680.0,17838.0,-126.0,1.015498063,6433.0,20180108,6378.6,2018/1/8,6443.6,26.0,23.6,0.40580615,0.36834712,6430.6
6433.0,6430.6,IC.CZC,6420.646517,2018/1/9,6433.0,0,7365.0,9457612320.0,17130.0,-708.0,0.55028758,6435.0,20180109,6402.2,2018/1/9,6437.6,4.4,-7.6,0.068422853,-0.118184928,6423.0
6435.0,6423.0,IC.CZC,6391.994557,2018/1/10,6427.0,0,8377.0,10709147680.0,17019.0,-111.0,1.184149184,6406.6,20180110,6360.0,2018/1/10,6436.2,-16.4,-27.8,-0.255332399,-0.432819555,6395.2
6406.6,6395.2,IC.CZC,6408.318823,2018/1/11,6384.8,0,8463.0,10846720440.0,16480.0,-539.0,1.105110355,6423.2,20180111,6372.2,2018/1/11,6443.0,28.0,33.6,0.437828371,0.525394046,6428.8
6423.2,6428.8,IC.CZC,6401.923851,2018/1/12,6419.8,0,8205.0,10505557040.0,15211.0,-1269.0,0.862498443,6401.2,20180112,6372.8,2018/1/12,6428.2,-27.6,-33.8,-0.429318069,-0.525759084,6395.0
6401.2,6395.0,IC.CZC,6315.649329,2018/1/15,6393.2,0,9382.0,11850684400.0,14451.0,-760.0,2.402674499,6273.0,20180115,6242.2,2018/1/15,6396.0,-122.0,-126.8,-1.907740422,-1.982799062,6268.2
6273.0,6268.2,IC.CZC,6289.975458,2018/1/16,6261.2,0,9437.0,11871699680.0,11651.0,-2800.0,0.902279611,6285.6,20180116,6261.2,2018/1/16,6317.8,17.4,11.8,0.277591653,0.188251811,6280.0
6285.6,6280.0,IC.CZC,6248.434418,2018/1/17,6279.6,0,10326.0,12904266760.0,8817.0,-2834.0,1.686394298,6250.0,20180117,6193.2,2018/1/17,6299.2,-30.0,-9.0,-0.477707006,-0.143312102,6271.0
6250.0,6271.0,IC.CZC,6286.698337,2018/1/18,6252.0,0,6976.0,8771201520.0,4475.0,-4342.0,1.1296,6285.6,20180118,6246.2,2018/1/18,6316.8,14.6,14.8,0.232817732,0.236007016,6285.8
6285.6,6256.0,IC.CZC,6264.661357,2018/1/19,6268.0,0,8889.0,11137314960.0,15446.0,10971.0,1.29184167,6232.0,20180119,6223.0,2018/1/19,6304.2,-24.0,-14.0,-0.383631714,-0.223785166,6242.0
6232.0,6242.0,IC.CZC,6292.840397,2018/1/22,6234.8,0,10788.0,13577432440.0,16348.0,902.0,2.551347882,6348.6,20180122,6200.8,2018/1/22,6359.8,106.6,107.8,1.707785966,1.727010574,6349.8
6348.6,6349.8,IC.CZC,6346.611329,2018/1/23,6346.8,0,8050.0,10218044240.0,16189.0,-159.0,0.841130328,6345.8,20180123,6323.6,2018/1/23,6377.0,-4.0,-8.6,-0.06299411,-0.135437337,6341.2
6345.8,6341.2,IC.CZC,6380.814329,2018/1/24,6350.0,0,10524.0,13430338000.0,17308.0,1119.0,1.629424186,6409.6,20180124,6326.6,2018/1/24,6430.0,68.4,75.2,1.078660191,1.185895414,6416.4
6409.6,6416.4,IC.CZC,6419.639381,2018/1/25,6395.0,0,9106.0,11691447240.0,16545.0,-763.0,1.054667998,6387.0,20180125,6382.0,2018/1/25,6449.6,-29.4,-14.2,-0.45820086,-0.221307899,6402.2
