前收盘,前结算价,合约,均价,市场最近交易日,开盘价,成交笔数,成交量,成交额,持仓量,持仓量变化,振幅(收盘价),收盘价,日期,最低价,最近交易日期,最高价,涨跌(收盘价),涨跌(结算价),涨跌幅(收盘价),涨跌幅(结算价),结算价
4039.8,4037.4,IF.CZC,4082.51177,2018/1/2,4051.6,0,14290.0,17501727960.0,24471.0,-160.0,1.321847616,4104.0,20180102,4051.6,2018/1/2,4105.0,66.6,58.2,1.64957646,1.441521771,4095.6
4104.0,4095.6,IF.CZC,4127.065162,2018/1/3,4107.8,0,16132.0,19973344560.0,24465.0,-6.0,1.3791423,4121.6,20180103,4097.2,2018/1/3,4153.8,26.0,31.2,0.63482762,0.761793144,4126.8
4121.6,4126.8,IF.CZC,4128.865679,2018/1/4,4122.0,0,13158.0,16298284380.0,24097.0,-368.0,0.747282609,4135.8,20180104,4115.8,2018/1/4,4146.6,9.0,2.8,0.218086653,0.067849181,4129.6
4135.8,4129.6,IF.CZC,4139.138127,2018/1/5,4138.4,0,12629.0,15681952620.0,23720.0,-377.0,0.788239277,4148.2,20180105,4125.2,2018/1/5,4157.8,18.6,16.4,0.450406819,0.397132894,4146.0
4148.2,4146.0,IF.CZC,4154.777945,2018/1/8,4148.0,0,13194.0,16445442060.0,24043.0,323.0,0.91123861,4163.8,20180108,4135.2,2018/1/8,4173.0,17.8,12.2,0.429329474,0.294259527,4158.2
4163.8,4158.2,IF.CZC,4177.500179,2018/1/9,4162.2,0,13392.0,16783524720.0,23372.0,-671.0,1.032710505,4197.4,20180109,4157.0,2018/1/9,4200.0,39.2,31.4,0.942715598,0.755134433,4189.6
4197.4,4189.6,IF.CZC,4196.089195,2018/1/10,4196.8,0,14317.0,18022622700.0,23717.0,345.0,0.829084671,4212.2,20180110,4180.2,2018/1/10,4215.0,22.6,14.4,0.539430972,0.34370823,4204.0
4212.2,4204.0,IF.CZC,4202.593142,2018/1/11,4206.0,0,12802.0,16140479220.0,22539.0,-1178.0,0.574521628,4208.4,20180111,4190.0,2018/1/11,4214.2,4.4,6.0,0.104662226,0.142721218,4210.0
4208.4,4210.0,IF.CZC,4217.008386,2018/1/12,4209.0,0,13165.0,16655074620.0,22494.0,-45.0,0.736621994,4229.0,20180112,4201.0,2018/1/12,4232.0,19.0,13.4,0.451306413,0.318289786,4223.4
4229.0,4223.4,IF.CZC,4240.786583,2018/1/15,4233.0,0,16457.0,20937187440.0,20405.0,-2089.0,1.158666351,4223.4,20180115,4217.0,2018/1/15,4266.0,0.0,10.6,0.0,0.250982621,4234.0
4223.4,4234.0,IF.CZC,4245.78408,2018/1/16,4220.0,0,15653.0,19937777460.0,17846.0,-2559.0,1.183880286,4269.2,20180116,4219.2,2018/1/16,4269.2,35.2,15.0,0.831365139,0.354274917,4249.0
4269.2,4249.0,IF.CZC,4262.843212,2018/1/17,4273.2,0,17051.0,21805721880.0,13150.0,-4696.0,1.030638059,4250.6,20180117,4240.0,2018/1/17,4284.0,1.6,3.0,0.037655919,0.070604848,4252.0
4250.6,4252.0,IF.CZC,4276.491157,2018/1/18,4268.8,0,11591.0,14870642700.0,6357.0,-6793.0,0.865760128,4280.0,20180118,4257.2,2018/1/18,4294.0,28.0,20.0,0.658513641,0.470366886,4272.0
4280.0,4276.4,IF.CZC,4306.631128,2018/1/19,4293.4,0,14861.0,19200253560.0,19272.0,12915.0,0.929906542,4303.6,20180119,4290.2,2018/1/19,4330.0,27.2,28.2,0.636049013,0.659433168,4304.6
4303.6,4304.6,IF.CZC,4322.850714,2018/1/22,4297.6,0,14150.0,18350501280.0,19527.0,255.0,1.436007064,4354.8,20180122,4293.2,2018/1/22,4355.0,50.2,39.8,1.166194304,0.924592297,4344.4
