前收盘,前结算价,合约,均价,市场最近交易日,开盘价,成交笔数,成交量,成交额,持仓量,持仓量变化,振幅(收盘价),收盘价,日期,最低价,最近交易日期,最高价,涨跌(收盘价),涨跌(结算价),涨跌幅(收盘价),涨跌幅(结算价),结算价
2869.2,2866.6,IH.CZC,2904.121881,2018/1/2,2873.2,0,9954.0,8672288760.0,14162.0,277.0,1.631116688,2918.4,20180102,2873.2,2018/1/2,2920.0,51.8,47.4,1.807018768,1.653526826,2914.0
2918.4,2914.0,IH.CZC,2931.280839,2018/1/3,2920.8,0,11252.0,9894831600.0,14714.0,552.0,1.260964912,2923.0,20180103,2914.4,2018/1/3,2951.2,9.0,10.2,0.308853809,0.350034317,2924.2
2923.0,2924.2,IH.CZC,2927.176052,2018/1/4,2928.0,0,9763.0,8573405940.0,13876.0,-838.0,0.786862812,2929.2,20180104,2918.0,2018/1/4,2941.0,5.0,-0.2,0.170986937,-0.006839477,2924.0
2929.2,2924.0,IH.CZC,2934.717087,2018/1/5,2929.2,0,8995.0,7919334060.0,13552.0,-324.0,0.778369521,2942.8,20180105,2924.2,2018/1/5,2947.0,18.8,16.0,0.642954856,0.547195622,2940.0
2942.8,2940.0,IH.CZC,2946.492071,2018/1/8,2946.0,0,9043.0,7993538340.0,13602.0,50.0,0.829142313,2950.2,20180108,2935.0,2018/1/8,2959.4,10.2,8.2,0.346938776,0.278911565,2948.2
2950.2,2948.2,IH.CZC,2967.342478,2018/1/9,2950.2,0,8449.0,7521322980.0,13323.0,-279.0,1.037217816,2979.8,20180109,2949.2,2018/1/9,2979.8,31.6,25.4,1.071840445,0.861542636,2973.6
2979.8,2973.6,IH.CZC,2986.682681,2018/1/10,2979.0,0,10191.0,9131184960.0,13633.0,310.0,1.181287335,3000.4,20180110,2968.2,2018/1/10,3003.4,26.8,21.2,0.901264461,0.712940543,2994.8
3000.4,2994.8,IH.CZC,2997.262734,2018/1/11,2995.6,0,9443.0,8490945600.0,12565.0,-1068.0,0.799893348,2999.0,20180111,2987.2,2018/1/11,3011.2,4.2,5.0,0.140243088,0.166956057,2999.8
2999.0,2999.8,IH.CZC,3012.054916,2018/1/12,3002.6,0,9367.0,8464175520.0,12803.0,238.0,0.926975659,3026.6,20180112,2998.8,2018/1/12,3026.6,26.8,19.2,0.893392893,0.64004267,3019.0
3026.6,3019.0,IH.CZC,3050.911188,2018/1/15,3035.2,0,11325.0,10365470760.0,12444.0,-359.0,1.533073416,3049.2,20180115,3025.2,2018/1/15,3071.6,30.2,38.2,1.000331236,1.265319642,3057.2
3049.2,3057.2,IH.CZC,3054.58823,2018/1/16,3045.6,0,10790.0,9887702100.0,10567.0,-1877.0,1.11504657,3073.8,20180116,3040.2,2018/1/16,3074.2,16.6,0.0,0.542980505,0.0,3057.2
3073.8,3057.2,IH.CZC,3094.840059,2018/1/17,3077.0,0,12257.0,11380036380.0,8635.0,-1932.0,2.225258638,3079.0,20180117,3065.0,2018/1/17,3133.4,21.8,22.4,0.713070784,0.732696585,3079.6
3079.0,3079.6,IH.CZC,3107.847271,2018/1/18,3100.0,0,8170.0,7617333660.0,4428.0,-4207.0,1.234166937,3114.6,20180118,3089.6,2018/1/18,3127.6,35.0,23.2,1.136511235,0.75334459,3102.8
3114.6,3113.4,IH.CZC,3140.146867,2018/1/19,3148.8,0,12271.0,11559822660.0,12877.0,8449.0,1.232903102,3133.8,20180119,3117.0,2018/1/19,3155.4,20.4,17.4,0.655232222,0.558874542,3130.8
3133.8,3130.8,IH.CZC,3136.962984,2018/1/22,3125.0,0,11730.0,11038972740.0,12817.0,-60.0,0.970068288,3145.6,20180122,3123.0,2018/1/22,3153.4,14.8,7.0,0.472722627,0.223585026,3137.8
3145.6,3137.8,IH.CZC,3173.119143,2018/1/23,3156.8,0,12746.0,12133372980.0,13783.0,966.0,1.246185148,3195.0,20180123,3156.8,2018/1/23,3196.0,57.2,42.2,1.822933265,1.344891325,3180.0
3195.0,3180.0,IH.CZC,3193.312089,2018/1/24,3200.4,0,14310.0,13708888800.0,14649.0,866.0,1.564945227,3188.0,20180124,3163.0,2018/1/24,3213.0,8.0,10.2,0.251572327,0.320754717,3190.2
3188.0,3190.2,IH.CZC,3165.842416,2018/1/25,3188.2,0,13495.0,12816913020.0,14354.0,-295.0,1.518193225,3164.8,20180125,3140.0,2018/1/25,3188.4,-25.4,-16.8,-0.796188327,-0.526612752,3173.4
3164.8,3173.4,IH.CZC,3184.097631,2018/1/26,3163.0,0,12791.0,12218337840.0,14365.0,11.0,1.643073812,3189.0,20180126,3160.8,2018/1/26,3212.8,15.6,23.2,0.491586311,0.731077078,3196.6
3189.0,3196.6,IH.CZC,3173.761109,2018/1/29,3199.6,0,14934.0,14219084520.0,14994.0,629.0,2.941360928,3127.0,20180129,3117.8,2018/1/29,3211.6,-69.6,-59.4,-2.177313395,-1.858224363,3137.2
3127.0,3137.2,IH.CZC,3112.165714,2018/1/30,3129.0,0,12005.0,11208464820.0,14398.0,-596.0,1.669331628,3087.2,20180130,3086.6,2018/1/30,3138.8,-50.0,-43.0,-1.593777891,-1.370648986,3094.2
3087.2,3094.2,IH.CZC,3107.685292,2018/1/31,3079.6,0,13673.0,12747414300.0,14329.0,-69.0,1.697330915,3125.0,20180131,3075.4,2018/1/31,3127.8,30.8,20.4,0.995410769,0.659298041,3114.6
3125.0,3114.6,IH.CZC,3129.128302,2018/2/1,3125.8,0,13794.0,12948958740.0,14350.0,21.0,1.2288,3140.6,20180201,3107.8,2018/2/1,3146.2,26.0,17.0,0.834778142,0.545816477,3131.6
3140.6,3131.6,IH.CZC,3129.99147,2018/2/2,3120.8,0,14326.0,13452077340.0,14304.0,-46.0,2.343501242,3158.0,20180202,3089.8,2018/2/2,3163.4,26.4,21.0,0.843019543,0.670583727,3152.6
3158.0,3152.6,IH.CZC,3154.561019,2018/2/5,3119.6,0,13078.0,12376604700.0,14050.0,-254.0,2.457251425,3193.2,20180205,3117.2,2018/2/5,3194.8,40.6,30.8,1.287825921,0.976971389,3183.4
3193.2,3183.4,IH.CZC,3127.855825,2018/2/6,3145.0,0,17741.0,16647387060.0,15318.0,1268.0,2.198421646,3110.0,20180206,3096.2,2018/2/6,3166.4,-73.4,-72.6,-2.305710875,-2.280580511,3110.8
3110.0,3110.8,IH.CZC,3095.830449,2018/2/7,3148.0,0,19449.0,18063241920.0,13940.0,-1378.0,5.118971061,3018.4,20180207,3012.4,2018/2/7,3171.6,-92.4,-80.4,-2.97029703,-2.584544169,3030.4
3018.4,3030.4,IH.CZC,2975.627073,2018/2/8,3008.0,0,16555.0,14778451860.0,13011.0,-929.0,3.796713491,2936.0,20180208,2910.6,2018/2/8,3025.2,-94.4,-92.2,-3.115100317,-3.04250264,2938.2
2936.0,2938.2,IH.CZC,2791.836887,2018/2/9,2885.0,0,18733.0,15689844120.0,11947.0,-1064.0,7.186648501,2773.6,20180209,2674.0,2018/2/9,2885.0,-164.6,-180.0,-5.602069294,-6.126199714,2758.2
2773.6,2758.2,IH.CZC,2794.459207,2018/2/12,2785.2,0,12860.0,10781023620.0,8837.0,-3110.0,1.809922123,2792.2,20180212,2768.6,2018/2/12,2818.8,34.0,45.6,1.232687985,1.653252121,2803.8
2792.2,2801.6,IH.CZC,2851.182027,2018/2/13,2818.4,0,9058.0,7747802040.0,12862.0,4025.0,2.277773798,2837.2,20180213,2818.4,2018/2/13,2882.0,35.6,39.8,1.270702456,1.42061679,2841.4
2837.2,2841.4,IH.CZC,2857.03841,2018/2/14,2847.0,0,8982.0,7698575700.0,14136.0,1274.0,1.388693078,2867.2,20180214,2838.0,2018/2/14,2877.4,25.8,27.6,0.908003097,0.97135215,2869.0
2867.2,2869.0,IH.CZC,2913.000684,2018/2/22,2913.8,0,10529.0,9201295260.0,15789.0,1653.0,1.199776786,2916.0,20180222,2891.6,2018/2/22,2926.0,47.0,49.0,1.638201464,1.707912165,2918.0
2916.0,2918.0,IH.CZC,2940.824729,2018/2/23,2929.4,0,12641.0,11152489620.0,16850.0,1061.0,1.310013717,2953.8,20180223,2920.6,2018/2/23,2958.8,35.8,29.2,1.226867718,1.000685401,2947.2
2953.8,2947.2,IH.CZC,2963.398875,2018/2/26,2974.2,0,14405.0,12806328240.0,17352.0,502.0,1.929717652,2972.0,20180226,2930.8,2018/2/26,2987.8,24.8,26.4,0.841476656,0.895765472,2973.6
2972.0,2973.6,IH.CZC,2944.088008,2018/2/27,2982.4,0,14510.0,12815615100.0,17405.0,53.0,2.36204576,2917.6,20180227,2914.0,2018/2/27,2984.2,-56.0,-51.0,-1.883239171,-1.715092817,2922.6
2917.6,2922.6,IH.CZC,2884.590949,2018/2/28,2900.6,0,14894.0,12888929280.0,17485.0,80.0,1.583493282,2868.8,20180228,2860.4,2018/2/28,2906.6,-53.8,-39.0,-1.840826661,-1.334428249,2883.6
2868.8,2883.6,IH.CZC,2884.85449,2018/3/1,2855.2,0,14777.0,12788848440.0,17437.0,-48.0,2.112381484,2886.2,20180301,2849.0,2018/3/1,2909.6,2.6,1.4,0.090165071,0.048550423,2885.0
2886.2,2885.0,IH.CZC,2868.52862,2018/3/2,2861.2,0,13225.0,11380887300.0,17352.0,-85.0,1.344328182,2861.2,20180302,2850.6,2018/3/2,2889.4,-23.8,-19.4,-0.824956672,-0.672443674,2865.6
2861.2,2865.6,IH.CZC,2864.266662,2018/3/5,2871.4,0,13492.0,11593405740.0,17308.0,-44.0,2.104012303,2856.2,20180305,2838.8,2018/3/5,2899.0,-9.4,-8.4,-0.328029034,-0.293132328,2857.2
2856.2,2857.2,IH.CZC,2868.473088,2018/3/6,2882.0,0,15625.0,13445967600.0,18057.0,749.0,2.226734822,2895.8,20180306,2833.8,2018/3/6,2897.4,38.6,30.2,1.350972981,1.05697886,2887.4
2895.8,2887.4,IH.CZC,2896.170543,2018/3/7,2891.0,0,15494.0,13461979920.0,17025.0,-1032.0,2.320602252,2873.0,20180307,2858.8,2018/3/7,2926.0,-14.4,-12.0,-0.49871857,-0.415598809,2875.4
2873.0,2875.4,IH.CZC,2887.717742,2018/3/8,2885.0,0,13482.0,11679663180.0,16581.0,-444.0,1.357466063,2899.8,20180308,2866.0,2018/3/8,2905.0,24.4,20.2,0.848577589,0.702510955,2895.6
