前收盘,前结算价,合约,均价,市场最近交易日,开盘价,成交笔数,成交量,成交额,持仓量,持仓量变化,振幅(收盘价),收盘价,日期,最低价,最近交易日期,最高价,涨跌(收盘价),涨跌(结算价),涨跌幅(收盘价),涨跌幅(结算价),结算价
1979.5,1988.0,J.DCE,2005.845927,2018/1/2,1965.0,0,324554.0,65100531900.0,256096.0,-47034.0,3.662541046,2014.5,20180102,1962.5,2018/1/2,2035.0,26.5,17.5,1.332997988,0.88028169,2005.5
2014.5,2005.5,J.DCE,2028.37018,2018/1/3,2021.0,0,416708.0,84523808100.0,278828.0,22732.0,2.382725242,2015.0,20180103,2005.0,2018/1/3,2053.0,9.5,22.5,0.473697332,1.121914734,2028.0
2015.0,2028.0,J.DCE,2058.560374,2018/1/4,2015.0,0,624594.0,129000000000.0,328128.0,49300.0,5.012406948,2090.0,20180104,1999.0,2018/1/4,2100.0,62.0,30.5,3.057199211,1.503944773,2058.5
2090.0,2058.5,J.DCE,2069.537069,2018/1/5,2089.0,0,458610.0,94911039500.0,292430.0,-35698.0,2.751196172,2061.5,20180105,2038.0,2018/1/5,2095.5,3.0,11.0,0.145737187,0.534369687,2069.5
2061.5,2069.5,J.DCE,2061.309772,2018/1/8,2053.0,0,393276.0,81066366200.0,288662.0,-3768.0,2.401164201,2089.5,20180108,2040.0,2018/1/8,2089.5,20.0,-8.5,0.966417009,-0.410727229,2061.0
2089.5,2061.0,J.DCE,2079.549588,2018/1/9,2090.0,0,278980.0,58015274400.0,264252.0,-24410.0,1.627183537,2072.0,20180109,2061.0,2018/1/9,2095.0,11.0,18.5,0.533721494,0.897622513,2079.5
2072.0,2079.5,J.DCE,2039.513272,2018/1/10,2070.5,0,444100.0,90574784400.0,289940.0,25688.0,2.91988417,2025.0,20180110,2012.0,2018/1/10,2072.5,-54.5,-40.0,-2.620822313,-1.923539312,2039.5
2025.0,2039.5,J.DCE,2025.432906,2018/1/11,2030.5,0,327706.0,66374651600.0,266654.0,-23286.0,1.530864198,2029.5,20180111,2008.0,2018/1/11,2039.0,-10.0,-14.5,-0.490316254,-0.710958568,2025.0
2029.5,2025.0,J.DCE,2014.962702,2018/1/12,2030.0,0,297254.0,59895572300.0,266886.0,232.0,1.50283321,2011.0,20180112,2001.5,2018/1/12,2032.0,-14.0,-10.5,-0.691358025,-0.518518519,2014.5
2011.0,2014.5,J.DCE,1988.828507,2018/1/15,2008.0,0,317734.0,63191843700.0,275826.0,8940.0,2.734957732,1984.0,20180115,1964.0,2018/1/15,2019.0,-30.5,-26.0,-1.514023331,-1.290642839,1988.5
1984.0,1988.5,J.DCE,1976.668745,2018/1/16,1984.0,0,344260.0,68048798200.0,287138.0,11312.0,2.595766129,1959.5,20180116,1946.0,2018/1/16,1997.5,-29.0,-12.0,-1.458385718,-0.603469952,1976.5
1959.5,1976.5,J.DCE,1952.305056,2018/1/17,1963.5,0,365186.0,71295447400.0,292226.0,5088.0,1.990303649,1959.0,20180117,1930.0,2018/1/17,1969.0,-17.5,-24.5,-0.885403491,-1.239564887,1952.0
1959.0,1952.0,J.DCE,1968.063817,2018/1/18,1956.5,0,248522.0,48910715600.0,267530.0,-24696.0,1.378254211,1966.5,20180118,1953.0,2018/1/18,1980.0,14.5,16.0,0.742827869,0.819672131,1968.0
1966.5,1968.0,J.DCE,1967.346031,2018/1/19,1969.0,0,340452.0,66978689100.0,282104.0,14574.0,2.695143656,1987.0,20180119,1943.0,2018/1/19,1996.0,19.0,-1.0,0.965447154,-0.050813008,1967.0
1987.0,1967.0,J.DCE,2010.710173,2018/1/22,1990.0,0,400970.0,80623445800.0,265650.0,-16454.0,2.717664821,1996.5,20180122,1984.0,2018/1/22,2038.0,29.5,43.5,1.499745806,2.211489578,2010.5
1996.5,2010.5,J.DCE,1990.515325,2018/1/23,1998.0,0,322280.0,64150327900.0,255366.0,-10284.0,2.253944403,1993.0,20180123,1965.5,2018/1/23,2010.5,-17.5,-20.0,-0.870430241,-0.994777419,1990.5
1993.0,1990.5,J.DCE,1989.612982,2018/1/24,1993.0,0,245712.0,48887178500.0,247108.0,-8258.0,1.705970898,2000.5,20180124,1975.0,2018/1/24,2009.0,10.0,-1.0,0.502386335,-0.050238634,1989.5
2000.5,1989.5,J.DCE,2036.730989,2018/1/25,1999.5,0,398062.0,81074521100.0,293422.0,46314.0,4.048987753,2063.5,20180125,1997.0,2018/1/25,2078.0,74.0,47.0,3.719527519,2.362402614,2036.5
2063.5,2036.5,J.DCE,2049.327612,2018/1/26,2058.5,0,278436.0,57060658300.0,261652.0,-31770.0,1.768839351,2041.0,20180126,2030.0,2018/1/26,2066.5,4.5,12.5,0.220967346,0.613798183,2049.0
2041.0,2049.0,J.DCE,2040.286483,2018/1/29,2045.0,0,283368.0,57815190000.0,264124.0,2472.0,2.155805977,2032.5,20180129,2021.0,2018/1/29,2065.0,-16.5,-9.0,-0.805270864,-0.439238653,2040.0
2032.5,2040.0,J.DCE,2025.447309,2018/1/30,2031.0,0,270312.0,54750271300.0,254260.0,-9864.0,2.263222632,2012.5,20180130,2001.0,2018/1/30,2047.0,-27.5,-15.0,-1.348039216,-0.735294118,2025.0
2012.5,2025.0,J.DCE,1997.647473,2018/1/31,2018.0,0,300678.0,60064864700.0,254502.0,242.0,2.111801242,2007.0,20180131,1981.5,2018/1/31,2024.0,-18.0,-27.5,-0.888888889,-1.358024691,1997.5
2007.0,1997.5,J.DCE,2008.631977,2018/2/1,2009.0,0,287656.0,57779504000.0,240892.0,-13610.0,2.01793722,1999.5,20180201,1992.0,2018/2/1,2032.5,2.0,11.0,0.100125156,0.55068836,2008.5
1999.5,2008.5,J.DCE,2028.093164,2018/2/2,2010.0,0,325974.0,66110564100.0,261166.0,20274.0,2.375593898,2045.0,20180202,2002.5,2018/2/2,2050.0,36.5,19.5,1.817276575,0.970873786,2028.0
2045.0,2028.0,J.DCE,2075.686551,2018/2/5,2045.0,0,437070.0,90722032100.0,284310.0,23144.0,4.083129584,2123.5,20180205,2041.0,2018/2/5,2124.5,95.5,47.5,4.709072978,2.342209073,2075.5
2123.5,2075.5,J.DCE,2117.584997,2018/2/6,2124.0,0,406438.0,86066701100.0,309586.0,25276.0,2.142688957,2119.5,20180206,2094.5,2018/2/6,2140.0,44.0,42.0,2.119971091,2.023608769,2117.5
2119.5,2117.5,J.DCE,2138.194732,2018/2/7,2119.0,0,362986.0,77613475300.0,317066.0,7480.0,3.208303845,2155.5,20180207,2099.5,2018/2/7,2167.5,38.0,20.5,1.794569067,0.968122786,2138.0
2155.5,2138.0,J.DCE,2146.661109,2018/2/8,2159.0,0,283950.0,60954442200.0,311794.0,-5272.0,1.252609603,2147.0,20180208,2133.0,2018/2/8,2160.0,9.0,8.5,0.420954163,0.39756782,2146.5
2147.0,2146.5,J.DCE,2126.454555,2018/2/9,2150.0,0,394084.0,83800171700.0,287970.0,-23824.0,3.81928272,2105.5,20180209,2085.0,2018/2/9,2167.0,-41.0,-20.5,-1.910086187,-0.955043093,2126.0
2105.5,2126.0,J.DCE,2106.471276,2018/2/12,2111.0,0,267476.0,56343051100.0,255978.0,-31992.0,2.327238186,2110.5,20180212,2080.5,2018/2/12,2129.5,-15.5,-20.0,-0.729068674,-0.940733772,2106.0
2110.5,2106.0,J.DCE,2110.604235,2018/2/13,2110.0,0,151830.0,32045304100.0,235142.0,-20836.0,1.492537313,2111.5,20180213,2091.0,2018/2/13,2122.5,5.5,4.5,0.261158594,0.213675214,2110.5
2111.5,2110.5,J.DCE,2133.162028,2018/2/14,2112.0,0,162910.0,34751342600.0,226496.0,-8646.0,2.012787118,2141.5,20180214,2108.5,2018/2/14,2151.0,31.0,22.5,1.468846245,1.066098081,2133.0
2141.5,2133.0,J.DCE,2156.786176,2018/2/22,2151.0,0,195348.0,42132386600.0,256860.0,30364.0,3.035255662,2176.0,20180222,2123.0,2018/2/22,2188.0,43.0,23.5,2.015939991,1.101734646,2156.5
2176.0,2156.5,J.DCE,2189.192207,2018/2/23,2171.0,0,293174.0,64181423600.0,298002.0,41142.0,3.010110294,2221.0,20180223,2158.0,2018/2/23,2223.5,64.5,32.5,2.99095757,1.507071644,2189.0
2221.0,2189.0,J.DCE,2256.233675,2018/2/26,2220.0,0,310786.0,70120583900.0,323894.0,25892.0,3.692030617,2279.0,20180226,2211.0,2018/2/26,2293.0,90.0,67.0,4.111466423,3.060758337,2256.0
2279.0,2256.0,J.DCE,2269.523061,2018/2/27,2275.0,0,235682.0,53488573400.0,316668.0,-7226.0,1.228609039,2273.5,20180227,2256.0,2018/2/27,2284.0,17.5,13.5,0.77570922,0.598404255,2269.5
2273.5,2269.5,J.DCE,2250.213623,2018/2/28,2268.5,0,290620.0,65395708300.0,302374.0,-14294.0,2.001319551,2239.5,20180228,2226.0,2018/2/28,2271.5,-30.0,-19.5,-1.321877065,-0.859220093,2250.0
2239.5,2250.0,J.DCE,2252.564119,2018/3/1,2245.5,0,273132.0,61524734300.0,312964.0,10590.0,1.696807323,2258.5,20180301,2229.0,2018/3/1,2267.0,8.5,2.5,0.377777778,0.111111111,2252.5
2258.5,2252.5,J.DCE,2232.040897,2018/3/2,2253.0,0,304842.0,68041981100.0,309204.0,-3760.0,1.81536418,2242.0,20180302,2212.0,2018/3/2,2253.0,-10.5,-20.5,-0.466148724,-0.910099889,2232.0
