前收盘,前结算价,合约,均价,市场最近交易日,开盘价,成交笔数,成交量,成交额,持仓量,持仓量变化,振幅(收盘价),收盘价,日期,最低价,最近交易日期,最高价,涨跌(收盘价),涨跌(结算价),涨跌幅(收盘价),涨跌幅(结算价),结算价
1313.0,1314.5,JM.DCE,1325.861788,2018/1/2,1314.0,0,314832.0,25045423100.0,249926.0,-27676.0,2.551408987,1338.0,20180102,1308.0,2018/1/2,1341.5,23.5,11.0,1.787751997,0.836820084,1325.5
1338.0,1325.5,JM.DCE,1357.961505,2018/1/3,1339.5,0,427594.0,34839371500.0,287396.0,37470.0,2.802690583,1352.0,20180103,1334.5,2018/1/3,1372.0,26.5,32.0,1.999245568,2.414183327,1357.5
1352.0,1357.5,JM.DCE,1356.020471,2018/1/4,1352.0,0,514264.0,41841150700.0,294114.0,6718.0,2.736686391,1367.0,20180104,1340.0,2018/1/4,1377.0,9.5,-1.5,0.699815838,-0.110497238,1356.0
1367.0,1356.0,JM.DCE,1350.650805,2018/1/5,1367.0,0,396514.0,32133117200.0,266936.0,-27178.0,3.108997805,1360.5,20180105,1324.5,2018/1/5,1367.0,4.5,-5.5,0.331858407,-0.40560472,1350.5
1360.5,1350.5,JM.DCE,1362.044421,2018/1/8,1355.0,0,450368.0,36805273300.0,317868.0,50932.0,3.307607497,1390.5,20180108,1347.0,2018/1/8,1392.0,40.0,11.5,2.961865976,0.851536468,1362.0
1390.5,1362.0,JM.DCE,1384.469917,2018/1/9,1378.5,0,304638.0,25305728800.0,298790.0,-19078.0,1.258540093,1384.5,20180109,1376.0,2018/1/9,1393.5,22.5,22.0,1.651982379,1.615271659,1384.0
1384.5,1384.0,JM.DCE,1367.47272,2018/1/10,1382.0,0,398956.0,32733686800.0,312864.0,14074.0,2.672444926,1357.0,20180110,1352.0,2018/1/10,1389.0,-27.0,-17.0,-1.950867052,-1.228323699,1367.0
1357.0,1367.0,JM.DCE,1364.513394,2018/1/11,1360.0,0,403728.0,33053535800.0,325660.0,12796.0,2.43183493,1377.0,20180111,1353.0,2018/1/11,1386.0,10.0,-2.5,0.731528895,-0.182882224,1364.5
1377.0,1364.5,JM.DCE,1353.766016,2018/1/12,1375.0,0,436964.0,35492820800.0,322378.0,-3282.0,2.977487291,1345.5,20180112,1336.0,2018/1/12,1377.0,-19.0,-11.0,-1.392451447,-0.806156101,1353.5
1345.5,1353.5,JM.DCE,1330.244719,2018/1/15,1344.0,0,366202.0,29228296600.0,313208.0,-9170.0,2.675585284,1327.0,20180115,1313.0,2018/1/15,1349.0,-26.5,-23.5,-1.95788696,-1.736239379,1330.0
1327.0,1330.0,JM.DCE,1308.424281,2018/1/16,1322.5,0,466586.0,36629547100.0,348808.0,35600.0,4.973624717,1277.5,20180116,1267.0,2018/1/16,1333.0,-52.5,-22.0,-3.947368421,-1.654135338,1308.0
1277.5,1308.0,JM.DCE,1274.46414,2018/1/17,1276.5,0,459268.0,35119235800.0,315632.0,-33176.0,2.700587084,1284.0,20180117,1257.0,2018/1/17,1291.5,-24.0,-34.0,-1.834862385,-2.599388379,1274.0
1284.0,1274.0,JM.DCE,1279.56329,2018/1/18,1281.0,0,337394.0,25903018600.0,302188.0,-13444.0,2.024922118,1276.0,20180118,1267.0,2018/1/18,1293.0,2.0,5.5,0.156985871,0.431711146,1279.5
1276.0,1279.5,JM.DCE,1278.889237,2018/1/19,1279.0,0,401706.0,30824248800.0,301290.0,-898.0,2.311912226,1287.5,20180119,1263.5,2018/1/19,1293.0,8.0,-1.0,0.625244236,-0.07815553,1278.5
1287.5,1278.5,JM.DCE,1289.262373,2018/1/22,1289.0,0,498312.0,38547294700.0,309868.0,8578.0,4.0,1271.5,20180122,1260.5,2018/1/22,1312.0,-7.0,10.5,-0.547516621,0.821274932,1289.0
1271.5,1289.0,JM.DCE,1272.817777,2018/1/23,1275.0,0,430344.0,32864969600.0,286978.0,-22890.0,2.831301612,1284.5,20180123,1253.0,2018/1/23,1289.0,-4.5,-16.5,-0.349107836,-1.280062064,1272.5
1284.5,1272.5,JM.DCE,1285.221149,2018/1/24,1287.0,0,359772.0,27743195000.0,293012.0,6034.0,2.101985208,1289.0,20180124,1271.0,2018/1/24,1298.0,16.5,12.5,1.296660118,0.982318271,1285.0
1289.0,1285.0,JM.DCE,1308.008996,2018/1/25,1289.0,0,388572.0,30495340300.0,265064.0,-27948.0,3.335919317,1319.0,20180125,1286.0,2018/1/25,1329.0,34.0,23.0,2.645914397,1.789883268,1308.0
1319.0,1308.0,JM.DCE,1310.995288,2018/1/26,1319.0,0,308060.0,24231912500.0,251596.0,-13468.0,1.971190296,1301.0,20180126,1298.5,2018/1/26,1324.5,-7.0,2.5,-0.535168196,0.191131498,1310.5
