前收盘,前结算价,合约,均价,市场最近交易日,开盘价,成交笔数,成交量,成交额,持仓量,持仓量变化,振幅(收盘价),收盘价,日期,最低价,最近交易日期,最高价,涨跌(收盘价),涨跌(结算价),涨跌幅(收盘价),涨跌幅(结算价),结算价
3338.0,3338.0,JR.CZC,3337.5,2018/1/2,3338.0,0,0.0,0.0,6.0,0.0,0.0,3338.0,20180102,3338.0,2017/12/21,3338.0,-3338.0,0.0,0.0,0.0,3338.0
3338.0,3338.0,JR.CZC,3337.5,2018/1/3,3338.0,0,0.0,0.0,6.0,0.0,0.0,3338.0,20180103,3338.0,2017/12/21,3338.0,-3338.0,0.0,0.0,0.0,3338.0
3338.0,3338.0,JR.CZC,3337.5,2018/1/4,3338.0,0,0.0,0.0,6.0,0.0,0.0,3338.0,20180104,3338.0,2017/12/21,3338.0,-3338.0,0.0,0.0,0.0,3338.0
3338.0,3338.0,JR.CZC,3337.5,2018/1/5,3338.0,0,0.0,0.0,6.0,0.0,0.0,3338.0,20180105,3338.0,2017/12/21,3338.0,-3338.0,0.0,0.0,0.0,3338.0
3338.0,3338.0,JR.CZC,3337.5,2018/1/8,3338.0,0,0.0,0.0,6.0,0.0,0.0,3338.0,20180108,3338.0,2017/12/21,3338.0,-3338.0,0.0,0.0,0.0,3338.0
3338.0,3338.0,JR.CZC,3337.5,2018/1/9,3338.0,0,0.0,0.0,6.0,0.0,0.0,3338.0,20180109,3338.0,2017/12/21,3338.0,-3338.0,0.0,0.0,0.0,3338.0
3338.0,3338.0,JR.CZC,3337.5,2018/1/10,3338.0,0,0.0,0.0,6.0,0.0,0.0,3338.0,20180110,3338.0,2017/12/21,3338.0,-3338.0,0.0,0.0,0.0,3338.0
3338.0,3338.0,JR.CZC,3337.5,2018/1/11,3338.0,0,0.0,0.0,6.0,0.0,0.0,3338.0,20180111,3338.0,2017/12/21,3338.0,-3338.0,0.0,0.0,0.0,3338.0
3338.0,3338.0,JR.CZC,3205.0,2018/1/12,3204.0,0,2.0,128200.0,6.0,0.0,0.0,3204.0,20180112,3204.0,2018/1/12,3204.0,-134.0,-134.0,-4.014379868,-4.014379868,3204.0
3204.0,3204.0,JR.CZC,3205.0,2018/1/15,3204.0,0,0.0,0.0,6.0,0.0,0.0,3204.0,20180115,3204.0,2018/1/12,3204.0,-3204.0,0.0,0.0,0.0,3204.0
3204.0,3204.0,JR.CZC,3205.0,2018/1/16,3204.0,0,0.0,0.0,6.0,0.0,0.0,3204.0,20180116,3204.0,2018/1/12,3204.0,-3204.0,0.0,0.0,0.0,3204.0
3204.0,3204.0,JR.CZC,3205.0,2018/1/17,3204.0,0,0.0,0.0,6.0,0.0,0.0,3204.0,20180117,3204.0,2018/1/12,3204.0,-3204.0,0.0,0.0,0.0,3204.0
3204.0,3204.0,JR.CZC,3205.0,2018/1/18,3204.0,0,0.0,0.0,6.0,0.0,0.0,3204.0,20180118,3204.0,2018/1/12,3204.0,-3204.0,0.0,0.0,0.0,3204.0
3204.0,3204.0,JR.CZC,3205.0,2018/1/19,3204.0,0,0.0,0.0,6.0,0.0,0.0,3204.0,20180119,3204.0,2018/1/12,3204.0,-3204.0,0.0,0.0,0.0,3204.0
3204.0,3204.0,JR.CZC,3205.0,2018/1/22,3204.0,0,0.0,0.0,6.0,0.0,0.0,3204.0,20180122,3204.0,2018/1/12,3204.0,-3204.0,0.0,0.0,0.0,3204.0
3204.0,3204.0,JR.CZC,3205.0,2018/1/23,3204.0,0,0.0,0.0,6.0,0.0,0.0,3204.0,20180123,3204.0,2018/1/12,3204.0,-3204.0,0.0,0.0,0.0,3204.0
3204.0,3204.0,JR.CZC,3205.0,2018/1/24,3204.0,0,0.0,0.0,6.0,0.0,0.0,3204.0,20180124,3204.0,2018/1/12,3204.0,-3204.0,-50.0,-1.560549313,-1.560549313,3154.0
3204.0,3154.0,JR.CZC,3205.0,2018/1/25,3204.0,0,0.0,0.0,6.0,0.0,0.0,3204.0,20180125,3204.0,2018/1/12,3204.0,-3154.0,0.0,0.0,0.0,3154.0
3204.0,3154.0,JR.CZC,3205.0,2018/1/26,3204.0,0,0.0,0.0,6.0,0.0,0.0,3204.0,20180126,3204.0,2018/1/12,3204.0,-3154.0,-83.0,-2.631578947,-2.631578947,3071.0
3204.0,3071.0,JR.CZC,3152.5,2018/1/29,3194.0,0,4.0,252200.0,4.0,-2.0,2.67014002,3112.0,20180129,3112.0,2018/1/29,3194.0,41.0,82.0,1.33507001,2.67014002,3153.0
3112.0,3153.0,JR.CZC,3152.5,2018/1/30,3194.0,0,0.0,0.0,4.0,0.0,2.67014002,3112.0,20180130,3112.0,2018/1/29,3194.0,-3153.0,2.0,0.063431652,0.063431652,3155.0
