前收盘,前结算价,合约,均价,市场最近交易日,开盘价,成交笔数,成交量,成交额,持仓量,持仓量变化,振幅(收盘价),收盘价,日期,最低价,最近交易日期,最高价,涨跌(收盘价),涨跌(结算价),涨跌幅(收盘价),涨跌幅(结算价),结算价
9800.0,9770.0,L.DCE,9989.435505,2018/1/2,9810.0,0,816092.0,40761492000.0,576250.0,102172.0,2.908163265,9955.0,20180102,9810.0,2018/1/2,10095.0,185.0,215.0,1.893551689,2.200614125,9985.0
9955.0,9985.0,L.DCE,9949.642206,2018/1/3,9960.0,0,294862.0,14668857000.0,547130.0,-29120.0,0.954294324,9975.0,20180103,9900.0,2018/1/3,9995.0,-10.0,-40.0,-0.100150225,-0.400600901,9945.0
9975.0,9945.0,L.DCE,9973.427726,2018/1/4,10000.0,0,398900.0,19892001600.0,539944.0,-7186.0,1.503759399,9990.0,20180104,9885.0,2018/1/4,10035.0,45.0,25.0,0.452488688,0.251382604,9970.0
9990.0,9970.0,L.DCE,9941.386381,2018/1/5,9970.0,0,442418.0,21991241400.0,536522.0,-3422.0,1.651651652,9975.0,20180105,9850.0,2018/1/5,10015.0,5.0,-30.0,0.050150451,-0.300902708,9940.0
9975.0,9940.0,L.DCE,9973.664182,2018/1/8,9970.0,0,256472.0,12789828000.0,527394.0,-9128.0,0.952380952,9960.0,20180108,9930.0,2018/1/8,10025.0,20.0,30.0,0.201207243,0.301810865,9970.0
9960.0,9970.0,L.DCE,9935.797414,2018/1/9,9990.0,0,221002.0,10979155500.0,530742.0,3348.0,1.004016064,9930.0,20180109,9895.0,2018/1/9,9995.0,-40.0,-35.0,-0.401203611,-0.351053159,9935.0
9930.0,9935.0,L.DCE,10034.57515,2018/1/10,9950.0,0,500548.0,25113932600.0,536404.0,5662.0,1.812688822,10020.0,20180110,9930.0,2018/1/10,10110.0,85.0,95.0,0.855561147,0.9562154,10030.0
10020.0,10030.0,L.DCE,10053.69799,2018/1/11,10025.0,0,337508.0,16966017500.0,564628.0,28224.0,1.097804391,10085.0,20180111,10000.0,2018/1/11,10110.0,55.0,20.0,0.548354935,0.199401795,10050.0
10085.0,10050.0,L.DCE,10105.66989,2018/1/12,10060.0,0,419740.0,21208769400.0,616584.0,51956.0,1.289043133,10150.0,20180112,10035.0,2018/1/12,10165.0,100.0,55.0,0.995024876,0.547263682,10105.0
10150.0,10105.0,L.DCE,10123.81652,2018/1/15,10160.0,0,266106.0,13470041600.0,588744.0,-27840.0,0.886699507,10115.0,20180115,10090.0,2018/1/15,10180.0,10.0,15.0,0.09896091,0.148441366,10120.0
10115.0,10120.0,L.DCE,9956.929266,2018/1/16,10115.0,0,608812.0,30309490100.0,506848.0,-81896.0,3.163618389,9875.0,20180116,9825.0,2018/1/16,10145.0,-245.0,-165.0,-2.420948617,-1.630434783,9955.0
9875.0,9955.0,L.DCE,9857.785767,2018/1/17,9885.0,0,215858.0,10639409600.0,475982.0,-30866.0,1.012658228,9820.0,20180117,9810.0,2018/1/17,9910.0,-135.0,-100.0,-1.356102461,-1.004520342,9855.0
9820.0,9855.0,L.DCE,9843.817546,2018/1/18,9835.0,0,189352.0,9319732700.0,466746.0,-9236.0,0.814663951,9825.0,20180118,9800.0,2018/1/18,9880.0,-30.0,-15.0,-0.304414003,-0.152207002,9840.0
9825.0,9840.0,L.DCE,9831.336479,2018/1/19,9805.0,0,253472.0,12459842600.0,474582.0,7836.0,1.170483461,9865.0,20180119,9780.0,2018/1/19,9895.0,25.0,-10.0,0.254065041,-0.101626016,9830.0
9865.0,9830.0,L.DCE,9898.146628,2018/1/22,9875.0,0,203262.0,10059585400.0,477416.0,2834.0,0.810947795,9890.0,20180122,9860.0,2018/1/22,9940.0,60.0,65.0,0.610376399,0.661241099,9895.0
9890.0,9895.0,L.DCE,9900.202822,2018/1/23,9905.0,0,321858.0,15932297400.0,501806.0,24390.0,1.567239636,9965.0,20180123,9815.0,2018/1/23,9970.0,70.0,5.0,0.707427994,0.050530571,9900.0
9965.0,9900.0,L.DCE,9920.324166,2018/1/24,9940.0,0,334890.0,16611086800.0,482268.0,-19538.0,1.204214752,9890.0,20180124,9870.0,2018/1/24,9990.0,-10.0,20.0,-0.101010101,0.202020202,9920.0
9890.0,9920.0,L.DCE,9987.94626,2018/1/25,9950.0,0,364720.0,18214018800.0,480178.0,-2090.0,1.263902932,9945.0,20180125,9925.0,2018/1/25,10050.0,25.0,65.0,0.252016129,0.655241935,9985.0
9945.0,9985.0,L.DCE,9967.543505,2018/1/26,9915.0,0,271810.0,13546390000.0,490872.0,10694.0,1.407742584,10010.0,20180126,9890.0,2018/1/26,10030.0,25.0,-20.0,0.250375563,-0.200300451,9965.0
10010.0,9965.0,L.DCE,10002.22403,2018/1/29,10010.0,0,226256.0,11315316000.0,467360.0,-23512.0,1.048951049,9965.0,20180129,9960.0,2018/1/29,10065.0,0.0,35.0,0.0,0.351229303,10000.0
9965.0,10000.0,L.DCE,9900.436034,2018/1/30,9950.0,0,323186.0,15998411600.0,467142.0,-218.0,1.705970898,9840.0,20180130,9815.0,2018/1/30,9985.0,-160.0,-100.0,-1.6,-1.0,9900.0
9840.0,9900.0,L.DCE,9794.383305,2018/1/31,9800.0,0,255410.0,12507917200.0,442584.0,-24558.0,0.914634146,9795.0,20180131,9750.0,2018/1/31,9840.0,-105.0,-110.0,-1.060606061,-1.111111111,9790.0
9795.0,9790.0,L.DCE,9748.521274,2018/2/1,9805.0,0,243588.0,11873114000.0,429582.0,-13002.0,1.378254211,9720.0,20180201,9700.0,2018/2/1,9835.0,-70.0,-45.0,-0.715015322,-0.459652707,9745.0
9720.0,9745.0,L.DCE,9718.034986,2018/2/2,9770.0,0,200996.0,9766430800.0,427718.0,-1864.0,1.234567901,9660.0,20180202,9655.0,2018/2/2,9775.0,-85.0,-30.0,-0.872242175,-0.30785018,9715.0
9660.0,9715.0,L.DCE,9677.273653,2018/2/5,9640.0,0,249374.0,12066302200.0,427032.0,-686.0,1.19047619,9715.0,20180205,9615.0,2018/2/5,9730.0,0.0,-40.0,0.0,-0.411734431,9675.0
9715.0,9675.0,L.DCE,9637.740095,2018/2/6,9670.0,0,281534.0,13566757600.0,411502.0,-15530.0,1.338136902,9610.0,20180206,9575.0,2018/2/6,9705.0,-65.0,-40.0,-0.671834625,-0.413436693,9635.0
9610.0,9635.0,L.DCE,9613.192682,2018/2/7,9645.0,0,196988.0,9468418000.0,420834.0,9332.0,0.98855359,9585.0,20180207,9570.0,2018/2/7,9665.0,-50.0,-25.0,-0.51894136,-0.25947068,9610.0
9585.0,9610.0,L.DCE,9539.670987,2018/2/8,9555.0,0,336400.0,16045726600.0,408152.0,-12682.0,1.356285863,9555.0,20180208,9470.0,2018/2/8,9600.0,-55.0,-75.0,-0.572320499,-0.780437045,9535.0
9555.0,9535.0,L.DCE,9545.149046,2018/2/9,9550.0,0,221408.0,10566861800.0,396434.0,-11718.0,1.098901099,9510.0,20180209,9490.0,2018/2/9,9595.0,-25.0,10.0,-0.262191924,0.10487677,9545.0
9510.0,9545.0,L.DCE,9482.163904,2018/2/12,9500.0,0,225278.0,10680614600.0,408924.0,12490.0,1.104100946,9440.0,20180212,9425.0,2018/2/12,9530.0,-105.0,-65.0,-1.100052383,-0.680984809,9480.0
9440.0,9480.0,L.DCE,9430.716926,2018/2/13,9450.0,0,127712.0,6022078600.0,385148.0,-23776.0,0.688559322,9420.0,20180213,9400.0,2018/2/13,9465.0,-60.0,-50.0,-0.632911392,-0.52742616,9430.0
9420.0,9430.0,L.DCE,9509.5333,2018/2/14,9435.0,0,185858.0,8837114200.0,379152.0,-5996.0,1.167728238,9535.0,20180214,9435.0,2018/2/14,9545.0,105.0,75.0,1.113467656,0.79533404,9505.0
9535.0,9505.0,L.DCE,9572.159394,2018/2/22,9555.0,0,181236.0,8674099400.0,382004.0,2852.0,1.206082853,9520.0,20180222,9515.0,2018/2/22,9630.0,15.0,65.0,0.157811678,0.683850605,9570.0
9520.0,9570.0,L.DCE,9578.74511,2018/2/23,9560.0,0,173832.0,8325462100.0,394386.0,12382.0,0.577731092,9590.0,20180223,9550.0,2018/2/23,9605.0,20.0,5.0,0.208986416,0.052246604,9575.0
9590.0,9575.0,L.DCE,9601.480353,2018/2/26,9610.0,0,265180.0,12730602800.0,410284.0,15898.0,1.251303441,9565.0,20180226,9545.0,2018/2/26,9665.0,-10.0,25.0,-0.104438642,0.261096606,9600.0
9565.0,9600.0,L.DCE,9499.785912,2018/2/27,9565.0,0,343036.0,16293842800.0,431542.0,21258.0,1.725039205,9485.0,20180227,9425.0,2018/2/27,9590.0,-115.0,-105.0,-1.197916667,-1.09375,9495.0
9485.0,9495.0,L.DCE,9496.261402,2018/2/28,9465.0,0,187466.0,8901130700.0,424874.0,-6668.0,0.632577754,9485.0,20180228,9465.0,2018/2/28,9525.0,-10.0,0.0,-0.105318589,0.0,9495.0
9485.0,9495.0,L.DCE,9605.874499,2018/3/1,9465.0,0,497622.0,23900472400.0,462932.0,38058.0,2.635740643,9680.0,20180301,9455.0,2018/3/1,9705.0,185.0,110.0,1.948393892,1.158504476,9605.0
9680.0,9605.0,L.DCE,9641.6118,2018/3/2,9670.0,0,218166.0,10517359400.0,436008.0,-26924.0,0.568181818,9625.0,20180302,9615.0,2018/3/2,9670.0,20.0,35.0,0.208224883,0.364393545,9640.0
9625.0,9640.0,L.DCE,9598.978681,2018/3/5,9635.0,0,289782.0,13908056200.0,428236.0,-7772.0,1.402597403,9540.0,20180305,9540.0,2018/3/5,9675.0,-100.0,-45.0,-1.037344398,-0.466804979,9595.0
9540.0,9595.0,L.DCE,9531.847138,2018/3/6,9560.0,0,328454.0,15653866600.0,421374.0,-6862.0,1.100628931,9535.0,20180306,9475.0,2018/3/6,9580.0,-60.0,-65.0,-0.62532569,-0.677436165,9530.0
9535.0,9530.0,L.DCE,9468.725167,2018/3/7,9530.0,0,388898.0,18411841400.0,404336.0,-17038.0,1.520713162,9470.0,20180307,9400.0,2018/3/7,9545.0,-60.0,-65.0,-0.629590766,-0.682056663,9465.0
9470.0,9465.0,L.DCE,9382.708857,2018/3/8,9470.0,0,353064.0,16563483600.0,437644.0,33308.0,2.111932418,9305.0,20180308,9285.0,2018/3/8,9485.0,-160.0,-85.0,-1.690438457,-0.898045431,9380.0
9305.0,9380.0,L.DCE,9316.306674,2018/3/9,9310.0,0,281654.0,13119875200.0,403534.0,-34110.0,1.074691026,9305.0,20180309,9260.0,2018/3/9,9360.0,-75.0,-65.0,-0.799573561,-0.692963753,9315.0
9305.0,9315.0,L.DCE,9229.183936,2018/3/12,9365.0,0,463248.0,21377005000.0,420668.0,17134.0,2.525523912,9160.0,20180312,9135.0,2018/3/12,9370.0,-155.0,-90.0,-1.663982823,-0.966183575,9225.0
9160.0,9225.0,L.DCE,9193.342829,2018/3/13,9170.0,0,186746.0,8584100000.0,395472.0,-25196.0,0.873362445,9195.0,20180313,9145.0,2018/3/13,9225.0,-30.0,-35.0,-0.325203252,-0.379403794,9190.0
9195.0,9190.0,L.DCE,9295.0847,2018/3/14,9205.0,0,400000.0,18590169400.0,380922.0,-14550.0,2.066340402,9350.0,20180314,9175.0,2018/3/14,9365.0,160.0,105.0,1.741022851,1.142546246,9295.0
9350.0,9295.0,L.DCE,9324.388903,2018/3/15,9330.0,0,243382.0,11346942100.0,383460.0,2538.0,0.962566845,9330.0,20180315,9275.0,2018/3/15,9365.0,35.0,25.0,0.37654653,0.268961807,9320.0
9330.0,9320.0,L.DCE,9270.944413,2018/3/16,9330.0,0,276574.0,12820510900.0,385894.0,2434.0,1.286173633,9260.0,20180316,9225.0,2018/3/16,9345.0,-60.0,-50.0,-0.643776824,-0.536480687,9270.0
9260.0,9270.0,L.DCE,9341.046711,2018/3/19,9270.0,0,365010.0,17047877300.0,403498.0,17604.0,1.781857451,9345.0,20180319,9225.0,2018/3/19,9390.0,75.0,70.0,0.809061489,0.755124056,9340.0
9345.0,9340.0,L.DCE,9264.200837,2018/3/20,9345.0,0,418688.0,19394048600.0,414786.0,11288.0,2.140181915,9315.0,20180320,9165.0,2018/3/20,9365.0,-25.0,-80.0,-0.267665953,-0.856531049,9260.0
9315.0,9260.0,L.DCE,9308.308014,2018/3/21,9350.0,0,243028.0,11310897400.0,390944.0,-23842.0,1.341921632,9275.0,20180321,9240.0,2018/3/21,9365.0,15.0,45.0,0.161987041,0.485961123,9305.0
9275.0,9305.0,L.DCE,9341.265323,2018/3/22,9330.0,0,289602.0,13526245600.0,391278.0,334.0,1.563342318,9270.0,20180322,9265.0,2018/3/22,9410.0,-35.0,35.0,-0.376141859,0.376141859,9340.0
9270.0,9340.0,L.DCE,9143.235424,2018/3/23,9215.0,0,444560.0,20323583700.0,361350.0,-29928.0,1.725997843,9165.0,20180323,9070.0,2018/3/23,9230.0,-175.0,-200.0,-1.87366167,-2.141327623,9140.0
9165.0,9140.0,L.DCE,9115.054406,2018/3/26,9205.0,0,288022.0,13126681000.0,359318.0,-2032.0,1.963993453,9060.0,20180326,9045.0,2018/3/26,9225.0,-80.0,-25.0,-0.875273523,-0.273522976,9115.0
9060.0,9115.0,L.DCE,9134.703008,2018/3/27,9095.0,0,253374.0,11572481200.0,340802.0,-18516.0,1.269315673,9175.0,20180327,9065.0,2018/3/27,9180.0,60.0,15.0,0.658255623,0.164563906,9130.0
9175.0,9130.0,L.DCE,9168.748967,2018/3/28,9145.0,0,239690.0,10988287200.0,335634.0,-5168.0,1.307901907,9140.0,20180328,9110.0,2018/3/28,9230.0,10.0,35.0,0.109529025,0.383351588,9165.0
9140.0,9165.0,L.DCE,9177.668695,2018/3/29,9145.0,0,191618.0,8793032600.0,326158.0,-9476.0,1.039387309,9220.0,20180329,9125.0,2018/3/29,9220.0,55.0,10.0,0.600109111,0.109110747,9175.0
9220.0,9175.0,L.DCE,9237.699472,2018/3/30,9225.0,0,272720.0,12596527000.0,302130.0,-24028.0,1.084598698,9225.0,20180330,9185.0,2018/3/30,9285.0,50.0,60.0,0.544959128,0.653950954,9235.0
9225.0,9235.0,L.DCE,9265.550141,2018/4/2,9260.0,0,235576.0,10913706200.0,256956.0,-45174.0,1.192411924,9295.0,20180402,9210.0,2018/4/2,9320.0,60.0,30.0,0.64970222,0.32485111,9265.0
9295.0,9265.0,L.DCE,9263.055542,2018/4/3,9275.0,0,122610.0,5678716200.0,239598.0,-17358.0,0.537923615,9265.0,20180403,9235.0,2018/4/3,9285.0,0.0,-5.0,0.0,-0.053966541,9260.0
9265.0,9185.0,L.DCE,9146.537773,2018/4/4,9160.0,0,136392.0,6237572900.0,276536.0,36938.0,0.917431193,9145.0,20180404,9110.0,2018/4/4,9195.0,-40.0,-40.0,-0.435492651,-0.435492651,9145.0
9145.0,9145.0,L.DCE,9234.587374,2018/4/9,9160.0,0,167682.0,7742370400.0,299382.0,22846.0,1.421541826,9260.0,20180409,9155.0,2018/4/9,9285.0,115.0,85.0,1.257517769,0.929469656,9230.0
9260.0,9230.0,L.DCE,9289.871506,2018/4/10,9260.0,0,150668.0,6998431800.0,317280.0,17898.0,0.755939525,9305.0,20180410,9260.0,2018/4/10,9330.0,75.0,55.0,0.812567714,0.59588299,9285.0
9305.0,9285.0,L.DCE,9318.483392,2018/4/11,9340.0,0,250058.0,11650806600.0,332602.0,15322.0,1.289629232,9300.0,20180411,9260.0,2018/4/11,9380.0,15.0,30.0,0.161550889,0.323101777,9315.0
9300.0,9315.0,L.DCE,9293.230868,2018/4/12,9325.0,0,228564.0,10620490100.0,327812.0,-4790.0,1.021505376,9280.0,20180412,9250.0,2018/4/12,9345.0,-35.0,-25.0,-0.375738057,-0.268384326,9290.0
9280.0,9290.0,L.DCE,9283.292431,2018/4/13,9270.0,0,249536.0,11582578300.0,351738.0,23926.0,1.239224138,9270.0,20180413,9225.0,2018/4/13,9340.0,-20.0,-10.0,-0.215285253,-0.107642626,9280.0
9270.0,9280.0,L.DCE,9236.608603,2018/4/16,9270.0,0,435732.0,20123429700.0,388512.0,36774.0,2.103559871,9160.0,20180416,9135.0,2018/4/16,9330.0,-120.0,-45.0,-1.293103448,-0.484913793,9235.0
9160.0,9235.0,L.DCE,9176.374912,2018/4/17,9160.0,0,232844.0,10683319200.0,372370.0,-16142.0,0.818777293,9175.0,20180417,9140.0,2018/4/17,9215.0,-60.0,-60.0,-0.64970222,-0.64970222,9175.0
9175.0,9175.0,L.DCE,9227.669811,2018/4/18,9210.0,0,242358.0,11181998000.0,387042.0,14672.0,0.926430518,9210.0,20180418,9185.0,2018/4/18,9270.0,35.0,50.0,0.38147139,0.544959128,9225.0
9210.0,9225.0,L.DCE,9283.21299,2018/4/19,9275.0,0,369444.0,17148136700.0,386362.0,-680.0,1.411509229,9290.0,20180419,9220.0,2018/4/19,9350.0,65.0,55.0,0.704607046,0.596205962,9280.0
9290.0,9280.0,L.DCE,9230.79880382,2018/04/20,9270.0,0,473508.0,21854285400.0,446606.0,60244.0,2.4219590958,9130.0,20180420,9110.0,2018/04/20,9335.0,-150.0,-50.0,-1.61637931034,-0.538793103448,9230.0
9130.0,9230.0,L.DCE,9172.106903,2018/04/23,9160.0,0,231088.0,10597819200.0,431068.0,-15538.0,0.711938663746,9195.0,20180423,9135.0,2018/04/23,9200.0,-35.0,-60.0,-0.379198266522,-0.650054171181,9170.0
9195.0,9170.0,L.DCE,9221.21597048,2018/04/24,9200.0,0,227670.0,10496971200.0,429388.0,-1680.0,0.815660685155,9230.0,20180424,9175.0,2018/04/24,9250.0,60.0,50.0,0.654307524537,0.545256270447,9220.0
9230.0,9220.0,L.DCE,9235.22942865,2018/04/25,9205.0,0,339234.0,15664519100.0,430044.0,656.0,1.46262188516,9275.0,20180425,9160.0,2018/04/25,9295.0,55.0,15.0,0.596529284165,0.162689804772,9235.0
9275.0,9235.0,L.DCE,9282.38282814,2018/04/26,9275.0,0,214770.0,9967886800.0,423458.0,-6586.0,0.700808625337,9260.0,20180426,9250.0,2018/04/26,9315.0,25.0,45.0,0.270709258257,0.487276664862,9280.0
9260.0,9280.0,L.DCE,9283.91169644,2018/04/27,9260.0,0,195598.0,9079572800.0,428050.0,4592.0,0.701943844492,9275.0,20180427,9250.0,2018/04/27,9315.0,-5.0,0.0,-0.0538793103448,0.0,9280.0
9275.0,9280.0,L.DCE,9386.23831438,2018/05/02,9275.0,0,345510.0,16215196000.0,442980.0,14930.0,1.67115902965,9415.0,20180502,9270.0,2018/05/02,9425.0,135.0,105.0,1.45474137931,1.13146551724,9385.0
9415.0,9385.0,L.DCE,9439.93875048,2018/05/03,9420.0,0,265798.0,12545584200.0,455178.0,12198.0,1.11524163569,9485.0,20180503,9390.0,2018/05/03,9495.0,100.0,50.0,1.06553010123,0.532765050613,9435.0
9485.0,9435.0,L.DCE,9515.82774679,2018/05/04,9485.0,0,234492.0,11156927400.0,463168.0,7990.0,0.685292567211,9540.0,20180504,9480.0,2018/05/04,9545.0,105.0,80.0,1.11287758347,0.84790673026,9515.0
9540.0,9515.0,L.DCE,9552.2195598,2018/05/07,9550.0,0,252068.0,12039044400.0,472150.0,8982.0,0.890985324948,9575.0,20180507,9505.0,2018/05/07,9590.0,60.0,35.0,0.630583289543,0.367840252233,9550.0
9575.0,9550.0,L.DCE,9532.93970666,2018/05/08,9565.0,0,196904.0,9385369800.0,464020.0,-8130.0,0.783289817232,9550.0,20180508,9490.0,2018/05/08,9565.0,0.0,-20.0,0.0,-0.20942408377,9530.0
9550.0,9530.0,L.DCE,9561.99290138,2018/05/09,9550.0,0,287380.0,13739627600.0,464296.0,276.0,1.30890052356,9530.0,20180509,9510.0,2018/05/09,9635.0,0.0,30.0,0.0,0.314795383001,9560.0
9530.0,9560.0,L.DCE,9523.31362336,2018/05/10,9550.0,0,238458.0,11354551600.0,457790.0,-6506.0,1.1017838405,9515.0,20180510,9470.0,2018/05/10,9575.0,-45.0,-40.0,-0.470711297071,-0.418410041841,9520.0
9515.0,9520.0,L.DCE,9500.57954798,2018/05/11,9520.0,0,252024.0,11971870300.0,448664.0,-9126.0,1.05097214924,9520.0,20180511,9440.0,2018/05/11,9540.0,0.0,-20.0,0.0,-0.210084033613,9500.0
9520.0,9500.0,L.DCE,9504.25135809,2018/05/14,9540.0,0,348284.0,16550893400.0,460306.0,11642.0,1.94327731092,9440.0,20180514,9410.0,2018/05/14,9595.0,-60.0,0.0,-0.631578947368,0.0,9500.0
9440.0,9500.0,L.DCE,9440.47312976,2018/05/15,9460.0,0,172384.0,8136932600.0,451294.0,-9012.0,0.688559322034,9440.0,20180515,9405.0,2018/05/15,9470.0,-60.0,-60.0,-0.631578947368,-0.631578947368,9440.0
9440.0,9440.0,L.DCE,9471.76066997,2018/05/16,9450.0,0,319776.0,15144208700.0,453222.0,1928.0,1.21822033898,9455.0,20180516,9420.0,2018/05/16,9535.0,15.0,30.0,0.158898305085,0.317796610169,9470.0
9455.0,9470.0,L.DCE,9420.42380288,2018/05/17,9470.0,0,329540.0,15522032300.0,454062.0,840.0,1.48069804336,9375.0,20180517,9350.0,2018/05/17,9490.0,-95.0,-50.0,-1.00316789863,-0.527983104541,9420.0
