前收盘,前结算价,合约,均价,市场最近交易日,开盘价,成交笔数,成交量,成交额,持仓量,持仓量变化,振幅(收盘价),收盘价,日期,最低价,最近交易日期,最高价,涨跌(收盘价),涨跌(结算价),涨跌幅(收盘价),涨跌幅(结算价),结算价
3088.0,3088.0,LR.CZC,3087.5,2018/1/2,3088.0,0,0.0,0.0,2.0,0.0,0.0,3088.0,20180102,3088.0,2017/12/25,3088.0,-3088.0,0.0,0.0,0.0,3088.0
3088.0,3088.0,LR.CZC,3087.5,2018/1/3,3088.0,0,0.0,0.0,2.0,0.0,0.0,3088.0,20180103,3088.0,2017/12/25,3088.0,-3088.0,0.0,0.0,0.0,3088.0
3088.0,3088.0,LR.CZC,3087.5,2018/1/4,3088.0,0,0.0,0.0,2.0,0.0,0.0,3088.0,20180104,3088.0,2017/12/25,3088.0,-3088.0,0.0,0.0,0.0,3088.0
3088.0,3088.0,LR.CZC,3087.5,2018/1/5,3088.0,0,0.0,0.0,2.0,0.0,0.0,3088.0,20180105,3088.0,2017/12/25,3088.0,-3088.0,0.0,0.0,0.0,3088.0
3088.0,3088.0,LR.CZC,3087.5,2018/1/8,3088.0,0,0.0,0.0,2.0,0.0,0.0,3088.0,20180108,3088.0,2017/12/25,3088.0,-3088.0,0.0,0.0,0.0,3088.0
3088.0,3088.0,LR.CZC,3087.5,2018/1/9,3088.0,0,0.0,0.0,2.0,0.0,0.0,3088.0,20180109,3088.0,2017/12/25,3088.0,-3088.0,0.0,0.0,0.0,3088.0
3088.0,3088.0,LR.CZC,3087.5,2018/1/10,3088.0,0,0.0,0.0,2.0,0.0,0.0,3088.0,20180110,3088.0,2017/12/25,3088.0,-3088.0,0.0,0.0,0.0,3088.0
3088.0,3088.0,LR.CZC,3087.5,2018/1/11,3088.0,0,0.0,0.0,2.0,0.0,0.0,3088.0,20180111,3088.0,2017/12/25,3088.0,-3088.0,0.0,0.0,0.0,3088.0
3088.0,3088.0,LR.CZC,3087.5,2018/1/12,3088.0,0,0.0,0.0,2.0,0.0,0.0,3088.0,20180112,3088.0,2017/12/25,3088.0,-3088.0,0.0,0.0,0.0,3088.0
3088.0,3088.0,LR.CZC,3087.5,2018/1/15,3088.0,0,0.0,0.0,2.0,0.0,0.0,3088.0,20180115,3088.0,2017/12/25,3088.0,-3088.0,0.0,0.0,0.0,3088.0
3088.0,3088.0,LR.CZC,3087.5,2018/1/16,3088.0,0,0.0,0.0,2.0,0.0,0.0,3088.0,20180116,3088.0,2017/12/25,3088.0,-3088.0,0.0,0.0,0.0,3088.0
3088.0,3088.0,LR.CZC,3087.5,2018/1/17,3088.0,0,0.0,0.0,2.0,0.0,0.0,3088.0,20180117,3088.0,2017/12/25,3088.0,-3088.0,0.0,0.0,0.0,3088.0
3088.0,3088.0,LR.CZC,3087.5,2018/1/18,3088.0,0,0.0,0.0,2.0,0.0,0.0,3088.0,20180118,3088.0,2017/12/25,3088.0,-3088.0,0.0,0.0,0.0,3088.0
3088.0,3088.0,LR.CZC,3087.5,2018/1/19,3088.0,0,0.0,0.0,2.0,0.0,0.0,3088.0,20180119,3088.0,2017/12/25,3088.0,-3088.0,0.0,0.0,0.0,3088.0
3088.0,3088.0,LR.CZC,3087.5,2018/1/22,3088.0,0,0.0,0.0,2.0,0.0,0.0,3088.0,20180122,3088.0,2017/12/25,3088.0,-3088.0,0.0,0.0,0.0,3088.0
3088.0,3088.0,LR.CZC,3087.5,2018/1/23,3088.0,0,0.0,0.0,2.0,0.0,0.0,3088.0,20180123,3088.0,2017/12/25,3088.0,-3088.0,0.0,0.0,0.0,3088.0
3088.0,3088.0,LR.CZC,3087.5,2018/1/24,3088.0,0,0.0,0.0,2.0,0.0,0.0,3088.0,20180124,3088.0,2017/12/25,3088.0,-3088.0,0.0,0.0,0.0,3088.0
3088.0,3088.0,LR.CZC,3155.714286,2018/1/25,2964.0,0,28.0,1767200.0,8.0,6.0,7.998704663,3150.0,20180125,2964.0,2018/1/25,3211.0,62.0,68.0,2.007772021,2.202072539,3156.0
3150.0,3156.0,LR.CZC,3155.714286,2018/1/26,2964.0,0,0.0,0.0,8.0,0.0,7.998704663,3150.0,20180126,2964.0,2018/1/25,3211.0,-3156.0,0.0,0.0,0.0,3156.0
3150.0,3156.0,LR.CZC,3183.571429,2018/1/29,3181.0,0,14.0,891400.0,8.0,0.0,0.253485425,3186.0,20180129,3181.0,2018/1/29,3189.0,30.0,28.0,0.950570342,0.887198986,3184.0
3186.0,3184.0,LR.CZC,3183.571429,2018/1/30,3181.0,0,0.0,0.0,8.0,0.0,0.253485425,3186.0,20180130,3181.0,2018/1/29,3189.0,-3184.0,0.0,0.0,0.0,3184.0
3186.0,3184.0,LR.CZC,3183.571429,2018/1/31,3181.0,0,0.0,0.0,8.0,0.0,0.253485425,3186.0,20180131,3181.0,2018/1/29,3189.0,-3184.0,0.0,0.0,0.0,3184.0
3186.0,3184.0,LR.CZC,3183.571429,2018/2/1,3181.0,0,0.0,0.0,8.0,0.0,0.253485425,3186.0,20180201,3181.0,2018/1/29,3189.0,-3184.0,0.0,0.0,0.0,3184.0
3186.0,3184.0,LR.CZC,3183.571429,2018/2/2,3181.0,0,0.0,0.0,8.0,0.0,0.253485425,3186.0,20180202,3181.0,2018/1/29,3189.0,-3184.0,0.0,0.0,0.0,3184.0
3186.0,3184.0,LR.CZC,3183.571429,2018/2/5,3181.0,0,0.0,0.0,8.0,0.0,0.253485425,3186.0,20180205,3181.0,2018/1/29,3189.0,-3184.0,0.0,0.0,0.0,3184.0
3186.0,3184.0,LR.CZC,3183.571429,2018/2/6,3181.0,0,0.0,0.0,8.0,0.0,0.253485425,3186.0,20180206,3181.0,2018/1/29,3189.0,-3184.0,0.0,0.0,0.0,3184.0
3186.0,3184.0,LR.CZC,3183.571429,2018/2/7,3181.0,0,0.0,0.0,8.0,0.0,0.253485425,3186.0,20180207,3181.0,2018/1/29,3189.0,-3184.0,0.0,0.0,0.0,3184.0
3186.0,3184.0,LR.CZC,3183.571429,2018/2/8,3181.0,0,0.0,0.0,8.0,0.0,0.253485425,3186.0,20180208,3181.0,2018/1/29,3189.0,-3184.0,0.0,0.0,0.0,3184.0
3186.0,3184.0,LR.CZC,3183.571429,2018/2/9,3181.0,0,0.0,0.0,8.0,0.0,0.253485425,3186.0,20180209,3181.0,2018/1/29,3189.0,-3184.0,0.0,0.0,0.0,3184.0
3186.0,3184.0,LR.CZC,3116.785714,2018/2/12,3114.0,0,14.0,872700.0,2.0,-6.0,0.408291457,3119.0,20180212,3114.0,2018/2/12,3127.0,-65.0,-67.0,-2.041457286,-2.104271357,3117.0
3119.0,3117.0,LR.CZC,3116.785714,2018/2/13,3114.0,0,0.0,0.0,2.0,0.0,0.408291457,3119.0,20180213,3114.0,2018/2/12,3127.0,-3117.0,0.0,0.0,0.0,3117.0
3119.0,3117.0,LR.CZC,3116.785714,2018/2/14,3114.0,0,0.0,0.0,2.0,0.0,0.408291457,3119.0,20180214,3114.0,2018/2/12,3127.0,-3117.0,0.0,0.0,0.0,3117.0
3119.0,3117.0,LR.CZC,3116.785714,2018/2/22,3114.0,0,0.0,0.0,2.0,0.0,0.408291457,3119.0,20180222,3114.0,2018/2/12,3127.0,-3117.0,0.0,0.0,0.0,3117.0
3119.0,3117.0,LR.CZC,3116.785714,2018/2/23,3114.0,0,0.0,0.0,2.0,0.0,0.408291457,3119.0,20180223,3114.0,2018/2/12,3127.0,-3117.0,0.0,0.0,0.0,3117.0
3119.0,3117.0,LR.CZC,3116.785714,2018/2/26,3114.0,0,0.0,0.0,2.0,0.0,0.408291457,3119.0,20180226,3114.0,2018/2/12,3127.0,-3117.0,0.0,0.0,0.0,3117.0
3119.0,3117.0,LR.CZC,3116.785714,2018/2/27,3114.0,0,0.0,0.0,2.0,0.0,0.408291457,3119.0,20180227,3114.0,2018/2/12,3127.0,-3117.0,0.0,0.0,0.0,3117.0
3119.0,3117.0,LR.CZC,3116.785714,2018/2/28,3114.0,0,0.0,0.0,2.0,0.0,0.408291457,3119.0,20180228,3114.0,2018/2/12,3127.0,-3117.0,0.0,0.0,0.0,3117.0
3119.0,3117.0,LR.CZC,3116.785714,2018/3/1,3114.0,0,0.0,0.0,2.0,0.0,0.408291457,3119.0,20180301,3114.0,2018/2/12,3127.0,-3117.0,0.0,0.0,0.0,3117.0
3119.0,3117.0,LR.CZC,3116.785714,2018/3/2,3114.0,0,0.0,0.0,2.0,0.0,0.408291457,3119.0,20180302,3114.0,2018/2/12,3127.0,-3117.0,0.0,0.0,0.0,3117.0
3119.0,3117.0,LR.CZC,3070.416667,2018/3/5,2992.0,0,12.0,736900.0,4.0,2.0,6.095604748,2993.0,20180305,2992.0,2018/3/5,3182.0,-124.0,-46.0,-3.978184151,-1.475777992,3071.0
2993.0,3071.0,LR.CZC,3060.0,2018/3/6,3060.0,0,2.0,122400.0,2.0,-2.0,0.0,3060.0,20180306,3060.0,2018/3/6,3060.0,-11.0,-11.0,-0.358189515,-0.358189515,3060.0
3060.0,3060.0,LR.CZC,3057.5,2018/3/7,2950.0,0,4.0,244600.0,2.0,0.0,7.026143791,3165.0,20180307,2950.0,2018/3/7,3165.0,105.0,-2.0,3.431372549,-0.065359477,3058.0
