前收盘,前结算价,合约,均价,市场最近交易日,开盘价,成交笔数,成交量,成交额,持仓量,持仓量变化,振幅(收盘价),收盘价,日期,最低价,最近交易日期,最高价,涨跌(收盘价),涨跌(结算价),涨跌幅(收盘价),涨跌幅(结算价),结算价
2761.0,2780.0,M.DCE,2768.822441,2018/1/2,2770.0,0,391182.0,10831135000.0,1964960.0,-31154.0,0.54328142,2765.0,20180102,2762.0,2018/1/2,2777.0,-15.0,-12.0,-0.539568345,-0.431654676,2768.0
2765.0,2768.0,M.DCE,2774.814565,2018/1/3,2767.0,0,600912.0,16674193700.0,2020708.0,55748.0,0.61482821,2773.0,20180103,2766.0,2018/1/3,2783.0,5.0,6.0,0.180635838,0.216763006,2774.0
2773.0,2774.0,M.DCE,2767.421232,2018/1/4,2774.0,0,494492.0,13684676600.0,1995102.0,-25606.0,0.504868374,2770.0,20180104,2761.0,2018/1/4,2775.0,-4.0,-7.0,-0.144196107,-0.252343187,2767.0
2770.0,2767.0,M.DCE,2766.873113,2018/1/5,2767.0,0,789018.0,21831126900.0,2007274.0,12172.0,1.083032491,2775.0,20180105,2750.0,2018/1/5,2780.0,8.0,-1.0,0.289121793,-0.036140224,2766.0
2775.0,2766.0,M.DCE,2773.956147,2018/1/8,2785.0,0,532642.0,14775255500.0,1965854.0,-41420.0,0.720720721,2767.0,20180108,2766.0,2018/1/8,2786.0,1.0,7.0,0.03615329,0.25307303,2773.0
2767.0,2773.0,M.DCE,2779.396393,2018/1/9,2771.0,0,647806.0,18005096600.0,1982990.0,17136.0,0.758944705,2776.0,20180109,2768.0,2018/1/9,2789.0,3.0,6.0,0.10818608,0.21637216,2779.0
2776.0,2779.0,M.DCE,2770.294048,2018/1/10,2771.0,0,446050.0,12356896600.0,1985236.0,2246.0,0.468299712,2768.0,20180110,2764.0,2018/1/10,2777.0,-11.0,-9.0,-0.395825837,-0.323857503,2770.0
2768.0,2770.0,M.DCE,2755.143499,2018/1/11,2768.0,0,673034.0,18543052500.0,1999108.0,13872.0,0.939306358,2754.0,20180111,2745.0,2018/1/11,2771.0,-16.0,-15.0,-0.577617329,-0.541516245,2755.0
2754.0,2755.0,M.DCE,2737.512216,2018/1/12,2759.0,0,710122.0,19439676500.0,1973420.0,-25688.0,1.234567901,2729.0,20180112,2725.0,2018/1/12,2759.0,-26.0,-18.0,-0.943738657,-0.653357532,2737.0
2729.0,2737.0,M.DCE,2745.947861,2018/1/15,2730.0,0,743010.0,20402667200.0,1952462.0,-20958.0,1.795529498,2757.0,20180115,2720.0,2018/1/15,2769.0,20.0,8.0,0.730727073,0.292290829,2745.0
2757.0,2745.0,M.DCE,2756.727613,2018/1/16,2759.0,0,551472.0,15202580900.0,1933140.0,-19322.0,0.61661226,2754.0,20180116,2748.0,2018/1/16,2765.0,9.0,11.0,0.327868852,0.400728597,2756.0
2754.0,2756.0,M.DCE,2763.270515,2018/1/17,2731.0,0,684094.0,18903367800.0,1961570.0,28430.0,1.416122004,2770.0,20180117,2731.0,2018/1/17,2770.0,14.0,7.0,0.507982583,0.253991292,2763.0
2770.0,2763.0,M.DCE,2769.593121,2018/1/18,2769.0,0,582262.0,16126288300.0,1943568.0,-18002.0,0.758122744,2767.0,20180118,2758.0,2018/1/18,2779.0,4.0,6.0,0.144770177,0.217155266,2769.0
2767.0,2769.0,M.DCE,2774.892674,2018/1/19,2767.0,0,566124.0,15709333400.0,1953974.0,10406.0,0.758944705,2780.0,20180119,2762.0,2018/1/19,2783.0,11.0,5.0,0.397255327,0.180570603,2774.0
2780.0,2774.0,M.DCE,2784.383015,2018/1/22,2784.0,0,577842.0,16089334500.0,1881036.0,-72938.0,0.647482014,2786.0,20180122,2774.0,2018/1/22,2792.0,12.0,10.0,0.43258832,0.360490267,2784.0
2786.0,2784.0,M.DCE,2786.456371,2018/1/23,2790.0,0,546660.0,15232442400.0,1896440.0,15404.0,0.681981335,2784.0,20180123,2777.0,2018/1/23,2796.0,0.0,2.0,0.0,0.07183908,2786.0
2784.0,2786.0,M.DCE,2769.207248,2018/1/24,2788.0,0,740850.0,20515671900.0,1893020.0,-3420.0,1.149425287,2758.0,20180124,2757.0,2018/1/24,2789.0,-28.0,-17.0,-1.005025126,-0.610193826,2769.0
2758.0,2769.0,M.DCE,2772.327166,2018/1/25,2760.0,0,610790.0,16933097100.0,1870492.0,-22528.0,0.906453952,2781.0,20180125,2758.0,2018/1/25,2783.0,12.0,3.0,0.433369447,0.108342362,2772.0
2781.0,2772.0,M.DCE,2771.242178,2018/1/26,2781.0,0,555146.0,15384440100.0,1862222.0,-8270.0,1.150665228,2771.0,20180126,2753.0,2018/1/26,2785.0,-1.0,-1.0,-0.036075036,-0.036075036,2771.0
2771.0,2771.0,M.DCE,2789.613125,2018/1/29,2768.0,0,980678.0,27357122200.0,1942662.0,80440.0,1.840490798,2808.0,20180129,2761.0,2018/1/29,2812.0,37.0,18.0,1.33525803,0.649584987,2789.0
