前收盘,前结算价,合约,均价,市场最近交易日,开盘价,成交笔数,成交量,成交额,持仓量,持仓量变化,振幅(收盘价),收盘价,日期,最低价,最近交易日期,最高价,涨跌(收盘价),涨跌(结算价),涨跌幅(收盘价),涨跌幅(结算价),结算价
2853.0,2857.0,MA.CZC,2903.092412,2018/1/2,2853.0,0,826562.0,23995858700.0,619616.0,18184.0,3.119523309,2923.0,20180102,2851.0,2018/1/2,2940.0,66.0,46.0,2.310115506,1.610080504,2903.0
2923.0,2903.0,MA.CZC,2909.041376,2018/1/3,2923.0,0,785480.0,22849938200.0,615706.0,-3910.0,1.300034211,2909.0,20180103,2891.0,2018/1/3,2929.0,6.0,6.0,0.206682742,0.206682742,2909.0
2909.0,2909.0,MA.CZC,2925.57933,2018/1/4,2913.0,0,1051802.0,30771301900.0,648542.0,32836.0,1.581299416,2933.0,20180104,2902.0,2018/1/4,2948.0,24.0,17.0,0.825025782,0.584393262,2926.0
2933.0,2926.0,MA.CZC,2925.177706,2018/1/5,2934.0,0,925516.0,27072987700.0,619200.0,-29342.0,1.738833958,2924.0,20180105,2896.0,2018/1/5,2947.0,-2.0,-1.0,-0.0683527,-0.03417635,2925.0
2924.0,2925.0,MA.CZC,2965.674319,2018/1/8,2916.0,0,1183460.0,35097569300.0,750748.0,131548.0,2.872777018,2992.0,20180108,2916.0,2018/1/8,3000.0,67.0,41.0,2.290598291,1.401709402,2966.0
2992.0,2966.0,MA.CZC,2988.211632,2018/1/9,2992.0,0,694298.0,20747093600.0,714380.0,-36368.0,2.272727273,2980.0,20180109,2972.0,2018/1/9,3040.0,14.0,22.0,0.472016183,0.741739717,2988.0
2980.0,2988.0,MA.CZC,2982.75881,2018/1/10,2980.0,0,821528.0,24504198800.0,724790.0,10410.0,1.308724832,2977.0,20180110,2965.0,2018/1/10,3004.0,-11.0,-5.0,-0.368139224,-0.167336011,2983.0
2977.0,2983.0,MA.CZC,2969.323627,2018/1/11,2985.0,0,720904.0,21405972800.0,718530.0,-6260.0,1.007725899,2975.0,20180111,2955.0,2018/1/11,2985.0,-8.0,-14.0,-0.26818639,-0.469326182,2969.0
2975.0,2969.0,MA.CZC,2958.468676,2018/1/12,2977.0,0,719580.0,21288548900.0,663556.0,-54974.0,1.378151261,2952.0,20180112,2942.0,2018/1/12,2983.0,-17.0,-11.0,-0.572583361,-0.370495116,2958.0
2952.0,2958.0,MA.CZC,2945.976659,2018/1/15,2951.0,0,655152.0,19300625000.0,662138.0,-1418.0,1.219512195,2937.0,20180115,2928.0,2018/1/15,2964.0,-21.0,-12.0,-0.709939148,-0.405679513,2946.0
2937.0,2946.0,MA.CZC,2878.668064,2018/1/16,2938.0,0,1452224.0,41804708500.0,795200.0,133062.0,4.085801839,2827.0,20180116,2822.0,2018/1/16,2942.0,-119.0,-67.0,-4.039375424,-2.274270197,2879.0
2827.0,2879.0,MA.CZC,2832.692309,2018/1/17,2821.0,0,696484.0,19729248700.0,725224.0,-69976.0,1.379554298,2823.0,20180117,2806.0,2018/1/17,2845.0,-56.0,-46.0,-1.945119833,-1.597777006,2833.0
2823.0,2833.0,MA.CZC,2824.467982,2018/1/18,2828.0,0,871268.0,24608685700.0,749424.0,24200.0,1.275239107,2820.0,20180118,2808.0,2018/1/18,2844.0,-13.0,-9.0,-0.458877515,-0.317684433,2824.0
2820.0,2824.0,MA.CZC,2790.348521,2018/1/19,2826.0,0,1222882.0,34122669800.0,739644.0,-9780.0,2.269503546,2800.0,20180119,2766.0,2018/1/19,2830.0,-24.0,-34.0,-0.849858357,-1.203966006,2790.0
2800.0,2790.0,MA.CZC,2814.137552,2018/1/22,2801.0,0,821058.0,23105701500.0,719382.0,-20262.0,1.607142857,2813.0,20180122,2793.0,2018/1/22,2838.0,23.0,24.0,0.82437276,0.860215054,2814.0
2813.0,2814.0,MA.CZC,2835.859755,2018/1/23,2810.0,0,1054882.0,29914974100.0,705774.0,-13608.0,2.132954141,2843.0,20180123,2802.0,2018/1/23,2862.0,29.0,22.0,1.030561478,0.781805259,2836.0
2843.0,2836.0,MA.CZC,2834.12333,2018/1/24,2840.0,0,823514.0,23339402400.0,698004.0,-7770.0,1.266268027,2816.0,20180124,2815.0,2018/1/24,2851.0,-20.0,-2.0,-0.705218618,-0.070521862,2834.0
2816.0,2834.0,MA.CZC,2836.026687,2018/1/25,2820.0,0,1057654.0,29995349700.0,720456.0,22452.0,1.420454545,2842.0,20180125,2816.0,2018/1/25,2856.0,8.0,2.0,0.282286521,0.07057163,2836.0
2842.0,2836.0,MA.CZC,2833.942897,2018/1/26,2843.0,0,1079620.0,30595814300.0,698248.0,-22208.0,2.322308234,2827.0,20180126,2803.0,2018/1/26,2869.0,-9.0,-2.0,-0.317348378,-0.070521862,2834.0
2827.0,2834.0,MA.CZC,2851.81149,2018/1/29,2827.0,0,891592.0,25426523100.0,675426.0,-22822.0,1.83940573,2847.0,20180129,2826.0,2018/1/29,2878.0,13.0,18.0,0.458715596,0.635144672,2852.0
2847.0,2852.0,MA.CZC,2817.03408,2018/1/30,2845.0,0,975930.0,27492280700.0,688096.0,12670.0,1.791359326,2813.0,20180130,2795.0,2018/1/30,2846.0,-39.0,-35.0,-1.367461431,-1.227208976,2817.0
2813.0,2817.0,MA.CZC,2786.109987,2018/1/31,2815.0,0,931488.0,25952280200.0,707978.0,19882.0,2.168503377,2784.0,20180131,2758.0,2018/1/31,2819.0,-33.0,-31.0,-1.171458999,-1.100461484,2786.0
2784.0,2786.0,MA.CZC,2779.355371,2018/2/1,2786.0,0,678530.0,18858760000.0,682458.0,-25520.0,1.293103448,2772.0,20180201,2762.0,2018/2/1,2798.0,-14.0,-7.0,-0.502512563,-0.251256281,2779.0
2772.0,2779.0,MA.CZC,2785.319612,2018/2/2,2776.0,0,732982.0,20415891400.0,687862.0,5404.0,1.406926407,2774.0,20180202,2767.0,2018/2/2,2806.0,-5.0,6.0,-0.179920835,0.215905002,2785.0
2774.0,2785.0,MA.CZC,2782.030751,2018/2/5,2768.0,0,989890.0,27539044200.0,673520.0,-14342.0,2.198990627,2803.0,20180205,2750.0,2018/2/5,2811.0,18.0,-3.0,0.646319569,-0.107719928,2782.0
2803.0,2782.0,MA.CZC,2813.873228,2018/2/6,2803.0,0,1035276.0,29131354200.0,650040.0,-23480.0,1.462718516,2816.0,20180206,2792.0,2018/2/6,2833.0,34.0,32.0,1.222142344,1.150251618,2814.0
2816.0,2814.0,MA.CZC,2813.529445,2018/2/7,2815.0,0,822302.0,23135708900.0,643926.0,-6114.0,1.242897727,2799.0,20180207,2797.0,2018/2/7,2832.0,-15.0,0.0,-0.533049041,0.0,2814.0
2799.0,2814.0,MA.CZC,2778.083797,2018/2/8,2795.0,0,869480.0,24154883000.0,632044.0,-11882.0,1.143265452,2787.0,20180208,2763.0,2018/2/8,2795.0,-27.0,-36.0,-0.959488273,-1.279317697,2778.0
2787.0,2778.0,MA.CZC,2786.273969,2018/2/9,2786.0,0,821284.0,22883222300.0,578944.0,-53100.0,1.542877646,2768.0,20180209,2766.0,2018/2/9,2809.0,-10.0,8.0,-0.359971202,0.287976962,2786.0
2768.0,2786.0,MA.CZC,2742.375722,2018/2/12,2763.0,0,881290.0,24168283000.0,624492.0,45548.0,2.565028902,2722.0,20180212,2707.0,2018/2/12,2778.0,-64.0,-44.0,-2.297200287,-1.579325197,2742.0
2722.0,2742.0,MA.CZC,2713.645159,2018/2/13,2724.0,0,495918.0,13457454800.0,584814.0,-39678.0,1.102130786,2717.0,20180213,2699.0,2018/2/13,2729.0,-25.0,-28.0,-0.911743253,-1.021152443,2714.0
2717.0,2714.0,MA.CZC,2716.464964,2018/2/14,2718.0,0,492128.0,13368484700.0,539000.0,-45814.0,1.693043798,2719.0,20180214,2694.0,2018/2/14,2740.0,5.0,2.0,0.184229919,0.073691968,2716.0
2719.0,2716.0,MA.CZC,2729.702076,2018/2/22,2730.0,0,310482.0,8475233600.0,545210.0,6210.0,1.213681501,2729.0,20180222,2714.0,2018/2/22,2747.0,13.0,14.0,0.478645066,0.515463918,2730.0
2729.0,2730.0,MA.CZC,2744.469303,2018/2/23,2728.0,0,630548.0,17305196300.0,555860.0,10650.0,1.539025284,2765.0,20180223,2724.0,2018/2/23,2766.0,35.0,14.0,1.282051282,0.512820513,2744.0
2765.0,2744.0,MA.CZC,2744.367505,2018/2/26,2763.0,0,924766.0,25378977600.0,673548.0,117688.0,2.965641953,2701.0,20180226,2700.0,2018/2/26,2782.0,-43.0,0.0,-1.567055394,0.0,2744.0
2701.0,2744.0,MA.CZC,2678.477187,2018/2/27,2700.0,0,944128.0,25288253100.0,696928.0,23380.0,1.443909663,2676.0,20180227,2661.0,2018/2/27,2700.0,-68.0,-66.0,-2.478134111,-2.405247813,2678.0
2676.0,2678.0,MA.CZC,2682.304053,2018/2/28,2680.0,0,650710.0,17454020700.0,672030.0,-24898.0,0.859491779,2678.0,20180228,2671.0,2018/2/28,2694.0,0.0,4.0,0.0,0.149365198,2682.0
2678.0,2682.0,MA.CZC,2658.726713,2018/3/1,2679.0,0,981860.0,26104974100.0,774040.0,102010.0,2.240477969,2663.0,20180301,2625.0,2018/3/1,2685.0,-19.0,-23.0,-0.708426547,-0.857568978,2659.0
2663.0,2659.0,MA.CZC,2669.809478,2018/3/2,2657.0,0,848142.0,22643775500.0,716514.0,-57526.0,1.727375141,2677.0,20180302,2645.0,2018/3/2,2691.0,18.0,11.0,0.67694622,0.413689357,2670.0
2677.0,2670.0,MA.CZC,2675.361083,2018/3/5,2672.0,0,772510.0,20667431900.0,725784.0,9270.0,1.41949944,2678.0,20180305,2655.0,2018/3/5,2693.0,8.0,5.0,0.299625468,0.187265918,2675.0
2678.0,2675.0,MA.CZC,2674.360996,2018/3/6,2668.0,0,813250.0,21749240800.0,721106.0,-4678.0,1.306945482,2668.0,20180306,2661.0,2018/3/6,2696.0,-7.0,-1.0,-0.261682243,-0.037383178,2674.0
2668.0,2674.0,MA.CZC,2662.590098,2018/3/7,2673.0,0,917996.0,24442470600.0,714088.0,-7018.0,1.686656672,2676.0,20180307,2640.0,2018/3/7,2685.0,2.0,-11.0,0.074794316,-0.411368736,2663.0
2676.0,2663.0,MA.CZC,2671.299031,2018/3/8,2675.0,0,1222688.0,32661652700.0,738282.0,24194.0,2.316890882,2642.0,20180308,2638.0,2018/3/8,2700.0,-21.0,8.0,-0.788584303,0.300413068,2671.0
2642.0,2671.0,MA.CZC,2686.583954,2018/3/9,2650.0,0,1345790.0,36155778200.0,708262.0,-30020.0,2.649507949,2691.0,20180309,2645.0,2018/3/9,2715.0,20.0,16.0,0.748783227,0.599026582,2687.0
2691.0,2687.0,MA.CZC,2703.845927,2018/3/12,2698.0,0,1138386.0,30780203500.0,656912.0,-51350.0,1.969528056,2713.0,20180312,2675.0,2018/3/12,2728.0,26.0,17.0,0.967621883,0.632675847,2704.0
2713.0,2704.0,MA.CZC,2724.434984,2018/3/13,2716.0,0,784526.0,21373900800.0,633518.0,-23394.0,0.921489126,2725.0,20180313,2710.0,2018/3/13,2735.0,21.0,20.0,0.776627219,0.73964497,2724.0
2725.0,2724.0,MA.CZC,2742.142664,2018/3/14,2735.0,0,790866.0,21686674000.0,643672.0,10154.0,1.211009174,2758.0,20180314,2727.0,2018/3/14,2760.0,34.0,18.0,1.248164464,0.660792952,2742.0
2758.0,2742.0,MA.CZC,2738.654946,2018/3/15,2758.0,0,681980.0,18677079000.0,614200.0,-29472.0,1.559100798,2736.0,20180315,2720.0,2018/3/15,2763.0,-6.0,-3.0,-0.218818381,-0.10940919,2739.0
2736.0,2739.0,MA.CZC,2721.897306,2018/3/16,2735.0,0,779010.0,21203852200.0,595524.0,-18676.0,1.425438596,2707.0,20180316,2702.0,2018/3/16,2741.0,-32.0,-17.0,-1.168309602,-0.620664476,2722.0
2707.0,2722.0,MA.CZC,2754.940868,2018/3/19,2710.0,0,1043098.0,28736733100.0,622154.0,26630.0,3.472478759,2789.0,20180319,2704.0,2018/3/19,2798.0,67.0,33.0,2.461425422,1.212343865,2755.0
2789.0,2755.0,MA.CZC,2779.05309,2018/3/20,2791.0,0,752648.0,20916487500.0,580064.0,-42090.0,1.111509502,2787.0,20180320,2763.0,2018/3/20,2794.0,32.0,24.0,1.161524501,0.871143376,2779.0
2787.0,2779.0,MA.CZC,2781.572721,2018/3/21,2800.0,0,658394.0,18313707900.0,570144.0,-9920.0,1.363473269,2777.0,20180321,2766.0,2018/3/21,2804.0,-2.0,3.0,-0.071968334,0.107952501,2782.0
2777.0,2782.0,MA.CZC,2804.685116,2018/3/22,2785.0,0,754754.0,21168473100.0,609794.0,39650.0,2.016564638,2818.0,20180322,2771.0,2018/3/22,2827.0,36.0,23.0,1.29403307,0.82674335,2805.0
2818.0,2805.0,MA.CZC,2752.177914,2018/3/23,2811.0,0,1441076.0,39660975400.0,519124.0,-90670.0,5.180979418,2720.0,20180323,2674.0,2018/3/23,2820.0,-85.0,-53.0,-3.03030303,-1.889483066,2752.0
2720.0,2752.0,MA.CZC,2726.181284,2018/3/26,2712.0,0,1016352.0,27707598000.0,516276.0,-2848.0,3.051470588,2698.0,20180326,2688.0,2018/3/26,2771.0,-54.0,-26.0,-1.962209302,-0.944767442,2726.0
2698.0,2726.0,MA.CZC,2684.145238,2018/3/27,2698.0,0,1026040.0,27540403800.0,511436.0,-4840.0,2.00148258,2684.0,20180327,2661.0,2018/3/27,2715.0,-42.0,-42.0,-1.540719002,-1.540719002,2684.0
2684.0,2684.0,MA.CZC,2688.230712,2018/3/28,2692.0,0,696020.0,18710623400.0,496726.0,-14710.0,1.117734724,2686.0,20180328,2674.0,2018/3/28,2704.0,2.0,4.0,0.074515648,0.149031297,2688.0
2686.0,2688.0,MA.CZC,2676.400017,2018/3/29,2691.0,0,891168.0,23851220500.0,515064.0,18338.0,1.898734177,2694.0,20180329,2646.0,2018/3/29,2697.0,6.0,-12.0,0.223214286,-0.446428571,2676.0
2694.0,2676.0,MA.CZC,2693.348069,2018/3/30,2689.0,0,682268.0,18375852000.0,450434.0,-64630.0,1.818856719,2719.0,20180330,2674.0,2018/3/30,2723.0,43.0,17.0,1.606875934,0.635276532,2693.0
2719.0,2693.0,MA.CZC,2700.769398,2018/4/2,2710.0,0,665104.0,17962925300.0,453808.0,3374.0,2.500919456,2684.0,20180402,2666.0,2018/4/2,2734.0,-9.0,8.0,-0.334199777,0.297066469,2701.0
2684.0,2701.0,MA.CZC,2673.943757,2018/4/3,2680.0,0,717666.0,19189985200.0,438404.0,-15404.0,2.384500745,2658.0,20180403,2641.0,2018/4/3,2705.0,-43.0,-27.0,-1.592002962,-0.999629767,2674.0
2658.0,2674.0,MA.CZC,2660.92966,2018/4/4,2658.0,0,547028.0,14556030300.0,396554.0,-41850.0,1.73062453,2670.0,20180404,2632.0,2018/4/4,2678.0,-4.0,-13.0,-0.149588631,-0.486163052,2661.0
