前收盘,前结算价,合约,均价,市场最近交易日,开盘价,成交笔数,成交量,成交额,持仓量,持仓量变化,振幅(收盘价),收盘价,日期,最低价,最近交易日期,最高价,涨跌(收盘价),涨跌(结算价),涨跌幅(收盘价),涨跌幅(结算价),结算价
96870.0,0.0,NI,529614.0,0,96880.0,2290,99170.0,98750.0,23354.0,0.0,0.0,98080.0,20180102,99470.0,0,99000.0,1870.0,0.0,410050.0,0.0,0.0
99170.0,0.0,NI,515014.0,0,98750.0,-130,98620.0,99150.0,-14600.0,0.0,0.0,98260.0,20180103,99980.0,0,99820.0,400.0,0.0,620810.0,0.0,0.0
98620.0,0.0,NI,514988.0,0,99150.0,30,99180.0,98100.0,-26.0,0.0,0.0,97210.0,20180104,99200.0,0,98690.0,-1050.0,0.0,725542.0,0.0,0.0
99180.0,0.0,NI,499422.0,0,98100.0,480,98580.0,98820.0,-15566.0,0.0,0.0,97870.0,20180105,99640.0,0,99540.0,720.0,0.0,682494.0,0.0,0.0
98580.0,0.0,NI,477646.0,0,98820.0,-330,98490.0,98030.0,-21776.0,0.0,0.0,97000.0,20180108,98710.0,0,98340.0,-790.0,0.0,659222.0,0.0,0.0
98490.0,0.0,NI,504024.0,0,98030.0,1350,99380.0,99140.0,26378.0,0.0,0.0,98140.0,20180109,99750.0,0,98330.0,1110.0,0.0,576140.0,0.0,0.0
99380.0,0.0,NI,532080.0,0,99140.0,1280,100420.0,100340.0,28056.0,0.0,0.0,98910.0,20180110,100900.0,0,99240.0,1200.0,0.0,806584.0,0.0,0.0
100420.0,0.0,NI,535222.0,0,100340.0,1090,101430.0,101350.0,3142.0,0.0,0.0,100710.0,20180111,102380.0,0,102000.0,1010.0,0.0,599622.0,0.0,0.0
101430.0,0.0,NI,481772.0,0,101350.0,-1780,99570.0,99790.0,-53450.0,0.0,0.0,98600.0,20180112,101500.0,0,101250.0,-1560.0,0.0,783130.0,0.0,0.0
99570.0,0.0,NI,500056.0,0,99790.0,420,100210.0,99550.0,18284.0,0.0,0.0,98500.0,20180115,100660.0,0,99250.0,-240.0,0.0,733326.0,0.0,0.0
