前收盘,前结算价,合约,均价,市场最近交易日,开盘价,成交笔数,成交量,成交额,持仓量,持仓量变化,振幅(收盘价),收盘价,日期,最低价,最近交易日期,最高价,涨跌(收盘价),涨跌(结算价),涨跌幅(收盘价),涨跌幅(结算价),结算价
6418.0,6416.0,OI.CZC,6526.284991,2018/1/2,6442.0,0,106312.0,6938224100.0,278554.0,-8882.0,1.682767217,6538.0,20180102,6442.0,2018/1/2,6550.0,122.0,110.0,1.901496259,1.71446384,6526.0
6538.0,6526.0,OI.CZC,6558.896945,2018/1/3,6544.0,0,85508.0,5608381600.0,283108.0,4554.0,0.734169471,6560.0,20180103,6532.0,2018/1/3,6580.0,34.0,34.0,0.520992951,0.520992951,6560.0
6560.0,6560.0,OI.CZC,6584.647425,2018/1/4,6600.0,0,80380.0,5292739600.0,279006.0,-4102.0,0.579268293,6602.0,20180104,6566.0,2018/1/4,6604.0,42.0,26.0,0.640243902,0.396341463,6586.0
6602.0,6586.0,OI.CZC,6618.390895,2018/1/5,6588.0,0,124678.0,8251677400.0,281020.0,2014.0,1.272341715,6628.0,20180105,6568.0,2018/1/5,6652.0,42.0,32.0,0.637716368,0.485879138,6618.0
6628.0,6618.0,OI.CZC,6590.857165,2018/1/8,6616.0,0,102944.0,6784892000.0,281968.0,948.0,1.056125528,6580.0,20180108,6556.0,2018/1/8,6626.0,-38.0,-26.0,-0.574191599,-0.392867936,6592.0
6580.0,6592.0,OI.CZC,6586.894856,2018/1/9,6606.0,0,78502.0,5170844200.0,279716.0,-2252.0,0.699088146,6590.0,20180109,6564.0,2018/1/9,6610.0,-2.0,-4.0,-0.030339806,-0.060679612,6588.0
6590.0,6588.0,OI.CZC,6587.788041,2018/1/10,6568.0,0,86498.0,5698304900.0,278116.0,-1600.0,0.758725341,6586.0,20180110,6564.0,2018/1/10,6614.0,-2.0,0.0,-0.030358227,0.0,6588.0
6586.0,6588.0,OI.CZC,6574.210518,2018/1/11,6608.0,0,66740.0,4387628100.0,281052.0,2936.0,0.850288491,6570.0,20180111,6552.0,2018/1/11,6608.0,-18.0,-14.0,-0.273224044,-0.21250759,6574.0
6570.0,6574.0,OI.CZC,6526.64655,2018/1/12,6562.0,0,106380.0,6943046600.0,285092.0,4040.0,1.582952816,6512.0,20180112,6486.0,2018/1/12,6590.0,-62.0,-46.0,-0.943109218,-0.699726194,6528.0
6512.0,6528.0,OI.CZC,6509.643228,2018/1/15,6510.0,0,103988.0,6769247800.0,292942.0,7850.0,1.167076167,6492.0,20180115,6472.0,2018/1/15,6548.0,-36.0,-18.0,-0.551470588,-0.275735294,6510.0
6492.0,6510.0,OI.CZC,6461.307938,2018/1/16,6500.0,0,119180.0,7700586800.0,293322.0,380.0,1.355514479,6432.0,20180116,6420.0,2018/1/16,6508.0,-78.0,-48.0,-1.198156682,-0.737327189,6462.0
6432.0,6462.0,OI.CZC,6442.323721,2018/1/17,6426.0,0,105146.0,6773845700.0,287276.0,-6046.0,0.746268657,6452.0,20180117,6416.0,2018/1/17,6464.0,-10.0,-20.0,-0.154750851,-0.309501702,6442.0
6452.0,6442.0,OI.CZC,6454.639466,2018/1/18,6448.0,0,115440.0,7451235800.0,291550.0,4274.0,0.836949783,6466.0,20180118,6422.0,2018/1/18,6476.0,24.0,14.0,0.372555107,0.217323812,6456.0
6466.0,6456.0,OI.CZC,6416.471681,2018/1/19,6458.0,0,169636.0,10884645900.0,296958.0,5408.0,1.360965048,6386.0,20180119,6380.0,2018/1/19,6468.0,-70.0,-40.0,-1.084262701,-0.619578686,6416.0
6386.0,6416.0,OI.CZC,6425.611,2018/1/22,6386.0,0,104910.0,6741108500.0,296788.0,-170.0,1.158784842,6444.0,20180122,6382.0,2018/1/22,6456.0,28.0,10.0,0.436408978,0.155860349,6426.0
6444.0,6426.0,OI.CZC,6449.87687,2018/1/23,6450.0,0,86494.0,5578756500.0,297122.0,334.0,0.620732464,6460.0,20180123,6428.0,2018/1/23,6468.0,34.0,24.0,0.529100529,0.373482726,6450.0
6460.0,6450.0,OI.CZC,6494.710465,2018/1/24,6470.0,0,115012.0,7469696400.0,292818.0,-4304.0,0.743034056,6498.0,20180124,6468.0,2018/1/24,6516.0,48.0,46.0,0.744186047,0.713178295,6496.0
6498.0,6496.0,OI.CZC,6491.80056,2018/1/25,6508.0,0,79342.0,5150724400.0,293332.0,514.0,0.646352724,6490.0,20180125,6468.0,2018/1/25,6510.0,-6.0,-4.0,-0.092364532,-0.061576355,6492.0
6490.0,6492.0,OI.CZC,6509.682838,2018/1/26,6480.0,0,114894.0,7479235000.0,293940.0,608.0,1.047765794,6518.0,20180126,6472.0,2018/1/26,6540.0,26.0,18.0,0.400492914,0.277264325,6510.0
6518.0,6510.0,OI.CZC,6517.838309,2018/1/29,6516.0,0,81390.0,5304868600.0,292224.0,-1716.0,0.552316662,6512.0,20180129,6502.0,2018/1/29,6538.0,2.0,8.0,0.030721966,0.122887865,6518.0
6512.0,6518.0,OI.CZC,6457.363266,2018/1/30,6516.0,0,139358.0,8998852300.0,294724.0,2500.0,1.597051597,6420.0,20180130,6414.0,2018/1/30,6518.0,-98.0,-60.0,-1.50352869,-0.920527769,6458.0
6420.0,6458.0,OI.CZC,6442.91554,2018/1/31,6426.0,0,76912.0,4955375200.0,287114.0,-7610.0,0.685358255,6458.0,20180131,6416.0,2018/1/31,6460.0,0.0,-14.0,0.0,-0.216785382,6444.0
