前收盘,前结算价,合约,均价,市场最近交易日,开盘价,成交笔数,成交量,成交额,持仓量,持仓量变化,振幅(收盘价),收盘价,日期,最低价,最近交易日期,最高价,涨跌(收盘价),涨跌(结算价),涨跌幅(收盘价),涨跌幅(结算价),结算价
5226.0,5230.0,P.DCE,5296.971417,2018/1/2,5242.0,0,275198.0,14577159400.0,505862.0,-5916.0,1.760428626,5326.0,20180102,5242.0,2018/1/2,5334.0,96.0,66.0,1.835564054,1.261950287,5296.0
5326.0,5296.0,P.DCE,5319.919685,2018/1/3,5320.0,0,228352.0,12148143000.0,476372.0,-29490.0,0.788584303,5320.0,20180103,5296.0,2018/1/3,5338.0,24.0,22.0,0.453172205,0.415407855,5318.0
5320.0,5318.0,P.DCE,5363.863988,2018/1/4,5366.0,0,319442.0,17134434400.0,480464.0,4092.0,0.789473684,5356.0,20180104,5342.0,2018/1/4,5384.0,38.0,44.0,0.714554344,0.827378714,5362.0
5356.0,5362.0,P.DCE,5362.893414,2018/1/5,5342.0,0,229936.0,12331222600.0,472518.0,-7946.0,1.045556385,5362.0,20180105,5336.0,2018/1/5,5392.0,0.0,0.0,0.0,0.0,5362.0
5362.0,5362.0,P.DCE,5323.744285,2018/1/8,5348.0,0,221340.0,11783575600.0,485334.0,12816.0,1.118985453,5308.0,20180108,5294.0,2018/1/8,5354.0,-54.0,-40.0,-1.007086908,-0.745990302,5322.0
5308.0,5322.0,P.DCE,5345.800767,2018/1/9,5344.0,0,224360.0,11993838600.0,493518.0,8184.0,0.828937453,5366.0,20180109,5324.0,2018/1/9,5368.0,44.0,22.0,0.826756858,0.413378429,5344.0
5366.0,5344.0,P.DCE,5340.462064,2018/1/10,5342.0,0,297556.0,15890865300.0,504534.0,11016.0,1.080879612,5330.0,20180110,5314.0,2018/1/10,5372.0,-14.0,-4.0,-0.261976048,-0.074850299,5340.0
5330.0,5340.0,P.DCE,5336.841686,2018/1/11,5348.0,0,190874.0,10186643200.0,488608.0,-15926.0,0.637898687,5328.0,20180111,5320.0,2018/1/11,5354.0,-12.0,-4.0,-0.224719101,-0.074906367,5336.0
5328.0,5336.0,P.DCE,5280.798294,2018/1/12,5306.0,0,297810.0,15726745400.0,511500.0,22892.0,1.276276276,5262.0,20180112,5250.0,2018/1/12,5318.0,-74.0,-56.0,-1.386806597,-1.049475262,5280.0
5262.0,5280.0,P.DCE,5266.115748,2018/1/15,5258.0,0,224522.0,11823588400.0,504108.0,-7392.0,1.064234132,5258.0,20180115,5242.0,2018/1/15,5298.0,-22.0,-14.0,-0.416666667,-0.265151515,5266.0
5258.0,5266.0,P.DCE,5237.516858,2018/1/16,5274.0,0,324468.0,16994066200.0,532030.0,27922.0,1.673640167,5228.0,20180116,5192.0,2018/1/16,5280.0,-38.0,-30.0,-0.72161033,-0.569692366,5236.0
5228.0,5236.0,P.DCE,5207.404101,2018/1/17,5224.0,0,310328.0,16160033000.0,526110.0,-5920.0,1.262433053,5182.0,20180117,5174.0,2018/1/17,5240.0,-54.0,-30.0,-1.03132162,-0.572956455,5206.0
5182.0,5206.0,P.DCE,5190.800661,2018/1/18,5180.0,0,293370.0,15228251900.0,525784.0,-326.0,0.926283288,5216.0,20180118,5170.0,2018/1/18,5218.0,10.0,-16.0,0.192086055,-0.307337687,5190.0
5216.0,5190.0,P.DCE,5174.532157,2018/1/19,5194.0,0,367196.0,19000675100.0,526352.0,568.0,1.035276074,5150.0,20180119,5146.0,2018/1/19,5200.0,-40.0,-16.0,-0.770712909,-0.308285164,5174.0
5150.0,5174.0,P.DCE,5177.460509,2018/1/22,5150.0,0,286270.0,14821516200.0,525800.0,-552.0,1.242718447,5190.0,20180122,5148.0,2018/1/22,5212.0,16.0,2.0,0.3092385,0.038654813,5176.0
5190.0,5176.0,P.DCE,5195.625344,2018/1/23,5198.0,0,250918.0,13036759200.0,522036.0,-3764.0,0.886319846,5202.0,20180123,5170.0,2018/1/23,5216.0,26.0,18.0,0.502318393,0.347758887,5194.0
5202.0,5194.0,P.DCE,5229.062629,2018/1/24,5220.0,0,261988.0,13699516600.0,520062.0,-1974.0,0.576701269,5230.0,20180124,5214.0,2018/1/24,5244.0,36.0,34.0,0.693107432,0.654601463,5228.0
5230.0,5228.0,P.DCE,5233.682915,2018/1/25,5236.0,0,322576.0,16882605000.0,538628.0,18566.0,0.803059273,5226.0,20180125,5214.0,2018/1/25,5256.0,-2.0,4.0,-0.038255547,0.076511094,5232.0
5226.0,5232.0,P.DCE,5229.775287,2018/1/26,5206.0,0,329976.0,17257003300.0,552074.0,13446.0,1.071565251,5228.0,20180126,5202.0,2018/1/26,5258.0,-4.0,-4.0,-0.076452599,-0.076452599,5228.0
5228.0,5228.0,P.DCE,5239.00249,2018/1/29,5222.0,0,258684.0,13552461200.0,533394.0,-18680.0,1.071155318,5256.0,20180129,5208.0,2018/1/29,5264.0,28.0,10.0,0.535577659,0.191277735,5238.0
5256.0,5238.0,P.DCE,5215.069047,2018/1/30,5260.0,0,335858.0,17515226600.0,561626.0,28232.0,1.636225266,5190.0,20180130,5174.0,2018/1/30,5260.0,-48.0,-24.0,-0.916380298,-0.458190149,5214.0
5190.0,5214.0,P.DCE,5194.26802,2018/1/31,5198.0,0,211850.0,11004056800.0,544090.0,-17536.0,0.539499037,5192.0,20180131,5180.0,2018/1/31,5208.0,-22.0,-20.0,-0.421940928,-0.383582662,5194.0
5192.0,5194.0,P.DCE,5137.486558,2018/2/1,5184.0,0,339602.0,17447007100.0,569176.0,25086.0,1.617873652,5136.0,20180201,5108.0,2018/2/1,5192.0,-58.0,-58.0,-1.116673084,-1.116673084,5136.0
5136.0,5136.0,P.DCE,5119.920044,2018/2/2,5136.0,0,286782.0,14683009100.0,568826.0,-350.0,1.323987539,5090.0,20180202,5086.0,2018/2/2,5154.0,-46.0,-18.0,-0.895638629,-0.35046729,5118.0
5090.0,5118.0,P.DCE,5078.215512,2018/2/5,5082.0,0,267976.0,13608398800.0,564048.0,-4778.0,0.94302554,5098.0,20180205,5050.0,2018/2/5,5098.0,-20.0,-40.0,-0.390777648,-0.781555295,5078.0
5098.0,5078.0,P.DCE,5104.036389,2018/2/6,5100.0,0,348014.0,17762761200.0,550354.0,-13694.0,1.17693213,5106.0,20180206,5078.0,2018/2/6,5138.0,28.0,26.0,0.551398188,0.512012603,5104.0
5106.0,5104.0,P.DCE,5119.939019,2018/2/7,5092.0,0,226956.0,11620008800.0,535630.0,-14724.0,1.096748923,5122.0,20180207,5086.0,2018/2/7,5142.0,18.0,14.0,0.352664577,0.274294671,5118.0
5122.0,5118.0,P.DCE,5111.695317,2018/2/8,5106.0,0,335890.0,17169673400.0,549492.0,13862.0,1.639984381,5130.0,20180208,5062.0,2018/2/8,5146.0,12.0,-8.0,0.234466589,-0.156311059,5110.0
5130.0,5110.0,P.DCE,5136.113282,2018/2/9,5136.0,0,259530.0,13329754800.0,520740.0,-28752.0,0.81871345,5120.0,20180209,5116.0,2018/2/9,5158.0,10.0,26.0,0.195694716,0.508806262,5136.0
5120.0,5136.0,P.DCE,5158.027041,2018/2/12,5136.0,0,314710.0,16232826900.0,501746.0,-18994.0,2.0703125,5192.0,20180212,5092.0,2018/2/12,5198.0,56.0,22.0,1.090342679,0.42834891,5158.0
5192.0,5158.0,P.DCE,5177.459674,2018/2/13,5190.0,0,185366.0,9597249900.0,465320.0,-36426.0,0.731895223,5174.0,20180213,5160.0,2018/2/13,5198.0,16.0,18.0,0.310197751,0.34897247,5176.0
5174.0,5176.0,P.DCE,5143.472045,2018/2/14,5154.0,0,176746.0,9090881100.0,467014.0,1694.0,1.430228063,5140.0,20180214,5110.0,2018/2/14,5184.0,-36.0,-34.0,-0.695517774,-0.656877898,5142.0
5140.0,5142.0,P.DCE,5159.670259,2018/2/22,5162.0,0,166464.0,8588993500.0,458104.0,-8910.0,1.167315175,5150.0,20180222,5132.0,2018/2/22,5192.0,8.0,16.0,0.155581486,0.311162972,5158.0
5150.0,5158.0,P.DCE,5211.114343,2018/2/23,5148.0,0,384666.0,20045385100.0,477680.0,19576.0,2.291262136,5256.0,20180223,5142.0,2018/2/23,5260.0,98.0,52.0,1.899961225,1.008142691,5210.0
5256.0,5210.0,P.DCE,5265.419531,2018/2/26,5256.0,0,286534.0,15087217200.0,460252.0,-17428.0,1.217656012,5288.0,20180226,5226.0,2018/2/26,5290.0,78.0,54.0,1.497120921,1.03646833,5264.0
5288.0,5264.0,P.DCE,5282.529312,2018/2/27,5284.0,0,264736.0,13984756800.0,443250.0,-17002.0,0.718608169,5296.0,20180227,5262.0,2018/2/27,5300.0,32.0,18.0,0.607902736,0.341945289,5282.0
