前收盘,前结算价,合约,均价,市场最近交易日,开盘价,成交笔数,成交量,成交额,持仓量,持仓量变化,振幅(收盘价),收盘价,日期,最低价,最近交易日期,最高价,涨跌(收盘价),涨跌(结算价),涨跌幅(收盘价),涨跌幅(结算价),结算价
19170.0,0.0,PB,40980.0,0,19160.0,-140,19020.0,19005.0,674.0,0.0,0.0,18880.0,20180102,19220.0,0,19180.0,-155.0,0.0,37084.0,0.0,0.0
19020.0,0.0,PB,42516.0,0,19005.0,305,19310.0,19250.0,1536.0,0.0,0.0,19095.0,20180103,19390.0,0,19180.0,245.0,0.0,59086.0,0.0,0.0
19310.0,0.0,PB,43036.0,0,19250.0,155,19405.0,19350.0,520.0,0.0,0.0,19205.0,20180104,19495.0,0,19365.0,100.0,0.0,48210.0,0.0,0.0
19405.0,0.0,PB,42652.0,0,19350.0,130,19480.0,19405.0,-384.0,0.0,0.0,19325.0,20180105,19565.0,0,19400.0,55.0,0.0,41500.0,0.0,0.0
19480.0,0.0,PB,41510.0,0,19405.0,0,19405.0,19445.0,-1142.0,0.0,0.0,19345.0,20180108,19590.0,0,19425.0,40.0,0.0,47440.0,0.0,0.0
19405.0,0.0,PB,40288.0,0,19445.0,175,19620.0,19515.0,-1222.0,0.0,0.0,19320.0,20180109,19650.0,0,19395.0,70.0,0.0,40624.0,0.0,0.0
19620.0,0.0,PB,36732.0,0,19515.0,-100,19415.0,19500.0,-3556.0,0.0,0.0,19350.0,20180110,19685.0,0,19570.0,-15.0,0.0,38552.0,0.0,0.0
19415.0,0.0,PB,34752.0,0,19500.0,-110,19390.0,19405.0,-1980.0,0.0,0.0,19325.0,20180111,19515.0,0,19490.0,-95.0,0.0,25206.0,0.0,0.0
19390.0,0.0,PB,31034.0,0,19405.0,-155,19250.0,19280.0,-3718.0,0.0,0.0,19180.0,20180112,19490.0,0,19490.0,-125.0,0.0,33314.0,0.0,0.0
19250.0,0.0,PB,29650.0,0,19280.0,-95,19185.0,19115.0,-1384.0,0.0,0.0,19005.0,20180115,19210.0,0,19120.0,-165.0,0.0,35774.0,0.0,0.0
19235.0,0.0,PB,27980.0,0,19165.0,-295,18870.0,19075.0,1978.0,0.0,0.0,18810.0,20180116,19275.0,0,19200.0,-90.0,0.0,30790.0,0.0,0.0
18870.0,0.0,PB,32840.0,0,19075.0,120,19195.0,19100.0,4860.0,0.0,0.0,18815.0,20180117,19265.0,0,18815.0,25.0,0.0,45658.0,0.0,0.0
19195.0,0.0,PB,37432.0,0,19100.0,230,19330.0,19220.0,4592.0,0.0,0.0,19080.0,20180118,19340.0,0,19195.0,120.0,0.0,46984.0,0.0,0.0
19330.0,0.0,PB,42956.0,0,19220.0,350,19570.0,19465.0,5524.0,0.0,0.0,19355.0,20180119,19595.0,0,19400.0,245.0,0.0,60022.0,0.0,0.0
19570.0,0.0,PB,40976.0,0,19465.0,15,19480.0,19435.0,-1980.0,0.0,0.0,19305.0,20180122,19575.0,0,19575.0,-30.0,0.0,53950.0,0.0,0.0
19480.0,0.0,PB,49846.0,0,19435.0,365,19800.0,19580.0,8870.0,0.0,0.0,19425.0,20180123,19815.0,0,19490.0,145.0,0.0,67798.0,0.0,0.0
19800.0,0.0,PB,47512.0,0,19580.0,-5,19575.0,19690.0,-2334.0,0.0,0.0,19560.0,20180124,19780.0,0,19740.0,110.0,0.0,48702.0,0.0,0.0
19575.0,0.0,PB,45326.0,0,19690.0,-40,19650.0,19675.0,-2186.0,0.0,0.0,19545.0,20180125,19890.0,0,19620.0,-15.0,0.0,70204.0,0.0,0.0
19650.0,0.0,PB,43418.0,0,19675.0,-205,19470.0,19500.0,-1908.0,0.0,0.0,19395.0,20180126,19630.0,0,19540.0,-175.0,0.0,53436.0,0.0,0.0
19470.0,0.0,PB,46400.0,0,19500.0,300,19800.0,19680.0,2982.0,0.0,0.0,19450.0,20180129,19895.0,0,19545.0,180.0,0.0,62010.0,0.0,0.0
19800.0,0.0,PB,42068.0,0,19680.0,-140,19540.0,19600.0,-4332.0,0.0,0.0,19455.0,20180130,19840.0,0,19840.0,-80.0,0.0,61692.0,0.0,0.0
19540.0,0.0,PB,40366.0,0,19600.0,-200,19400.0,19465.0,-1702.0,0.0,0.0,19350.0,20180131,19650.0,0,19650.0,-135.0,0.0,46324.0,0.0,0.0
19400.0,0.0,PB,40732.0,0,19465.0,105,19570.0,19500.0,366.0,0.0,0.0,19380.0,20180201,19645.0,0,19465.0,35.0,0.0,44964.0,0.0,0.0
19570.0,0.0,PB,41554.0,0,19500.0,160,19660.0,19690.0,822.0,0.0,0.0,19595.0,20180202,19785.0,0,19655.0,190.0,0.0,46992.0,0.0,0.0
19660.0,0.0,PB,40176.0,0,19690.0,-155,19535.0,19595.0,-1378.0,0.0,0.0,19505.0,20180205,19780.0,0,19595.0,-95.0,0.0,46904.0,0.0,0.0
19535.0,0.0,PB,37682.0,0,19595.0,-130,19465.0,19495.0,-2494.0,0.0,0.0,19405.0,20180206,19640.0,0,19470.0,-100.0,0.0,35882.0,0.0,0.0
19465.0,0.0,PB,35130.0,0,19495.0,-295,19200.0,19275.0,-2552.0,0.0,0.0,19150.0,20180207,19415.0,0,19380.0,-220.0,0.0,48456.0,0.0,0.0
19200.0,0.0,PB,31164.0,0,19275.0,-195,19080.0,19110.0,-3966.0,0.0,0.0,19015.0,20180208,19255.0,0,19125.0,-165.0,0.0,46594.0,0.0,0.0
19080.0,0.0,PB,28964.0,0,19110.0,-70,19040.0,19080.0,-2200.0,0.0,0.0,18975.0,20180209,19195.0,0,19130.0,-30.0,0.0,43106.0,0.0,0.0
19040.0,0.0,PB,27582.0,0,19080.0,-50,19030.0,19095.0,-1382.0,0.0,0.0,19010.0,20180212,19185.0,0,19165.0,15.0,0.0,41788.0,0.0,0.0
19045.0,0.0,PB,28996.0,0,19085.0,-80,19005.0,18970.0,2210.0,0.0,0.0,18910.0,20180213,19040.0,0,19040.0,-115.0,0.0,17682.0,0.0,0.0
19005.0,0.0,PB,29982.0,0,18970.0,345,19315.0,19190.0,986.0,0.0,0.0,18985.0,20180214,19340.0,0,19000.0,220.0,0.0,20116.0,0.0,0.0
19315.0,0.0,PB,31604.0,0,19190.0,105,19295.0,19230.0,1622.0,0.0,0.0,19155.0,20180222,19340.0,0,19285.0,40.0,0.0,13728.0,0.0,0.0
