前收盘,前结算价,合约,均价,市场最近交易日,开盘价,成交笔数,成交量,成交额,持仓量,持仓量变化,振幅(收盘价),收盘价,日期,最低价,最近交易日期,最高价,涨跌(收盘价),涨跌(结算价),涨跌幅(收盘价),涨跌幅(结算价),结算价
2410.0,2664.0,PM.CZC,2449.307692,2018/1/2,2535.0,0,0.0,0.0,2.0,0.0,6.991869919,2410.0,20180102,2363.0,2017/8/7,2535.0,-2664.0,0.0,0.0,0.0,2664.0
2410.0,2664.0,PM.CZC,2449.307692,2018/1/3,2535.0,0,0.0,0.0,2.0,0.0,6.991869919,2410.0,20180103,2363.0,2017/8/7,2535.0,-2664.0,0.0,0.0,0.0,2664.0
2410.0,2664.0,PM.CZC,2449.307692,2018/1/4,2535.0,0,0.0,0.0,2.0,0.0,6.991869919,2410.0,20180104,2363.0,2017/8/7,2535.0,-2664.0,0.0,0.0,0.0,2664.0
2410.0,2664.0,PM.CZC,2449.307692,2018/1/5,2535.0,0,0.0,0.0,2.0,0.0,6.991869919,2410.0,20180105,2363.0,2017/8/7,2535.0,-2664.0,0.0,0.0,0.0,2664.0
2410.0,2664.0,PM.CZC,2449.307692,2018/1/8,2535.0,0,0.0,0.0,2.0,0.0,6.991869919,2410.0,20180108,2363.0,2017/8/7,2535.0,-2664.0,0.0,0.0,0.0,2664.0
2410.0,2664.0,PM.CZC,2449.307692,2018/1/9,2535.0,0,0.0,0.0,2.0,0.0,6.991869919,2410.0,20180109,2363.0,2017/8/7,2535.0,-2664.0,0.0,0.0,0.0,2664.0
2410.0,2664.0,PM.CZC,2449.307692,2018/1/10,2535.0,0,0.0,0.0,2.0,0.0,6.991869919,2410.0,20180110,2363.0,2017/8/7,2535.0,-2664.0,0.0,0.0,0.0,2664.0
2410.0,2664.0,PM.CZC,2449.307692,2018/1/11,2535.0,0,0.0,0.0,2.0,0.0,6.991869919,2410.0,20180111,2363.0,2017/8/7,2535.0,-2664.0,0.0,0.0,0.0,2664.0
2410.0,2664.0,PM.CZC,2449.307692,2018/1/12,2535.0,0,0.0,0.0,2.0,0.0,6.991869919,2410.0,20180112,2363.0,2017/8/7,2535.0,-2664.0,0.0,0.0,0.0,2664.0
2410.0,2664.0,PM.CZC,2449.307692,2018/1/15,2535.0,0,0.0,0.0,2.0,0.0,6.991869919,2410.0,20180115,2363.0,2017/8/7,2535.0,-2664.0,0.0,0.0,0.0,2664.0
2410.0,2664.0,PM.CZC,2449.307692,2018/1/16,2535.0,0,0.0,0.0,2.0,0.0,6.991869919,2410.0,20180116,2363.0,2017/8/7,2535.0,-2664.0,0.0,0.0,0.0,2664.0
2410.0,2664.0,PM.CZC,2449.307692,2018/1/17,2535.0,0,0.0,0.0,2.0,0.0,6.991869919,2410.0,20180117,2363.0,2017/8/7,2535.0,-2664.0,0.0,0.0,0.0,2664.0
2410.0,2664.0,PM.CZC,2449.307692,2018/1/18,2535.0,0,0.0,0.0,2.0,0.0,6.991869919,2410.0,20180118,2363.0,2017/8/7,2535.0,-2664.0,0.0,0.0,0.0,2664.0
2410.0,2664.0,PM.CZC,2449.307692,2018/1/19,2535.0,0,0.0,0.0,2.0,0.0,6.991869919,2410.0,20180119,2363.0,2017/8/7,2535.0,-2664.0,0.0,0.0,0.0,2664.0
2410.0,2664.0,PM.CZC,2449.307692,2018/1/22,2535.0,0,0.0,0.0,2.0,0.0,6.991869919,2410.0,20180122,2363.0,2017/8/7,2535.0,-2664.0,0.0,0.0,0.0,2664.0
2410.0,2664.0,PM.CZC,2449.307692,2018/1/23,2535.0,0,0.0,0.0,2.0,0.0,6.991869919,2410.0,20180123,2363.0,2017/8/7,2535.0,-2664.0,0.0,0.0,0.0,2664.0
2410.0,2664.0,PM.CZC,2449.307692,2018/1/24,2535.0,0,0.0,0.0,2.0,0.0,6.991869919,2410.0,20180124,2363.0,2017/8/7,2535.0,-2664.0,0.0,0.0,0.0,2664.0
