前收盘,前结算价,合约,均价,市场最近交易日,开盘价,成交笔数,成交量,成交额,持仓量,持仓量变化,振幅(收盘价),收盘价,日期,最低价,最近交易日期,最高价,涨跌(收盘价),涨跌(结算价),涨跌幅(收盘价),涨跌幅(结算价),结算价
9285.0,9282.0,PP.DCE,9487.167262,2018/1/2,9344.0,0,675036.0,32020897200.0,548540.0,126944.0,2.800215401,9493.0,20180102,9300.0,2018/1/2,9560.0,211.0,205.0,2.273216979,2.208575738,9487.0
9493.0,9487.0,PP.DCE,9486.121262,2018/1/3,9515.0,0,280648.0,13311304800.0,516452.0,-32088.0,0.642578742,9490.0,20180103,9454.0,2018/1/3,9515.0,3.0,-1.0,0.03162222,-0.01054074,9486.0
9490.0,9486.0,PP.DCE,9504.988651,2018/1/4,9522.0,0,389460.0,18509064400.0,516480.0,28.0,1.422550053,9524.0,20180104,9430.0,2018/1/4,9565.0,38.0,18.0,0.400590344,0.189753321,9504.0
9524.0,9504.0,PP.DCE,9499.473737,2018/1/5,9509.0,0,396494.0,18832421700.0,514038.0,-2442.0,1.18647627,9508.0,20180105,9441.0,2018/1/5,9554.0,4.0,-5.0,0.042087542,-0.052609428,9499.0
9508.0,9499.0,PP.DCE,9551.385423,2018/1/8,9465.0,0,378628.0,18082109800.0,520284.0,6246.0,1.461926798,9529.0,20180108,9465.0,2018/1/8,9604.0,30.0,52.0,0.315822718,0.547426045,9551.0
9529.0,9551.0,PP.DCE,9498.761942,2018/1/9,9568.0,0,305640.0,14516008000.0,507380.0,-12904.0,1.259313674,9499.0,20180109,9455.0,2018/1/9,9575.0,-52.0,-53.0,-0.544445608,-0.554915716,9498.0
9499.0,9498.0,PP.DCE,9582.525588,2018/1/10,9486.0,0,466632.0,22357565400.0,541026.0,33646.0,1.73702495,9588.0,20180110,9480.0,2018/1/10,9645.0,90.0,84.0,0.947567909,0.884396715,9582.0
9588.0,9582.0,PP.DCE,9600.510468,2018/1/11,9605.0,0,287540.0,13802653900.0,549096.0,8070.0,0.813516896,9632.0,20180111,9562.0,2018/1/11,9640.0,50.0,18.0,0.52181173,0.187852223,9600.0
9632.0,9600.0,PP.DCE,9638.491824,2018/1/12,9610.0,0,355290.0,17122298800.0,586786.0,37690.0,0.944767442,9679.0,20180112,9592.0,2018/1/12,9683.0,79.0,38.0,0.822916667,0.395833333,9638.0
9679.0,9638.0,PP.DCE,9652.480662,2018/1/15,9680.0,0,319842.0,15436343600.0,562106.0,-24680.0,0.919516479,9664.0,20180115,9606.0,2018/1/15,9695.0,26.0,14.0,0.269765512,0.145258352,9652.0
9664.0,9652.0,PP.DCE,9512.846184,2018/1/16,9671.0,0,601486.0,28609219000.0,531310.0,-30796.0,3.083609272,9416.0,20180116,9381.0,2018/1/16,9679.0,-236.0,-140.0,-2.445089101,-1.450476585,9512.0
9416.0,9512.0,PP.DCE,9404.481599,2018/1/17,9415.0,0,278838.0,13111634200.0,477216.0,-54094.0,1.040781648,9380.0,20180117,9350.0,2018/1/17,9448.0,-132.0,-108.0,-1.387720774,-1.135407906,9404.0
9380.0,9404.0,PP.DCE,9423.134707,2018/1/18,9395.0,0,264886.0,12480282300.0,484226.0,7010.0,0.906183369,9400.0,20180118,9383.0,2018/1/18,9468.0,-4.0,19.0,-0.042535091,0.202041684,9423.0
9400.0,9423.0,PP.DCE,9415.980201,2018/1/19,9357.0,0,381238.0,17948647300.0,492352.0,8126.0,2.063829787,9468.0,20180119,9315.0,2018/1/19,9509.0,45.0,-8.0,0.477554919,-0.084898652,9415.0
9468.0,9415.0,PP.DCE,9478.565325,2018/1/22,9480.0,0,250900.0,11890860200.0,484250.0,-8102.0,0.792141952,9456.0,20180122,9443.0,2018/1/22,9518.0,41.0,63.0,0.435475305,0.669144981,9478.0
9456.0,9478.0,PP.DCE,9479.72331,2018/1/23,9467.0,0,427482.0,20262055400.0,528870.0,44620.0,1.744923858,9537.0,20180123,9385.0,2018/1/23,9550.0,59.0,1.0,0.622494197,0.010550749,9479.0
9537.0,9479.0,PP.DCE,9514.467239,2018/1/24,9542.0,0,319956.0,15221054400.0,507678.0,-21192.0,0.859809164,9497.0,20180124,9480.0,2018/1/24,9562.0,18.0,35.0,0.189893449,0.369237261,9514.0
9497.0,9514.0,PP.DCE,9575.132364,2018/1/25,9552.0,0,408194.0,19542557900.0,533032.0,25354.0,1.01084553,9543.0,20180125,9530.0,2018/1/25,9626.0,29.0,61.0,0.304813958,0.641160395,9575.0
9543.0,9575.0,PP.DCE,9559.680408,2018/1/26,9503.0,0,398884.0,19066017800.0,550156.0,17124.0,1.613748297,9596.0,20180126,9492.0,2018/1/26,9646.0,21.0,-16.0,0.219321149,-0.167101828,9559.0
9596.0,9559.0,PP.DCE,9595.554962,2018/1/29,9582.0,0,318274.0,15270078300.0,551616.0,1460.0,1.281784077,9564.0,20180129,9545.0,2018/1/29,9668.0,5.0,36.0,0.052306727,0.376608432,9595.0
9564.0,9595.0,PP.DCE,9532.812269,2018/1/30,9530.0,0,449708.0,21434909700.0,536356.0,-15260.0,1.359263906,9489.0,20180130,9470.0,2018/1/30,9600.0,-106.0,-63.0,-1.104742053,-0.656591975,9532.0
9489.0,9532.0,PP.DCE,9480.746948,2018/1/31,9454.0,0,317800.0,15064906900.0,533148.0,-3208.0,0.822004426,9512.0,20180131,9442.0,2018/1/31,9520.0,-20.0,-52.0,-0.209819555,-0.545530843,9480.0
9512.0,9480.0,PP.DCE,9448.909168,2018/2/1,9518.0,0,348798.0,16478803100.0,529374.0,-3774.0,1.324642557,9408.0,20180201,9402.0,2018/2/1,9528.0,-72.0,-32.0,-0.759493671,-0.337552743,9448.0
9408.0,9448.0,PP.DCE,9421.239019,2018/2/2,9450.0,0,256816.0,12097624600.0,513962.0,-15412.0,1.06292517,9375.0,20180202,9360.0,2018/2/2,9460.0,-73.0,-27.0,-0.772650296,-0.285774767,9421.0
9375.0,9421.0,PP.DCE,9425.138657,2018/2/5,9336.0,0,337956.0,15926410800.0,535404.0,21442.0,1.749333333,9500.0,20180205,9336.0,2018/2/5,9500.0,79.0,4.0,0.838552171,0.042458338,9425.0
9500.0,9425.0,PP.DCE,9436.720472,2018/2/6,9461.0,0,350276.0,16527283500.0,504170.0,-31234.0,1.042105263,9416.0,20180206,9390.0,2018/2/6,9489.0,-9.0,11.0,-0.095490716,0.116710875,9436.0
9416.0,9436.0,PP.DCE,9364.266811,2018/2/7,9450.0,0,450102.0,21074376100.0,539000.0,34830.0,1.964740867,9306.0,20180207,9288.0,2018/2/7,9473.0,-130.0,-72.0,-1.377702416,-0.763035184,9364.0
9306.0,9364.0,PP.DCE,9235.069063,2018/2/8,9264.0,0,392830.0,18139060900.0,533450.0,-5550.0,1.182033097,9239.0,20180208,9187.0,2018/2/8,9297.0,-125.0,-129.0,-1.334899616,-1.377616403,9235.0
9239.0,9235.0,PP.DCE,9230.286542,2018/2/9,9219.0,0,237382.0,10955519400.0,520366.0,-13084.0,0.671068297,9238.0,20180209,9205.0,2018/2/9,9267.0,3.0,-5.0,0.032485111,-0.054141852,9230.0
