前收盘,前结算价,合约,均价,市场最近交易日,开盘价,成交笔数,成交量,成交额,持仓量,持仓量变化,振幅(收盘价),收盘价,日期,最低价,最近交易日期,最高价,涨跌(收盘价),涨跌(结算价),涨跌幅(收盘价),涨跌幅(结算价),结算价
3794.0,0.0,RB,2413572.0,0,3794.0,80,3874.0,3842.0,-110698.0,0.0,0.0,3794.0,20180102,3886.0,0,3801.0,48.0,0.0,2961436.0,0.0,0.0
3874.0,0.0,RB,2433636.0,0,3842.0,-33,3809.0,3845.0,20064.0,0.0,0.0,3803.0,20180103,3877.0,0,3866.0,3.0,0.0,3523844.0,0.0,0.0
3809.0,0.0,RB,2581090.0,0,3845.0,-26,3819.0,3811.0,147454.0,0.0,0.0,3788.0,20180104,3842.0,0,3805.0,-34.0,0.0,3747764.0,0.0,0.0
3819.0,0.0,RB,2744436.0,0,3811.0,-13,3798.0,3791.0,163346.0,0.0,0.0,3760.0,20180105,3827.0,0,3812.0,-20.0,0.0,3941160.0,0.0,0.0
3798.0,0.0,RB,2717212.0,0,3791.0,27,3818.0,3772.0,-27224.0,0.0,0.0,3733.0,20180108,3820.0,0,3795.0,-19.0,0.0,4329290.0,0.0,0.0
3818.0,0.0,RB,2564464.0,0,3772.0,47,3819.0,3824.0,-152748.0,0.0,0.0,3810.0,20180109,3843.0,0,3818.0,52.0,0.0,3148548.0,0.0,0.0
3819.0,0.0,RB,2676566.0,0,3824.0,25,3849.0,3833.0,112102.0,0.0,0.0,3792.0,20180110,3868.0,0,3818.0,9.0,0.0,4174000.0,0.0,0.0
3849.0,0.0,RB,2597150.0,0,3833.0,5,3838.0,3850.0,-79416.0,0.0,0.0,3824.0,20180111,3876.0,0,3858.0,17.0,0.0,3631732.0,0.0,0.0
3838.0,0.0,RB,2733076.0,0,3850.0,-60,3790.0,3807.0,135926.0,0.0,0.0,3778.0,20180112,3849.0,0,3838.0,-43.0,0.0,3298806.0,0.0,0.0
3790.0,0.0,RB,2833502.0,0,3807.0,-5,3802.0,3784.0,100426.0,0.0,0.0,3749.0,20180115,3811.0,0,3786.0,-23.0,0.0,3097214.0,0.0,0.0
3802.0,0.0,RB,2637024.0,0,3784.0,6,3790.0,3814.0,-196478.0,0.0,0.0,3788.0,20180116,3844.0,0,3803.0,30.0,0.0,3670054.0,0.0,0.0
3790.0,0.0,RB,2736546.0,0,3814.0,13,3827.0,3816.0,99522.0,0.0,0.0,3783.0,20180117,3841.0,0,3788.0,2.0,0.0,4281478.0,0.0,0.0
3827.0,0.0,RB,2926692.0,0,3816.0,43,3859.0,3843.0,190146.0,0.0,0.0,3815.0,20180118,3868.0,0,3825.0,27.0,0.0,3516314.0,0.0,0.0
3859.0,0.0,RB,3154466.0,0,3843.0,83,3926.0,3883.0,227774.0,0.0,0.0,3855.0,20180119,3927.0,0,3867.0,40.0,0.0,4341444.0,0.0,0.0
3926.0,0.0,RB,3235974.0,0,3883.0,44,3927.0,3939.0,81508.0,0.0,0.0,3916.0,20180122,3974.0,0,3937.0,56.0,0.0,3595842.0,0.0,0.0
3927.0,0.0,RB,3017524.0,0,3939.0,-27,3912.0,3905.0,-218450.0,0.0,0.0,3874.0,20180123,3933.0,0,3930.0,-34.0,0.0,4132416.0,0.0,0.0
3912.0,0.0,RB,3132256.0,0,3905.0,32,3937.0,3924.0,114732.0,0.0,0.0,3896.0,20180124,3948.0,0,3904.0,19.0,0.0,2808360.0,0.0,0.0
3937.0,0.0,RB,3207556.0,0,3924.0,42,3966.0,3958.0,75300.0,0.0,0.0,3916.0,20180125,3998.0,0,3933.0,34.0,0.0,3860830.0,0.0,0.0
3966.0,0.0,RB,3094676.0,0,3958.0,-13,3945.0,3948.0,-112880.0,0.0,0.0,3920.0,20180126,3976.0,0,3965.0,-10.0,0.0,2985708.0,0.0,0.0
3945.0,0.0,RB,3065612.0,0,3948.0,-3,3945.0,3945.0,-29064.0,0.0,0.0,3923.0,20180129,3968.0,0,3942.0,-3.0,0.0,2502918.0,0.0,0.0
3945.0,0.0,RB,2943354.0,0,3945.0,-24,3921.0,3923.0,-122258.0,0.0,0.0,3903.0,20180130,3944.0,0,3938.0,-22.0,0.0,2680272.0,0.0,0.0
3921.0,0.0,RB,2858688.0,0,3923.0,-8,3915.0,3918.0,-84666.0,0.0,0.0,3892.0,20180131,3988.0,0,3919.0,-5.0,0.0,2741322.0,0.0,0.0
3915.0,0.0,RB,2909296.0,0,3918.0,13,3931.0,3941.0,50608.0,0.0,0.0,3919.0,20180201,3969.0,0,3920.0,23.0,0.0,3082336.0,0.0,0.0
3931.0,0.0,RB,2912456.0,0,3941.0,20,3961.0,3949.0,3160.0,0.0,0.0,3913.0,20180202,3973.0,0,3921.0,8.0,0.0,2699418.0,0.0,0.0
3961.0,0.0,RB,2786752.0,0,3949.0,18,3967.0,3946.0,-125704.0,0.0,0.0,3922.0,20180205,3971.0,0,3960.0,-3.0,0.0,2520722.0,0.0,0.0
3967.0,0.0,RB,2719124.0,0,3946.0,-3,3943.0,3960.0,-67628.0,0.0,0.0,3931.0,20180206,3998.0,0,3970.0,14.0,0.0,3078200.0,0.0,0.0
3943.0,0.0,RB,2682964.0,0,3960.0,-23,3937.0,3944.0,-36160.0,0.0,0.0,3927.0,20180207,3965.0,0,3949.0,-16.0,0.0,2060998.0,0.0,0.0
3937.0,0.0,RB,2668894.0,0,3944.0,-14,3930.0,3931.0,-14070.0,0.0,0.0,3916.0,20180208,3951.0,0,3936.0,-13.0,0.0,2206992.0,0.0,0.0
3930.0,0.0,RB,2586270.0,0,3931.0,-36,3895.0,3911.0,-82624.0,0.0,0.0,3881.0,20180209,3946.0,0,3928.0,-20.0,0.0,2574966.0,0.0,0.0
3895.0,0.0,RB,2455788.0,0,3911.0,7,3918.0,3906.0,-130482.0,0.0,0.0,3882.0,20180212,3925.0,0,3890.0,-5.0,0.0,1570766.0,0.0,0.0
3918.0,0.0,RB,2318730.0,0,3906.0,15,3921.0,3918.0,-137058.0,0.0,0.0,3894.0,20180213,3935.0,0,3920.0,12.0,0.0,1344078.0,0.0,0.0
3921.0,0.0,RB,2226628.0,0,3918.0,16,3934.0,3934.0,-92102.0,0.0,0.0,3916.0,20180214,3951.0,0,3921.0,16.0,0.0,1115116.0,0.0,0.0
3934.0,0.0,RB,2438736.0,0,3934.0,-68,3866.0,3881.0,212108.0,0.0,0.0,3841.0,20180222,3955.0,0,3945.0,-53.0,0.0,2061350.0,0.0,0.0
3866.0,0.0,RB,2472076.0,0,3881.0,68,3949.0,3898.0,33340.0,0.0,0.0,3841.0,20180223,3959.0,0,3846.0,17.0,0.0,3569646.0,0.0,0.0
3949.0,0.0,RB,2556516.0,0,3898.0,130,4028.0,4000.0,84440.0,0.0,0.0,3938.0,20180226,4047.0,0,3954.0,102.0,0.0,2765834.0,0.0,0.0
4028.0,0.0,RB,2509598.0,0,4000.0,35,4035.0,4014.0,-46918.0,0.0,0.0,3981.0,20180227,4040.0,0,4038.0,14.0,0.0,2380880.0,0.0,0.0
