前收盘,前结算价,合约,均价,市场最近交易日,开盘价,成交笔数,成交量,成交额,持仓量,持仓量变化,振幅(收盘价),收盘价,日期,最低价,最近交易日期,最高价,涨跌(收盘价),涨跌(结算价),涨跌幅(收盘价),涨跌幅(结算价),结算价
2290.0,2310.0,RM.CZC,2290.994916,2018/1/2,2302.0,0,276174.0,6327132300.0,606340.0,9302.0,1.179039301,2288.0,20180102,2279.0,2018/1/2,2306.0,-22.0,-19.0,-0.952380952,-0.822510823,2291.0
2288.0,2291.0,RM.CZC,2294.992673,2018/1/3,2290.0,0,331632.0,7610930100.0,608344.0,2004.0,0.655594406,2294.0,20180103,2288.0,2018/1/3,2303.0,3.0,4.0,0.130947185,0.174596246,2295.0
2294.0,2295.0,RM.CZC,2287.657188,2018/1/4,2297.0,0,410686.0,9395087800.0,625648.0,17304.0,0.95902354,2283.0,20180104,2276.0,2018/1/4,2298.0,-12.0,-7.0,-0.522875817,-0.305010893,2288.0
2283.0,2288.0,RM.CZC,2286.872936,2018/1/5,2282.0,0,494790.0,11315218600.0,614906.0,-10742.0,1.357862462,2293.0,20180105,2271.0,2018/1/5,2302.0,5.0,-1.0,0.218531469,-0.043706294,2287.0
2293.0,2287.0,RM.CZC,2288.985956,2018/1/8,2299.0,0,354590.0,8116515300.0,612182.0,-2724.0,0.915830789,2280.0,20180108,2280.0,2018/1/8,2301.0,-7.0,2.0,-0.306077831,0.087450809,2289.0
2280.0,2289.0,RM.CZC,2300.043151,2018/1/9,2285.0,0,495240.0,11390733700.0,609004.0,-3178.0,1.184210526,2296.0,20180109,2284.0,2018/1/9,2311.0,7.0,11.0,0.305810398,0.480559196,2300.0
2296.0,2300.0,RM.CZC,2292.153431,2018/1/10,2293.0,0,383704.0,8795084400.0,627854.0,18850.0,0.871080139,2287.0,20180110,2283.0,2018/1/10,2303.0,-13.0,-8.0,-0.565217391,-0.347826087,2292.0
2287.0,2292.0,RM.CZC,2274.750709,2018/1/11,2286.0,0,454168.0,10331189800.0,653666.0,25812.0,1.311762134,2270.0,20180111,2263.0,2018/1/11,2293.0,-22.0,-17.0,-0.959860384,-0.741710297,2275.0
2270.0,2275.0,RM.CZC,2256.498217,2018/1/12,2272.0,0,402038.0,9071980300.0,674188.0,20522.0,1.365638767,2246.0,20180112,2243.0,2018/1/12,2274.0,-29.0,-19.0,-1.274725275,-0.835164835,2256.0
2246.0,2256.0,RM.CZC,2262.641251,2018/1/15,2247.0,0,380952.0,8619577100.0,646858.0,-27330.0,1.691896705,2270.0,20180115,2241.0,2018/1/15,2279.0,14.0,7.0,0.620567376,0.310283688,2263.0
2270.0,2263.0,RM.CZC,2268.928751,2018/1/16,2271.0,0,286852.0,6508467500.0,649808.0,2950.0,0.572687225,2269.0,20180116,2262.0,2018/1/16,2275.0,6.0,6.0,0.265134777,0.265134777,2269.0
2269.0,2269.0,RM.CZC,2278.779687,2018/1/17,2272.0,0,391752.0,8927165000.0,649644.0,-164.0,0.793301014,2280.0,20180117,2267.0,2018/1/17,2285.0,11.0,10.0,0.484795064,0.440722785,2279.0
2280.0,2279.0,RM.CZC,2277.463747,2018/1/18,2281.0,0,319286.0,7271622900.0,664428.0,14784.0,0.745614035,2275.0,20180118,2269.0,2018/1/18,2286.0,-4.0,-2.0,-0.175515577,-0.087757789,2277.0
2275.0,2277.0,RM.CZC,2288.439385,2018/1/19,2274.0,0,550706.0,12602573000.0,684942.0,20514.0,1.318681319,2294.0,20180119,2268.0,2018/1/19,2298.0,17.0,11.0,0.746596399,0.483091787,2288.0
2294.0,2288.0,RM.CZC,2299.986042,2018/1/22,2302.0,0,347478.0,7991945500.0,685606.0,664.0,0.566695728,2302.0,20180122,2293.0,2018/1/22,2306.0,14.0,12.0,0.611888112,0.524475524,2300.0
2302.0,2300.0,RM.CZC,2305.217013,2018/1/23,2308.0,0,341270.0,7867014100.0,673756.0,-11850.0,0.738488271,2305.0,20180123,2297.0,2018/1/23,2314.0,5.0,5.0,0.217391304,0.217391304,2305.0
2305.0,2305.0,RM.CZC,2292.640909,2018/1/24,2307.0,0,407674.0,9346500900.0,672672.0,-1084.0,1.214750542,2283.0,20180124,2281.0,2018/1/24,2309.0,-22.0,-12.0,-0.954446855,-0.520607375,2293.0
