前收盘,前结算价,合约,均价,市场最近交易日,开盘价,成交笔数,成交量,成交额,持仓量,持仓量变化,振幅(收盘价),收盘价,日期,最低价,最近交易日期,最高价,涨跌(收盘价),涨跌(结算价),涨跌幅(收盘价),涨跌幅(结算价),结算价
14105.0,0.0,RU,367234.0,0,14140.0,200,14340.0,14325.0,5308.0,0.0,0.0,14080.0,20180102,14430.0,0,14090.0,185.0,0.0,381536.0,0.0,0.0
14340.0,0.0,RU,374936.0,0,14325.0,-30,14295.0,14320.0,7702.0,0.0,0.0,14240.0,20180103,14460.0,0,14340.0,-5.0,0.0,327334.0,0.0,0.0
14295.0,0.0,RU,404120.0,0,14320.0,-205,14115.0,14095.0,29184.0,0.0,0.0,13990.0,20180104,14280.0,0,14280.0,-225.0,0.0,564406.0,0.0,0.0
14115.0,0.0,RU,405010.0,0,14095.0,-5,14090.0,14065.0,890.0,0.0,0.0,13920.0,20180105,14160.0,0,14095.0,-30.0,0.0,447564.0,0.0,0.0
14090.0,0.0,RU,413072.0,0,14065.0,10,14075.0,14035.0,8062.0,0.0,0.0,13960.0,20180108,14110.0,0,14060.0,-30.0,0.0,319626.0,0.0,0.0
14075.0,0.0,RU,413940.0,0,14035.0,40,14075.0,14095.0,868.0,0.0,0.0,14010.0,20180109,14200.0,0,14090.0,60.0,0.0,368066.0,0.0,0.0
14075.0,0.0,RU,416768.0,0,14095.0,-60,14035.0,14105.0,2828.0,0.0,0.0,13985.0,20180110,14280.0,0,14100.0,10.0,0.0,527278.0,0.0,0.0
14035.0,0.0,RU,405546.0,0,14105.0,65,14170.0,14120.0,-11222.0,0.0,0.0,14050.0,20180111,14195.0,0,14090.0,15.0,0.0,336572.0,0.0,0.0
14170.0,0.0,RU,407302.0,0,14120.0,175,14295.0,14310.0,1756.0,0.0,0.0,14185.0,20180112,14405.0,0,14220.0,190.0,0.0,563098.0,0.0,0.0
14295.0,0.0,RU,413742.0,0,14310.0,135,14445.0,14370.0,6440.0,0.0,0.0,14130.0,20180115,14500.0,0,14290.0,60.0,0.0,390868.0,0.0,0.0
14445.0,0.0,RU,409008.0,0,14370.0,-145,14225.0,14310.0,-4734.0,0.0,0.0,14155.0,20180116,14475.0,0,14440.0,-60.0,0.0,437546.0,0.0,0.0
14225.0,0.0,RU,409030.0,0,14310.0,-165,14145.0,14200.0,22.0,0.0,0.0,14070.0,20180117,14285.0,0,14185.0,-110.0,0.0,322056.0,0.0,0.0
14145.0,0.0,RU,412314.0,0,14200.0,-35,14165.0,14200.0,3284.0,0.0,0.0,14115.0,20180118,14280.0,0,14120.0,0.0,0.0,310410.0,0.0,0.0
14165.0,0.0,RU,432858.0,0,14200.0,-135,14065.0,14095.0,20544.0,0.0,0.0,13975.0,20180119,14230.0,0,14145.0,-105.0,0.0,494914.0,0.0,0.0
14065.0,0.0,RU,438652.0,0,14095.0,-20,14075.0,14075.0,5794.0,0.0,0.0,14000.0,20180122,14150.0,0,14095.0,-20.0,0.0,321526.0,0.0,0.0
14075.0,0.0,RU,491676.0,0,14075.0,-280,13795.0,13920.0,53024.0,0.0,0.0,13760.0,20180123,14135.0,0,14035.0,-155.0,0.0,543608.0,0.0,0.0
13795.0,0.0,RU,486616.0,0,13920.0,-145,13775.0,13780.0,-5060.0,0.0,0.0,13645.0,20180124,13840.0,0,13750.0,-140.0,0.0,266134.0,0.0,0.0
13775.0,0.0,RU,488396.0,0,13780.0,-25,13755.0,13810.0,1780.0,0.0,0.0,13700.0,20180125,13900.0,0,13785.0,30.0,0.0,393930.0,0.0,0.0
13755.0,0.0,RU,485152.0,0,13810.0,-40,13770.0,13795.0,-3244.0,0.0,0.0,13730.0,20180126,13870.0,0,13755.0,-15.0,0.0,301580.0,0.0,0.0
13770.0,0.0,RU,481884.0,0,13795.0,-25,13770.0,13810.0,-3268.0,0.0,0.0,13620.0,20180129,13950.0,0,13730.0,15.0,0.0,418768.0,0.0,0.0
13770.0,0.0,RU,508666.0,0,13810.0,-415,13395.0,13585.0,26782.0,0.0,0.0,13330.0,20180130,13825.0,0,13770.0,-225.0,0.0,560042.0,0.0,0.0
13395.0,0.0,RU,509238.0,0,13585.0,-465,13120.0,13175.0,572.0,0.0,0.0,12880.0,20180131,13440.0,0,13400.0,-410.0,0.0,576542.0,0.0,0.0
13120.0,0.0,RU,510868.0,0,13175.0,-220,12955.0,13025.0,1630.0,0.0,0.0,12890.0,20180201,13185.0,0,13180.0,-150.0,0.0,347664.0,0.0,0.0
12955.0,0.0,RU,509384.0,0,13025.0,-20,13005.0,13015.0,-1484.0,0.0,0.0,12965.0,20180202,13075.0,0,12990.0,-10.0,0.0,263916.0,0.0,0.0
13005.0,0.0,RU,499050.0,0,13015.0,40,13055.0,13010.0,-10334.0,0.0,0.0,12790.0,20180205,13105.0,0,12990.0,-5.0,0.0,350518.0,0.0,0.0
13055.0,0.0,RU,506882.0,0,13010.0,-425,12585.0,12775.0,7832.0,0.0,0.0,12500.0,20180206,13135.0,0,13065.0,-235.0,0.0,599878.0,0.0,0.0
12585.0,0.0,RU,491602.0,0,12775.0,-120,12655.0,12645.0,-15280.0,0.0,0.0,12580.0,20180207,12730.0,0,12635.0,-130.0,0.0,271528.0,0.0,0.0
12655.0,0.0,RU,490542.0,0,12645.0,-255,12390.0,12435.0,-1060.0,0.0,0.0,12280.0,20180208,12690.0,0,12650.0,-210.0,0.0,472784.0,0.0,0.0
12390.0,0.0,RU,465470.0,0,12435.0,15,12450.0,12410.0,-25072.0,0.0,0.0,12225.0,20180209,12495.0,0,12420.0,-25.0,0.0,350406.0,0.0,0.0
12450.0,0.0,RU,455634.0,0,12410.0,110,12520.0,12525.0,-9836.0,0.0,0.0,12400.0,20180212,12685.0,0,12420.0,115.0,0.0,290064.0,0.0,0.0
12520.0,0.0,RU,447754.0,0,12525.0,-75,12450.0,12475.0,-7880.0,0.0,0.0,12380.0,20180213,12580.0,0,12495.0,-50.0,0.0,220900.0,0.0,0.0
12450.0,0.0,RU,429866.0,0,12475.0,25,12500.0,12460.0,-17888.0,0.0,0.0,12320.0,20180214,12550.0,0,12435.0,-15.0,0.0,269100.0,0.0,0.0
12500.0,0.0,RU,439456.0,0,12460.0,40,12500.0,12485.0,9590.0,0.0,0.0,12370.0,20180222,12675.0,0,12545.0,25.0,0.0,216152.0,0.0,0.0
12500.0,0.0,RU,425890.0,0,12485.0,365,12850.0,12760.0,-13566.0,0.0,0.0,12505.0,20180223,12940.0,0,12510.0,275.0,0.0,450308.0,0.0,0.0
12850.0,0.0,RU,417918.0,0,12760.0,175,12935.0,12895.0,-7972.0,0.0,0.0,12810.0,20180226,12975.0,0,12850.0,135.0,0.0,303970.0,0.0,0.0
12935.0,0.0,RU,408132.0,0,12895.0,-10,12885.0,12860.0,-9786.0,0.0,0.0,12765.0,20180227,12955.0,0,12930.0,-35.0,0.0,296358.0,0.0,0.0
12885.0,0.0,RU,401278.0,0,12860.0,170,13030.0,12940.0,-6854.0,0.0,0.0,12710.0,20180228,13100.0,0,12865.0,80.0,0.0,458812.0,0.0,0.0
13030.0,0.0,RU,398062.0,0,12940.0,70,13010.0,13005.0,-3216.0,0.0,0.0,12925.0,20180301,13075.0,0,13045.0,65.0,0.0,287962.0,0.0,0.0
13010.0,0.0,RU,394754.0,0,13005.0,-55,12950.0,12925.0,-3308.0,0.0,0.0,12770.0,20180302,13000.0,0,12900.0,-80.0,0.0,293706.0,0.0,0.0
12950.0,0.0,RU,391132.0,0,12925.0,130,13055.0,13085.0,-3622.0,0.0,0.0,12905.0,20180305,13185.0,0,12905.0,160.0,0.0,425548.0,0.0,0.0
13055.0,0.0,RU,387948.0,0,13085.0,-155,12930.0,12965.0,-3184.0,0.0,0.0,12850.0,20180306,13090.0,0,13020.0,-120.0,0.0,341572.0,0.0,0.0
12930.0,0.0,RU,390964.0,0,12965.0,-100,12865.0,12885.0,3016.0,0.0,0.0,12810.0,20180307,12965.0,0,12945.0,-80.0,0.0,304098.0,0.0,0.0
12865.0,0.0,RU,384874.0,0,12885.0,25,12910.0,12905.0,-6090.0,0.0,0.0,12740.0,20180308,13035.0,0,12835.0,20.0,0.0,405380.0,0.0,0.0
12910.0,0.0,RU,391748.0,0,12905.0,-285,12620.0,12810.0,6874.0,0.0,0.0,12555.0,20180309,13050.0,0,12905.0,-95.0,0.0,582352.0,0.0,0.0
12620.0,0.0,RU,386428.0,0,12810.0,-115,12695.0,12690.0,-5320.0,0.0,0.0,12570.0,20180312,12795.0,0,12670.0,-120.0,0.0,338148.0,0.0,0.0
12695.0,0.0,RU,387448.0,0,12690.0,5,12695.0,12680.0,1020.0,0.0,0.0,12610.0,20180313,12745.0,0,12680.0,-10.0,0.0,253366.0,0.0,0.0
12695.0,0.0,RU,379652.0,0,12680.0,95,12775.0,12780.0,-7796.0,0.0,0.0,12675.0,20180314,12880.0,0,12720.0,100.0,0.0,372494.0,0.0,0.0
12775.0,0.0,RU,379934.0,0,12780.0,30,12810.0,12780.0,282.0,0.0,0.0,12685.0,20180315,12850.0,0,12800.0,0.0,0.0,294284.0,0.0,0.0
12810.0,0.0,RU,404824.0,0,12780.0,-200,12580.0,12645.0,24890.0,0.0,0.0,12515.0,20180316,12880.0,0,12790.0,-135.0,0.0,484914.0,0.0,0.0
12580.0,0.0,RU,399774.0,0,12645.0,-135,12510.0,12520.0,-5050.0,0.0,0.0,12425.0,20180319,12640.0,0,12600.0,-125.0,0.0,303680.0,0.0,0.0
12510.0,0.0,RU,403044.0,0,12520.0,-280,12240.0,12295.0,3270.0,0.0,0.0,12075.0,20180320,12570.0,0,12540.0,-225.0,0.0,481012.0,0.0,0.0
12240.0,0.0,RU,401216.0,0,12295.0,-165,12130.0,12190.0,-1828.0,0.0,0.0,12110.0,20180321,12275.0,0,12255.0,-105.0,0.0,270522.0,0.0,0.0
12130.0,0.0,RU,394462.0,0,12190.0,-60,12130.0,12160.0,-6754.0,0.0,0.0,12055.0,20180322,12250.0,0,12105.0,-30.0,0.0,282496.0,0.0,0.0
12130.0,0.0,RU,356612.0,0,12160.0,-855,11305.0,11675.0,-37850.0,0.0,0.0,11305.0,20180323,12140.0,0,12095.0,-485.0,0.0,548548.0,0.0,0.0
11305.0,0.0,RU,316336.0,0,11675.0,-655,11020.0,11010.0,-40276.0,0.0,0.0,10830.0,20180326,11260.0,0,11205.0,-665.0,0.0,701844.0,0.0,0.0
11020.0,0.0,RU,296766.0,0,11010.0,165,11175.0,11140.0,-19570.0,0.0,0.0,10995.0,20180327,11270.0,0,11070.0,130.0,0.0,338128.0,0.0,0.0
11555.0,0.0,RU,285246.0,0,11530.0,-80,11450.0,11455.0,7250.0,0.0,0.0,11300.0,20180328,11605.0,0,11600.0,-75.0,0.0,225020.0,0.0,0.0
11450.0,0.0,RU,299770.0,0,11455.0,20,11475.0,11455.0,14524.0,0.0,0.0,11365.0,20180329,11520.0,0,11470.0,0.0,0.0,174240.0,0.0,0.0
11475.0,0.0,RU,328200.0,0,11455.0,185,11640.0,11535.0,28430.0,0.0,0.0,11360.0,20180330,11720.0,0,11490.0,80.0,0.0,336264.0,0.0,0.0
11640.0,0.0,RU,344968.0,0,11535.0,40,11575.0,11555.0,16768.0,0.0,0.0,11445.0,20180402,11650.0,0,11650.0,20.0,0.0,310676.0,0.0,0.0
11575.0,0.0,RU,366560.0,0,11555.0,-125,11430.0,11470.0,21592.0,0.0,0.0,11260.0,20180403,11635.0,0,11560.0,-85.0,0.0,504570.0,0.0,0.0
11430.0,0.0,RU,380348.0,0,11470.0,-130,11340.0,11390.0,13788.0,0.0,0.0,11285.0,20180404,11470.0,0,11415.0,-80.0,0.0,336852.0,0.0,0.0
11340.0,0.0,RU,396210.0,0,11390.0,60,11450.0,11415.0,15862.0,0.0,0.0,11340.0,20180409,11495.0,0,11395.0,25.0,0.0,289784.0,0.0,0.0
11450.0,0.0,RU,407648.0,0,11415.0,165,11580.0,11555.0,11438.0,0.0,0.0,11425.0,20180410,11675.0,0,11470.0,140.0,0.0,477604.0,0.0,0.0
11580.0,0.0,RU,421774.0,0,11555.0,-75,11480.0,11545.0,14126.0,0.0,0.0,11405.0,20180411,11685.0,0,11595.0,-10.0,0.0,466266.0,0.0,0.0
11480.0,11545.0,RU.SHF,11467.3662101,2018/04/12,11495.0,0,456574.0,52357012600.0,425692.0,3918.0,2.04703832753,11480.0,20180412,11320.0,2018/04/12,11555.0,-65.0,-80.0,-0.563014291901,-0.692940666955,11465.0
11480.0,11465.0,RU.SHF,11484.4926305,2018/04/13,11450.0,0,356604.0,40954160100.0,433492.0,7800.0,1.56794425087,11505.0,20180413,11390.0,2018/04/13,11570.0,40.0,15.0,0.348887919756,0.130832969908,11480.0
11505.0,11480.0,RU.SHF,11278.6478316,2018/04/16,11515.0,0,745558.0,84088861200.0,488406.0,54914.0,4.78053020426,11135.0,20180416,11015.0,2018/04/16,11565.0,-345.0,-205.0,-3.00522648084,-1.78571428571,11275.0
11135.0,11275.0,RU.SHF,11114.7060445,2018/04/17,11180.0,0,391828.0,43550530400.0,491768.0,3362.0,1.30220026942,11090.0,20180417,11040.0,2018/04/17,11185.0,-185.0,-165.0,-1.64079822616,-1.46341463415,11110.0
11090.0,11110.0,RU.SHF,11170.6607863,2018/04/18,11155.0,0,453036.0,50607114800.0,486982.0,-4786.0,1.4427412083,11190.0,20180418,11085.0,2018/04/18,11245.0,80.0,60.0,0.720072007201,0.540054005401,11170.0
11190.0,11170.0,RU.SHF,11522.9191809,2018/04/19,11275.0,0,998972.0,115110736200.0,480006.0,-6976.0,5.36193029491,11780.0,20180419,11235.0,2018/04/19,11835.0,610.0,350.0,5.46105640107,3.13339301701,11520.0
11780.0,11520.0,RU.SHF,11659.6061067,2018/04/20,11750.0,0,705064.0,82207685200.0,483408.0,3402.0,2.8013582343,11555.0,20180420,11480.0,2018/04/20,11810.0,35.0,135.0,0.303819444444,1.171875,11655.0
11555.0,11655.0,RU.SHF,11646.8411611,2018/04/23,11530.0,0,566360.0,65963049600.0,493214.0,9806.0,2.37992211164,11680.0,20180423,11490.0,2018/04/23,11765.0,25.0,-10.0,0.2145002145,-0.0858000858001,11645.0
11680.0,11645.0,RU.SHF,11554.967997,2018/04/24,11605.0,0,541200.0,62535486800.0,497460.0,4246.0,2.26883561644,11530.0,20180424,11400.0,2018/04/24,11665.0,-115.0,-95.0,-0.987548303993,-0.815800772864,11550.0
11530.0,11550.0,RU.SHF,11601.7740884,2018/04/25,11575.0,0,512218.0,59426375200.0,501432.0,3972.0,1.77797051171,11605.0,20180425,11505.0,2018/04/25,11710.0,55.0,50.0,0.47619047619,0.4329004329,11600.0
