前收盘,前结算价,合约,均价,市场最近交易日,开盘价,成交笔数,成交量,成交额,持仓量,持仓量变化,振幅(收盘价),收盘价,日期,最低价,最近交易日期,最高价,涨跌(收盘价),涨跌(结算价),涨跌幅(收盘价),涨跌幅(结算价),结算价
6510.0,6516.0,SF.CZC,6424.249932,2018/1/2,6262.0,0,309492.0,9941269800.0,211072.0,13098.0,4.362519201,6466.0,20180102,6250.0,2018/1/2,6534.0,-50.0,-92.0,-0.767341928,-1.411909147,6424.0
6466.0,6424.0,SF.CZC,6522.431845,2018/1/3,6480.0,0,388306.0,12663497100.0,207286.0,-3786.0,2.814723167,6468.0,20180103,6428.0,2018/1/3,6610.0,44.0,98.0,0.684931507,1.525529265,6522.0
6468.0,6522.0,SF.CZC,6475.430646,2018/1/4,6482.0,0,284828.0,9221919800.0,216670.0,9384.0,2.566481138,6454.0,20180104,6384.0,2018/1/4,6550.0,-68.0,-46.0,-1.042624962,-0.705305121,6476.0
6454.0,6476.0,SF.CZC,6420.960933,2018/1/5,6450.0,0,305016.0,9792479100.0,226432.0,9762.0,2.262163,6396.0,20180105,6360.0,2018/1/5,6506.0,-80.0,-54.0,-1.235330451,-0.833848054,6422.0
6396.0,6422.0,SF.CZC,6400.334498,2018/1/8,6400.0,0,148820.0,4762488900.0,212702.0,-13730.0,1.063164478,6418.0,20180108,6360.0,2018/1/8,6428.0,-4.0,-22.0,-0.062285892,-0.342572407,6400.0
6418.0,6400.0,SF.CZC,6481.76795,2018/1/9,6448.0,0,205266.0,6652432900.0,221524.0,8822.0,1.402306014,6460.0,20180109,6432.0,2018/1/9,6522.0,60.0,82.0,0.9375,1.28125,6482.0
6460.0,6482.0,SF.CZC,6473.243964,2018/1/10,6428.0,0,166500.0,5388975600.0,211936.0,-9588.0,1.795665635,6472.0,20180110,6390.0,2018/1/10,6506.0,-10.0,-8.0,-0.154273372,-0.123418698,6474.0
6472.0,6474.0,SF.CZC,6462.652776,2018/1/11,6486.0,0,205988.0,6656144600.0,231598.0,19662.0,1.915945612,6440.0,20180111,6410.0,2018/1/11,6534.0,-34.0,-10.0,-0.525177634,-0.15446401,6464.0
6440.0,6464.0,SF.CZC,6452.181589,2018/1/12,6390.0,0,203338.0,6559868500.0,222168.0,-9430.0,1.956521739,6456.0,20180112,6370.0,2018/1/12,6496.0,-8.0,-12.0,-0.123762376,-0.185643564,6452.0
6456.0,6452.0,SF.CZC,6463.464865,2018/1/15,6488.0,0,166956.0,5395571200.0,219320.0,-2848.0,1.053283767,6466.0,20180115,6420.0,2018/1/15,6488.0,14.0,12.0,0.216986981,0.185988841,6464.0
6466.0,6464.0,SF.CZC,6625.152737,2018/1/16,6466.0,0,505052.0,16730233200.0,237822.0,18502.0,4.546860501,6692.0,20180116,6464.0,2018/1/16,6758.0,228.0,162.0,3.527227723,2.506188119,6626.0
6692.0,6626.0,SF.CZC,6691.537994,2018/1/17,6716.0,0,256776.0,8591131800.0,213296.0,-24526.0,1.91273162,6688.0,20180117,6620.0,2018/1/17,6748.0,62.0,66.0,0.935707818,0.996076064,6692.0
6688.0,6692.0,SF.CZC,6804.525891,2018/1/18,6696.0,0,391640.0,13324622600.0,241342.0,28046.0,3.409090909,6896.0,20180118,6688.0,2018/1/18,6916.0,204.0,114.0,3.048416019,1.703526599,6806.0
6896.0,6806.0,SF.CZC,6909.618558,2018/1/19,6900.0,0,310978.0,10743696800.0,220164.0,-21178.0,1.247099768,6914.0,20180119,6866.0,2018/1/19,6952.0,108.0,104.0,1.586835145,1.528063473,6910.0
6914.0,6910.0,SF.CZC,6873.560847,2018/1/22,6940.0,0,295250.0,10147094200.0,226768.0,6604.0,3.095169222,6812.0,20180122,6778.0,2018/1/22,6992.0,-98.0,-36.0,-1.418234443,-0.520984081,6874.0
6812.0,6874.0,SF.CZC,6678.189177,2018/1/23,6752.0,0,534144.0,17835573400.0,220848.0,-5920.0,3.875513799,6760.0,20180123,6522.0,2018/1/23,6786.0,-114.0,-196.0,-1.658423043,-2.851323829,6678.0
6760.0,6678.0,SF.CZC,6733.04938,2018/1/24,6750.0,0,239570.0,8065183200.0,194332.0,-26516.0,1.568047337,6740.0,20180124,6682.0,2018/1/24,6788.0,62.0,56.0,0.928421683,0.838574423,6734.0
6740.0,6734.0,SF.CZC,6753.289835,2018/1/25,6782.0,0,284300.0,9599801500.0,206948.0,12616.0,1.899109792,6744.0,20180125,6700.0,2018/1/25,6828.0,10.0,20.0,0.148500149,0.297000297,6754.0
6744.0,6754.0,SF.CZC,6634.230161,2018/1/26,6708.0,0,292022.0,9686705800.0,187750.0,-19198.0,2.491103203,6582.0,20180126,6568.0,2018/1/26,6736.0,-172.0,-120.0,-2.546639029,-1.776724904,6634.0
6582.0,6634.0,SF.CZC,6636.791987,2018/1/29,6578.0,0,211246.0,7009978800.0,183420.0,-4330.0,1.762382255,6650.0,20180129,6562.0,2018/1/29,6678.0,16.0,4.0,0.241181791,0.060295448,6638.0
6650.0,6638.0,SF.CZC,6641.842321,2018/1/30,6644.0,0,190336.0,6320908500.0,173060.0,-10360.0,1.894736842,6628.0,20180130,6584.0,2018/1/30,6710.0,-10.0,4.0,-0.150647785,0.060259114,6642.0
6628.0,6642.0,SF.CZC,6590.436708,2018/1/31,6610.0,0,148108.0,4880482000.0,156256.0,-16804.0,1.357875679,6594.0,20180131,6550.0,2018/1/31,6640.0,-48.0,-52.0,-0.722673893,-0.782896718,6590.0
6594.0,6590.0,SF.CZC,6638.395311,2018/2/1,6606.0,0,157800.0,5237693900.0,164014.0,7758.0,1.304215954,6624.0,20180201,6602.0,2018/2/1,6688.0,34.0,48.0,0.515933232,0.728376328,6638.0
6624.0,6638.0,SF.CZC,6653.420757,2018/2/2,6680.0,0,120868.0,4020928300.0,152444.0,-11570.0,1.056763285,6644.0,20180202,6620.0,2018/2/2,6690.0,6.0,16.0,0.090388671,0.241036457,6654.0
