前收盘,前结算价,合约,均价,市场最近交易日,开盘价,成交笔数,成交量,成交额,持仓量,持仓量变化,振幅(收盘价),收盘价,日期,最低价,最近交易日期,最高价,涨跌(收盘价),涨跌(结算价),涨跌幅(收盘价),涨跌幅(结算价),结算价
7236.0,7254.0,SM.CZC,7255.187157,2018/1/2,7150.0,0,118350.0,4293257000.0,77010.0,3968.0,3.399668325,7256.0,20180102,7084.0,2018/1/2,7330.0,2.0,2.0,0.027570995,0.027570995,7256.0
7256.0,7256.0,SM.CZC,7232.413016,2018/1/3,7274.0,0,174744.0,6319103900.0,81278.0,4268.0,3.583241455,7120.0,20180103,7090.0,2018/1/3,7350.0,-136.0,-24.0,-1.874310915,-0.33076075,7232.0
7120.0,7232.0,SM.CZC,7105.146373,2018/1/4,7120.0,0,188696.0,6703563500.0,80348.0,-930.0,2.696629213,7156.0,20180104,7006.0,2018/1/4,7198.0,-76.0,-126.0,-1.050884956,-1.742256637,7106.0
7156.0,7106.0,SM.CZC,7095.00583,2018/1/5,7154.0,0,142378.0,5050863700.0,75112.0,-5236.0,2.375628843,7080.0,20180105,7012.0,2018/1/5,7182.0,-26.0,-10.0,-0.365887982,-0.140726147,7096.0
7080.0,7096.0,SM.CZC,7117.446787,2018/1/8,7098.0,0,99130.0,3527762500.0,75474.0,362.0,1.666666667,7154.0,20180108,7050.0,2018/1/8,7168.0,58.0,22.0,0.817361894,0.310033822,7118.0
7154.0,7118.0,SM.CZC,7250.439296,2018/1/9,7182.0,0,111178.0,4030446700.0,72072.0,-3402.0,1.873077998,7240.0,20180109,7158.0,2018/1/9,7292.0,122.0,132.0,1.713964597,1.854453498,7250.0
7240.0,7250.0,SM.CZC,7256.248214,2018/1/10,7208.0,0,103588.0,3758301200.0,67652.0,-4420.0,2.071823204,7246.0,20180110,7160.0,2018/1/10,7310.0,-4.0,6.0,-0.055172414,0.082758621,7256.0
7246.0,7256.0,SM.CZC,7166.480653,2018/1/11,7246.0,0,128234.0,4594932400.0,77486.0,9834.0,2.235716257,7178.0,20180111,7114.0,2018/1/11,7276.0,-78.0,-90.0,-1.074972437,-1.240352811,7166.0
7178.0,7166.0,SM.CZC,7259.621605,2018/1/12,7134.0,0,191546.0,6952757400.0,90168.0,12682.0,3.87294511,7372.0,20180112,7118.0,2018/1/12,7396.0,206.0,94.0,2.874686017,1.31174993,7260.0
7372.0,7260.0,SM.CZC,7385.319512,2018/1/15,7350.0,0,169790.0,6269767000.0,94834.0,4666.0,1.817688551,7400.0,20180115,7320.0,2018/1/15,7454.0,140.0,126.0,1.928374656,1.73553719,7386.0
7400.0,7386.0,SM.CZC,7428.087894,2018/1/16,7388.0,0,182082.0,6762605500.0,96470.0,1636.0,1.918918919,7430.0,20180116,7358.0,2018/1/16,7500.0,44.0,42.0,0.595721636,0.568643379,7428.0
7430.0,7428.0,SM.CZC,7435.567679,2018/1/17,7442.0,0,127572.0,4742851200.0,90064.0,-6406.0,1.292059219,7448.0,20180117,7382.0,2018/1/17,7478.0,20.0,8.0,0.269251481,0.107700592,7436.0
7448.0,7436.0,SM.CZC,7549.952923,2018/1/18,7442.0,0,184804.0,6976307500.0,113768.0,23704.0,2.658431794,7622.0,20180118,7432.0,2018/1/18,7630.0,186.0,114.0,2.501344809,1.533082302,7550.0
7622.0,7550.0,SM.CZC,7670.893571,2018/1/19,7620.0,0,191658.0,7350940600.0,118312.0,4544.0,2.361584886,7768.0,20180119,7590.0,2018/1/19,7770.0,218.0,122.0,2.887417219,1.61589404,7672.0
7768.0,7672.0,SM.CZC,7698.837843,2018/1/22,7850.0,0,201780.0,7767357500.0,115632.0,-2680.0,3.475798146,7666.0,20180122,7606.0,2018/1/22,7876.0,-6.0,28.0,-0.078206465,0.364963504,7700.0
7666.0,7700.0,SM.CZC,7595.072831,2018/1/23,7640.0,0,271998.0,10329223100.0,118604.0,2972.0,3.782937647,7706.0,20180123,7450.0,2018/1/23,7740.0,6.0,-104.0,0.077922078,-1.350649351,7596.0
7706.0,7596.0,SM.CZC,7695.465565,2018/1/24,7702.0,0,175550.0,6754694900.0,107734.0,-10870.0,1.583181936,7680.0,20180124,7626.0,2018/1/24,7748.0,84.0,100.0,1.105845182,1.316482359,7696.0
7680.0,7696.0,SM.CZC,7693.837573,2018/1/25,7736.0,0,161008.0,6193847000.0,103428.0,-4306.0,1.796875,7684.0,20180125,7642.0,2018/1/25,7780.0,-12.0,-2.0,-0.155925156,-0.025987526,7694.0
7684.0,7694.0,SM.CZC,7591.762795,2018/1/26,7650.0,0,154550.0,5866534700.0,96916.0,-6512.0,1.874023946,7548.0,20180126,7530.0,2018/1/26,7674.0,-146.0,-102.0,-1.897582532,-1.325708344,7592.0
7548.0,7592.0,SM.CZC,7652.960759,2018/1/29,7538.0,0,158000.0,6045839000.0,98616.0,1700.0,2.861685215,7668.0,20180129,7514.0,2018/1/29,7730.0,76.0,62.0,1.001053741,0.816649104,7654.0
7668.0,7654.0,SM.CZC,7671.720303,2018/1/30,7658.0,0,162762.0,6243322700.0,98562.0,-54.0,2.217005738,7624.0,20180130,7580.0,2018/1/30,7750.0,-30.0,18.0,-0.391951921,0.235171152,7672.0
7624.0,7672.0,SM.CZC,7594.887737,2018/1/31,7612.0,0,120432.0,4573337600.0,89222.0,-9340.0,1.206715635,7622.0,20180131,7550.0,2018/1/31,7642.0,-50.0,-76.0,-0.651720542,-0.990615224,7596.0
7622.0,7596.0,SM.CZC,7635.681452,2018/2/1,7630.0,0,126612.0,4833844500.0,95064.0,5842.0,1.469430596,7626.0,20180201,7578.0,2018/2/1,7690.0,30.0,40.0,0.394944708,0.526592944,7636.0
7626.0,7636.0,SM.CZC,7647.866942,2018/2/2,7688.0,0,112252.0,4292441800.0,87138.0,-7926.0,1.547338054,7610.0,20180202,7596.0,2018/2/2,7714.0,-26.0,12.0,-0.340492404,0.15715034,7648.0
7610.0,7648.0,SM.CZC,7720.34772,2018/2/5,7572.0,0,186702.0,7207021800.0,113524.0,26386.0,3.626806833,7782.0,20180205,7540.0,2018/2/5,7816.0,134.0,72.0,1.75209205,0.941422594,7720.0
7782.0,7720.0,SM.CZC,7741.443981,2018/2/6,7750.0,0,164836.0,6380343300.0,95768.0,-17756.0,1.773323053,7742.0,20180206,7680.0,2018/2/6,7818.0,22.0,22.0,0.284974093,0.284974093,7742.0
7742.0,7742.0,SM.CZC,7811.733615,2018/2/7,7780.0,0,193930.0,7574647500.0,112250.0,16482.0,1.937483854,7778.0,20180207,7750.0,2018/2/7,7900.0,36.0,70.0,0.464996125,0.904159132,7812.0
7778.0,7812.0,SM.CZC,7701.383324,2018/2/8,7746.0,0,153254.0,5901339000.0,91466.0,-20784.0,1.697094369,7686.0,20180208,7632.0,2018/2/8,7764.0,-126.0,-110.0,-1.612903226,-1.408090118,7702.0
7686.0,7702.0,SM.CZC,7684.979925,2018/2/9,7692.0,0,114572.0,4402417600.0,87834.0,-3632.0,1.431173562,7698.0,20180209,7632.0,2018/2/9,7742.0,-4.0,-16.0,-0.051934562,-0.20773825,7686.0
7698.0,7686.0,SM.CZC,7769.765013,2018/2/12,7712.0,0,114900.0,4463730000.0,92544.0,4710.0,1.428942582,7776.0,20180212,7696.0,2018/2/12,7806.0,90.0,84.0,1.170960187,1.092896175,7770.0
