前收盘,前结算价,合约,均价,市场最近交易日,开盘价,成交笔数,成交量,成交额,持仓量,持仓量变化,振幅(收盘价),收盘价,日期,最低价,最近交易日期,最高价,涨跌(收盘价),涨跌(结算价),涨跌幅(收盘价),涨跌幅(结算价),结算价
5937.0,5938.0,SR.CZC,5920.530854,2018/1/2,5923.0,0,328678.0,19459482400.0,476462.0,22618.0,1.347481893,5897.0,20180102,5885.0,2018/1/2,5965.0,-41.0,-17.0,-0.690468171,-0.286291681,5921.0
5897.0,5921.0,SR.CZC,5903.104992,2018/1/3,5893.0,0,231028.0,13637825400.0,480132.0,3670.0,0.440902154,5905.0,20180103,5891.0,2018/1/3,5917.0,-16.0,-18.0,-0.270224624,-0.304002702,5903.0
5905.0,5903.0,SR.CZC,5857.206651,2018/1/4,5898.0,0,496558.0,29084428200.0,492682.0,12550.0,1.16850127,5858.0,20180104,5829.0,2018/1/4,5898.0,-45.0,-46.0,-0.762324242,-0.779264781,5857.0
5858.0,5857.0,SR.CZC,5852.253215,2018/1/5,5843.0,0,313370.0,18339205900.0,492040.0,-642.0,0.648685558,5867.0,20180105,5835.0,2018/1/5,5873.0,10.0,-5.0,0.170735872,-0.085367936,5852.0
5867.0,5852.0,SR.CZC,5869.221005,2018/1/8,5864.0,0,225162.0,13215255400.0,490912.0,-1128.0,0.596557014,5874.0,20180108,5850.0,2018/1/8,5885.0,22.0,17.0,0.37593985,0.290498975,5869.0
5874.0,5869.0,SR.CZC,5866.217638,2018/1/9,5868.0,0,311858.0,18294269000.0,503782.0,12870.0,0.680966973,5864.0,20180109,5848.0,2018/1/9,5888.0,-5.0,-3.0,-0.085193389,-0.051116033,5866.0
5864.0,5866.0,SR.CZC,5872.831135,2018/1/10,5864.0,0,221964.0,13035570900.0,491724.0,-12058.0,0.443383356,5877.0,20180110,5859.0,2018/1/10,5885.0,11.0,7.0,0.187521309,0.119331742,5873.0
5877.0,5873.0,SR.CZC,5873.296662,2018/1/11,5882.0,0,223696.0,13138329700.0,496638.0,4914.0,0.629572911,5872.0,20180111,5853.0,2018/1/11,5890.0,-1.0,0.0,-0.017027073,0.0,5873.0
5872.0,5873.0,SR.CZC,5859.956047,2018/1/12,5851.0,0,186336.0,10919207700.0,501540.0,4902.0,0.391689373,5862.0,20180112,5846.0,2018/1/12,5869.0,-11.0,-13.0,-0.187297804,-0.22135195,5860.0
5862.0,5860.0,SR.CZC,5832.819959,2018/1/15,5870.0,0,400942.0,23386225000.0,548302.0,46762.0,1.21119072,5815.0,20180115,5805.0,2018/1/15,5876.0,-45.0,-27.0,-0.767918089,-0.460750853,5833.0
5815.0,5833.0,SR.CZC,5817.719132,2018/1/16,5812.0,0,167616.0,9751428100.0,547052.0,-1250.0,0.292347377,5815.0,20180116,5808.0,2018/1/16,5825.0,-18.0,-15.0,-0.308589062,-0.257157552,5818.0
5815.0,5818.0,SR.CZC,5800.958795,2018/1/17,5810.0,0,364134.0,21123263300.0,540430.0,-6622.0,0.877042132,5785.0,20180117,5779.0,2018/1/17,5830.0,-33.0,-17.0,-0.567205225,-0.292196631,5801.0
5785.0,5801.0,SR.CZC,5784.994014,2018/1/18,5785.0,0,265608.0,15365406900.0,559110.0,18680.0,0.605012965,5768.0,20180118,5765.0,2018/1/18,5800.0,-33.0,-16.0,-0.568867437,-0.275814515,5785.0
5768.0,5785.0,SR.CZC,5749.721599,2018/1/19,5772.0,0,407074.0,23405621700.0,557168.0,-1942.0,0.918862691,5759.0,20180119,5721.0,2018/1/19,5774.0,-26.0,-36.0,-0.449438202,-0.622299049,5749.0
5759.0,5749.0,SR.CZC,5753.884384,2018/1/22,5750.0,0,324332.0,18661688300.0,578640.0,21472.0,0.6077444,5769.0,20180122,5736.0,2018/1/22,5771.0,20.0,5.0,0.347886589,0.086971647,5754.0
5769.0,5754.0,SR.CZC,5763.213303,2018/1/23,5762.0,0,228914.0,13192802100.0,573386.0,-5254.0,0.450684694,5757.0,20180123,5751.0,2018/1/23,5777.0,3.0,9.0,0.052137643,0.15641293,5763.0
5757.0,5763.0,SR.CZC,5802.175594,2018/1/24,5778.0,0,437816.0,25402853100.0,551284.0,-22102.0,0.90324822,5792.0,20180124,5776.0,2018/1/24,5828.0,29.0,39.0,0.503210134,0.676730869,5802.0
5792.0,5802.0,SR.CZC,5802.97264,2018/1/25,5793.0,0,216010.0,12535001200.0,537330.0,-13954.0,0.621546961,5796.0,20180125,5784.0,2018/1/25,5820.0,-6.0,1.0,-0.103412616,0.017235436,5803.0
5796.0,5803.0,SR.CZC,5803.447836,2018/1/26,5805.0,0,244478.0,14188153200.0,557852.0,20522.0,0.759144237,5787.0,20180126,5780.0,2018/1/26,5824.0,-16.0,0.0,-0.275719455,0.0,5803.0
5787.0,5803.0,SR.CZC,5770.9005,2018/1/29,5791.0,0,264664.0,15273496100.0,572088.0,14236.0,1.036806636,5764.0,20180129,5745.0,2018/1/29,5805.0,-39.0,-32.0,-0.672066173,-0.551438911,5771.0
5764.0,5771.0,SR.CZC,5773.466086,2018/1/30,5768.0,0,187240.0,10810237900.0,567820.0,-4268.0,0.451075642,5757.0,20180130,5755.0,2018/1/30,5781.0,-14.0,-2.0,-0.242592272,-0.034656039,5769.0
5757.0,5769.0,SR.CZC,5812.012846,2018/1/31,5762.0,0,498220.0,28956610400.0,535804.0,-32016.0,1.667535175,5807.0,20180131,5760.0,2018/1/31,5856.0,38.0,43.0,0.658693014,0.745363148,5812.0
5807.0,5812.0,SR.CZC,5781.77879,2018/2/1,5807.0,0,340518.0,19687997500.0,525706.0,-10098.0,0.981573962,5784.0,20180201,5755.0,2018/2/1,5812.0,-28.0,-34.0,-0.481761872,-0.584996559,5778.0
5784.0,5778.0,SR.CZC,5789.865907,2018/2/2,5788.0,0,241922.0,14006959400.0,518066.0,-7640.0,0.656984786,5778.0,20180202,5770.0,2018/2/2,5808.0,0.0,12.0,0.0,0.20768432,5790.0
5778.0,5790.0,SR.CZC,5784.69591,2018/2/5,5775.0,0,186458.0,10786028300.0,517224.0,-842.0,0.449982693,5784.0,20180205,5770.0,2018/2/5,5796.0,-6.0,-6.0,-0.103626943,-0.103626943,5784.0
5784.0,5784.0,SR.CZC,5785.026595,2018/2/6,5779.0,0,264336.0,15291907900.0,509196.0,-8028.0,0.622406639,5782.0,20180206,5763.0,2018/2/6,5799.0,-2.0,1.0,-0.034578147,0.017289073,5785.0
5782.0,5785.0,SR.CZC,5768.557312,2018/2/7,5781.0,0,239740.0,13829539300.0,507686.0,-1510.0,0.501556555,5760.0,20180207,5755.0,2018/2/7,5784.0,-25.0,-16.0,-0.432152118,-0.276577355,5769.0
5760.0,5769.0,SR.CZC,5783.051359,2018/2/8,5758.0,0,246772.0,14270951500.0,492872.0,-14814.0,0.729166667,5788.0,20180208,5755.0,2018/2/8,5797.0,19.0,14.0,0.329346507,0.242676374,5783.0
5788.0,5783.0,SR.CZC,5772.371059,2018/2/9,5785.0,0,293932.0,16966845700.0,502692.0,9820.0,1.105736006,5738.0,20180209,5738.0,2018/2/9,5802.0,-45.0,-11.0,-0.778142832,-0.190212692,5772.0
5738.0,5772.0,SR.CZC,5772.18376,2018/2/12,5738.0,0,216434.0,12492968200.0,477832.0,-24860.0,1.115371209,5798.0,20180212,5734.0,2018/2/12,5798.0,26.0,0.0,0.45045045,0.0,5772.0
5798.0,5772.0,SR.CZC,5796.626499,2018/2/13,5798.0,0,163732.0,9490932500.0,445698.0,-32134.0,0.56916178,5788.0,20180213,5783.0,2018/2/13,5816.0,16.0,25.0,0.277200277,0.433125433,5797.0
5788.0,5797.0,SR.CZC,5767.997859,2018/2/14,5791.0,0,133582.0,7705006900.0,434788.0,-10910.0,0.656530753,5759.0,20180214,5753.0,2018/2/14,5791.0,-38.0,-29.0,-0.655511471,-0.500258755,5768.0
5759.0,5768.0,SR.CZC,5738.194548,2018/2/22,5776.0,0,120258.0,6900638000.0,441660.0,6872.0,1.146032297,5749.0,20180222,5710.0,2018/2/22,5776.0,-19.0,-30.0,-0.329403606,-0.520110957,5738.0
5749.0,5738.0,SR.CZC,5778.530241,2018/2/23,5744.0,0,196386.0,11348224400.0,443832.0,2172.0,1.043659767,5802.0,20180223,5743.0,2018/2/23,5803.0,64.0,41.0,1.115371209,0.714534681,5779.0
5802.0,5779.0,SR.CZC,5799.458427,2018/2/26,5806.0,0,200084.0,11603788400.0,454492.0,10660.0,0.517063082,5808.0,20180226,5784.0,2018/2/26,5814.0,29.0,20.0,0.501816923,0.346080637,5799.0
5808.0,5799.0,SR.CZC,5799.140261,2018/2/27,5810.0,0,200270.0,11613938200.0,460114.0,5622.0,0.688705234,5786.0,20180227,5785.0,2018/2/27,5825.0,-13.0,0.0,-0.224176582,0.0,5799.0
5786.0,5799.0,SR.CZC,5760.619139,2018/2/28,5789.0,0,269374.0,15517610200.0,445866.0,-14248.0,1.019702731,5772.0,20180228,5737.0,2018/2/28,5796.0,-27.0,-38.0,-0.465597517,-0.655285394,5761.0
5772.0,5761.0,SR.CZC,5777.375331,2018/3/1,5775.0,0,226280.0,13073044900.0,447648.0,1782.0,0.641025641,5767.0,20180301,5759.0,2018/3/1,5796.0,6.0,16.0,0.104148585,0.277729561,5777.0
5767.0,5777.0,SR.CZC,5770.693853,2018/3/2,5768.0,0,229256.0,13229661900.0,439166.0,-8482.0,0.554881221,5759.0,20180302,5750.0,2018/3/2,5782.0,-18.0,-6.0,-0.311580405,-0.103860135,5771.0
5759.0,5771.0,SR.CZC,5751.9793,2018/3/5,5757.0,0,282312.0,16238527800.0,449180.0,10014.0,1.024483417,5722.0,20180305,5721.0,2018/3/5,5780.0,-49.0,-19.0,-0.849072951,-0.329232369,5752.0
5722.0,5752.0,SR.CZC,5702.834651,2018/3/6,5722.0,0,413924.0,23605401300.0,483320.0,34140.0,1.258301293,5669.0,20180306,5668.0,2018/3/6,5740.0,-83.0,-50.0,-1.442976356,-0.869262865,5702.0
5669.0,5702.0,SR.CZC,5661.419337,2018/3/7,5674.0,0,430856.0,24392564900.0,485126.0,1806.0,0.829070383,5669.0,20180307,5635.0,2018/3/7,5682.0,-33.0,-41.0,-0.5787443,-0.719045949,5661.0
5669.0,5661.0,SR.CZC,5660.964792,2018/3/8,5663.0,0,236538.0,13390332900.0,479046.0,-6080.0,0.617392838,5656.0,20180308,5643.0,2018/3/8,5678.0,-5.0,0.0,-0.088323618,0.0,5661.0
5656.0,5661.0,SR.CZC,5637.109471,2018/3/9,5670.0,0,255282.0,14390525800.0,477772.0,-1274.0,1.219943423,5622.0,20180309,5604.0,2018/3/9,5673.0,-39.0,-24.0,-0.688924218,-0.423953365,5637.0
5622.0,5637.0,SR.CZC,5662.082178,2018/3/12,5627.0,0,276864.0,15676267200.0,450264.0,-27508.0,1.138384916,5665.0,20180312,5623.0,2018/3/12,5687.0,28.0,25.0,0.496718112,0.443498315,5662.0
5665.0,5662.0,SR.CZC,5674.30795,2018/3/13,5672.0,0,180854.0,10262212900.0,442762.0,-7502.0,0.423654016,5680.0,20180313,5660.0,2018/3/13,5684.0,18.0,12.0,0.317908866,0.211939244,5674.0
5680.0,5674.0,SR.CZC,5689.398818,2018/3/14,5676.0,0,229182.0,13039078000.0,426208.0,-16554.0,1.302816901,5689.0,20180314,5666.0,2018/3/14,5740.0,15.0,15.0,0.264363765,0.264363765,5689.0
5689.0,5689.0,SR.CZC,5701.469172,2018/3/15,5685.0,0,220934.0,12596483900.0,405664.0,-20544.0,0.632800141,5708.0,20180315,5679.0,2018/3/15,5715.0,19.0,11.0,0.333977852,0.193355599,5700.0
5708.0,5700.0,SR.CZC,5699.550051,2018/3/16,5702.0,0,187088.0,10663174200.0,397364.0,-8300.0,0.648213034,5685.0,20180316,5681.0,2018/3/16,5718.0,-15.0,0.0,-0.263157895,0.0,5700.0
5685.0,5700.0,SR.CZC,5721.182235,2018/3/19,5690.0,0,249206.0,14257529400.0,371052.0,-26312.0,1.07299912,5721.0,20180319,5685.0,2018/3/19,5746.0,21.0,21.0,0.368421053,0.368421053,5721.0
5721.0,5721.0,SR.CZC,5708.41711,2018/3/20,5720.0,0,200216.0,11429164400.0,361246.0,-9806.0,0.681699004,5704.0,20180320,5688.0,2018/3/20,5727.0,-17.0,-13.0,-0.297150848,-0.227233001,5708.0
5704.0,5708.0,SR.CZC,5671.512778,2018/3/21,5700.0,0,312412.0,17718486500.0,355800.0,-5446.0,1.26227209,5664.0,20180321,5641.0,2018/3/21,5713.0,-44.0,-37.0,-0.770847933,-0.648213034,5671.0
5664.0,5671.0,SR.CZC,5669.052238,2018/3/22,5675.0,0,158658.0,8994404900.0,348964.0,-6836.0,0.51200565,5678.0,20180322,5654.0,2018/3/22,5683.0,7.0,-2.0,0.12343502,-0.035267149,5669.0
5678.0,5669.0,SR.CZC,5664.723761,2018/3/23,5669.0,0,275196.0,15589093200.0,327728.0,-21236.0,0.986262769,5666.0,20180323,5632.0,2018/3/23,5688.0,-3.0,-4.0,-0.052919386,-0.070559182,5665.0
5666.0,5665.0,SR.CZC,5661.313255,2018/3/26,5660.0,0,261678.0,14814411300.0,333466.0,5738.0,0.794211084,5662.0,20180326,5625.0,2018/3/26,5670.0,-3.0,-17.0,-0.052956752,-0.300088261,5648.0
