前收盘,前结算价,合约,均价,市场最近交易日,开盘价,成交笔数,成交量,成交额,持仓量,持仓量变化,振幅(收盘价),收盘价,日期,最低价,最近交易日期,最高价,涨跌(收盘价),涨跌(结算价),涨跌幅(收盘价),涨跌幅(结算价),结算价
93.165,93.175,T.CZC,92.96881621,2018/1/2,93.17,0,40041.0,37225643700.0,60827.0,1568.0,0.611817743,92.64,20180102,92.63,2018/1/2,93.2,-0.535,-0.375,-0.574188355,-0.402468473,92.8
92.64,92.8,T.CZC,92.65677255,2018/1/3,92.65,0,28411.0,26324715650.0,61147.0,320.0,0.215889465,92.635,20180103,92.555,2018/1/3,92.755,-0.165,-0.195,-0.177801724,-0.21012931,92.605
92.635,92.605,T.CZC,92.40248818,2018/1/4,92.48,0,29409.0,27174647750.0,60601.0,-546.0,0.296864036,92.465,20180104,92.27,2018/1/4,92.545,-0.14,-0.135,-0.151179742,-0.145780465,92.47
92.465,92.47,T.CZC,92.49949671,2018/1/5,92.5,0,20664.0,19114096000.0,60887.0,286.0,0.189260801,92.45,20180105,92.4,2018/1/5,92.575,-0.02,0.01,-0.021628636,0.010814318,92.48
92.45,92.48,T.CZC,92.57373673,2018/1/8,92.505,0,30429.0,28169262350.0,59861.0,-1026.0,0.36776636,92.655,20180108,92.35,2018/1/8,92.69,0.175,0.175,0.189230104,0.189230104,92.655
92.655,92.655,T.CZC,92.65696322,2018/1/9,92.635,0,22677.0,21011819550.0,59381.0,-480.0,0.178079974,92.645,20180109,92.57,2018/1/9,92.735,-0.01,0.01,-0.010792726,0.010792726,92.665
92.645,92.665,T.CZC,92.48354112,2018/1/10,92.48,0,35541.0,32869575350.0,60860.0,1479.0,0.296831993,92.34,20180110,92.34,2018/1/10,92.615,-0.325,-0.27,-0.350725732,-0.291372147,92.395
92.34,92.395,T.CZC,92.15610046,2018/1/11,92.34,0,39029.0,35967604450.0,62747.0,1887.0,0.427766948,92.13,20180111,92.015,2018/1/11,92.41,-0.265,-0.28,-0.286812057,-0.303046702,92.115
92.13,92.115,T.CZC,92.22111303,2018/1/12,92.16,0,22852.0,21074368750.0,59456.0,-3291.0,0.200803213,92.275,20180112,92.14,2018/1/12,92.325,0.16,0.165,0.173695924,0.179123921,92.28
92.275,92.28,T.CZC,91.98047907,2018/1/15,92.15,0,39065.0,35932174150.0,60035.0,579.0,0.319696559,92.04,20180115,91.855,2018/1/15,92.15,-0.24,-0.25,-0.260078023,-0.270914608,92.03
92.04,92.03,T.CZC,92.04971224,2018/1/16,92.1,0,25907.0,23847318950.0,59522.0,-513.0,0.277053455,91.97,20180116,91.92,2018/1/16,92.175,-0.06,-0.065,-0.065196132,-0.070629143,91.965
91.97,91.965,T.CZC,91.89832709,2018/1/17,91.905,0,40029.0,36785981350.0,60437.0,915.0,0.375122322,91.75,20180117,91.72,2018/1/17,92.065,-0.215,-0.185,-0.233784592,-0.201163486,91.78
91.75,91.78,T.CZC,91.61298516,2018/1/18,91.7,0,38472.0,35245347650.0,60555.0,118.0,0.288828338,91.495,20180118,91.475,2018/1/18,91.74,-0.285,-0.245,-0.310525169,-0.266942689,91.535
91.495,91.535,T.CZC,91.55175431,2018/1/19,91.5,0,34971.0,32016564000.0,56602.0,-3953.0,0.256844636,91.505,20180119,91.43,2018/1/19,91.665,-0.03,-0.04,-0.032774349,-0.043699131,91.495
91.505,91.495,T.CZC,91.6636941,2018/1/22,91.52,0,33299.0,30523093500.0,54177.0,-2425.0,0.426206218,91.79,20180122,91.43,2018/1/22,91.82,0.295,0.27,0.32242199,0.295098093,91.765
91.79,91.765,T.CZC,91.7924475,2018/1/23,91.85,0,27618.0,25351238150.0,51248.0,-2929.0,0.228783092,91.755,20180123,91.715,2018/1/23,91.925,-0.01,-0.02,-0.010897401,-0.021794802,91.745
91.755,91.745,T.CZC,91.82536456,2018/1/24,91.805,0,31312.0,28752358150.0,49397.0,-1851.0,0.272464716,91.77,20180124,91.7,2018/1/24,91.95,0.025,0.005,0.027249441,0.005449888,91.75
91.77,91.75,T.CZC,91.74563916,2018/1/25,91.69,0,27857.0,25557582700.0,48618.0,-779.0,0.277868585,91.885,20180125,91.635,2018/1/25,91.89,0.135,0.065,0.147138965,0.070844687,91.815
91.885,91.815,T.CZC,91.89578528,2018/1/26,91.945,0,30142.0,27699227600.0,46124.0,-2494.0,0.157805953,91.905,20180126,91.83,2018/1/26,91.975,0.09,0.085,0.098023199,0.092577466,91.9
91.905,91.9,T.CZC,91.87758671,2018/1/29,91.835,0,34080.0,31311881550.0,43000.0,-3124.0,0.299222023,91.865,20180129,91.735,2018/1/29,92.01,-0.035,0.02,-0.038084875,0.021762786,91.92
91.865,91.92,T.CZC,91.83137154,2018/1/30,91.85,0,27214.0,24990989450.0,41107.0,-1893.0,0.136069232,91.785,20180130,91.76,2018/1/30,91.885,-0.135,-0.1,-0.146866841,-0.108790252,91.82
