前收盘,前结算价,合约,均价,市场最近交易日,开盘价,成交笔数,成交量,成交额,持仓量,持仓量变化,振幅(收盘价),收盘价,日期,最低价,最近交易日期,最高价,涨跌(收盘价),涨跌(结算价),涨跌幅(收盘价),涨跌幅(结算价),结算价
5520.0,5508.0,TA.CZC,5539.971567,2018/1/2,5552.0,0,661906.0,18334702100.0,1039766.0,66578.0,1.485507246,5576.0,20180102,5496.0,2018/1/2,5578.0,68.0,32.0,1.234567901,0.58097313,5540.0
5576.0,5540.0,TA.CZC,5552.391555,2018/1/3,5574.0,0,555672.0,15426542600.0,1046946.0,7180.0,1.040172166,5552.0,20180103,5528.0,2018/1/3,5586.0,12.0,12.0,0.216606498,0.216606498,5552.0
5552.0,5552.0,TA.CZC,5608.551954,2018/1/4,5562.0,0,1225196.0,34357877100.0,1246046.0,199100.0,2.305475504,5634.0,20180104,5546.0,2018/1/4,5674.0,82.0,58.0,1.476945245,1.044668588,5610.0
5634.0,5610.0,TA.CZC,5626.078407,2018/1/5,5638.0,0,580968.0,16342857600.0,1209508.0,-36538.0,0.780972666,5630.0,20180105,5604.0,2018/1/5,5648.0,20.0,16.0,0.356506239,0.285204991,5626.0
5630.0,5626.0,TA.CZC,5662.625713,2018/1/8,5628.0,0,817576.0,23148134400.0,1359922.0,150414.0,1.598579041,5688.0,20180108,5614.0,2018/1/8,5704.0,62.0,38.0,1.102026306,0.675435478,5664.0
5688.0,5664.0,TA.CZC,5687.262452,2018/1/9,5694.0,0,543428.0,15453088300.0,1396084.0,36162.0,0.843881857,5692.0,20180109,5666.0,2018/1/9,5714.0,28.0,24.0,0.494350282,0.423728814,5688.0
5692.0,5688.0,TA.CZC,5655.27511,2018/1/10,5694.0,0,873832.0,24708801800.0,1328930.0,-67154.0,1.510892481,5670.0,20180110,5610.0,2018/1/10,5696.0,-18.0,-32.0,-0.316455696,-0.562587904,5656.0
5670.0,5656.0,TA.CZC,5662.488648,2018/1/11,5670.0,0,539538.0,15275639000.0,1349524.0,20594.0,0.881834215,5678.0,20180111,5634.0,2018/1/11,5684.0,22.0,6.0,0.388967468,0.106082037,5662.0
5678.0,5662.0,TA.CZC,5644.528772,2018/1/12,5678.0,0,676594.0,19095271500.0,1331544.0,-17980.0,1.373723142,5640.0,20180112,5624.0,2018/1/12,5702.0,-22.0,-16.0,-0.388555281,-0.282585659,5646.0
5640.0,5646.0,TA.CZC,5660.234946,2018/1/15,5642.0,0,653426.0,18492723400.0,1385710.0,54166.0,1.666666667,5676.0,20180115,5606.0,2018/1/15,5700.0,30.0,14.0,0.531349628,0.24796316,5660.0
