前收盘,前结算价,合约,均价,市场最近交易日,开盘价,成交笔数,成交量,成交额,持仓量,持仓量变化,振幅(收盘价),收盘价,日期,最低价,最近交易日期,最高价,涨跌(收盘价),涨跌(结算价),涨跌幅(收盘价),涨跌幅(结算价),结算价
96.605,96.585,TF.CZC,96.48152122,2018/1/2,96.6,0,10554.0,10182659750.0,45947.0,-32.0,0.38300295,96.26,20180102,96.255,2018/1/2,96.625,-0.325,-0.2,-0.336491174,-0.207071491,96.385
96.26,96.385,TF.CZC,96.30153872,2018/1/3,96.265,0,9053.0,8718178300.0,46389.0,442.0,0.103885311,96.29,20180103,96.25,2018/1/3,96.35,-0.095,-0.095,-0.098563054,-0.098563054,96.29
96.29,96.29,TF.CZC,96.19430617,2018/1/4,96.235,0,10370.0,9975349550.0,45790.0,-599.0,0.207705888,96.25,20180104,96.095,2018/1/4,96.295,-0.04,-0.05,-0.041541178,-0.051926472,96.24
96.25,96.24,TF.CZC,96.26066615,2018/1/5,96.25,0,5787.0,5570604750.0,45119.0,-671.0,0.098701299,96.26,20180105,96.21,2018/1/5,96.305,0.02,0.02,0.02078138,0.02078138,96.26
96.26,96.26,TF.CZC,96.34238461,2018/1/8,96.285,0,9121.0,8787388900.0,44748.0,-371.0,0.238936214,96.4,20180108,96.195,2018/1/8,96.425,0.14,0.135,0.145439435,0.140245169,96.395
96.4,96.395,TF.CZC,96.40633592,2018/1/9,96.4,0,7085.0,6830388900.0,43751.0,-997.0,0.108921162,96.41,20180109,96.355,2018/1/9,96.46,0.015,0.01,0.015560973,0.010373982,96.405
96.41,96.405,TF.CZC,96.30348451,2018/1/10,96.3,0,9812.0,9449297900.0,43104.0,-647.0,0.191888808,96.2,20180110,96.195,2018/1/10,96.38,-0.205,-0.165,-0.212644572,-0.171152948,96.24
96.2,96.24,TF.CZC,96.07535481,2018/1/11,96.2,0,12570.0,12076672100.0,41639.0,-1465.0,0.265072765,96.045,20180111,95.985,2018/1/11,96.24,-0.195,-0.19,-0.202618454,-0.197423109,96.05
96.045,96.05,TF.CZC,96.10798873,2018/1/12,96.05,0,6210.0,5968306100.0,40470.0,-1169.0,0.130147327,96.145,20180112,96.05,2018/1/12,96.175,0.095,0.095,0.098906819,0.098906819,96.145
96.145,96.145,TF.CZC,95.96575063,2018/1/15,96.135,0,10691.0,10259698400.0,40844.0,374.0,0.260023922,96.005,20180115,95.885,2018/1/15,96.135,-0.14,-0.155,-0.145613396,-0.161214832,95.99
96.005,95.99,TF.CZC,96.01132429,2018/1/16,96.035,0,6747.0,6477884050.0,39951.0,-893.0,0.1510338,95.985,20180116,95.935,2018/1/16,96.08,-0.005,-0.015,-0.005208876,-0.015626628,95.975
95.985,95.975,TF.CZC,95.92679547,2018/1/17,95.97,0,14091.0,13517044750.0,40235.0,284.0,0.218784185,95.84,20180117,95.805,2018/1/17,96.015,-0.135,-0.13,-0.140661631,-0.135451941,95.845
95.84,95.845,TF.CZC,95.74181482,2018/1/18,95.8,0,14051.0,13452682400.0,39756.0,-479.0,0.203464107,95.66,20180118,95.64,2018/1/18,95.835,-0.185,-0.155,-0.19301998,-0.161719443,95.69
95.66,95.69,TF.CZC,95.6651414,2018/1/19,95.645,0,12942.0,12380982600.0,38071.0,-1685.0,0.198620113,95.635,20180119,95.57,2018/1/19,95.76,-0.055,-0.085,-0.05747727,-0.088828509,95.605
95.635,95.605,TF.CZC,95.71149819,2018/1/22,95.625,0,10199.0,9761615700.0,37102.0,-969.0,0.245725937,95.795,20180122,95.58,2018/1/22,95.815,0.19,0.17,0.198734376,0.177814968,95.775
95.795,95.775,TF.CZC,95.82181231,2018/1/23,95.85,0,9212.0,8827105350.0,36047.0,-1055.0,0.125267498,95.81,20180123,95.785,2018/1/23,95.905,0.035,0.03,0.036543983,0.031323414,95.805
95.81,95.805,TF.CZC,95.8988727,2018/1/24,95.86,0,10636.0,10199804100.0,33638.0,-2409.0,1.184636259,95.865,20180124,95.815,2018/1/24,96.95,0.06,0.05,0.062627212,0.052189343,95.855
95.865,95.855,TF.CZC,95.86513548,2018/1/25,95.74,0,8562.0,8207972900.0,31528.0,-2110.0,0.271214729,95.955,20180125,95.705,2018/1/25,95.965,0.1,0.055,0.10432424,0.057378332,95.91
95.955,95.91,TF.CZC,95.96442498,2018/1/26,95.985,0,8278.0,7943935100.0,30001.0,-1527.0,0.104215518,95.96,20180126,95.92,2018/1/26,96.02,0.05,0.055,0.052132207,0.057345428,95.965
95.96,95.965,TF.CZC,95.95001176,2018/1/29,95.95,0,8507.0,8162467500.0,28892.0,-1109.0,0.16673614,95.945,20180129,95.87,2018/1/29,96.03,-0.02,0.01,-0.020840932,0.010420466,95.975
95.945,95.975,TF.CZC,95.92478345,2018/1/30,95.93,0,9074.0,8704214850.0,27803.0,-1089.0,0.109437699,95.875,20180130,95.865,2018/1/30,95.97,-0.1,-0.075,-0.1041938,-0.07814535,95.9
95.875,95.9,TF.CZC,95.9139614,2018/1/31,95.915,0,8420.0,8075955550.0,26305.0,-1498.0,0.104302477,95.915,20180131,95.865,2018/1/31,95.965,0.015,-0.005,0.015641293,-0.005213764,95.895
95.915,95.895,TF.CZC,95.99233166,2018/2/1,95.905,0,12326.0,11832014800.0,22633.0,-3672.0,0.172027316,96.045,20180201,95.89,2018/2/1,96.055,0.15,0.135,0.156421086,0.140778977,96.03
96.045,96.03,TF.CZC,95.98394255,2018/2/2,96.025,0,7154.0,6866691250.0,21560.0,-1073.0,0.088500182,95.95,20180202,95.94,2018/2/2,96.025,-0.08,-0.055,-0.0833073,-0.057273769,95.975
95.95,95.975,TF.CZC,95.89888367,2018/2/5,95.91,0,11175.0,10716700250.0,20211.0,-1349.0,0.171964565,95.88,20180205,95.805,2018/2/5,95.97,-0.095,-0.125,-0.09898411,-0.130242251,95.85
95.88,95.85,TF.CZC,96.03763049,2018/2/6,96.01,0,12511.0,12015267950.0,18339.0,-1872.0,0.135586149,96.03,20180206,95.975,2018/2/6,96.105,0.18,0.19,0.187793427,0.198226395,96.04
96.03,96.04,TF.CZC,95.97169723,2018/2/7,95.98,0,8508.0,8165272000.0,16001.0,-2338.0,0.12496095,96.035,20180207,95.92,2018/2/7,96.04,-0.005,-0.04,-0.005206164,-0.041649313,96.0
96.035,96.0,TF.CZC,96.00337411,2018/2/8,96.07,0,10422.0,10005471650.0,14295.0,-1706.0,0.265528193,95.885,20180208,95.855,2018/2/8,96.11,-0.115,-0.08,-0.119791667,-0.083333333,95.92
95.885,95.92,TF.CZC,96.00103894,2018/2/9,95.845,0,14664.0,14077592350.0,10870.0,-3425.0,0.276372738,96.075,20180209,95.845,2018/2/9,96.11,0.155,0.08,0.161592994,0.083402836,96.0
96.075,96.02,TF.CZC,96.03270115,2018/2/12,96.08,0,6003.0,5764843050.0,14682.0,3812.0,0.12490242,96.1,20180212,95.98,2018/2/12,96.1,0.08,0.02,0.083315976,0.020828994,96.04
96.1,96.04,TF.CZC,96.07874691,2018/2/13,96.13,0,5263.0,5056624450.0,16088.0,1406.0,0.104058273,96.065,20180213,96.04,2018/2/13,96.14,0.025,0.04,0.02603082,0.041649313,96.08
96.065,96.08,TF.CZC,96.04152851,2018/2/14,96.065,0,2666.0,2560467150.0,16257.0,169.0,0.104096185,96.045,20180214,95.995,2018/2/14,96.095,-0.035,-0.03,-0.036427977,-0.03122398,96.05
96.045,96.05,TF.CZC,95.8891944,2018/2/22,95.915,0,3997.0,3832691100.0,16934.0,677.0,0.197823937,95.88,20180222,95.835,2018/2/22,96.025,-0.17,-0.175,-0.17699115,-0.182196773,95.875
95.88,95.875,TF.CZC,95.92358856,2018/2/23,95.88,0,4212.0,4040301550.0,17363.0,429.0,0.073007927,95.935,20180223,95.88,2018/2/23,95.95,0.06,0.05,0.062581486,0.052151239,95.925
95.935,95.925,TF.CZC,96.12072848,2018/2/26,95.935,0,8051.0,7738679850.0,17584.0,221.0,0.354406629,96.245,20180226,95.935,2018/2/26,96.275,0.32,0.275,0.333593954,0.286682304,96.2
96.245,96.2,TF.CZC,96.32561816,2018/2/27,96.29,0,10321.0,9941767050.0,17646.0,62.0,0.296119279,96.425,20180227,96.19,2018/2/27,96.475,0.225,0.235,0.233887734,0.244282744,96.435
96.425,96.435,TF.CZC,96.42595736,2018/2/28,96.39,0,7223.0,6964846900.0,17707.0,61.0,0.124449054,96.42,20180228,96.36,2018/2/28,96.48,-0.015,0.005,-0.015554519,0.00518484,96.44
96.42,96.44,TF.CZC,96.47025298,2018/3/1,96.445,0,7471.0,7207292600.0,17871.0,164.0,0.129641153,96.435,20180301,96.41,2018/3/1,96.535,-0.005,0.01,-0.005184571,0.010369141,96.45
96.435,96.45,TF.CZC,96.43655046,2018/3/2,96.43,0,7243.0,6984899350.0,18478.0,607.0,0.093327112,96.43,20180302,96.385,2018/3/2,96.475,-0.02,-0.02,-0.020736133,-0.020736133,96.43
96.43,96.43,TF.CZC,96.38099205,2018/3/5,96.425,0,6920.0,6669564650.0,18193.0,-285.0,0.181478793,96.405,20180305,96.31,2018/3/5,96.485,-0.025,-0.05,-0.025925542,-0.051851084,96.38
96.405,96.38,TF.CZC,96.47654841,2018/3/6,96.405,0,10669.0,10293082950.0,18841.0,648.0,0.223017478,96.55,20180306,96.36,2018/3/6,96.575,0.17,0.15,0.176385142,0.155633949,96.53
96.55,96.53,TF.CZC,96.53573635,2018/3/7,96.55,0,7252.0,7000771600.0,18487.0,-354.0,0.098394614,96.55,20180307,96.485,2018/3/7,96.58,0.02,0.01,0.020718947,0.010359474,96.54
96.55,96.54,TF.CZC,96.54710477,2018/3/8,96.65,0,6977.0,6736091500.0,18633.0,146.0,0.21232522,96.535,20180308,96.485,2018/3/8,96.69,-0.005,-0.025,-0.0051792,-0.025896002,96.515
96.535,96.515,TF.CZC,96.52802721,2018/3/9,96.51,0,7938.0,7662394800.0,18492.0,-141.0,0.160563526,96.545,20180309,96.455,2018/3/9,96.61,0.03,0.035,0.031083251,0.036263793,96.55
96.545,96.55,TF.CZC,96.58795756,2018/3/12,96.59,0,5349.0,5166489850.0,18336.0,-156.0,0.082862914,96.605,20180312,96.545,2018/3/12,96.625,0.055,0.045,0.056965303,0.046607975,96.595
96.605,96.595,TF.CZC,96.51779015,2018/3/13,96.605,0,6962.0,6719568550.0,18301.0,-35.0,0.181150044,96.445,20180313,96.43,2018/3/13,96.605,-0.15,-0.13,-0.155287541,-0.134582535,96.465
96.445,96.465,TF.CZC,96.44259951,2018/3/14,96.585,0,8215.0,7922759550.0,18199.0,-102.0,0.217740681,96.445,20180314,96.38,2018/3/14,96.59,-0.02,-0.03,-0.020732908,-0.031099362,96.435
96.445,96.435,TF.CZC,96.48926323,2018/3/15,96.445,0,4798.0,4629554850.0,18361.0,162.0,0.088133133,96.495,20180315,96.435,2018/3/15,96.52,0.06,0.065,0.062218074,0.067402914,96.5
96.495,96.5,TF.CZC,96.52101023,2018/3/16,96.505,0,4692.0,4528765800.0,18151.0,-210.0,0.103632313,96.5,20180316,96.475,2018/3/16,96.575,0.0,-0.005,0.0,-0.005181347,96.495
96.5,96.495,TF.CZC,96.498493,2018/3/19,96.48,0,4572.0,4411911100.0,18007.0,-144.0,0.103626943,96.54,20180319,96.445,2018/3/19,96.545,0.045,0.015,0.046634541,0.015544847,96.51
96.54,96.51,TF.CZC,96.59475848,2018/3/20,96.535,0,8695.0,8398914250.0,19314.0,1307.0,0.170913611,96.675,20180320,96.515,2018/3/20,96.68,0.165,0.11,0.170966739,0.113977826,96.62
96.675,96.62,TF.CZC,96.67830143,2018/3/21,96.675,0,6791.0,6565423450.0,19905.0,591.0,0.077579519,96.66,20180321,96.635,2018/3/21,96.71,0.04,0.06,0.041399296,0.062098944,96.68
96.66,96.68,TF.CZC,96.76413457,2018/3/22,96.69,0,9504.0,9196463350.0,19799.0,-106.0,0.217256363,96.765,20180322,96.63,2018/3/22,96.84,0.085,0.085,0.087918908,0.087918908,96.765
96.765,96.765,TF.CZC,97.04764786,2018/3/23,97.005,0,12512.0,12142601700.0,19314.0,-485.0,0.289360823,97.05,20180323,96.95,2018/3/23,97.23,0.285,0.255,0.29452798,0.263525035,97.02
97.05,97.02,TF.CZC,96.97435423,2018/3/26,96.97,0,6860.0,6652440700.0,19303.0,-11.0,0.108191654,96.975,20180326,96.925,2018/3/26,97.03,-0.045,-0.025,-0.046382189,-0.025767883,96.995
96.975,96.995,TF.CZC,96.90701235,2018/3/27,96.87,0,6557.0,6354192800.0,19708.0,405.0,0.108275329,96.96,20180327,96.86,2018/3/27,96.965,-0.035,-0.05,-0.036084334,-0.051549049,96.945
96.96,96.945,TF.CZC,97.03049054,2018/3/28,97.1,0,7033.0,6824154400.0,19782.0,74.0,0.149546205,96.975,20180328,96.97,2018/3/28,97.115,0.03,0.05,0.030945381,0.051575636,96.995
96.975,96.995,TF.CZC,96.92711019,2018/3/29,96.97,0,6734.0,6527071600.0,19748.0,-34.0,0.128899201,96.96,20180329,96.87,2018/3/29,96.995,-0.035,-0.08,-0.036084334,-0.082478478,96.915
96.96,96.915,TF.CZC,96.96918563,2018/3/30,96.925,0,6944.0,6733540250.0,19335.0,-413.0,0.15470297,96.935,20180330,96.905,2018/3/30,97.055,0.02,0.055,0.02063664,0.056750761,96.97
96.935,96.97,TF.CZC,96.88018138,2018/4/2,96.97,0,6175.0,5982351200.0,18938.0,-397.0,0.20116573,96.91,20180402,96.775,2018/4/2,96.97,-0.06,-0.03,-0.061874807,-0.030937403,96.94
96.91,96.94,TF.CZC,96.86649583,2018/4/3,97.05,0,8283.0,8023451850.0,19287.0,349.0,0.30440615,96.83,20180403,96.755,2018/4/3,97.05,-0.11,-0.12,-0.113472251,-0.12378791,96.82
96.83,96.82,TF.CZC,96.84472222,2018/4/4,96.88,0,5832.0,5647984200.0,19442.0,155.0,0.09811009,96.845,20180404,96.795,2018/4/4,96.89,0.025,0.03,0.025821111,0.030985334,96.85
96.845,96.85,TF.CZC,96.97807837,2018/4/9,97.01,0,6661.0,6459709800.0,19873.0,431.0,0.165212453,96.97,20180409,96.88,2018/4/9,97.04,0.12,0.13,0.123902943,0.134228188,96.98
96.97,96.98,TF.CZC,96.86598316,2018/4/10,96.945,0,6652.0,6443525200.0,19664.0,-209.0,0.18562442,96.795,20180410,96.775,2018/4/10,96.955,-0.185,-0.17,-0.190760982,-0.175293875,96.81
96.795,96.81,TF.CZC,96.79751641,2018/4/11,96.76,0,8685.0,8406864300.0,19280.0,-384.0,0.26344336,96.935,20180411,96.69,2018/4/11,96.945,0.125,0.075,0.129118893,0.077471336,96.885
96.935,96.885,TF.CZC,96.92627114,2018/4/12,96.93,0,7155.0,6935074700.0,19314.0,34.0,0.20116573,97.035,20180412,96.84,2018/4/12,97.035,0.15,0.075,0.154822728,0.077411364,96.96
97.035,96.96,TF.CZC,96.99092499,2018/4/13,96.99,0,8319.0,8068675050.0,18687.0,-627.0,0.180347297,97.065,20180413,96.915,2018/4/13,97.09,0.105,0.035,0.108292079,0.03609736,96.995
97.065,96.995,TF.CZC,97.23020939,2018/4/16,97.125,0,11605.0,11283565800.0,19654.0,967.0,0.334827178,97.35,20180416,97.035,2018/4/16,97.36,0.355,0.315,0.365998247,0.324759008,97.31
97.35,97.31,TF.CZC,97.36993253,2018/4/17,97.335,0,11339.0,11040776650.0,20519.0,865.0,0.21058038,97.44,20180417,97.285,2018/4/17,97.49,0.13,0.125,0.13359367,0.128455452,97.435
97.44,97.435,TF.CZC,98.05969463,2018/4/18,98.09,0,20303.0,19909059800.0,18728.0,-1791.0,0.446428571,98.04,20180418,97.88,2018/4/18,98.315,0.605,0.705,0.620926772,0.723559296,98.14
98.04,98.14,TF.CZC,97.99866464,2018/4/19,97.985,0,10705.0,10490757050.0,18708.0,-20.0,0.229498164,97.94,20180419,97.895,2018/4/19,98.12,-0.2,-0.175,-0.203790503,-0.17831669,97.965
97.94,97.965,TF.CFE,97.9551580914,2018/04/20,97.895,0,6958.0,6815719900.0,18618.0,-90.0,0.173575658566,97.95,20180420,97.855,2018/04/20,98.025,-0.015,0.015,-0.0153115908743,0.0153115908743,97.98
