前收盘,前结算价,合约,均价,市场最近交易日,开盘价,成交笔数,成交量,成交额,持仓量,持仓量变化,振幅(收盘价),收盘价,日期,最低价,最近交易日期,最高价,涨跌(收盘价),涨跌(结算价),涨跌幅(收盘价),涨跌幅(结算价),结算价
6655.0,6645.0,V.DCE,6778.09754,2018/1/2,6650.0,0,680214.0,23052784200.0,326354.0,32872.0,3.155522164,6780.0,20180102,6650.0,2018/1/2,6860.0,135.0,130.0,2.031602709,1.956358164,6775.0
6780.0,6775.0,V.DCE,6780.085879,2018/1/3,6790.0,0,261066.0,8850249500.0,331772.0,5418.0,0.958702065,6770.0,20180103,6750.0,2018/1/3,6815.0,-5.0,5.0,-0.073800738,0.073800738,6780.0
6770.0,6780.0,V.DCE,6785.966805,2018/1/4,6785.0,0,379094.0,12862596500.0,344132.0,12360.0,1.329394387,6825.0,20180104,6735.0,2018/1/4,6825.0,45.0,5.0,0.663716814,0.073746313,6785.0
6825.0,6785.0,V.DCE,6847.79611,2018/1/5,6820.0,0,560400.0,19187524700.0,338704.0,-5428.0,2.197802198,6830.0,20180105,6770.0,2018/1/5,6920.0,45.0,60.0,0.663227708,0.884303611,6845.0
6830.0,6845.0,V.DCE,6850.020265,2018/1/8,6805.0,0,238840.0,8180294200.0,341356.0,2652.0,1.098096633,6830.0,20180108,6805.0,2018/1/8,6880.0,-15.0,5.0,-0.219138057,0.073046019,6850.0
6830.0,6850.0,V.DCE,6809.652735,2018/1/9,6840.0,0,263948.0,8986971100.0,347362.0,6006.0,1.390922401,6795.0,20180109,6775.0,2018/1/9,6870.0,-55.0,-45.0,-0.802919708,-0.656934307,6805.0
6795.0,6805.0,V.DCE,6795.716488,2018/1/10,6820.0,0,342434.0,11635421900.0,341652.0,-5710.0,1.324503311,6760.0,20180110,6750.0,2018/1/10,6840.0,-45.0,-10.0,-0.661278472,-0.146950771,6795.0
6760.0,6795.0,V.DCE,6744.690643,2018/1/11,6760.0,0,328100.0,11064665000.0,342380.0,728.0,1.25739645,6740.0,20180111,6705.0,2018/1/11,6790.0,-55.0,-55.0,-0.80941869,-0.80941869,6740.0
6740.0,6740.0,V.DCE,6790.855216,2018/1/12,6730.0,0,381962.0,12969243200.0,348500.0,6120.0,1.928783383,6825.0,20180112,6710.0,2018/1/12,6840.0,85.0,50.0,1.261127596,0.741839763,6790.0
6825.0,6790.0,V.DCE,6825.13591,2018/1/15,6845.0,0,297108.0,10139012400.0,352326.0,3826.0,1.245421245,6810.0,20180115,6780.0,2018/1/15,6865.0,20.0,35.0,0.29455081,0.515463918,6825.0
6810.0,6825.0,V.DCE,6709.841163,2018/1/16,6815.0,0,558812.0,18747698800.0,304692.0,-47634.0,3.377386197,6630.0,20180116,6615.0,2018/1/16,6845.0,-195.0,-120.0,-2.857142857,-1.758241758,6705.0
6630.0,6705.0,V.DCE,6594.476341,2018/1/17,6635.0,0,285300.0,9407020500.0,280548.0,-24144.0,1.809954751,6570.0,20180117,6540.0,2018/1/17,6660.0,-135.0,-115.0,-2.013422819,-1.715137957,6590.0
