前收盘,前结算价,合约,均价,市场最近交易日,开盘价,成交笔数,成交量,成交额,持仓量,持仓量变化,振幅(收盘价),收盘价,日期,最低价,最近交易日期,最高价,涨跌(收盘价),涨跌(结算价),涨跌幅(收盘价),涨跌幅(结算价),结算价
2578.0,2570.0,WH.CZC,2591.450382,2018/1/2,2585.0,0,524.0,27158400.0,1856.0,-36.0,1.047323507,2598.0,20180102,2579.0,2018/1/2,2606.0,28.0,21.0,1.089494163,0.817120623,2591.0
2598.0,2591.0,WH.CZC,2635.055453,2018/1/3,2607.0,0,1082.0,57022600.0,2054.0,198.0,2.848344881,2625.0,20180103,2584.0,2018/1/3,2658.0,34.0,44.0,1.312234658,1.698186029,2635.0
2625.0,2635.0,WH.CZC,2646.377551,2018/1/4,2633.0,0,686.0,36308300.0,1930.0,-124.0,0.99047619,2643.0,20180104,2632.0,2018/1/4,2658.0,8.0,11.0,0.303605313,0.417457306,2646.0
2643.0,2646.0,WH.CZC,2646.853448,2018/1/5,2650.0,0,348.0,18422100.0,1846.0,-84.0,0.794551646,2645.0,20180105,2635.0,2018/1/5,2656.0,-1.0,1.0,-0.037792895,0.037792895,2647.0
2645.0,2647.0,WH.CZC,2635.465116,2018/1/8,2637.0,0,172.0,9066000.0,1826.0,-20.0,0.151228733,2635.0,20180108,2633.0,2018/1/8,2637.0,-12.0,-12.0,-0.453343408,-0.453343408,2635.0
2635.0,2635.0,WH.CZC,2618.198113,2018/1/9,2637.0,0,530.0,27752900.0,1984.0,158.0,1.404174573,2608.0,20180109,2606.0,2018/1/9,2643.0,-27.0,-17.0,-1.024667932,-0.64516129,2618.0
2608.0,2618.0,WH.CZC,2611.045455,2018/1/10,2608.0,0,220.0,11488600.0,2036.0,52.0,0.536809816,2610.0,20180110,2605.0,2018/1/10,2619.0,-8.0,-7.0,-0.305576776,-0.267379679,2611.0
2610.0,2611.0,WH.CZC,2601.992188,2018/1/11,2608.0,0,256.0,13322200.0,2034.0,-2.0,0.344827586,2599.0,20180111,2599.0,2018/1/11,2608.0,-12.0,-9.0,-0.459594025,-0.344695519,2602.0
2599.0,2602.0,WH.CZC,2602.843137,2018/1/12,2599.0,0,204.0,10619600.0,2036.0,2.0,0.384763371,2600.0,20180112,2598.0,2018/1/12,2608.0,-2.0,1.0,-0.076863951,0.038431975,2603.0
2600.0,2603.0,WH.CZC,2593.461538,2018/1/15,2605.0,0,260.0,13486000.0,2008.0,-28.0,0.653846154,2595.0,20180115,2588.0,2018/1/15,2605.0,-8.0,-10.0,-0.307337687,-0.384172109,2593.0
2595.0,2593.0,WH.CZC,2598.807339,2018/1/16,2592.0,0,218.0,11330800.0,1962.0,-46.0,0.924855491,2611.0,20180116,2588.0,2018/1/16,2612.0,18.0,6.0,0.694176629,0.23139221,2599.0
2611.0,2599.0,WH.CZC,2621.25,2018/1/17,2614.0,0,260.0,13630500.0,1926.0,-36.0,0.842589046,2630.0,20180117,2610.0,2018/1/17,2632.0,31.0,22.0,1.192766449,0.846479415,2621.0
2630.0,2621.0,WH.CZC,2614.648438,2018/1/18,2625.0,0,256.0,13387000.0,1964.0,38.0,0.836501901,2604.0,20180118,2603.0,2018/1/18,2625.0,-17.0,-6.0,-0.648607402,-0.228920259,2615.0
2604.0,2615.0,WH.CZC,2596.538462,2018/1/19,2609.0,0,234.0,12151800.0,1950.0,-14.0,0.883256528,2594.0,20180119,2590.0,2018/1/19,2613.0,-21.0,-18.0,-0.803059273,-0.68833652,2597.0
2594.0,2597.0,WH.CZC,2611.864407,2018/1/22,2606.0,0,236.0,12328000.0,1906.0,-44.0,0.963762529,2618.0,20180122,2595.0,2018/1/22,2620.0,21.0,15.0,0.808625337,0.577589526,2612.0
2618.0,2612.0,WH.CZC,2617.0,2018/1/23,2620.0,0,100.0,5234000.0,1892.0,-14.0,0.687547746,2609.0,20180123,2609.0,2018/1/23,2627.0,-3.0,5.0,-0.114854518,0.191424196,2617.0
2609.0,2617.0,WH.CZC,2601.186869,2018/1/24,2611.0,0,198.0,10300700.0,1878.0,-14.0,0.574932924,2601.0,20180124,2596.0,2018/1/24,2611.0,-16.0,-16.0,-0.611387084,-0.611387084,2601.0
2601.0,2601.0,WH.CZC,2607.5,2018/1/25,2608.0,0,74.0,3859100.0,1874.0,-4.0,0.422914264,2606.0,20180125,2602.0,2018/1/25,2613.0,5.0,6.0,0.192233756,0.230680507,2607.0
2606.0,2607.0,WH.CZC,2600.096154,2018/1/26,2609.0,0,312.0,16224600.0,1832.0,-42.0,0.92095165,2611.0,20180126,2593.0,2018/1/26,2617.0,4.0,-7.0,0.153433065,-0.268507863,2600.0
2611.0,2600.0,WH.CZC,2609.5,2018/1/29,2610.0,0,350.0,18266500.0,1862.0,30.0,1.302183072,2600.0,20180129,2591.0,2018/1/29,2625.0,0.0,9.0,0.0,0.346153846,2609.0
2600.0,2609.0,WH.CZC,2611.109023,2018/1/30,2600.0,0,266.0,13891100.0,1846.0,-16.0,0.884615385,2610.0,20180130,2600.0,2018/1/30,2623.0,1.0,2.0,0.038328862,0.076657723,2611.0
2610.0,2611.0,WH.CZC,2609.331395,2018/1/31,2619.0,0,172.0,8976100.0,1798.0,-48.0,0.689655172,2605.0,20180131,2602.0,2018/1/31,2620.0,-6.0,-2.0,-0.229797013,-0.076599004,2609.0
2605.0,2609.0,WH.CZC,2599.470588,2018/2/1,2601.0,0,340.0,17676400.0,1738.0,-60.0,0.84452975,2601.0,20180201,2588.0,2018/2/1,2610.0,-8.0,-10.0,-0.306630893,-0.383288616,2599.0
2601.0,2599.0,WH.CZC,2602.462687,2018/2/2,2601.0,0,134.0,6974600.0,1702.0,-36.0,0.538254517,2599.0,20180202,2595.0,2018/2/2,2609.0,0.0,3.0,0.0,0.115429011,2602.0
