前收盘,前结算价,合约,均价,市场最近交易日,开盘价,成交笔数,成交量,成交额,持仓量,持仓量变化,振幅(收盘价),收盘价,日期,最低价,最近交易日期,最高价,涨跌(收盘价),涨跌(结算价),涨跌幅(收盘价),涨跌幅(结算价),结算价
5668.0,5668.0,Y.DCE,5767.49161,2018/1/2,5686.0,0,277724.0,16017708400.0,856442.0,-49512.0,1.976005646,5780.0,20180102,5686.0,2018/1/2,5798.0,112.0,98.0,1.976005646,1.72900494,5766.0
5780.0,5766.0,Y.DCE,5775.408298,2018/1/3,5780.0,0,213594.0,12335925600.0,865796.0,9354.0,0.553633218,5778.0,20180103,5760.0,2018/1/3,5792.0,12.0,8.0,0.208116545,0.138744364,5774.0
5778.0,5774.0,Y.DCE,5805.97456,2018/1/4,5802.0,0,270204.0,15687975500.0,845190.0,-20606.0,0.726895119,5824.0,20180104,5784.0,2018/1/4,5826.0,50.0,30.0,0.865950814,0.519570488,5804.0
5824.0,5804.0,Y.DCE,5818.884382,2018/1/5,5806.0,0,275408.0,16025673100.0,831646.0,-13544.0,1.06456044,5824.0,20180105,5788.0,2018/1/5,5850.0,20.0,14.0,0.344589938,0.241212957,5818.0
5824.0,5818.0,Y.DCE,5779.017974,2018/1/8,5808.0,0,325582.0,18815442300.0,893520.0,61874.0,1.407967033,5756.0,20180108,5740.0,2018/1/8,5822.0,-62.0,-40.0,-1.065658302,-0.687521485,5778.0
5756.0,5778.0,Y.DCE,5779.624105,2018/1/9,5778.0,0,232778.0,13453693400.0,894226.0,706.0,0.694927033,5794.0,20180109,5754.0,2018/1/9,5794.0,16.0,0.0,0.276912426,0.0,5778.0
5794.0,5778.0,Y.DCE,5796.533356,2018/1/10,5770.0,0,305102.0,17685339200.0,892236.0,-1990.0,0.966517087,5798.0,20180110,5766.0,2018/1/10,5822.0,20.0,18.0,0.346140533,0.31152648,5796.0
5798.0,5796.0,Y.DCE,5789.729767,2018/1/11,5816.0,0,191020.0,11059541800.0,890528.0,-1708.0,0.758882373,5786.0,20180111,5772.0,2018/1/11,5816.0,-10.0,-8.0,-0.172532781,-0.138026225,5788.0
5786.0,5788.0,Y.DCE,5749.610952,2018/1/12,5776.0,0,311992.0,17938326200.0,890050.0,-478.0,1.244382993,5738.0,20180112,5722.0,2018/1/12,5794.0,-50.0,-40.0,-0.863856254,-0.691085003,5748.0
5738.0,5748.0,Y.DCE,5735.737605,2018/1/15,5732.0,0,219440.0,12586502600.0,883952.0,-6098.0,0.836528407,5740.0,20180115,5712.0,2018/1/15,5760.0,-8.0,-14.0,-0.139178845,-0.243562978,5734.0
5740.0,5734.0,Y.DCE,5738.694052,2018/1/16,5750.0,0,243662.0,13983016700.0,893726.0,9774.0,1.114982578,5728.0,20180116,5706.0,2018/1/16,5770.0,-6.0,4.0,-0.104638995,0.06975933,5738.0
5728.0,5738.0,Y.DCE,5724.391738,2018/1/17,5724.0,0,317692.0,18185934600.0,898874.0,5148.0,1.25698324,5708.0,20180117,5692.0,2018/1/17,5764.0,-30.0,-14.0,-0.522830254,-0.243987452,5724.0
5708.0,5724.0,Y.DCE,5706.816621,2018/1/18,5700.0,0,234116.0,13360570800.0,904182.0,5308.0,0.73580939,5722.0,20180118,5684.0,2018/1/18,5726.0,-2.0,-18.0,-0.034940601,-0.314465409,5706.0
5722.0,5706.0,Y.DCE,5696.484759,2018/1/19,5718.0,0,276368.0,15743261000.0,919542.0,15360.0,0.978678784,5678.0,20180119,5666.0,2018/1/19,5722.0,-28.0,-10.0,-0.490711532,-0.175254118,5696.0
5678.0,5696.0,Y.DCE,5720.519667,2018/1/22,5680.0,0,310314.0,17751573400.0,904396.0,-15146.0,1.444170483,5744.0,20180122,5674.0,2018/1/22,5756.0,48.0,24.0,0.842696629,0.421348315,5720.0
5744.0,5720.0,Y.DCE,5760.514978,2018/1/23,5750.0,0,318072.0,18322585200.0,892696.0,-11700.0,0.835654596,5760.0,20180123,5734.0,2018/1/23,5782.0,40.0,40.0,0.699300699,0.699300699,5760.0
5760.0,5760.0,Y.DCE,5783.48747,2018/1/24,5772.0,0,262322.0,15171360000.0,885944.0,-6752.0,0.486111111,5780.0,20180124,5768.0,2018/1/24,5796.0,20.0,22.0,0.347222222,0.381944444,5782.0
5780.0,5782.0,Y.DCE,5777.255313,2018/1/25,5788.0,0,257942.0,14901967900.0,891698.0,5754.0,0.657439446,5778.0,20180125,5758.0,2018/1/25,5796.0,-4.0,-6.0,-0.069180214,-0.103770322,5776.0
5778.0,5776.0,Y.DCE,5795.141612,2018/1/26,5766.0,0,316358.0,18333394100.0,903008.0,11310.0,0.899965386,5796.0,20180126,5764.0,2018/1/26,5816.0,20.0,18.0,0.346260388,0.311634349,5794.0
5796.0,5794.0,Y.DCE,5813.670015,2018/1/29,5792.0,0,271988.0,15812484800.0,914702.0,11694.0,0.862663906,5814.0,20180129,5782.0,2018/1/29,5832.0,20.0,18.0,0.345184674,0.310666206,5812.0
5814.0,5812.0,Y.DCE,5763.267016,2018/1/30,5820.0,0,365214.0,21048258000.0,914082.0,-620.0,1.823185415,5728.0,20180130,5716.0,2018/1/30,5822.0,-84.0,-50.0,-1.445285616,-0.860289057,5762.0
5728.0,5762.0,Y.DCE,5742.983038,2018/1/31,5734.0,0,233698.0,13421236500.0,889970.0,-24112.0,0.907821229,5758.0,20180131,5712.0,2018/1/31,5764.0,-4.0,-20.0,-0.06942034,-0.347101701,5742.0
5758.0,5742.0,Y.DCE,5708.048608,2018/2/1,5752.0,0,299166.0,17076540700.0,900930.0,10960.0,1.215699896,5696.0,20180201,5682.0,2018/2/1,5752.0,-46.0,-34.0,-0.801114594,-0.592128178,5708.0
