前收盘,前结算价,合约,均价,市场最近交易日,开盘价,成交笔数,成交量,成交额,持仓量,持仓量变化,振幅(收盘价),收盘价,日期,最低价,最近交易日期,最高价,涨跌(收盘价),涨跌(结算价),涨跌幅(收盘价),涨跌幅(结算价),结算价
605.4,609.8,ZC.CZC,607.4687279,2018/1/2,605.0,0,144026.0,8749129100.0,220868.0,-14508.0,2.147340601,612.8,20180102,601.0,2018/1/2,614.0,3.0,-2.4,0.491964579,-0.393571663,607.4
612.8,607.4,ZC.CZC,614.3225521,2018/1/3,612.6,0,143366.0,8807296700.0,218466.0,-2402.0,1.37075718,613.2,20180103,609.2,2018/1/3,617.6,5.8,7.0,0.954889694,1.152453079,614.4
613.2,614.4,ZC.CZC,620.7530805,2018/1/4,614.2,0,218634.0,13571772900.0,231854.0,13388.0,1.989562948,624.0,20180104,614.2,2018/1/4,626.4,9.6,6.4,1.5625,1.041666667,620.8
624.0,620.8,ZC.CZC,627.9375922,2018/1/5,626.6,0,184480.0,11584192700.0,237872.0,6018.0,0.961538462,628.2,20180105,624.8,2018/1/5,630.8,7.4,7.2,1.192010309,1.159793814,628.0
628.2,628.0,ZC.CZC,629.1731864,2018/1/8,628.0,0,224908.0,14150608300.0,246018.0,8146.0,1.719197708,632.6,20180108,623.2,2018/1/8,634.0,4.6,1.2,0.732484076,0.191082803,629.2
632.6,629.2,ZC.CZC,630.2018217,2018/1/9,633.8,0,96174.0,6060903000.0,235130.0,-10888.0,1.011697755,630.6,20180109,627.6,2018/1/9,634.0,1.4,1.0,0.222504768,0.158931977,630.2
630.6,630.2,ZC.CZC,635.0676533,2018/1/10,630.8,0,197108.0,12517691500.0,261632.0,26502.0,1.522359657,637.4,20180110,629.6,2018/1/10,639.2,7.2,4.8,1.142494446,0.761662964,635.0
637.4,635.0,ZC.CZC,636.0568687,2018/1/11,638.4,0,156026.0,9924140900.0,250776.0,-10856.0,1.380608723,636.0,20180111,632.0,2018/1/11,640.8,1.0,1.0,0.157480315,0.157480315,636.0
636.0,636.0,ZC.CZC,633.781686,2018/1/12,635.0,0,129300.0,8194797200.0,255462.0,4686.0,0.786163522,632.0,20180112,631.2,2018/1/12,636.2,-4.0,-2.2,-0.628930818,-0.34591195,633.8
632.0,633.8,ZC.CZC,630.3829276,2018/1/15,632.4,0,179846.0,11337184800.0,245838.0,-9624.0,1.582278481,629.8,20180115,625.6,2018/1/15,635.6,-4.0,-3.4,-0.631113916,-0.536446829,630.4
629.8,630.4,ZC.CZC,634.4283391,2018/1/16,630.2,0,236084.0,14977838000.0,262326.0,16488.0,1.4607812,633.4,20180116,629.4,2018/1/16,638.6,3.0,4.0,0.475888325,0.634517766,634.4
633.4,634.4,ZC.CZC,634.0928513,2018/1/17,633.8,0,213912.0,13564007000.0,271168.0,8842.0,1.105146827,635.6,20180117,630.2,2018/1/17,637.2,1.2,-0.4,0.189155107,-0.063051702,634.0
635.6,634.0,ZC.CZC,644.6965557,2018/1/18,635.8,0,334816.0,21585472200.0,317400.0,46232.0,2.297042165,646.2,20180118,635.4,2018/1/18,650.0,12.2,10.8,1.924290221,1.703470032,644.8
