前收盘,前结算价,合约,均价,市场最近交易日,开盘价,成交笔数,成交量,成交额,持仓量,持仓量变化,振幅(收盘价),收盘价,日期,最低价,最近交易日期,最高价,涨跌(收盘价),涨跌(结算价),涨跌幅(收盘价),涨跌幅(结算价),结算价
25725.0,0.0,ZN,170592.0,0,25655.0,195,25850.0,25855.0,-2626.0,0.0,0.0,25710.0,20180102,26115.0,0,25820.0,200.0,0.0,228518.0,0.0,0.0
25855.0,0.0,ZN,182370.0,0,25850.0,-85,25765.0,25880.0,18206.0,0.0,0.0,25730.0,20180103,26010.0,0,25900.0,30.0,0.0,156208.0,0.0,0.0
25765.0,0.0,ZN,202016.0,0,25880.0,110,25990.0,25820.0,19646.0,0.0,0.0,25670.0,20180104,25990.0,0,25810.0,-60.0,0.0,179698.0,0.0,0.0
25990.0,0.0,ZN,225064.0,0,25820.0,285,26105.0,25995.0,23048.0,0.0,0.0,25880.0,20180105,26155.0,0,26045.0,175.0,0.0,223420.0,0.0,0.0
26105.0,0.0,ZN,234586.0,0,25995.0,65,26060.0,25990.0,9522.0,0.0,0.0,25875.0,20180108,26110.0,0,26070.0,-5.0,0.0,323376.0,0.0,0.0
26060.0,0.0,ZN,259538.0,0,25990.0,360,26350.0,26220.0,24952.0,0.0,0.0,25995.0,20180109,26430.0,0,26010.0,230.0,0.0,364862.0,0.0,0.0
26350.0,0.0,ZN,246380.0,0,26220.0,-180,26040.0,26165.0,-13158.0,0.0,0.0,26015.0,20180110,26305.0,0,26260.0,-55.0,0.0,302676.0,0.0,0.0
26040.0,0.0,ZN,251746.0,0,26165.0,90,26255.0,26170.0,5366.0,0.0,0.0,26065.0,20180111,26320.0,0,26220.0,5.0,0.0,264638.0,0.0,0.0
26255.0,0.0,ZN,267686.0,0,26170.0,205,26375.0,26265.0,15940.0,0.0,0.0,26090.0,20180112,26385.0,0,26330.0,95.0,0.0,341214.0,0.0,0.0
26375.0,0.0,ZN,270808.0,0,26265.0,95,26360.0,26315.0,3122.0,0.0,0.0,26215.0,20180115,26480.0,0,26300.0,50.0,0.0,319106.0,0.0,0.0
26360.0,0.0,ZN,249168.0,0,26315.0,-250,26065.0,26175.0,-21640.0,0.0,0.0,25945.0,20180116,26395.0,0,26345.0,-140.0,0.0,361116.0,0.0,0.0
26065.0,0.0,ZN,242348.0,0,26175.0,-120,26055.0,26055.0,-6820.0,0.0,0.0,25940.0,20180117,26155.0,0,26000.0,-120.0,0.0,304396.0,0.0,0.0
26055.0,0.0,ZN,233230.0,0,26055.0,-60,25995.0,26010.0,-9118.0,0.0,0.0,25925.0,20180118,26130.0,0,26090.0,-45.0,0.0,280388.0,0.0,0.0
25995.0,0.0,ZN,226354.0,0,26010.0,90,26100.0,26005.0,-6876.0,0.0,0.0,25880.0,20180119,26135.0,0,26045.0,-5.0,0.0,309238.0,0.0,0.0
26100.0,0.0,ZN,229078.0,0,26005.0,205,26210.0,26165.0,2724.0,0.0,0.0,26050.0,20180122,26250.0,0,26200.0,160.0,0.0,291540.0,0.0,0.0
26210.0,0.0,ZN,223428.0,0,26165.0,50,26215.0,26125.0,-5650.0,0.0,0.0,26040.0,20180123,26245.0,0,26185.0,-40.0,0.0,287432.0,0.0,0.0
26215.0,0.0,ZN,226272.0,0,26125.0,-250,25875.0,26065.0,2844.0,0.0,0.0,25820.0,20180124,26215.0,0,26135.0,-60.0,0.0,344828.0,0.0,0.0
25875.0,0.0,ZN,223120.0,0,26065.0,225,26290.0,26195.0,-3152.0,0.0,0.0,25940.0,20180125,26415.0,0,25990.0,130.0,0.0,472790.0,0.0,0.0
26290.0,0.0,ZN,213584.0,0,26195.0,-10,26185.0,26195.0,-9536.0,0.0,0.0,26115.0,20180126,26310.0,0,26250.0,0.0,0.0,249650.0,0.0,0.0
26185.0,0.0,ZN,231608.0,0,26195.0,860,27055.0,26835.0,18024.0,0.0,0.0,26200.0,20180129,27235.0,0,26315.0,640.0,0.0,531324.0,0.0,0.0
27055.0,0.0,ZN,211140.0,0,26835.0,-10,26825.0,26915.0,-20468.0,0.0,0.0,26700.0,20180130,27130.0,0,27065.0,80.0,0.0,355712.0,0.0,0.0
26825.0,0.0,ZN,199402.0,0,26915.0,-135,26780.0,26715.0,-11738.0,0.0,0.0,26520.0,20180131,26915.0,0,26900.0,-200.0,0.0,347076.0,0.0,0.0
26780.0,0.0,ZN,184706.0,0,26715.0,-45,26670.0,26730.0,-14696.0,0.0,0.0,26630.0,20180201,26825.0,0,26740.0,15.0,0.0,219902.0,0.0,0.0
26670.0,0.0,ZN,175534.0,0,26730.0,120,26850.0,26800.0,-9172.0,0.0,0.0,26630.0,20180202,26950.0,0,26730.0,70.0,0.0,264264.0,0.0,0.0
26825.0,0.0,ZN,176876.0,0,26790.0,0,26790.0,26705.0,6326.0,0.0,0.0,26525.0,20180205,26825.0,0,26740.0,-85.0,0.0,169468.0,0.0,0.0
26790.0,0.0,ZN,189680.0,0,26705.0,-170,26535.0,26690.0,12804.0,0.0,0.0,26410.0,20180206,26995.0,0,26800.0,-15.0,0.0,214498.0,0.0,0.0
26535.0,0.0,ZN,195444.0,0,26690.0,-220,26470.0,26550.0,5764.0,0.0,0.0,26435.0,20180207,26685.0,0,26510.0,-140.0,0.0,190386.0,0.0,0.0
26470.0,0.0,ZN,195586.0,0,26550.0,-280,26270.0,26255.0,142.0,0.0,0.0,26005.0,20180208,26560.0,0,26455.0,-295.0,0.0,287974.0,0.0,0.0
26270.0,0.0,ZN,190284.0,0,26255.0,-135,26120.0,26270.0,-5302.0,0.0,0.0,25975.0,20180209,26495.0,0,26330.0,15.0,0.0,245676.0,0.0,0.0
26120.0,0.0,ZN,184112.0,0,26270.0,-330,25940.0,26015.0,-6172.0,0.0,0.0,25850.0,20180212,26180.0,0,26150.0,-255.0,0.0,321452.0,0.0,0.0
25940.0,0.0,ZN,184990.0,0,26015.0,215,26230.0,26035.0,878.0,0.0,0.0,25875.0,20180213,26275.0,0,26000.0,20.0,0.0,223396.0,0.0,0.0
26230.0,0.0,ZN,187350.0,0,26035.0,615,26650.0,26480.0,2360.0,0.0,0.0,26235.0,20180214,26695.0,0,26270.0,445.0,0.0,225764.0,0.0,0.0
26650.0,0.0,ZN,183548.0,0,26480.0,-150,26330.0,26410.0,-3802.0,0.0,0.0,26155.0,20180222,26945.0,0,26930.0,-70.0,0.0,235906.0,0.0,0.0
26330.0,0.0,ZN,175076.0,0,26410.0,150,26560.0,26575.0,-8472.0,0.0,0.0,26360.0,20180223,26710.0,0,26380.0,165.0,0.0,316532.0,0.0,0.0
26560.0,0.0,ZN,173488.0,0,26575.0,95,26670.0,26575.0,-1588.0,0.0,0.0,26380.0,20180226,26745.0,0,26575.0,0.0,0.0,296500.0,0.0,0.0
26670.0,0.0,ZN,171266.0,0,26575.0,85,26660.0,26675.0,-2222.0,0.0,0.0,26600.0,20180227,26770.0,0,26690.0,100.0,0.0,252854.0,0.0,0.0
26660.0,0.0,ZN,163940.0,0,26675.0,-275,26400.0,26415.0,-7326.0,0.0,0.0,26290.0,20180228,26615.0,0,26580.0,-260.0,0.0,309998.0,0.0,0.0
26400.0,0.0,ZN,155998.0,0,26415.0,15,26430.0,26355.0,-7942.0,0.0,0.0,26225.0,20180301,26480.0,0,26355.0,-60.0,0.0,252760.0,0.0,0.0
26430.0,0.0,ZN,163050.0,0,26345.0,-80,26265.0,26200.0,11308.0,0.0,0.0,26040.0,20180302,26305.0,0,26095.0,-145.0,0.0,189220.0,0.0,0.0
26265.0,0.0,ZN,173900.0,0,26200.0,-550,25650.0,25970.0,10850.0,0.0,0.0,25625.0,20180305,26230.0,0,26165.0,-230.0,0.0,278918.0,0.0,0.0
25650.0,0.0,ZN,181084.0,0,25970.0,-575,25395.0,25360.0,7184.0,0.0,0.0,25175.0,20180306,25510.0,0,25450.0,-610.0,0.0,369516.0,0.0,0.0
25395.0,0.0,ZN,207718.0,0,25360.0,-60,25300.0,25445.0,26634.0,0.0,0.0,25295.0,20180307,25590.0,0,25500.0,85.0,0.0,334270.0,0.0,0.0
25300.0,0.0,ZN,221504.0,0,25445.0,-345,25100.0,25265.0,13786.0,0.0,0.0,25100.0,20180308,25440.0,0,25300.0,-180.0,0.0,407040.0,0.0,0.0
25100.0,0.0,ZN,240190.0,0,25265.0,-650,24615.0,24825.0,18686.0,0.0,0.0,24505.0,20180309,25170.0,0,25070.0,-440.0,0.0,546906.0,0.0,0.0
24615.0,0.0,ZN,237044.0,0,24825.0,160,24985.0,24980.0,-3146.0,0.0,0.0,24700.0,20180312,25280.0,0,24720.0,155.0,0.0,571042.0,0.0,0.0
24985.0,0.0,ZN,236224.0,0,24980.0,150,25130.0,25045.0,-820.0,0.0,0.0,24865.0,20180313,25220.0,0,24950.0,65.0,0.0,434118.0,0.0,0.0
25130.0,0.0,ZN,235524.0,0,25045.0,150,25195.0,25180.0,-700.0,0.0,0.0,25065.0,20180314,25330.0,0,25250.0,135.0,0.0,366752.0,0.0,0.0
