合约,日期,前收盘,下一开盘价,开盘价,开盘价1,最高价,最低价,收盘价,收盘价1,成交量,成交额,成交笔数,涨跌(收盘价),涨跌幅(收盘价),振幅(收盘价),均价,持仓量,持仓量变化,前结算价,结算价,涨跌(结算价),涨跌幅(结算价),最近交易日期,市场最近交易日,MA_5,MA_10,MA_20,MA_30,MA_40,MA_60,持仓量变化,资金变动,价格变动贡献度,分类
AG,20180102,29.79354784731511,3900.0,30.773097350168825,3885.0,26.237032976900878,40.13354752754826,31.759822816150574,3891.0,3902.0,3900.0,17,15.0,13.45383142790645,0.0,602744.0,5922.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.410167580802366,1.0
AG,20180103,32.665044938509126,3911.0,33.05956466650744,3900.0,27.532561801240817,42.141210414278135,32.6478639047791,3897.0,3897.0,3911.0,-3,11.0,10.247336021796116,0.0,583810.0,-18934.0,-15.552176633864413,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-15.552176633864413,-16.44042266648075,10.243737412604467,-1.0
AG,20180104,31.935804561297715,3890.0,34.62044933657768,3911.0,26.6733725248625,40.725542058452646,28.599851929860293,3871.0,3885.0,3890.0,-26,-21.0,-15.60911819550416,0.0,595966.0,12156.0,17.83700947265973,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,17.83700947265973,18.76555970172386,-15.690643688096898,-1.0
AG,20180105,30.108570134130403,3895.0,31.555399238368565,3890.0,24.75074624530771,40.13354752754826,29.256140089073853,3875.0,3890.0,3895.0,0,5.0,5.419439690279795,0.0,584178.0,-11788.0,-15.032449337776399,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-15.032449337776399,-15.812335916312428,5.422784027758063,-1.0
AG,20180108,30.88307126727983,3896.0,32.317590548409015,3895.0,24.599469268454243,40.37358134381253,30.21794727812801,3881.0,3891.0,3896.0,-4,1.0,2.1233834765463726,0.0,595602.0,11424.0,13.366059404470988,0.0,0.0,0.0,0.0,0,0,28.189124371018636,0.0,0.0,0.0,0.0,0.0,13.366059404470988,14.128999108350541,2.123419812642503,-1.0
AG,20180109,31.035723242342556,3893.0,32.46760551477705,3896.0,25.201713233563467,38.999110870609826,30.688575775253327,3884.0,3896.0,3893.0,0,-3.0,-1.1813130752009755,0.0,606676.0,11074.0,-0.8803647675936119,0.0,0.0,0.0,0.0,0,0,28.0254305486295,0.0,0.0,0.0,0.0,0.0,-0.8803647675936119,-0.9080845541904523,-1.1822513037790614,-1.0
AG,20180110,31.787680392233923,3879.0,32.01513493893256,3893.0,25.05187007647767,37.773997821786054,28.0998003338063,3868.0,3873.0,3879.0,-20,-14.0,-10.145305591224655,0.0,632452.0,25776.0,8.325553705719216,0.0,0.0,0.0,0.0,0,0,27.322651850879268,0.0,0.0,0.0,0.0,0.0,8.325553705719216,8.79101362853644,-10.208335747128146,-1.0
AG,20180111,28.174198809916334,3887.0,29.80799402083636,3879.0,25.648346060167682,38.60092814604165,29.418333861779658,3876.0,3885.0,3887.0,6,8.0,7.887701344198291,0.0,636290.0,3838.0,-13.87943421840209,0.0,0.0,0.0,0.0,0,0,27.4500537135264,0.0,0.0,0.0,0.0,0.0,-13.87943421840209,-14.607313381197592,7.8715157019516155,1.0
AG,20180112,30.108570134130403,3878.0,31.08842301835905,3887.0,23.681917291911034,37.914668198397194,22.36603322172941,3836.0,3890.0,3878.0,3,-9.0,-6.127173751700887,0.0,642510.0,6220.0,0.8015740127798523,0.0,0.0,0.0,0.0,0,0,26.364985007267265,0.0,0.0,0.0,0.0,0.0,0.8015740127798523,0.8533271299741898,-6.209534032666511,-1.0
AG,20180115,30.88307126727983,3904.0,29.644369594034686,3878.0,25.201713233563467,43.20572082210032,29.256140089073853,3875.0,3926.0,3904.0,48,26.0,21.60891324761826,0.0,670164.0,27654.0,12.328669376971938,0.0,0.0,0.0,0.0,0,0,26.211263816350055,28.19124616376405,0.0,0.0,0.0,0.0,12.328669376971938,13.018400813036621,21.649186981909736,-1.0
AG,20180116,35.900119332654555,3918.0,33.63853915289653,3904.0,29.866982882155384,42.141210414278135,33.50789112570098,3903.0,3907.0,3918.0,3,14.0,12.549943382504601,0.0,660858.0,-9306.0,-22.14227526428145,0.0,0.0,0.0,0.0,0,0,26.660307847313746,28.3300026691372,0.0,0.0,0.0,0.0,-22.14227526428145,-23.364300768518508,12.595734128258542,-1.0
AG,20180117,33.375263141733356,3881.0,35.56254088597272,3918.0,24.75074624530771,38.60092814604165,28.267226432191435,3869.0,3876.0,3881.0,-42,-37.0,-26.754685836545832,0.0,638304.0,-22554.0,-8.75023544496208,0.0,0.0,0.0,0.0,0,0,26.68682575467804,27.98131720165857,0.0,0.0,0.0,0.0,-8.75023544496208,-9.198785803905231,-26.945194392849743,-1.0
AG,20180118,28.66769087276289,3863.0,30.132871494714976,3881.0,23.98963868910758,36.607210159599674,24.23373623247342,3846.0,3852.0,3863.0,-29,-18.0,-13.374394279183086,0.0,650276.0,11972.0,19.713349952550075,0.0,0.0,0.0,0.0,0,0,25.857941954418678,27.630607777975655,0.0,0.0,0.0,0.0,19.713349952550075,20.59309063134674,-13.461543747129,-1.0
AG,20180119,24.54091361046406,3844.0,27.096511297890487,3863.0,18.51927457920698,32.65877470337732,21.407904581491138,3831.0,3834.0,3844.0,-29,-19.0,-14.246028950399221,0.0,662324.0,12048.0,-0.618127697207143,0.0,0.0,0.0,0.0,0,0,25.703027996067902,26.99227911228745,0.0,0.0,0.0,0.0,-0.618127697207143,-0.6311418765771606,-14.30347503734906,-1.0
AG,20180122,21.191530577677483,3841.0,23.626867937472042,3844.0,16.99287066288187,30.4317030846224,22.175673551400152,3835.0,3838.0,3841.0,-6,-3.0,-1.2181552943859302,0.0,668780.0,6456.0,-4.100633934757042,0.0,0.0,0.0,0.0,0,0,24.54174324442674,26.32772739944609,0.0,0.0,0.0,0.0,-4.100633934757042,-4.270773252996825,-1.2139197206050625,1.0
AG,20180123,21.95349923905826,3843.0,23.05551199555073,3841.0,16.99287066288187,31.37997985960675,22.175673551400152,3835.0,3847.0,3843.0,6,2.0,2.9706634350784142,0.0,676724.0,7944.0,0.2511997265721675,0.0,0.0,0.0,0.0,0,0,22.624340900765944,25.612934745480715,0.0,0.0,0.0,0.0,0.2511997265721675,0.27762420870352855,2.9687133215748034,1.0
AG,20180124,23.63139033673282,3825.0,23.437104645290987,3843.0,16.8214496341825,29.65236957450115,16.396014487463503,3806.0,3836.0,3825.0,-7,-18.0,-13.480526544557932,0.0,696240.0,19516.0,6.43169813888391,0.0,0.0,0.0,0.0,0,0,20.542003400098835,24.6115039133564,0.0,0.0,0.0,0.0,6.43169813888391,6.679710524204239,-13.61027266885636,-1.0
AG,20180125,21.573735378335684,3892.0,19.90740121147256,3825.0,20.668815540940074,41.9347629574232,26.907240605915632,3861.0,3916.0,3892.0,91,67.0,42.51151016635994,0.0,686058.0,-10182.0,-18.26059633517851,0.0,0.0,0.0,0.0,0,0,21.017291887660022,24.393864909530166,0.0,0.0,0.0,0.0,-18.26059633517851,-19.12481430588628,42.348805808322055,1.0
AG,20180126,34.60558237674066,3894.0,31.862695824643907,3892.0,26.237032976900878,40.725542058452646,28.433910988479568,3870.0,3889.0,3894.0,-3,2.0,2.9373788128630594,0.0,692052.0,5994.0,9.211050080915143,0.0,0.0,0.0,0.0,0,0,22.248899366121904,24.91810442849099,0.0,0.0,0.0,0.0,9.211050080915143,9.727192798091124,2.9536134702436954,-1.0
AG,20180129,30.72966826127312,3881.0,32.16676677805688,3894.0,23.06094380853466,37.63218199612692,28.929494962354823,3873.0,3875.0,3881.0,-19,-13.0,-9.363494482907072,0.0,701688.0,9636.0,1.576986028879631,0.0,0.0,0.0,0.0,0,0,23.408158320978785,24.89002907410655,26.909324849856418,0.0,0.0,0.0,1.576986028879631,1.6866337352696164,-9.390039992093236,-1.0
AG,20180130,28.503920694005885,3843.0,30.132871494714976,3881.0,20.01467734248527,33.709250954496255,19.246193549461168,3820.0,3823.0,3843.0,-58,-38.0,-27.574341652798083,0.0,718046.0,16358.0,3.469336637552267,0.0,0.0,0.0,0.0,0,0,22.90835442225088,23.64819857299456,26.420219264309125,0.0,0.0,0.0,3.469336637552267,3.624235546130393,-27.875051797085863,-1.0
AG,20180131,19.04728202179416,3834.0,23.437104645290987,3843.0,17.334641584172843,31.004137648282224,19.445659766721235,3821.0,3832.0,3834.0,-11,-9.0,-6.246526775131116,0.0,721492.0,3446.0,-8.54824512939637,0.0,0.0,0.0,0.0,0,0,23.428559742353997,22.864671833244984,25.898067335214165,0.0,0.0,0.0,-8.54824512939637,-8.884924973619036,-6.238741824238851,1.0
AG,20180201,20.806917706547267,3835.0,21.69866769520013,3834.0,16.305081531541603,29.84891878182529,20.630207594499225,3827.0,3830.0,3835.0,-4,1.0,2.135877231430719,0.0,721920.0,428.0,-2.5214152720592935,0.0,0.0,0.0,0.0,0,0,22.352350475775367,22.541301493095645,25.579847067515146,0.0,0.0,0.0,-2.5214152720592935,-2.61644237935743,2.1350750740949636,-1.0
AG,20180202,20.419930451394052,3823.0,21.894494957002976,3835.0,15.088350914683858,28.039240412290496,17.83422520000046,3813.0,3824.0,3823.0,-11,-12.0,-8.706869876984378,0.0,736950.0,15030.0,8.265320627404051,0.0,0.0,0.0,0.0,0,0,20.487871233194753,22.218743533368936,25.11985946280518,0.0,0.0,0.0,8.265320627404051,8.59608455459042,-8.735092249278793,-1.0
AG,20180205,19.245071336132227,3758.0,19.502503416510564,3823.0,12.966615010621354,25.705608035375562,-1.6995237440566484,3724.0,3729.0,3758.0,-94,-65.0,-40.9477871924096,0.0,777424.0,40474.0,14.654559062206118,0.0,0.0,0.0,0.0,0,0,14.801636594759742,20.017591779115506,23.81039797707612,0.0,0.0,0.0,14.654559062206118,14.860022390878527,-41.497643796684756,-1.0
AG,20180206,-1.232490700201005,3757.0,5.303511662361402,3758.0,-1.6971145278220874,19.20755481289676,-1.4730315097278677,3725.0,3767.0,3757.0,9,-1.0,0.43543358641385765,0.0,765472.0,-11952.0,-29.55301165676915,0.0,0.0,0.0,0.0,0,0,10.747446230716804,17.762666129687574,22.45606405583763,0.0,0.0,0.0,-29.55301165676915,-29.91361269968812,0.4353903874004459,-1.0
AG,20180207,7.243788607717448,3730.0,5.074200079499661,3757.0,-2.262288459271666,5.26676961560819,-5.311000428383942,3708.0,3731.0,3730.0,-26,-27.0,-20.718863948339877,0.0,799180.0,33708.0,25.427531979743875,0.0,0.0,0.0,0.0,0,0,5.74944595513395,15.63343624035096,21.013587368749867,0.0,0.0,0.0,25.427531979743875,25.65231848917297,-21.00179536840593,-1.0
AG,20180208,-0.7843865232569271,3675.0,-1.156192535964081,3730.0,-8.608834380036825,-4.162546686779919,-17.63033180061594,3651.0,3674.0,3675.0,-56,-55.0,-37.609040288001026,0.0,812318.0,13138.0,-13.085759461867795,0.0,0.0,0.0,0.0,0,0,-2.1289220650937892,11.112814560097476,18.924285039813043,0.0,0.0,0.0,-13.085759461867795,-13.04200276229723,-38.094578506396374,-1.0
AG,20180209,-13.302942768171171,3694.0,-13.601460151935157,3675.0,-13.67862956072723,-2.2229169444226997,-13.020123298178675,3673.0,3687.0,3694.0,12,19.0,17.34157020110132,0.0,796926.0,-15392.0,-17.6154648973098,0.0,0.0,0.0,0.0,0,0,-8.436367819423182,6.76384888901773,17.31113116433731,0.0,0.0,0.0,-17.6154648973098,-17.64729015071874,17.320623389483643,1.0
AG,20180212,-10.520918640102174,3676.0,-9.393580121395239,3694.0,-13.323195302025184,-7.735126087035027,-16.60301178455652,3656.0,3690.0,3676.0,-4,-18.0,-14.09404267471902,0.0,798288.0,1362.0,9.55702636774609,0.0,0.0,0.0,0.0,0,0,-11.416818206430236,1.8926982584251704,15.171816499919615,22.886075906355757,0.0,0.0,9.55702636774609,9.507497905502383,-14.194974548517045,-1.0
