合约,日期,前收盘,下一开盘价,开盘价,开盘价1,最高价,最低价,收盘价,收盘价1,成交量,成交额,成交笔数,涨跌(收盘价),涨跌幅(收盘价),振幅(收盘价),均价,持仓量,持仓量变化,前结算价,结算价,涨跌(结算价),涨跌幅(结算价),最近交易日期,市场最近交易日,MA_5,MA_10,MA_20,MA_30,MA_40,MA_60,持仓量变化,资金变动,价格变动贡献度,分类
AL,20180102,24.09101368326671,15260.0,25.14768091300145,15235.0,25.03351489389918,35.711536196217835,20.577925466017405,15110.0,15175.0,15260.0,-60,25.0,6.352249169307292,0.0,320394.0,9820.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.367571181468648,-1.0
AL,20180103,22.40354139503853,15180.0,25.986934862328866,15260.0,20.203636089452175,29.253517884219505,21.359807277893466,15135.0,15165.0,15180.0,-95,-80.0,-9.995377734361895,0.0,322438.0,2044.0,-8.70283663774319,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-8.70283663774319,-9.276862240222783,-9.98374989352397,-1.0
AL,20180104,22.059681963612803,15125.0,23.247671654650333,15180.0,19.69814689965355,28.916260808477873,17.52071791147324,15015.0,15140.0,15125.0,-40,-55.0,-6.156102257934748,0.0,328124.0,5686.0,5.8506464105208735,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.8506464105208735,6.101448139424612,-6.210500385478696,-1.0
AL,20180105,21.191039018797824,15165.0,21.277072372237143,15125.0,19.528801819028246,28.40439212564607,20.104112715855223,15095.0,15210.0,15165.0,85,40.0,8.693155830524645,0.0,335404.0,7280.0,3.241422620042812,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.241422620042812,3.369975715886177,8.689223165200957,-1.0
AL,20180108,23.590428764642482,15080.0,22.717060967731598,15165.0,18.847256250257388,28.059182852671,14.510796975384238,14925.0,15040.0,15080.0,-125,-85.0,-10.724500231742184,0.0,326382.0,-9022.0,-18.935399435463108,0.0,0.0,0.0,0.0,0,0,18.21431186919969,0.0,0.0,0.0,0.0,0.0,-18.935399435463108,-19.76255537274303,-10.922544430810092,-1.0
AL,20180109,17.595250411938665,15045.0,19.615338133566112,15080.0,14.267471773513691,24.813158701882102,17.026291551977152,15000.0,15075.0,15045.0,-5,-35.0,-3.0795115192454077,0.0,334426.0,8044.0,21.86271384528486,0.0,0.0,0.0,0.0,0,0,17.539050028986708,0.0,0.0,0.0,0.0,0.0,21.86271384528486,22.80458323813771,-3.0744083155845487,-1.0
AL,20180110,18.874907848731027,15030.0,18.2939952113895,15045.0,14.987680742129541,23.677391452060803,16.028534369968867,14970.0,15060.0,15030.0,15,-15.0,0.09296262135465128,0.0,340496.0,6070.0,-1.3310996550536487,0.0,0.0,0.0,0.0,0,0,16.514575262126,0.0,0.0,0.0,0.0,0.0,-1.3310996550536487,-1.442649283706551,0.08482512504427575,-1.0
AL,20180111,18.329155073520326,15165.0,17.72035048171591,15030.0,17.115303470889074,29.420943709228737,19.786324966893915,15085.0,15210.0,15165.0,180,135.0,22.489117122275943,0.0,360746.0,20250.0,18.651021683537508,0.0,0.0,0.0,0.0,0,0,16.951500758251683,0.0,0.0,0.0,0.0,0.0,18.651021683537508,19.572069974475454,22.395162440983412,1.0
AL,20180112,23.590428764642482,15110.0,22.717060967731598,15165.0,21.037460647841442,28.57580994403945,17.684848624894983,15020.0,15090.0,15110.0,-75,-55.0,-6.130827169372687,0.0,346842.0,-13904.0,-35.723197066212684,0.0,0.0,0.0,0.0,0,0,16.48486033665904,0.0,0.0,0.0,0.0,0.0,-35.723197066212684,-36.96967168648423,-6.207639175650868,-1.0
AL,20180115,19.416542806803122,15190.0,20.72795327155363,15110.0,17.98617886024489,29.58756516559744,20.577925466017405,15110.0,15130.0,15190.0,20,80.0,14.749881867368558,0.0,352818.0,5976.0,24.832838306794898,0.0,0.0,0.0,0.0,0,0,17.650145316717186,16.90716765629591,0.0,0.0,0.0,0.0,24.832838306794898,26.018634798335214,14.691964262279171,1.0
AL,20180116,20.84004866742957,14895.0,23.59849825697721,15190.0,18.50402629739166,25.371186318018445,7.51486278324338,14725.0,14745.0,14895.0,-445,-295.0,-36.50481976599731,0.0,345144.0,-7674.0,-15.86412633137909,0.0,0.0,0.0,0.0,0,0,15.816107400013593,15.665783551560892,0.0,0.0,0.0,0.0,-15.86412633137909,-16.35941188902754,-37.09780482282042,-1.0
AL,20180117,6.1134479249141975,14635.0,12.381201916817076,14895.0,2.0276462978130496,8.132276564386927,1.5480174374787623,14560.0,14630.0,14635.0,-265,-260.0,-33.93688287139228,0.0,339448.0,-5696.0,3.73205848074155,0.0,0.0,0.0,0.0,0,0,12.952079862225531,13.75076863356265,0.0,0.0,0.0,0.0,3.73205848074155,3.7939794517848426,-34.16881564081494,-1.0
AL,20180118,1.4317929795594893,14620.0,1.4930181371627285,14635.0,-0.2897860329972346,6.5222152603545,-0.4554036711520624,14505.0,14620.0,14620.0,-15,-15.0,0.02081386981382849,0.0,341062.0,1614.0,10.45378678307413,0.0,0.0,0.0,0.0,0,0,8.828588160390119,11.982746460889956,0.0,0.0,0.0,0.0,10.45378678307413,10.610565152092,0.008526003156070772,-1.0
AL,20180119,1.0228168456434474,14730.0,0.8532874009439269,14620.0,1.641671692890725,12.649357316422673,3.9102743979641303,14625.0,14765.0,14730.0,145,110.0,19.545594423714547,0.0,339218.0,-1844.0,-3.231195539921373,0.0,0.0,0.0,0.0,0,0,5.962558161235151,10.368168038756728,0.0,0.0,0.0,0.0,-3.231195539921373,-3.32792461907804,19.483536536931737,1.0
AL,20180122,6.920832293850609,14675.0,5.5289715533680805,14730.0,4.530240653934236,10.40829239348767,3.3660565175368973,14610.0,14660.0,14675.0,-70,-55.0,-6.387422900808076,0.0,334574.0,-4644.0,-2.3893503849255993,0.0,0.0,0.0,0.0,0,0,2.338711111399924,9.246391463753447,0.0,0.0,0.0,0.0,-2.3893503849255993,-2.4618244447965694,-6.44864685526089,-1.0
AL,20180123,2.6576464300365075,14665.0,3.1966433896339055,14675.0,2.4134308703647775,8.818317497729943,2.8212085188431573,14595.0,14650.0,14665.0,-25,-10.0,0.8388008665579108,0.0,333070.0,-1504.0,5.21298441412862,0.0,0.0,0.0,0.0,0,0,1.3458429205822853,7.80562829289839,0.0,0.0,0.0,0.0,5.21298441412862,5.313894766976659,0.8373430348010444,1.0
AL,20180124,2.2492506733427646,14635.0,2.7711632490188265,14665.0,-3.1842856832825603,7.67352425179979,0.4554036711520695,14530.0,14640.0,14635.0,-25,-30.0,-2.415178627963712,0.0,322908.0,-10162.0,-9.803488150411944,0.0,0.0,0.0,0.0,0,0,1.1145753787561858,6.214086402958053,0.0,0.0,0.0,0.0,-9.803488150411944,-9.984268966811214,-2.437843671989512,-1.0
AL,20180125,1.8406185661567491,14735.0,1.4930181371627285,14635.0,0.6761409835291587,13.534406974347235,2.4576766237158196,14585.0,14790.0,14735.0,155,100.0,18.080303519055548,0.0,314356.0,-8552.0,3.2618761377446432,0.0,0.0,0.0,0.0,0,0,1.7310667064372112,4.431354914971763,0.0,0.0,0.0,0.0,3.2618761377446432,3.3180845827601644,18.08257943242066,1.0
AL,20180126,7.9259709439103005,14700.0,5.74017800755491,14735.0,4.530240653934236,11.981134008277614,3.3660565175368973,14610.0,14625.0,14700.0,-110,-35.0,-3.172995120672958,0.0,316304.0,1948.0,14.344025166091129,0.0,0.0,0.0,0.0,0,0,1.6159215951104144,2.9513459969054665,0.0,0.0,0.0,0.0,14.344025166091129,14.64953660042535,-3.2218944254956767,-1.0
AL,20180129,1.2273210457468977,14690.0,4.258641924124426,14700.0,0.48296917098906533,9.728827406993588,3.3660565175368973,14610.0,14670.0,14690.0,-30,-10.0,0.8349102150485805,0.0,303330.0,-12974.0,-17.35195869610895,0.0,0.0,0.0,0.0,0,0,1.6159215951104144,1.1670766424494374,13.935515740025714,0.0,0.0,0.0,-17.35195869610895,-17.74610687786398,0.8390135725781747,1.0
AL,20180130,3.065763039661249,14555.0,3.8341643973476494,14690.0,1.641671692890725,7.90303454464307,-3.728944709841798,14415.0,14470.0,14555.0,-220,-135.0,-18.726031090711103,0.0,299862.0,-3468.0,13.145614123892969,0.0,0.0,0.0,0.0,0,0,0.22926607355229578,0.0,12.732963519375396,0.0,0.0,0.0,13.145614123892969,13.26930161786175,-18.998819264462274,-1.0
AL,20180131,-5.100667907882908,14490.0,-1.9193020736617967,14555.0,-5.488553206672165,1.8711833240521472,-3.9102743979641303,14410.0,14440.0,14490.0,-115,-65.0,-8.185153643771415,0.0,270498.0,-29364.0,-28.885918248332455,0.0,0.0,0.0,0.0,0,0,-0.6951974117909501,-0.5666176333909476,11.46947640511111,0.0,0.0,0.0,-28.885918248332455,-29.10400769126448,-8.191037255350167,1.0
AL,20180201,-6.315546226407115,14370.0,-4.68263418589035,14490.0,-7.584817515543655,-2.8054885421871703,-8.229281512308056,14290.0,14335.0,14370.0,-155,-120.0,-16.814124602821174,0.0,267360.0,-3138.0,30.874037074952483,0.0,0.0,0.0,0.0,0,0,-2.9556523832631783,-1.3733878067509693,10.169355775214918,0.0,0.0,0.0,30.874037074952483,30.905627001884582,-16.937815370983664,-1.0
