合约,日期,前收盘,下一开盘价,开盘价,开盘价1,最高价,最低价,收盘价,收盘价1,成交量,成交额,成交笔数,涨跌(收盘价),涨跌幅(收盘价),振幅(收盘价),均价,持仓量,持仓量变化,前结算价,结算价,涨跌(结算价),涨跌幅(结算价),最近交易日期,市场最近交易日,MA_5,MA_10,MA_20,MA_30,MA_40,MA_60,持仓量变化,资金变动,价格变动贡献度,分类
AU,20180102,20.6751365292329,279.2,23.166524407886953,277.9,28.68736581772818,26.19564299056543,28.9579928347125,278.95,279.4,279.2,1.5,1.3,18.298084548463336,0.0,255972.0,8372.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.170703554677473,1.0
AU,20180103,27.641309365130525,280.4,28.917773529882254,279.2,29.73284867328384,31.44535723599742,30.945413710516178,279.45,280.35,280.4,1.15,1.2,16.99516983838653,0.0,269758.0,13786.0,11.143394968269263,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,11.143394968269263,11.511261315231906,16.93349088817243,1.0
AU,20180104,31.286770497245612,279.3,33.521987001968924,280.4,31.535663214946013,28.31838608367488,26.41938331455661,278.35,279.0,279.3,-1.4,-1.1,-13.121782198846496,0.0,268078.0,-1680.0,-34.191013221881775,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-34.191013221881775,-34.83227171658347,-13.178024721377767,-1.0
AU,20180105,25.993114187316536,279.7,29.328061774646514,279.3,27.611083439307123,28.31838608367488,26.637181566400557,278.4,279.85,279.7,0.55,0.4,6.750247485788627,0.0,271418.0,3340.0,10.210647508931423,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,10.210647508931423,10.505533590772629,6.735712035222107,1.0
AU,20180108,29.416147081647054,279.95,30.921304714748928,279.7,28.68736581772818,29.337331225317612,29.364927764252826,279.05,280.2,279.95,0.5,0.25,4.7391483544098065,0.0,265332.0,-6086.0,-23.581942950866363,0.0,0.0,0.0,0.0,0,0,36.97245669880205,0.0,0.0,0.0,0.0,0.0,-23.581942950866363,-24.175256203692584,4.729796885373062,-1.0
AU,20180109,30.736940712720752,280.5,31.87770324936696,279.95,31.92232098535453,30.000587779508265,32.993304777451556,280.0,280.55,280.5,0.6,0.55,8.703022407042397,0.0,269750.0,4418.0,22.454759150352444,0.0,0.0,0.0,0.0,0,0,37.603627759045224,0.0,0.0,0.0,0.0,0.0,22.454759150352444,23.144134876680297,8.675463280724749,1.0
AU,20180110,32.00460350939271,280.15,33.87383142320755,280.5,32.866556217975145,29.504355099973495,32.080564705252996,279.75,279.95,280.15,-0.55,-0.35,-3.2983664105452846,0.0,275136.0,5386.0,0.3732968586151273,0.0,0.0,0.0,0.0,0,0,37.77725662036575,0.0,0.0,0.0,0.0,0.0,0.3732968586151273,0.41613879205721815,-3.301777460010058,1.0
AU,20180111,29.798893838181527,281.1,32.62079643806915,280.15,36.63903674258697,32.67369733033978,34.727657209831506,280.5,280.85,281.1,0.7,0.95,13.862628699580249,0.0,277640.0,2504.0,-9.004210493594883,0.0,0.0,0.0,0.0,0,0,38.99617644695468,0.0,0.0,0.0,0.0,0.0,-9.004210493594883,-9.281135266602725,13.7895704480242,1.0
AU,20180112,33.04843638940163,281.15,35.881263583487225,281.1,34.1344746068541,32.523050417495014,34.894400588089454,280.55,281.55,281.15,0.45,0.05,2.058968814007315,0.0,281512.0,3872.0,1.3554159275962618,0.0,0.0,0.0,0.0,0,0,40.1186580097997,0.0,0.0,0.0,0.0,0.0,1.3554159275962618,1.440094925712529,2.050354893273621,1.0
AU,20180115,35.32962142973851,281.75,36.04054725227613,281.15,36.63903674258697,34.83366308834361,33.17221330773857,280.05,282.05,281.75,0.9,0.6,9.319369302816405,0.0,281200.0,-312.0,-12.088500656002083,0.0,0.0,0.0,0.0,0,0,40.60702389064515,48.16596808060254,0.0,0.0,0.0,0.0,-12.088500656002083,-12.450633221801539,9.326193776800473,-1.0
AU,20180116,36.8268440004441,281.9,37.85678030755548,281.75,38.29337646839208,34.13447460685397,37.8327495425617,281.5,281.65,281.9,-0.1,0.15,3.3865105740565795,0.0,278914.0,-2286.0,-6.818521282951025,0.0,0.0,0.0,0.0,0,0,41.201774316813484,48.39828328741062,0.0,0.0,0.0,0.0,-6.818521282951025,-7.038724624631463,3.3763163296197902,1.0
AU,20180117,35.637849828641734,281.1,38.283637252901826,281.9,34.485138223498865,32.823514799465016,34.894400588089454,280.55,280.8,281.1,-1.1,-0.8,-9.209947895953896,0.0,277878.0,-1036.0,1.0657495265567363,0.0,0.0,0.0,0.0,0,0,41.53442014040864,48.49325690119939,0.0,0.0,0.0,0.0,1.0657495265567363,1.1401662400111334,-9.219914264739096,-1.0
AU,20180118,32.877215707408624,279.65,35.881263583487225,281.1,34.1344746068541,30.000587779508265,27.709273212937987,278.65,279.25,279.65,-1.85,-1.45,-17.43668635926415,0.0,275960.0,-1918.0,-4.162597750654292,0.0,0.0,0.0,0.0,0,0,40.686699427786934,48.52321163849818,0.0,0.0,0.0,0.0,-4.162597750654292,-4.258268211607394,-17.514649336871194,-1.0
AU,20180119,27.030900223348084,278.65,30.7263728433456,279.65,25.36848699670837,24.34308716896365,24.409706431389026,277.9,278.35,278.65,-1.3,-1.0,-11.896945072574091,0.0,275066.0,-894.0,0.5108207756587575,0.0,0.0,0.0,0.0,0,0,39.30584920023418,48.47115725827588,0.0,0.0,0.0,0.0,0.5108207756587575,0.5409653216628669,-11.919561347647566,-1.0
AU,20180122,23.179249563008923,278.85,26.57739847873046,278.65,25.826421211731244,23.38941635627961,26.853859815327,278.45,278.5,278.85,-0.15,0.2,4.085649196005967,0.0,274708.0,-358.0,-0.6876280916497066,0.0,0.0,0.0,0.0,0,0,38.40548254994229,48.41059341749154,0.0,0.0,0.0,0.0,-0.6876280916497066,-0.6856245459941377,4.068123102892059,1.0
AU,20180123,23.843026990268186,279.1,27.444669706621568,278.85,25.826421211731244,25.093003921571693,27.49712441192689,278.6,279.4,279.1,0.55,0.25,4.7553205997676855,0.0,282894.0,8186.0,18.28719321942981,0.0,0.0,0.0,0.0,0,0,36.81899768136658,48.270819508428204,0.0,0.0,0.0,0.0,18.28719321942981,18.784904202919265,4.7351819480880195,1.0
AU,20180124,27.641309365130525,279.8,28.50274828671016,279.1,29.10928340431188,29.000875137982604,29.76716190363547,279.15,280.7,279.8,1.6,0.7,10.682696700533292,0.0,289142.0,6248.0,-6.731385600082632,0.0,0.0,0.0,0.0,0,0,35.97878433023638,48.20892002524347,0.0,0.0,0.0,0.0,-6.731385600082632,-6.9076186531981065,10.651446242715693,1.0
AU,20180125,32.531469783994794,281.4,31.30752264381836,279.8,35.17100208511938,33.41447997082432,35.54922210259403,280.75,281.75,281.4,1.95,1.6,21.642585588701806,0.0,289750.0,608.0,-15.447813963331704,0.0,0.0,0.0,0.0,0,0,37.24919759118072,48.23111556344834,0.0,0.0,0.0,0.0,-15.447813963331704,-15.942113821061596,21.567956892812447,1.0
AU,20180126,35.94167740178868,280.2,36.81859942335599,281.4,33.05155061339988,30.811411666413818,29.76716190363547,279.15,279.95,280.2,-1.45,-1.2,-14.30805233401906,0.0,289436.0,-314.0,-4.260287285042402,0.0,0.0,0.0,0.0,0,0,38.06990169606925,48.08867482521522,0.0,0.0,0.0,0.0,-4.260287285042402,-4.362867496095134,-14.399619367926462,-1.0
AU,20180129,29.798893838181527,279.25,32.803498084905016,280.2,28.045258205923233,26.55715411944584,27.28383611207302,278.55,278.7,279.25,-1.5,-0.95,-11.221321525796014,0.0,295796.0,6360.0,14.081027364150131,0.0,0.0,0.0,0.0,0,0,38.13411519433106,47.91317018013915,49.487451365259744,0.0,0.0,0.0,14.081027364150131,14.479665935400504,-11.245266802654378,-1.0
